,Concept_ID,ta,ro
0,Auge::N,கண்,ochi
1,Ohr::N,காது,ureche
2,Nase::N,மூக்கு,nas
3,Mund::N,வாய்,gură
4,Zahn::N,பல்,dinte
5,Zunge::N,நாக்கு,limbă
6,Lippe::N,உதடு,buză
7,Wange::N,கன்னம்,bucă
8,Wange::N,கன்னம்,obraz
9,Gesicht::N,முகம்,față
10,Gesicht::N,முகம்,figură
11,Stirn::N,முன்னெற்றி,frunte
12,Haar::N,முடி,păr
13,Schnurrbart::N,மீசை,mustață
14,Bart::N,தாடி,barbă
15,Kinn::N,கீழதாடை,bărbie
16,Kiefer[Anatomie]::N,தாடை,falcă
17,Kehle::N,தொண்டை,beregată
18,Hals::N,கழுத்து,gât
19,Genick::N,கழுத்து,ceafă
20,Kopf::N,தலை,cap
21,Rücken::N,முதுகு,dos
22,Rücken::N,முதுகு,spate
23,Rücken::N,முதுகு,spinare
24,Bauch::N,வயிறு,burtă
25,Bauch::N,வயிறு,pântece
26,Nabel::N,தொப்புள்,buric
27,Busen::N,மார்பகம்,sân
28,Brust::N, மார்பு,piept
29,Schulter::N,தோள்பட்டை,umăr
30,Schulter::N,தோள்பட்டை,spate
31,Arm::N,கரம்,braț
32,Ellenbogen::N,முழங்கை,cot
33,Hand::N,கை,mână
34,Handfläche::N,உள்ளங்கை,palmă
35,Finger::N,விரல்,deget
36,Fingernagel::N,விரல் நகம்,unghie
37,Nagel[Anatomie]::N,நகம்,unghie
38,Zeh::N,கால்விரல்,deget de la picior
39,Fuß::N,கால்,picior
40,Ferse::N,குதிகால்,călcâi
41,Knie::N,முழங்கால்,genunchi
42,Oberschenkel::N,தொடை,coapsă
43,Bein::N,கால்,picior
44,Körper::N,உடல்,corp
45,Haut::N,சருமம்,piele
46,Blut::N,இரத்தம்,sânge
47,Ader::N,நாளம்,vână
48,Ader::N,நாளம்,arteră
49,Sehne::N,தசைநார்,tendon
50,Knochen::N,எலுமபு,os
51,Gehirn::N,மூனை,creier
52,Herz::N,இதயம,inimă
53,Magen::N,வயிறு,stomac
54,Leber::N,கல்லீரல்,ficat
55,Atem::N,மூச்சு,răsuflare
56,Atem::N,மூச்சு,respirație
57,Hunger::N,பசி,foame
58,Träne::N,கண்ணீர்,lacrimă
59,Geschmack::N,நறுமணம்,gust
60,Geruch::N,துர்நாற்றம்,miros
61,Schlaf::N,தூக்கம்,somn
62,Traum::N,கனவு,vis
63,Himmel::N,வானம்,cer
64,Sonne::N,சூரியன்,soare
65,Mond::N,சந்திரன்,lună
66,Stern::N,நட்சத்திரம்,stea
67,Luft::N,காறறு,aer
68,Wind::N,காற்று,vânt
69,Welle::N,அலை,val
70,Welle::N,அலை,undă
71,Wasser::N,நீர்,apă
72,Stein::N,கல்,piatră
73,Boden::N,தரை,sol
74,Boden::N,தரை,pământ
75,Erde::N,மண்,pământ
76,Staub::N,தூசி,praf
77,Rauch::N,புகை,fum
78,Funke::N,தீப்பொறி,scânteie
79,Feuer::N,தீ,foc
80,Licht::N,வெளிச்சம்,lumină
81,Schatten::N,நிழல்,umbră
82,Wetter::N,வானிலை,timp
