,Concept_ID,uk,ta
0,Auge::N,око,கண்
1,Ohr::N,вухо,காது
2,Nase::N,ніс,மூக்கு
3,Mund::N,рот,வாய்
4,Zahn::N,зуб,பல்
5,Zunge::N,язик,நாக்கு
6,Lippe::N,губа,உதடு
7,Wange::N,щока,கன்னம்
8,Gesicht::N,обличчя,முகம்
9,Stirn::N,лоб,முன்னெற்றி
10,Haar::N,волосся,முடி
11,Schnurrbart::N,вуса,மீசை
12,Bart::N,борода,தாடி
13,Kinn::N,підборіддя,கீழதாடை
14,Kiefer[Anatomie]::N,щелепа,தாடை
15,Kehle::N,горло,தொண்டை
16,Hals::N,шия,கழுத்து
17,Genick::N,потилиця,கழுத்து
18,Kopf::N,голова,தலை
19,Rücken::N,спина,முதுகு
20,Bauch::N,живіт,வயிறு
21,Nabel::N,пупок,தொப்புள்
22,Busen::N,груди,மார்பகம்
23,Brust::N,груди, மார்பு
24,Schulter::N,плече,தோள்பட்டை
25,Arm::N,рука,கரம்
26,Ellenbogen::N,лікоть,முழங்கை
27,Hand::N,рука,கை
28,Handfläche::N,долоня,உள்ளங்கை
29,Finger::N,палець,விரல்
30,Fingernagel::N,ніготь,விரல் நகம்
31,Nagel[Anatomie]::N,ніготь,நகம்
32,Zeh::N,палець на нозі,கால்விரல்
33,Fuß::N,нога,கால்
34,Ferse::N,п’ятка,குதிகால்
35,Knie::N,коліно,முழங்கால்
36,Oberschenkel::N,стегно,தொடை
37,Bein::N,нога,கால்
38,Körper::N,тіло,உடல்
39,Haut::N,шкіра,சருமம்
40,Blut::N,кров,இரத்தம்
41,Ader::N,вена,நாளம்
42,Sehne::N,сухожилля,தசைநார்
43,Knochen::N,кістка,எலுமபு
44,Gehirn::N,мозок,மூனை
45,Herz::N,серце,இதயம
46,Magen::N,шлунок,வயிறு
47,Leber::N,печінка,கல்லீரல்
48,Atem::N,дихання,மூச்சு
49,Hunger::N,голод,பசி
50,Träne::N,сльоза,கண்ணீர்
51,Geschmack::N,смак,நறுமணம்
52,Geruch::N,запах,துர்நாற்றம்
53,Schlaf::N,сон,தூக்கம்
54,Schlaf::N,сплячка,தூக்கம்
55,Traum::N,сон,கனவு
56,Himmel::N,небо,வானம்
57,Sonne::N,сонце,சூரியன்
