,Concept_ID,sah,myv
0,Auge::N,харах,сельме
1,Ohr::N,кулгаах,пиле
2,Nase::N,мурун,судо
3,Mund::N,айах,курго
4,Zahn::N,тиис,пей
5,Zunge::N,тыл,кель
6,Lippe::N,уос,турва
7,Wange::N,иэдэс,чамабока
8,Wange::N,иэдэс,чамаумарь
9,Gesicht::N,сирэй,чама
10,Stirn::N,сүүс,коня
11,Haar::N,баттах,черь
12,Schnurrbart::N,уос бытыга,ус
13,Schnurrbart::N,уос бытыга,муюк
14,Bart::N,сэҥийэ бытыга,сакал
15,Kinn::N,сэҥийэ,уло
16,Kiefer[Anatomie]::N,сыҥаах,пейпакар
17,Kiefer[Anatomie]::N,сыҥаах,пейловажа
18,Kehle::N,тамах,кирьгапарь
19,Kehle::N,күөмэй,кирьгапарь
20,Hals::N,моой,кирьга
21,Genick::N,кэтэх,човонь
22,Kopf::N,бас,пря
23,Rücken::N,көҕүс,копорь
24,Bauch::N,ис,пеке
25,Nabel::N,киин,почо
26,Busen::N,эмиий,поте
27,Brust::N,түөс,меште
28,Schulter::N,сарын,лавтов
29,Arm::N,илии,кедь
30,Ellenbogen::N,тоҕонох,кенерепакарь
31,Hand::N,илии,кедь
32,Handfläche::N,ытыс,кедькуншка
33,Handfläche::N,ытыс,кедьлапушка
34,Finger::N,тарбах,сур
35,Fingernagel::N,тыҥырах,кенже
36,Nagel[Anatomie]::N,тыҥырах,кенже
37,Zeh::N,тарбах,пильге сур
38,Fuß::N,уллуҥах,пильге
39,Ferse::N,тилэх,кочкаря
40,Knie::N,тобук,эле
41,Knie::N,тобук,эзне
42,Knie::N,тобук,кумажа
43,Knie::N,дьилбэк,эле
44,Knie::N,дьилбэк,эзне
45,Knie::N,дьилбэк,кумажа
46,Oberschenkel::N,уллук,качо
47,Oberschenkel::N,өттүк,качо
48,Bein::N,атах,пильге
49,Körper::N,бэйэ,рунго
50,Haut::N,тирии,киське
51,Blut::N,хаан,верь
52,Ader::N,вена,сан
53,Ader::N,күөх_тымыр,сан
54,Sehne::N,иҥиир,коське сан
55,Knochen::N,уҥуох,пакарь
56,Knochen::N,уҥгуох,пакарь
57,Gehirn::N,мэйии,удем
58,Herz::N,сүрэх,седей
59,Magen::N,куртах,пеке
60,Leber::N,быар,максо
61,Atem::N,тыын,лексема
62,Atem::N,тыын,оймень таргсема
63,Hunger::N,аас,вачочи
64,Träne::N,харах уута,селведь
65,Geschmack::N,амтан,тансть
66,Geruch::N,сыт,чине
67,Schlaf::N,утуйуу,удома
68,Traum::N,түүл,он
69,Himmel::N,халлаан,менель
70,Sonne::N,күн,чи
71,Mond::N,ый,ков
72,Stern::N,сулус,теште
73,Luft::N,салгын,кошт
74,Wind::N,тыал,варма
75,Welle::N,долгун,толкун
76,Welle::N,балхаан,толкун
77,Wasser::N,уу,ведь
78,Stein::N,таас,кев
79,Boden::N,сир,мода
80,Erde::N,буор,мастор
81,Staub::N,быыл,пуль
82,Rauch::N,буруо,качамо
83,Funke::N,кыым,сятко
84,Feuer::N,уот,тол
85,Licht::N,уот,валдо
86,Schatten::N,күлүк,сулей
87,Schatten::N,күлүк,сулейкс
88,Wetter::N,күн-дьыл,ушо
89,Nebel::N,туман,сув
90,Wolke::N,былыт,пель
91,Regen::N,самыыр,пиземс
92,Schnee::N,хаар,лов
93,Eis::N,муус,эй
94,Frost::N,тымныы,кельме
95,Kälte::N,тымныы,якшамо
96,Hitze::N,куйаас,пси
97,Raureif::N,кырыа,лекш
98,Regenbogen::N,кустук,пурьгинечирьке
99,Regenbogen::N,кустук,пурьгинеёнкс
100,Donner::N,этиҥ,пурьгине
101,Strömung::N,сүүрүк,чудема
102,Strömung::N,сүүрүк,чудевкс
103,Tropfen::N,таммах,петнявкс
104,Tropfen::N,хааппыла,петнявкс
105,Schaum::N,күүгэн,чов
106,Schmutz::N,кир,рудаз
107,See::N,күөл,эрьке
108,Sumpf::N,бадараан,чей
109,Moor::N,дьэбэрэ,чей
110,Wiese::N,ходуһа,луга
111,Wald::N,ойуур,вирь
112,Hügel::N,булгунньах,губорь
113,Hügel::N,булгунньах,пандыне
114,Anhöhe::N,үрдэл,губорь
115,Anhöhe::N,үрдэл,пандыне
116,Berg::N,хайа,пандо
117,Gipfel::N,чыпчаал,пря
118,Höhle::N,хайа_хаспаҕа,пещера
119,Höhle::N,көҥүс,пещера
120,Abhang::N,эниэ,пандочама
121,Quelle::N,дьүүктэ,ушодкс
122,Bach::N,үрүйэ,чудикерькс
123,Fluss::N,өрүс,лей
124,Ufer::N,биэрэк,чире
125,Küste::N,кытыл,лейчире
126,Festland::N,кураанах сир,мода
127,Meer::N,муора,моря
128,Bucht::N,хомо,усия
129,Bucht::N,бухта,усия
130,Insel::N,арыы,усия
131,Blume::N,сибэкки,цеця
132,Gras::N,от,тикше
133,Wurzel::N,силис,юр
134,Wurzel::N,силис,ундокс
135,Baum::N,мас,чувто
136,Stamm::N,умнас,рунго
137,Rinde::N,хатырык,суд
138,Rinde::N,хатырык,керь
139,Ast::N,мутук,морго
140,Zweig::N,лабаа,тарад
141,Blatt::N,сэбирдэх,лопа
142,Birke::N,хатыҥ,килей
143,Kiefer[Baum]::N,бэс,пиче
144,Weide[Baum]::N,үөт,каль
145,Weide[Baum]::N,талах,каль
146,Tanne::N,харыйа,куз
147,Horn::N,муос,сюро
148,Feder::N,куорсун,толга
149,Fell::N,тирии,пона
150,Flügel::N,кынат,сёлмо
151,Klaue::N,тыҥырах,кенже
152,Kralle::N,баппаҕай,кенже
153,Schwanz::N,кутурук,пуло
154,Ei::N,сымыыт,ал
155,Nest::N,уйа,пизэ
156,Bau::N,хороон,варя
157,Bau::N,хороон,пизе
158,Tier::N,кыыл,ракша
159,Tier::N,харамай,ракша
160,Herde::N,үөр,стада
161,Kuh::N,ынах,скал
162,Bulle::N,оҕус,бука
163,Pferd::N,сылгы,лишме
164,Schaf::N,овца,реве
165,Schwein::N,сибиинньэ,туво
166,Hund::N,ыт,пине
167,Hund::N,ыт,киска
168,Katze::N,куоска,псака
169,Bär::N,эһэ,овто
170,Eichhörnchen::N,тииҥ,ур
171,Elch::N,тайах,сярдо
172,Fuchs::N,саһыл,ривезь
173,Hase::N,куобах,нумоло
174,Maus::N,кутуйах,чеерь
175,Wolf::N,бөрө,верьгиз
176,Vogel::N,көтөр,нармунь
177,Schwarm::N,бөлөх,полк
178,Schwarm::N,бөлөх,стада
