,Concept_ID,vep,vep
0,Auge::N,sil'm,sil'm
1,Ohr::N,korv,korv
2,Nase::N,nena,nena
3,Mund::N,su,su
4,Zahn::N,pi,pi
5,Zahn::N,pi,hambaz
6,Zahn::N,hambaz,pi
7,Zahn::N,hambaz,hambaz
8,Zunge::N,kel',kel'
9,Lippe::N,hul',hul'
10,Wange::N,modpolišk,modpolišk
11,Gesicht::N,mod,mod
12,Stirn::N,oc,oc
13,Haar::N,tuk,tuk
14,Haar::N,tuk,hibuz
15,Haar::N,hibuz,tuk
16,Haar::N,hibuz,hibuz
17,Schnurrbart::N,habinod,habinod
18,Bart::N,bard,bard
19,Kinn::N,löug,löug
20,Kiefer[Anatomie]::N,hambazlu,hambazlu
21,Kehle::N,kurk,kurk
22,Hals::N,kagl,kagl
23,Genick::N,tagarai,tagarai
24,Kopf::N,pä,pä
25,Rücken::N,sel'g,sel'g
26,Bauch::N,vac,vac
27,Bauch::N,vac,koht
28,Bauch::N,koht,vac
29,Bauch::N,koht,koht
30,Nabel::N,naba,naba
31,Busen::N,niža,niža
32,Brust::N,rind,rind
33,Schulter::N,oug,oug
34,Arm::N,käzi,käzi
35,Ellenbogen::N,künambruz,künambruz
36,Hand::N,käzi,käzi
37,Hand::N,käzi,käzitera
38,Hand::N,käzitera,käzi
39,Hand::N,käzitera,käzitera
40,Handfläche::N,kämen,kämen
41,Finger::N,sor'm,sor'm
42,Fingernagel::N,künz',künz'
43,Nagel[Anatomie]::N,künz',künz'
44,Zeh::N,barbaz,barbaz
45,Fuß::N,jaug,jaug
46,Ferse::N,kand,kand
47,Knie::N,komb,komb
48,Knie::N,komb,pol'v
49,Knie::N,pol'v,komb
50,Knie::N,pol'v,pol'v
51,Oberschenkel::N,riiže,riiže
52,Bein::N,jaug,jaug
53,Körper::N,hibj,hibj
54,Haut::N,nahk,nahk
55,Blut::N,čak,čak
56,Blut::N,čak,veri
57,Blut::N,veri,čak
58,Blut::N,veri,veri
59,Ader::N,son',son'
60,Sehne::N,jände,jände
61,Knochen::N,lu,lu
