,Concept_ID,ga,be
0,Auge::N,súil,вока
1,Ohr::N,cluas,вуха
2,Nase::N,soc,нос
3,Mund::N,béal,рот
4,Zahn::N,fiacail,зуб
5,Zunge::N,teanga,язык
6,Lippe::N,liopa,губа
7,Wange::N,grua,шчака
8,Wange::N,leiceann,шчака
9,Gesicht::N,éadan,твар
10,Gesicht::N,aghaidh,твар
11,Stirn::N,baithis,лоб
12,Stirn::N,clár éadain,лоб
13,Haar::N,gruaig,волас
14,Haar::N,gruaig,валасы
15,Schnurrbart::N,croiméal,вус
16,Schnurrbart::N,croiméal,вусы
17,Bart::N,féasóg,барада
18,Kinn::N,smig,падбародак
19,Kiefer[Anatomie]::N,giall,сківіца
20,Kehle::N,scornach,горла
21,Hals::N,muinéal,шыя
22,Genick::N,baic,патыліца
23,Kopf::N,ceann,галава
24,Rücken::N,droim,спіна
25,Bauch::N,bolg,жывот
26,Nabel::N,imleacán,пупок
27,Busen::N,cíoch,грудзі
28,Brust::N,brollach,грудзі
29,Schulter::N,gualainn,плячо
30,Arm::N,lámh,рука
31,Ellenbogen::N,uillinn,локаць
32,Hand::N,lámh,кісць
33,Handfläche::N,bos,далонь
34,Finger::N,méar,палец
35,Fingernagel::N,ionga,ногаць
36,Nagel[Anatomie]::N,ionga,ногаць
37,Zeh::N,ladhar,палец
38,Fuß::N,cos,нага
39,Fuß::N,troigh,нага
40,Ferse::N,sáil,пята
41,Ferse::N,sáil,пятка
42,Knie::N,glúin,калена
43,Oberschenkel::N,ceathrú,бядро
44,Oberschenkel::N,ceathrú,сцягно
45,Bein::N,cos,нага
46,Körper::N,corp,цела
47,Körper::N,colainn,цела
48,Haut::N,cneas,скура
49,Haut::N,craiceann,скура
50,Blut::N,fuil,кроў
51,Sehne::N,teannán,жыла
52,Sehne::N,teannán,цеціва
53,Sehne::N,teannán,сухажылле
54,Sehne::N,féitheog,жыла
55,Sehne::N,féitheog,цеціва
56,Sehne::N,féitheog,сухажылле
57,Knochen::N,cnámh,косць
58,Gehirn::N,inchinn,мозг
59,Herz::N,croí,сэрца
60,Magen::N,bolg,страўнік
61,Magen::N,goile,страўнік
62,Leber::N,ae,печань
63,Atem::N,anáil,дыханне
64,Hunger::N,ocras,голад
65,Träne::N,deoir,сляза
66,Geschmack::N,blas,смак
67,Geruch::N,boladh,пах
68,Schlaf::N,suan,сон
69,Schlaf::N,codladh,сон
70,Traum::N,taibhreamh,сон
71,Himmel::N,spéir,неба
72,Sonne::N,grian,сонца
73,Mond::N,ré,месяц
74,Mond::N,gealach,месяц
75,Stern::N,rinn,зорка
76,Stern::N,réalta,зорка
77,Luft::N,aer,паветра
78,Wind::N,gaoth,вецер
79,Welle::N,tonn,хваля
80,Wasser::N,uisce,вада
81,Stein::N,cloch,камень
82,Boden::N,talamh,глеба
83,Erde::N,cré,зямля
84,Erde::N,ithir,зямля
85,Staub::N,dusta,пыл
86,Staub::N,deannach,пыл
87,Rauch::N,toit,дым
88,Rauch::N,deatach,дым
89,Funke::N,drithle,іскра
90,Feuer::N,tine,агонь
91,Licht::N,solas,святло
92,Schatten::N,scáth,цень
93,Wetter::N,aimsir,пагода
94,Wetter::N,aimsir,надворʼе
95,Nebel::N,ceo,туман
96,Wolke::N,néal,воблака
97,Wolke::N,scamall,воблака
98,Regen::N,báisteach,дождж
99,Regen::N,fearthainn,дождж
100,Schnee::N,sneachta,снег
101,Eis::N,oighear,лёд
102,Frost::N,sioc,мароз
103,Kälte::N,fuacht,холад
104,Hitze::N,teas,спёка
105,Hitze::N,teocht,спёка
106,Raureif::N,sioc bán,іней
107,Regenbogen::N,stua ceatha,вясёлка
108,Regenbogen::N,bogha báistí,вясёлка
109,Donner::N,toirneach,гром
110,Strömung::N,sruth,цячэнне
111,Tropfen::N,deoir,кропля
112,Schaum::N,cúr,пена
113,Schmutz::N,salachar,гразь
114,See::N,loch,возера
115,Sumpf::N,portach,багна
116,Moor::N,caorán,балота
117,Moor::N,móinteán,балота
118,Wiese::N,cluain,луг
119,Wiese::N,móinéar,луг
120,Wald::N,coill,лес
121,Wald::N,foraois,лес
122,Hügel::N,ard,узгорак
123,Anhöhe::N,ard,узвышша
124,Anhöhe::N,ardán,узвышша
125,Berg::N,sliabh,гара
126,Gipfel::N,barr,вяршыня
127,Gipfel::N,mullach,вяршыня
128,Höhle::N,uaimh,пячора
129,Höhle::N,pluais,пячора
130,Abhang::N,fána,схіл
131,Quelle::N,foinse,крыніца
132,Bach::N,sruthán,ручай
133,Fluss::N,abhainn,рака
134,Ufer::N,bruach,бераг
135,Küste::N,cósta,узбярэжжа
136,Küste::N,cladach,узбярэжжа
137,Festland::N,míntír,суша
138,Meer::N,muir,мора
139,Meer::N,farraige,мора
140,Bucht::N,bá,бухта
141,Bucht::N,cuan,бухта
142,Insel::N,inis,востраў
143,Insel::N,oileán,востраў
144,Blume::N,bláth,кветка
145,Gras::N,féar,трава
146,Wurzel::N,rúta,корань
147,Wurzel::N,fréamh,корань
148,Baum::N,crann,дрэва
149,Stamm::N,stoc,ствол
150,Stamm::N,tamhan,ствол
151,Rinde::N,coirt,кара
152,Rinde::N,craiceann,кара
153,Ast::N,géag,сук
154,Zweig::N,géag,галіна
155,Zweig::N,craobh,галіна
156,Blatt::N,duille,ліст
157,Blatt::N,duilleog,ліст
158,Birke::N,beith,бяроза
159,Birke::N,crann beithe,бяроза
160,Kiefer[Baum]::N,péine,хвоя
161,Kiefer[Baum]::N,péine,сасна
162,Weide[Baum]::N,saileach,вярба
163,Tanne::N,giúis,яліна
164,Horn::N,adharc,рог
165,Feder::N,cleite,пяро
166,Fell::N,clúmh,шкура
167,Flügel::N,eite,крыло
168,Flügel::N,sciathán,крыло
169,Klaue::N,crúb,кіпцюр
170,Klaue::N,crobh,кіпцюр
171,Kralle::N,crobh,лапа
172,Schwanz::N,eireaball,хвост
173,Ei::N,ubh,яйка
174,Nest::N,nead,гняздо
175,Bau::N,brocais,нара
176,Tier::N,ainmhí,жывёла
177,Tier::N,beithíoch,жывёла
178,Herde::N,tréad,статак
179,Kuh::N,bó,карова
180,Bulle::N,tarbh,бык
181,Pferd::N,each,конь
182,Pferd::N,capall,конь
183,Schaf::N,caora,авечка
184,Schwein::N,muc,свіння
185,Hund::N,madra,сабака
186,Katze::N,cat,кошка
187,Bär::N,béar,мядзведзь
188,Eichhörnchen::N,iora,вавёрка
189,Elch::N,eilc,лось
190,Fuchs::N,sionnach,ліса
191,Fuchs::N,madra rua,ліса
192,Hase::N,giorria,заяц
193,Maus::N,luch,мыш
194,Wolf::N,mac tíre,воўк
195,Vogel::N,éan,птах
196,Vogel::N,éan,птушка
197,Schwarm::N,saithe,чарада
198,Huhn::N,cearc,курыца
199,Hahn::N,coileach,певень
