,Concept_ID,be,uz
0,Auge::N,вока,ko'z
1,Ohr::N,вуха,quloq
2,Nase::N,нос,burun
3,Mund::N,рот,og'iz
4,Zahn::N,зуб,tish
5,Zunge::N,язык,til
6,Lippe::N,губа,dudoq
7,Wange::N,шчака,bet
8,Gesicht::N,твар,yuz
9,Stirn::N,лоб,manglay
10,Haar::N,волас,soch
11,Haar::N,валасы,soch
12,Schnurrbart::N,вус,mo'ylov
13,Schnurrbart::N,вусы,mo'ylov
14,Bart::N,барада,soqol
15,Kinn::N,падбародак,ängak
16,Kiefer[Anatomie]::N,сківіца,iyak
17,Kehle::N,горла,bo'g'iz
18,Hals::N,шыя,bo'yin
19,Genick::N,патыліца,gardan
20,Kopf::N,галава,bosh
21,Rücken::N,спіна,orqa
22,Bauch::N,жывот,qorin
23,Nabel::N,пупок,kindik
24,Busen::N,грудзі,ämchak
25,Brust::N,грудзі,ko'krak
26,Schulter::N,плячо,elka
27,Arm::N,рука,bilak
28,Ellenbogen::N,локаць,tirsak
29,Hand::N,кісць,qo'l
30,Handfläche::N,далонь,kaft
31,Finger::N,палец,barmoq
32,Fingernagel::N,ногаць,tirnoq
33,Nagel[Anatomie]::N,ногаць,tirnoq
34,Zeh::N,палец,oyoq barmog'i
35,Fuß::N,нага,oyoq
36,Ferse::N,пята,tovon
37,Ferse::N,пятка,tovon
38,Knie::N,калена,tiz
39,Oberschenkel::N,бядро,son
40,Oberschenkel::N,сцягно,son
41,Bein::N,нага,oyoq
42,Körper::N,цела,badna
43,Haut::N,скура,teri
44,Blut::N,кроў,qon
45,Ader::N,вена,qon tomir
46,Ader::N,сасуд,qon tomir
47,Sehne::N,жыла,tomir
48,Sehne::N,цеціва,tomir
49,Sehne::N,сухажылле,tomir
50,Knochen::N,косць,suyak
51,Gehirn::N,мозг,miya
52,Herz::N,сэрца,qalb
53,Magen::N,страўнік,oshqozon
54,Leber::N,печань,bag'ir
55,Atem::N,дыханне,dam
56,Hunger::N,голад,ochlik
57,Träne::N,сляза,yosh
58,Geschmack::N,смак,tam
59,Geruch::N,пах,jid
60,Schlaf::N,сон,uyqu
61,Traum::N,сон,tush
62,Himmel::N,неба,osmon
63,Sonne::N,сонца,quyosh
64,Mond::N,месяц,oy
65,Stern::N,зорка,yulduz
66,Luft::N,паветра,havo
67,Wind::N,вецер,el
68,Welle::N,хваля,to'lqin
69,Wasser::N,вада,suv
70,Stein::N,камень,tosh
71,Boden::N,глеба,tuproq
72,Erde::N,зямля,er
73,Staub::N,пыл,chang
74,Rauch::N,дым,tutun
75,Funke::N,іскра,yalt
76,Feuer::N,агонь,o't
77,Licht::N,святло,yorug'
78,Schatten::N,цень,soya
79,Wetter::N,пагода,havo
80,Wetter::N,надворʼе,havo
81,Nebel::N,туман,tuman
82,Wolke::N,воблака,bulut
83,Regen::N,дождж,yomg'ir
84,Schnee::N,снег,qor
85,Eis::N,лёд,muz
86,Frost::N,мароз,ajoz
87,Kälte::N,холад,ajoz
88,Hitze::N,спёка,issiq
89,Raureif::N,іней,qirov
90,Regenbogen::N,вясёлка,kamalak
91,Donner::N,гром,guldur
92,Strömung::N,цячэнне,oqim
93,Tropfen::N,кропля,tomchi
94,Schaum::N,пена,ko'pik
95,Schmutz::N,гразь,gard
96,See::N,возера,ko'l
97,Sumpf::N,багна,botqoq
98,Moor::N,балота,qir-adir
99,Wiese::N,луг,o'tzor
100,Wald::N,лес,o'rmon
101,Hügel::N,узгорак,tepa
102,Anhöhe::N,узвышша,adir
103,Berg::N,гара,tog'
104,Gipfel::N,вяршыня,cho'qqi
105,Höhle::N,пячора,kavak
106,Abhang::N,схіл,to'sh
107,Quelle::N,крыніца,buloq
108,Bach::N,ручай,o'zan
109,Fluss::N,рака,daryo
110,Ufer::N,бераг,sohil
111,Küste::N,узбярэжжа,qirg'oq
112,Festland::N,суша,materik
113,Meer::N,мора,dengiz
114,Bucht::N,бухта,qo'ltiq
115,Insel::N,востраў,orol
116,Blume::N,кветка,gul
117,Gras::N,трава,sabza
118,Wurzel::N,корань,tub
119,Wurzel::N,корань,tomir
120,Baum::N,дрэва,daraxt
121,Stamm::N,ствол,o'simta
122,Rinde::N,кара,qobiq
123,Ast::N,сук,shox
124,Zweig::N,галіна,butoq
125,Blatt::N,ліст,barg
126,Birke::N,бяроза,qayin
127,Kiefer[Baum]::N,хвоя,qarag'ay
128,Kiefer[Baum]::N,сасна,qarag'ay
129,Weide[Baum]::N,вярба,shum
130,Tanne::N,яліна,archa
131,Horn::N,рог,mugiz
132,Feder::N,пяро,par
133,Fell::N,шкура,mo'yna
134,Flügel::N,крыло,qanot
135,Klaue::N,кіпцюр,tirnoq
136,Kralle::N,лапа,tirnoq
137,Schwanz::N,хвост,quyruq
138,Ei::N,яйка,tuxum
139,Nest::N,гняздо,oshyon
140,Bau::N,нара,o'pqon
141,Tier::N,жывёла,hayvon
142,Herde::N,статак,gala
143,Kuh::N,карова,inak
144,Bulle::N,бык,ho'kiz
145,Pferd::N,конь,ot
146,Schaf::N,авечка,qo'y
147,Schwein::N,свіння,cho'chqa
148,Hund::N,сабака,it
149,Katze::N,кошка,mushuk
150,Bär::N,мядзведзь,ayiq
151,Eichhörnchen::N,вавёрка,tiyin
152,Elch::N,лось,los
153,Fuchs::N,ліса,tulki
154,Hase::N,заяц,kuyon
155,Maus::N,мыш,sichqon
156,Wolf::N,воўк,bo'ri
157,Vogel::N,птах,qush
158,Vogel::N,птушка,qush
159,Schwarm::N,чарада,to'da
160,Huhn::N,курыца,tovuq
161,Hahn::N,певень,xo'roz
162,Gans::N,гусь,g'oz
163,Adler::N,арол,burgut
164,Ente::N,качка,o'rdak
165,Eule::N,сава,boyo'g'li
166,Kranich::N,жораў,turna
167,Kranich::N,журавель,turna
168,Krähe::N,варона,qarg'a
169,Kuckuck::N,зязюля,kakku
170,Schwan::N,лебедзь,oqkush
171,Fisch::N,рыба,baliq
172,Barsch::N,акунь,olabug'a
173,Hecht::N,шчупак,cho'rtan
174,Schlange[Tier]::N,змяя,ilon
175,Wurm::N,чарвяк,qurt
176,Spinne::N,павук,o'rgimchak
177,Ameise::N,мурашка,chumoli
178,Laus::N,вош,bit
179,Mücke::N,камар,chivin
180,Fliege::N,муха,pashsha
181,Schmetterling::N,матыль,kapalak
182,Beere::N,ягада,meva
183,Apfel::N,яблык,olma
184,Pilz::N,грыб,qo'ziqorin
185,Zwiebel::N,цыбуля,piyoz
186,Saat::N,семя,äkin
187,Korn::N,зерне,zarra
188,Heu::N,сена,xashak
189,Schale::N,шалупінне,po'choq
190,Grube::N,яма,co'ra
191,Falle::N,пастка,qopqon
192,Schlinge::N,сіло,sirtmoq
193,Spur::N,след,iz
194,Asche::N,попел,kul
195,Dreck::N,бруд,kir
196,Eisen::N,жалеза,temir
197,Gold::N,золата,tilla
198,Silber::N,сребра,kumush
199,Kohle::N,вугаль,ko'mir
200,Glas::N,шкло,oyna
201,Lehm::N,гліна,loy
202,Sand::N,пясок,qum
203,Mensch::N,чалавек,odam
204,Mann::N,мужчына,ärkak
205,Frau::N,жанчына,ayol
206,Kind::N,дзіця,bola
207,Kind::N,дзіця,kichkintoy
208,Junge::N,хлопчык,bola
209,Mädchen::N,дзяўчынка,qiz
210,Familie::N,сямʼя,oila
211,Großvater::N,дзядуля,buva
212,Großvater::N,дзядуля,katta ota
213,Großmutter::N,бабуля,buvi
214,Großmutter::N,бабуля,katta oyi
215,Eltern::N,бацькі,ota-ona
216,Vater::N,бацька,ota
217,Mutter::N,маці,ona
218,Sohn::N,сын,o'g'il
