,Concept_ID,kn,mhr
0,Auge::N,ಕಣ್ಣು,шинча́
1,Ohr::N,ಕಿವಿ,пы́лыш
2,Nase::N,ಮೂಗು,нер
3,Mund::N,ಬಾಯಿ,умша́
4,Zahn::N,ಹಲ್ಲು,пӱй
5,Zunge::N,ನಾಲಿಗೆ,йы́лме
6,Lippe::N,ತುಟಿ,тӱ́рвӧ
7,Wange::N,ಗಲ್ಲ,шӱ́ргӧ
8,Gesicht::N,ಮುಖ,чури́й
9,Stirn::N,ಹಣೆ,саҥга́
10,Haar::N,ಕೂದಲು,ӱп
11,Schnurrbart::N,ಮೀಸೆ,ӧ́рыш
12,Bart::N,ಗಡ್ಡ,понда́ш
13,Kinn::N,ಗದ್ದ,оҥыла́ш
14,Kiefer[Anatomie]::N,ದವಡೆ,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,ದವಡೆ,пӱйората́
16,Kehle::N,ಗಂಟಲು,лога́р
17,Hals::N,ಕೊರಳು,шӱй
18,Genick::N,ಹಿಂಗತ್ತು,шӱйло́дыш
19,Kopf::N,ತಲೆ,вуй
20,Rücken::N,ಬೆನ್ನು,туп
21,Bauch::N,ಹೊಟ್ಟೆ,мӱ́шкыр
22,Nabel::N,ಹೊಕ್ಕುಳು,кы́лымде
23,Busen::N,ಸ್ತನ,чы́зе
24,Brust::N,ಎದೆ,оҥ
25,Schulter::N,ಭುಜ,ва́че
26,Arm::N,ತೋಳು,кид
27,Ellenbogen::N,ಮೊಣಕೈ,кынерву́й
28,Hand::N,ಕೈ,кид
29,Hand::N,ಕೈ,копа́
30,Handfläche::N,ಅಂಗೈ,со́во
31,Finger::N,ಕೈಬೆರಳು,парня́
32,Fingernagel::N,ಉಗುರು,кидкӱ́ч
33,Fingernagel::N,ಉಗುರು,парнягӱ́ч
34,Nagel[Anatomie]::N,ಉಗುರು,кӱч
35,Zeh::N,ಕಾಲ್ಬೆರಳು,йолварня́
36,Fuß::N,ಪಾದ,йол
37,Fuß::N,ಪಾದ,йолкопа́
38,Ferse::N,ಹಿಮ್ಮಡಿ,тага́н
39,Knie::N,ಮಂಡಿ,пулву́й
40,Oberschenkel::N,ತೊಡೆ,э́рде
41,Bein::N,ಕಾಲು,йол
42,Körper::N,ದೇಹ,кап
43,Haut::N,ಚರ್ಮ,кова́ште
44,Blut::N,ರಕ್ತ,вӱр
45,Ader::N,ನರ,шӧн
46,Sehne::N,ನರ,шӧн
47,Sehne::N,ನರ,кӱсе́н
48,Knochen::N,ಮೂಳೆ,лу
49,Gehirn::N,ಮಿದುಳು,вем
50,Gehirn::N,ಮಿದುಳು,вуйве́м
51,Herz::N,ಹೃದಯ,шӱм
52,Magen::N,ಉದರ,пага́р
53,Leber::N,ಯಕೃತ್ತು,мокш
54,Atem::N,ಉಸಿರು,шӱ́лыш
55,Hunger::N,ಹಸಿವು,шужыма́ш
56,Träne::N,ಕಣ್ಣೀರು,шинчавӱ́д
57,Geschmack::N,ರುಚಿ,там
58,Geruch::N,ವಾಸನೆ,пуш
59,Schlaf::N,ನಿದ್ರೆ,о́мо
60,Traum::N,ಕನಸು,йӱдо́мо
61,Himmel::N,ಬಾನು,кава́
62,Sonne::N,ಸೂರ್ಯ,ке́че
63,Mond::N,ಚಂದ್ರ,ты́лзе
64,Stern::N,ಚುಕ್ಕಿ,шӱ́дыр
65,Luft::N,ವಾಯು,юж
66,Wind::N,ಗಾಳಿ,марде́ж
67,Welle::N,ಅಲೆ,то́лкын
68,Wasser::N,ನೀರು,вӱд
69,Stein::N,ಕಲ್ಲು,кӱ
70,Boden::N,ನೆಲ,рок
71,Erde::N,ಭೂಮಿ,мла́нде
72,Staub::N,ದೂಳು,пура́к
73,Rauch::N,ಹೊಗೆ,шикш
74,Funke::N,ಕಿಡಿ,сеске́м
75,Funke::N,ಕಿಡಿ,тулйы́п
76,Feuer::N,ಬೆಂಕಿ,тул
77,Licht::N,ಬೆಳಕು,со́то
78,Schatten::N,ನೆರಳು,ӱ́мыл
79,Wetter::N,ಹವ,иге́че
80,Nebel::N,ಮಂಜು,тӱтыра́
81,Wolke::N,ಮೋಡ,пыл
82,Regen::N,ಮಳೆ,йӱр
83,Schnee::N,ಹಿಮ,лум
84,Eis::N,ಮಂಜುಗಡ್ಡೆ,ий
85,Frost::N,ಮಂಜು,чатлама́
86,Kälte::N,ಹಿಮ,йӱ́штӧ
87,Hitze::N,ಉಷ್ಣ,шо́кшо
88,Raureif::N,ಇಬ್ಬನಿ,пӧрш
89,Raureif::N,ಇಬ್ಬನಿ,по́кшым
90,Regenbogen::N,ಇಂದ್ರಚಾಪ,шонанпы́л
91,Donner::N,ಗುಡುಗು,кӱ́дырчӧ
