,Concept_ID,mhr,lez
163,Schwein::N,сӧсна́,вак
164,Hund::N,пий,кицӏ
165,Katze::N,пы́рыс,кац
166,Bär::N,маска́,сев
167,Eichhörnchen::N,ур,белка
168,Elch::N,шо́рдо,лось
169,Fuchs::N,ры́выж,сикӏ
170,Hase::N,мера́ҥ,къуьр
171,Maus::N,коля́,кьиф
172,Wolf::N,пи́ре,жанавур
173,Vogel::N,ка́йык,луван ничхир
174,Schwarm::N,каша́к,луж
175,Huhn::N,чы́ве,верч
176,Hahn::N,агыта́н,кӏек
177,Gans::N,ко́мбо,къаз
178,Adler::N,карагу́ш,лекь
179,Ente::N,лу́до,пӏатӏ
180,Eule::N,тумна́,тӏиб
181,Kranich::N,турня́,дурна
182,Krähe::N,кора́к,къаргъа
183,Kuckuck::N,куку́,кукупӏ
184,Schwan::N,йӱ́ксӧ,къугь
185,Fisch::N,кол,гъед
186,Barsch::N,ола́ҥге,окунь
187,Hecht::N,нуж,щука
188,Hecht::N,чорта́н,щука
189,Schlange[Tier]::N,ки́шке,илан
190,Schlange[Tier]::N,ки́шке,гъуьлягъ
191,Wurm::N,шукш,квак
192,Spinne::N,эҥыре́мыш,хуьшрекан
193,Ameise::N,ку́тко,цегв
194,Laus::N,тий,нет
195,Mücke::N,шыҥа́,ветӏ
196,Fliege::N,ка́рме,тӏветӏ
197,Schmetterling::N,лы́ве,чепелукь
198,Beere::N,мӧр,куьлуь емиш
199,Apfel::N,олма́,ич
200,Pilz::N,по́ҥго,къарникъуз
201,Zwiebel::N,шога́н,чичӏек
202,Saat::N,нӧ́шмӧ,тумар
203,Saat::N,туш,тумар
204,Korn::N,шу́рно,твар
205,Heu::N,шу́до,векь
206,Heu::N,шу́до,векьер
207,Schale::N,шӱм,пириш
208,Schale::N,шӱм,хъуьруьш
209,Grube::N,выне́м,фур
210,Falle::N,лӧ́дӧ,ракьар
211,Schlinge::N,о́птыш,гьалкъа
212,Schlinge::N,шӧрга́лтыш,гьалкъа
213,Spur::N,кыша́,гел
214,Asche::N,ло́мыж,руьхъ
215,Dreck::N,лавыра́,чирк
216,Dreck::N,лавыра́,кьуруш
217,Eisen::N,кӱ́ртньӧ,ракь
218,Gold::N,шӧ́ртньӧ,алтун
219,Silber::N,ший,гимиш
220,Kohle::N,мландышӱ́й,цӏивин
221,Glas::N,янда́,шуьше
222,Lehm::N,шун,ччеб
223,Sand::N,ошма́,къум
224,Mensch::N,еҥ,инсан
225,Mensch::N,айде́ме,инсан
226,Mann::N,пӧръе́ҥ,итим
227,Frau::N,ӱдырама́ш,паб
228,Frau::N,ӱдырама́ш,дишегьли
229,Kind::N,аза́,аял
230,Junge::N,рве́зе,гада
231,Mädchen::N,ӱдыра́ш,руш
232,Familie::N,еш,хзан
233,Familie::N,еш,килфет
234,Großvater::N,коча́,чӏехи буба
235,Großmutter::N,кова́,чӏехи диде
236,Eltern::N,ача́-ава́,диде-буба
237,Vater::N,ача́,буба
238,Mutter::N,ава́,диде
239,Sohn::N,э́рге,хва
240,Tochter::N,ӱ́дыр,руш
241,Bruder::N,иза́,стха
242,Bruder::N,шо́льо,стха
243,Schwester::N,ака́,вах
244,Onkel::N,иза́,ими
245,Onkel::N,иза́,халу
246,Tante::N,кока́,эме
247,Tante::N,кока́,хала
248,Ehemann::N,мари́й,гъуьл
249,Ehefrau::N,ва́те,паб
250,Freude::N,куа́н,шадвал
251,Freude::N,куаныма́ш,шадвал
252,Gelächter::N,во́штылтыш,хъвер
253,Glück::N,пиа́л,бахт
254,Kummer::N,о́йго,дерт
255,Kummer::N,о́йго,хажалат
256,Wunsch::N,ку́мыл,мурад
257,Lust::N,ку́мыл,гьевес
258,Geist::N,ӧрт,руьгь
259,Geist::N,чон,руьгь
260,Gedanke::N,ой,фикир
261,Gedanke::N,шоныма́ш,фикир
262,Gedächtnis::N,шарныма́ш,
263,Verstand::N,уш,акьул
264,Sinn::N,смысл,мана
265,Grund::N,ама́л,себеб
266,Wahrheit::N,чын,керчек
267,Wahrheit::N,чын,гьакъикъат
268,Gespräch::N,мутланыма́ш,ихтилат
269,Märchen::N,йома́к,мах
270,Erzählung::N,ойлыма́ш,кьиса
271,Nachricht::N,увертарыма́ш,хабар
272,Neuigkeit::N,уве́р,цӏийи хабар
273,Name::N,лӱм,тӏвар
