,Concept_ID,pt,kk
0,Auge::N,olho,көз
1,Ohr::N,orelha,құлақ
2,Nase::N,nariz,мұрын
3,Mund::N,boca,ауыз
4,Zahn::N,dente,тіс
5,Zunge::N,língua,тіл
6,Lippe::N,lábio,ерін
7,Wange::N,face,ұрт
8,Gesicht::N,cara,бет-аузы
9,Gesicht::N,rosto,бет-аузы
10,Stirn::N,testa,маңдай
11,Haar::N,cabelo,қыл
12,Schnurrbart::N,bigode,мұрт
13,Bart::N,barba,сақал
14,Kinn::N,queixo,иек
15,Kiefer[Anatomie]::N,maxila,жақ
16,Kiefer[Anatomie]::N,mandíbula,жақ
17,Kehle::N,garganta,алқым
18,Hals::N,colo,мойын
19,Hals::N,pescoço,мойын
20,Genick::N,nuca,желке
21,Kopf::N,cabeça,кәллә
22,Rücken::N,dorso,арқа
23,Rücken::N,costas,арқа
24,Bauch::N,ventre,қарын
25,Bauch::N,barriga,қарын
26,Nabel::N,umbigo,кіндік
27,Busen::N,seio,омырау
28,Brust::N,peito,кеуде
29,Schulter::N,ombro,иық
30,Arm::N,braço,қол
31,Ellenbogen::N,cotovelo,шынтақ
32,Hand::N,mão,қол
33,Handfläche::N,palma,алақан
34,Handfläche::N,palma da mão,алақан
35,Finger::N,dedo,саусақ
36,Fingernagel::N,unha,тырнақ
37,Nagel[Anatomie]::N,unha,тырнақ
38,Zeh::N,dedo do pé,тырнақ
39,Zeh::N,dedo do pé,тұяқ
40,Fuß::N,pé,аяқ-басы
41,Ferse::N,calcanhar,өкше
42,Ferse::N,calcanhar,өкшелік
43,Knie::N,joelho,тізе
44,Oberschenkel::N,coxa,жамбас
45,Bein::N,perna,аяқ
46,Körper::N,corpo,дене
47,Haut::N,pele,тері
48,Blut::N,sangue,қан
49,Ader::N,veia,көктамыр
50,Ader::N,veia,күретамыр
51,Sehne::N,tendão,сіңір
52,Knochen::N,osso,жілік
53,Gehirn::N,cérebro,ми
54,Herz::N,coração,жүрек
55,Magen::N,estômago,асқазан
56,Leber::N,fígado,бауыр
57,Atem::N,fôlego,леп
58,Hunger::N,fome,ашаршылық
59,Träne::N,lágrima,жас
60,Geschmack::N,gosto,дәм
61,Geschmack::N,gosto,татым
62,Geschmack::N,gosto,талғам
63,Geruch::N,odor,иіс
64,Geruch::N,cheiro,иіс
65,Schlaf::N,sono,ұйқы
66,Schlaf::N,sono,ұйықтау
67,Traum::N,sonho,түс
68,Himmel::N,céu,аспан
69,Himmel::N,céu,көқ
70,Himmel::N,céu,таңдай
71,Sonne::N,sol,күн
72,Mond::N,lua,ай
73,Stern::N,estrela,жұлдыз
74,Luft::N,ar,әуе
75,Wind::N,vento,жел
76,Welle::N,onda,толқын
77,Wasser::N,água,су
78,Stein::N,pedra,тас
79,Boden::N,solo,қыртыс
80,Erde::N,terra,топырақ
81,Staub::N,pó,шаң
82,Rauch::N,fumo,түтін
83,Funke::N,faísca,ұшқын
84,Funke::N,centelha,ұшқын
85,Feuer::N,fogo,алау
86,Licht::N,luz,шұғыла
87,Schatten::N,sombra,көлеңке
88,Wetter::N,tempo,ауа райы
89,Nebel::N,nevoeiro,тұман
90,Wolke::N,nuvem,бұлт
91,Regen::N,chuva,жаңбыр
92,Schnee::N,neve,қар
93,Eis::N,gelo,мұз
94,Frost::N,gelo,суық
95,Frost::N,geada,суық
96,Kälte::N,frio,ызғар
97,Kälte::N,frio,суықтық
98,Hitze::N,ardor,аптап
99,Raureif::N,geada,қырау
100,Regenbogen::N,arco-iris,кемпірқосақ
101,Donner::N,trovão,күн күркіреу
102,Strömung::N,corrente,ағын
103,Tropfen::N,gota,тамшы
104,Schaum::N,espuma,көбік
105,Schmutz::N,sujidade,кір
106,Schmutz::N,imundície,кір
107,See::N,lago,көл
108,Sumpf::N,charco,саз
109,Sumpf::N,pântano,саз
110,Moor::N,pântano,саз
111,Wiese::N,prado,шалғын
112,Wald::N,bosque,орман
113,Wald::N,floresta,орман
114,Hügel::N,colina,төбе
115,Hügel::N,colina,белес
116,Hügel::N,colina,белес-белес
117,Anhöhe::N,alto,дөң
118,Anhöhe::N,alto,адыр
119,Anhöhe::N,alto,қырат
120,Anhöhe::N,outeiro,дөң
121,Anhöhe::N,outeiro,адыр
122,Anhöhe::N,outeiro,қырат
123,Berg::N,monte,тау
124,Berg::N,montanha,тау
125,Gipfel::N,pico,төбе
126,Höhle::N,caverna,үңгір
127,Abhang::N,encosta,бауыр
128,Quelle::N,fonte,қайнар
129,Bach::N,regato,жылға
130,Bach::N,ribeiro,жылға
131,Fluss::N,rio,өзен
132,Ufer::N,beira,жиек
133,Küste::N,costa,жиегі
134,Küste::N,costa,жағалау
135,Festland::N,terra firme,құрылық
136,Meer::N,mar,теңіз
137,Bucht::N,baía,шығанақ
138,Insel::N,ilha,арал
139,Blume::N,flor,гүл
140,Gras::N,erva,от
141,Wurzel::N,raiz,түбір
142,Baum::N,árvore,ағаш
143,Baum::N,árvore,дарақ
144,Stamm::N,tronco,сояу
145,Stamm::N,tronco,оқпан
146,Rinde::N,casca,қабық
147,Ast::N,ramo,бұтақ
148,Zweig::N,galho,шыбық
149,Blatt::N,folha,жапырақ
150,Birke::N,bétula,қайың
151,Kiefer[Baum]::N,pinheiro,қарағай
152,Weide[Baum]::N,salgueiro,тал
153,Tanne::N,abeto,шырша
154,Horn::N,corno,мүйіз
155,Horn::N,chifre,мүйіз
156,Feder::N,pena,қаламұш
157,Fell::N,pele,тері
158,Flügel::N,asa,қанат
159,Klaue::N,pata,тырнақ
160,Kralle::N,unha,аяқ
161,Kralle::N,garra,аяқ
162,Schwanz::N,rabo,құйрық
163,Schwanz::N,cauda,құйрық
164,Ei::N,ovo,жұмыртқа
165,Nest::N,ninho,ұя
166,Bau::N,toca,жатақ
167,Bau::N,covil,жатақ
168,Tier::N,animal,айуан
169,Tier::N,animal,жануар
170,Herde::N,rebanho,пада
171,Kuh::N,vaca,сиыр
172,Bulle::N,touro,өгіз
173,Pferd::N,cavalo,жылқы
174,Schaf::N,ovelha,қой
175,Schwein::N,porco,шошқа
176,Hund::N,cão,ит
177,Katze::N,gata,мысық
178,Bär::N,urso,аю
179,Eichhörnchen::N,esquilo,тиін
180,Elch::N,alce,бұғы
181,Fuchs::N,raposa,түлкі
182,Hase::N,lebre,қоян
183,Maus::N,rato,қаптесер
184,Wolf::N,lobo,бөрі
185,Wolf::N,lobo,қасқыр
186,Vogel::N,ave,құс
187,Vogel::N,pássaro,құс
188,Schwarm::N,bando,топ
189,Schwarm::N,bando,үйір
190,Schwarm::N,enxame,топ
191,Schwarm::N,enxame,үйір
192,Huhn::N,galinha,тауық
193,Huhn::N,galinha,мекиен
194,Hahn::N,galo,әтеш
195,Hahn::N,galo,қораз
196,Gans::N,ganso,қаз
197,Adler::N,águia,бүркіт
198,Ente::N,pata,үйрек
199,Eule::N,mocho,жапалақ
200,Eule::N,coruja,жапалақ
201,Kranich::N,grou,тырна
202,Krähe::N,gralha,қарға
203,Kuckuck::N,cuco,көкек
204,Schwan::N,cisne,аққу
205,Fisch::N,peixe,балық
206,Barsch::N,perca,алабұға
207,Hecht::N,lúcio,шортан
208,Schlange[Tier]::N,serpente,жылан
209,Wurm::N,verme,шұбалшаң
210,Spinne::N,aranha,өрмекші
211,Ameise::N,formiga,қүмырска
212,Laus::N,piolho,бит
213,Mücke::N,mosquito,маса
214,Fliege::N,mosca,шыбын
215,Schmetterling::N,borboleta,көбелек
216,Beere::N,bago,жидек
217,Apfel::N,maçã,алма
218,Pilz::N,fungo,қозықұйрық
219,Pilz::N,fungo,саңыраукулақ
220,Pilz::N,cogumelo,қозықұйрық
221,Pilz::N,cogumelo,саңыраукулақ
222,Zwiebel::N,cebola,жуа
223,Saat::N,sementeira,тұқым
224,Korn::N,grão,дән
225,Heu::N,feno,шөп
226,Schale::N,casca,қабық
227,Schale::N,casca,қабығы
228,Grube::N,cova,ор
229,Grube::N,fossa,ор
230,Falle::N,armadilha,дұзақ
231,Falle::N,armadilha,қақпан
232,Schlinge::N,laço,ілмек
233,Spur::N,pista,із
234,Spur::N,vestígio,із
235,Asche::N,cinza,күл
236,Dreck::N,sujidade,былғаныш
237,Eisen::N,ferro,темір
238,Gold::N,ouro,алтын
239,Silber::N,prata,күміс
240,Kohle::N,carvão,көмір
241,Glas::N,vidro,шыны
242,Lehm::N,barro,балшық
243,Lehm::N,argila,балшық
244,Sand::N,areia,құм
245,Mensch::N,homem,адам
246,Mensch::N,pessoa,адам
247,Mann::N,homem,еркек
248,Mann::N,homem,ер адам
249,Frau::N,mulher,бике
250,Frau::N,mulher,қатын
251,Kind::N,filho,бала
252,Kind::N,filho,перзент
253,Kind::N,criança,бала
254,Kind::N,criança,перзент
255,Junge::N,rapaz,бала
256,Junge::N,rapaz,ер бала
257,Junge::N,menino,бала
258,Junge::N,menino,ер бала
259,Mädchen::N,menina,қыз
260,Mädchen::N,rapariga,қыз
261,Familie::N,família,жанұя
262,Großvater::N,avô,ата
263,Großmutter::N,avó,әже
264,Großmutter::N,avó,әжей
265,Eltern::N,pais,ата-аналар
266,Vater::N,pai,әке
267,Mutter::N,mãe,ана
268,Sohn::N,filho,ұл
269,Tochter::N,filha,қызым
270,Bruder::N,irmão,бауырым
271,Schwester::N,irmã,әпке
272,Onkel::N,tio,көке
273,Tante::N,tia,тәте
274,Ehemann::N,esposo,ер
275,Ehefrau::N,esposa,зайып
276,Freude::N,prazer,қуаныш
277,Freude::N,prazer,сүйініш
278,Freude::N,prazer,шат-думан
279,Freude::N,prazer,қуаныштылық
280,Freude::N,alegria,қуаныш
281,Freude::N,alegria,сүйініш
282,Freude::N,alegria,шат-думан
283,Freude::N,alegria,қуаныштылық
284,Gelächter::N,risada,күлу
