,Concept_ID,ar,be
0,Auge::N,عين,вока
1,Ohr::N,أذن,вуха
2,Nase::N,أنف,нос
3,Mund::N,فم,рот
4,Zahn::N,سن,зуб
5,Zunge::N,لسان,язык
6,Lippe::N,شفة,губа
7,Wange::N,خد,шчака
8,Wange::N,وجنة,шчака
9,Gesicht::N,وجه,твар
10,Stirn::N,جبين,лоб
11,Haar::N,شعر,волас
12,Haar::N,شعر,валасы
13,Schnurrbart::N,شارب,вус
14,Schnurrbart::N,شارب,вусы
15,Bart::N,لحية,барада
16,Kinn::N,ذقن,падбародак
17,Kiefer[Anatomie]::N,فك,сківіца
18,Kehle::N,حلق,горла
19,Hals::N,عنق,шыя
20,Hals::N,رقبة,шыя
21,Genick::N,قفا,патыліца
22,Kopf::N,رأس,галава
23,Rücken::N,ظهر,спіна
24,Bauch::N,بطن,жывот
25,Nabel::N,سرة,пупок
26,Busen::N,ثدي,грудзі
27,Brust::N,صدر,грудзі
28,Schulter::N,كتف,плячо
29,Arm::N,ذراع,рука
30,Ellenbogen::N,كوع,локаць
31,Hand::N,يد,кісць
32,Handfläche::N,كف,далонь
33,Finger::N,إصبع,палец
34,Fingernagel::N,ظفر,ногаць
35,Nagel[Anatomie]::N,ظفر,ногаць
36,Zeh::N,إصبع القدم,палец
37,Fuß::N,قدم,нага
38,Ferse::N,كعب,пята
39,Ferse::N,كعب,пятка
40,Knie::N,ركبة,калена
41,Oberschenkel::N,فخذ,бядро
42,Oberschenkel::N,فخذ,сцягно
43,Bein::N,ساق,нага
44,Körper::N,جسم,цела
45,Haut::N,بشرة,скура
46,Blut::N,دم,кроў
47,Ader::N,عرق,вена
48,Ader::N,عرق,сасуд
49,Sehne::N,طنب,жыла
50,Sehne::N,طنب,цеціва
51,Sehne::N,طنب,сухажылле
52,Knochen::N,عظم,косць
53,Gehirn::N,دماغ,мозг
54,Herz::N,قلب,сэрца
55,Magen::N,معدة,страўнік
56,Leber::N,كبد,печань
57,Atem::N,نفس,дыханне
58,Hunger::N,جوع,голад
59,Träne::N,دمعة,сляза
60,Geschmack::N,طعم,смак
61,Geschmack::N,مذاق,смак
62,Geruch::N,رائحة,пах
63,Schlaf::N,نوم,сон
64,Schlaf::N,منام,сон
65,Traum::N,حلم,сон
66,Himmel::N,سماء,неба
67,Sonne::N,شمس,сонца
68,Mond::N,قمر,месяц
69,Stern::N,نجم,зорка
70,Stern::N,كوكب,зорка
71,Luft::N,هواء,паветра
72,Wind::N,ريح,вецер
73,Welle::N,موجة,хваля
74,Wasser::N,ماء,вада
75,Stein::N,حجر,камень
76,Boden::N,تراب,глеба
77,Erde::N,أرض,зямля
78,Staub::N,غبار,пыл
79,Rauch::N,دخان,дым
80,Funke::N,شرارة,іскра
81,Feuer::N,نار,агонь
82,Licht::N,نور,святло
83,Licht::N,ضوء,святло
84,Schatten::N,ظل,цень
85,Schatten::N,فيء,цень
86,Wetter::N,جو,пагода
87,Wetter::N,جو,надворʼе
88,Wetter::N,طقس,пагода
89,Wetter::N,طقس,надворʼе
90,Nebel::N,ضباب,туман
91,Wolke::N,غيمة,воблака
92,Wolke::N,سحابة,воблака
93,Regen::N,مطر,дождж
94,Schnee::N,ثلج,снег
95,Eis::N,جليد,лёд
96,Frost::N,صقيع,мароз
97,Kälte::N,برد,холад
98,Hitze::N,حر,спёка
99,Hitze::N,حرارة,спёка
100,Raureif::N,صقيع,іней
101,Regenbogen::N,قوس قزح,вясёлка
102,Donner::N,رعد,гром
103,Strömung::N,تيار,цячэнне
104,Tropfen::N,قطرة,кропля
105,Schaum::N,زبد,пена
106,Schaum::N,رغوة,пена
107,Schmutz::N,وسخ,гразь
108,See::N,بحيرة,возера
109,Sumpf::N,مستنقع,багна
110,Moor::N,مستنقع,балота
111,Wiese::N,مرج,луг
112,Wald::N,غابة,лес
113,Hügel::N,تل,узгорак
