,Concept_ID,ku,lbe
0,Auge::N,çav,я
1,Ohr::N,guh,вичӏи
2,Nase::N,bêvil,май
3,Mund::N,dev,кьацӏ
4,Zahn::N,didan,ккарччи
5,Zunge::N,ziman,маз
6,Lippe::N,lêv,мурччи
7,Wange::N,dêm,чӏав
8,Wange::N,hinarik,чӏав
9,Gesicht::N,rû,лажин
10,Stirn::N,enî,ненттабакӏ
11,Haar::N,por,чӏара
12,Schnurrbart::N,simbêl,ссирссилтту
13,Bart::N,rih,чӏири
14,Kinn::N,zenî,лунттубакӏ
15,Kiefer[Anatomie]::N,arguşk,ххинчулул
16,Kehle::N,qirik,кьакьари
17,Hals::N,stû,ссурссу
18,Hals::N,qirik,ссурссу
19,Genick::N,stû,махъабакӏ
20,Kopf::N,serî,бакӏ
21,Rücken::N,pişt,ттиликӏ
22,Bauch::N,ûr,лякьа
23,Bauch::N,zik,лякьа
24,Nabel::N,navik,цӏумуккутӏ
25,Busen::N,sîng,ккукку
26,Brust::N,sîng,хъазам
27,Schulter::N,mil,хъачӏ
28,Arm::N,çepil,ка
29,Ellenbogen::N,enîşk,ссюрхъ
30,Hand::N,dest,бартка
31,Handfläche::N,kefadest,хъат
32,Handfläche::N,kefadest,битӏянхъ
33,Finger::N,tilî,кӏисса
34,Fingernagel::N,neynuk,михь
35,Nagel[Anatomie]::N,bizmar,михь
36,Zeh::N,tilî linga,кӏисса
37,Fuß::N,ling,чӏанччан
38,Ferse::N,pahnî,никъа
39,Knie::N,kabok,ник
40,Oberschenkel::N,rahn,жира
41,Bein::N,çip,ччан
42,Körper::N,laş,чурх
43,Körper::N,gowde,чурх
44,Haut::N,çerm,бурчу
45,Blut::N,xwîn,оь
46,Ader::N,reh,тунну
47,Sehne::N,reh,хьхьа
48,Knochen::N,hestî,ттаркӏ
49,Gehirn::N,mêjî,ня
50,Herz::N,dil,дакӏ
51,Herz::N,dil,къюкӏ
52,Magen::N,navêş,лякьа
53,Leber::N,kezeb,
54,Atem::N,hilm,ссихӏ ласаву
55,Atem::N,hilm,ссихӏ бигьаву
56,Hunger::N,birçîtî,ккаши
57,Träne::N,hêstir,макь
58,Geschmack::N,tam,тӏин
59,Geschmack::N,tam,тӏааьн
60,Geruch::N,bêhn,кьанкь
61,Schlaf::N,xew,шану
62,Traum::N,xewn,макӏру
63,Himmel::N,ezman,ссав
64,Sonne::N,roj,баргъ
65,Mond::N,heyv,барз
66,Stern::N,stêrk,цӏуку
67,Luft::N,ba,гьава
68,Wind::N,ba,марч
69,Welle::N,şewl,щатӏи
70,Wasser::N,av,щин
71,Stein::N,kevir,чару
72,Boden::N,herd,аьрщи
73,Erde::N,ax,аьрщи
74,Staub::N,toz,ххит
75,Rauch::N,dû,пуркӏу
76,Funke::N,çirûşk,пиягь
77,Feuer::N,agir,цӏу
78,Licht::N,ronahî,чани
79,Schatten::N,sî,ххют
80,Wetter::N,hewa,гьава
81,Nebel::N,mij,шархь ттурлу
82,Wolke::N,ewr,ттурлу
83,Regen::N,baran,гъарал
84,Schnee::N,berf,марххала
85,Eis::N,qeşa,микӏ
86,Frost::N,xûsik,дяркъу
