,Concept_ID,he,eu
0,Auge::N,עין,begi
1,Ohr::N,אזן,belarri
2,Nase::N,אף,sudur
3,Nase::N,חטם,sudur
4,Mund::N,פה,aho
5,Zahn::N,שן,hortz
6,Zunge::N,לשון,mihi
7,Lippe::N,שפה,ezpain
8,Wange::N,לחי,masail
9,Gesicht::N,פנים,aurpegi
10,Stirn::N,מצח,bekoki
11,Haar::N,שערה,ile
12,Haar::N,שערה,bilo
13,Schnurrbart::N,שפם,bibote
14,Schnurrbart::N,שפם,sudurpeko
15,Bart::N,זקן,bizar
16,Kinn::N,סנטר,kokots
17,Kiefer[Anatomie]::N,לסת,masailezur
18,Kehle::N,גרון,eztarri
19,Hals::N,צואר,sama
20,Genick::N,ערף,garondo
21,Kopf::N,ראש,buru
22,Rücken::N,גב,bizkar
23,Bauch::N,בטן,sabel
24,Nabel::N,טבור,zilbor
25,Busen::N,שד,titi
26,Busen::N,שד,ugatz
27,Brust::N,חזה,bular
28,Schulter::N,כתף,besaburu
29,Arm::N,זרוע,beso
30,Ellenbogen::N,מרפק,ukondo
31,Hand::N,יד,esku
32,Handfläche::N,כף יד,ahur
33,Finger::N,אצבע,hatz
34,Fingernagel::N,צפרן,azazkal
35,Nagel[Anatomie]::N,צפרן,azazkal
36,Zeh::N,אצבע,behatz
37,Fuß::N,רגל,oin
38,Ferse::N,עקב,orpo
39,Ferse::N,עקב,oinburu
40,Knie::N,ברך,belaun
41,Oberschenkel::N,ירך,izter
42,Bein::N,רגל,zango
43,Körper::N,גוף,soin
44,Haut::N,עור,azal
45,Blut::N,דם,odol
46,Ader::N,וריד,zain
47,Sehne::N,גיד,gihar-zain
48,Knochen::N,עצם,hezur
49,Gehirn::N,מוח,garun
50,Gehirn::N,מוח,burmuin
51,Herz::N,לב,bihotz
52,Magen::N,קבה,urdail
53,Leber::N,כבד,gibel
54,Atem::N,נשימה,hats
55,Atem::N,נשימה,arnasa
56,Hunger::N,רעב,gose
57,Träne::N,דמעה,malko
58,Geschmack::N,טעם,dasta
59,Geruch::N,ריח,usain
60,Schlaf::N,שנה,lo
61,Traum::N,חלום,amets
62,Himmel::N,שמים,zeru
63,Sonne::N,שמש,eguzki
64,Mond::N,ירח,ilargi
65,Stern::N,כוכב,izar
66,Luft::N,אויר,aire
67,Wind::N,רוח,haize
68,Welle::N,גל,uhin
69,Welle::N,גל,olatu
70,Wasser::N,מים,ur
71,Stein::N,אבן,harri
72,Boden::N,קרקע,lur
