,Concept_ID,et,lbe
0,Auge::N,silm,я
1,Ohr::N,kõrv,вичӏи
2,Nase::N,nina,май
3,Mund::N,suu,кьацӏ
4,Zahn::N,hammas,ккарччи
5,Zunge::N,keel,маз
6,Lippe::N,huul,мурччи
7,Wange::N,põsk,чӏав
8,Gesicht::N,nägu,лажин
9,Stirn::N,otsmik,ненттабакӏ
10,Haar::N,juus,чӏара
11,Schnurrbart::N,vurrud,ссирссилтту
12,Schnurrbart::N,vuntsid,ссирссилтту
13,Bart::N,habe,чӏири
14,Kinn::N,lõug,лунттубакӏ
15,Kiefer[Anatomie]::N,lõualuu,ххинчулул
16,Kehle::N,kõri,кьакьари
17,Hals::N,kael,ссурссу
18,Genick::N,kukal,махъабакӏ
19,Kopf::N,pea,бакӏ
20,Rücken::N,selg,ттиликӏ
21,Bauch::N,kõht,лякьа
22,Nabel::N,naba,цӏумуккутӏ
23,Busen::N,rind,ккукку
24,Brust::N,rind,хъазам
25,Schulter::N,õlg,хъачӏ
26,Arm::N,käsivars,ка
27,Ellenbogen::N,küünarnukk,ссюрхъ
28,Hand::N,käsi,бартка
29,Handfläche::N,pihk,хъат
30,Handfläche::N,pihk,битӏянхъ
31,Finger::N,sõrm,кӏисса
32,Fingernagel::N,küüs,михь
33,Nagel[Anatomie]::N,küüs,михь
34,Zeh::N,varvas,кӏисса
35,Fuß::N,jalg,чӏанччан
36,Ferse::N,kand,никъа
37,Knie::N,põlv,ник
38,Oberschenkel::N,reis,жира
39,Bein::N,jalg,ччан
40,Körper::N,ihu,чурх
41,Körper::N,keha,чурх
42,Haut::N,nahk,бурчу
43,Blut::N,veri,оь
44,Ader::N,veen,тунну
45,Sehne::N,kõõlus,хьхьа
46,Knochen::N,luu,ттаркӏ
47,Gehirn::N,aju,ня
48,Herz::N,süda,дакӏ
49,Herz::N,süda,къюкӏ
50,Magen::N,magu,лякьа
51,Leber::N,maks,
52,Atem::N,hingeõhk,ссихӏ ласаву
53,Atem::N,hingeõhk,ссихӏ бигьаву
54,Atem::N,hingamine,ссихӏ ласаву
