,Concept_ID,tr,ru
116,Höhle::N,in,пещера
117,Höhle::N,mağara,пещера
118,Abhang::N,bayır,склон
119,Quelle::N,pınar,источник
120,Quelle::N,kaynak,источник
121,Bach::N,çay,ручей
122,Bach::N,dere,ручей
123,Fluss::N,nehir,река
124,Ufer::N,kıyı,берег
125,Ufer::N,sahil,берег
126,Küste::N,kıyı,побережье
127,Küste::N,sahil,побережье
128,Festland::N,kara,суша
129,Meer::N,deniz,море
130,Bucht::N,koy,бухта
131,Bucht::N,körfez,бухта
132,Insel::N,ada,остров
133,Blume::N,çiçek,цветок
134,Gras::N,ot,трава
135,Gras::N,çim,трава
136,Wurzel::N,kök,корень
137,Baum::N,ağaç,дерево
138,Stamm::N,gövde,ствол
139,Rinde::N,kabuk,кора
140,Ast::N,dal,сук
141,Ast::N,budak,сук
142,Zweig::N,dal,ветвь
143,Blatt::N,yaprak,лист
144,Birke::N,huş,береза
145,Kiefer[Baum]::N,çam,сосна
146,Weide[Baum]::N,söğüt,ива
147,Tanne::N,çam,ель
148,Tanne::N,köknar,ель
149,Horn::N,boynuz,рог
150,Feder::N,tüy,перо
151,Fell::N,post,шкура
152,Flügel::N,kanat,крыло
153,Klaue::N,pençe,коготь
154,Kralle::N,tırnak,лапа
155,Schwanz::N,kuyruk,хвост
156,Ei::N,yumurta,яйцо
157,Nest::N,yuva,гнездо
158,Bau::N,in,нора
159,Tier::N,hayvan,животное
160,Herde::N,sürü,стадо
161,Kuh::N,inek,корова
162,Bulle::N,boğa,бык
163,Pferd::N,at,лошадь
164,Pferd::N,beygir,лошадь
165,Schaf::N,koyun,овца
166,Schwein::N,domuz,свинья
167,Hund::N,it,собака
168,Hund::N,köpek,собака
169,Katze::N,kedi,кошка
170,Bär::N,ayı,медведь
171,Eichhörnchen::N,sincap,белка
172,Elch::N,büyük kuzey geyiği,лось
173,Fuchs::N,tilki,лиса
174,Hase::N,tavşan,заяц
175,Maus::N,fare,мышь
176,Maus::N,sıçan,мышь
177,Wolf::N,kurt,волк
178,Vogel::N,kuş,птица
179,Schwarm::N,sürü,стая
180,Huhn::N,tavuk,курица
181,Hahn::N,horoz,петух
182,Gans::N,kaz,гусь
183,Adler::N,kartal,орел
184,Adler::N,karakuş,орел
185,Ente::N,ördek,утка
186,Eule::N,baykuş,сова
187,Kranich::N,turna,журавль
188,Krähe::N,karga,ворона
189,Kuckuck::N,guguk,кукушка
190,Schwan::N,kuğu,лебедь
191,Fisch::N,balık,рыба
192,Barsch::N,hani,окунь
193,Barsch::N,levrek,окунь
194,Hecht::N,turnabalığı,щука
195,Schlange[Tier]::N,yılan,змея
196,Wurm::N,kurt,червяк
197,Wurm::N,solucan,червяк
198,Spinne::N,örümcek,паук
199,Ameise::N,karınca,муравей
200,Laus::N,bit,вошь
201,Mücke::N,sivrisinek,комар
202,Fliege::N,sinek,муха
203,Schmetterling::N,kelebek,бабочка
204,Beere::N,tane,ягода
205,Apfel::N,elma,яблоко
206,Pilz::N,mantar,гриб
207,Zwiebel::N,soğan,луковица
208,Saat::N,ekin,семя
209,Korn::N,tane,зерно
210,Heu::N,kuru ot,сено
211,Schale::N,kabuk,шелуха
212,Grube::N,çukur,яма
213,Falle::N,tuzak,ловушка
214,Schlinge::N,ilmik,силок
215,Spur::N,iz,след
216,Asche::N,kül,зола
217,Asche::N,kül,пепел
218,Dreck::N,pislik,грязь
219,Eisen::N,demir,железо
220,Gold::N,altın,золото
221,Silber::N,gümüş,серебро
222,Kohle::N,kömür,уголь
223,Glas::N,cam,стекло
224,Lehm::N,balçık,глина
225,Sand::N,kum,песок
226,Mensch::N,insan,человек
227,Mann::N,adam,мужчина
228,Mann::N,erkek,мужчина
229,Frau::N,bayan,женщина
230,Kind::N,çocuk,ребенок
231,Junge::N,erkek çocuk,мальчик
232,Mädchen::N,kız,девочка
233,Familie::N,aile,семья
234,Großvater::N,dede,дедушка
235,Großvater::N,büyükbaba,дедушка
236,Großmutter::N,nine,бабушка
237,Großmutter::N,büyükanne,бабушка
238,Eltern::N,ebeveyn,родители
239,Eltern::N,ana baba,родители
240,Vater::N,ata,отец
241,Vater::N,baba,отец
242,Mutter::N,ana,мать
243,Mutter::N,anne,мать
244,Sohn::N,oğul,сын
245,Tochter::N,kız,дочь
246,Tochter::N,kız evlât,дочь
247,Bruder::N,abi,брат
248,Bruder::N,erkek kardeş,брат
249,Schwester::N,abla,сестра
250,Schwester::N,kız kardeş,сестра
251,Onkel::N,dayı,дядя
252,Tante::N,hala,тетя
253,Tante::N,teyze,тетя
254,Ehemann::N,koca,муж
255,Ehefrau::N,karı,жена
256,Freude::N,neşe,радость
257,Freude::N,sevinç,радость
258,Gelächter::N,gülme,смех
259,Gelächter::N,kahkaha,смех
260,Glück::N,mutluluk,счастье
261,Kummer::N,dert,горе
262,Kummer::N,keder,горе
263,Wunsch::N,arzu,желание
264,Wunsch::N,istek,желание
265,Lust::N,arzu,влечение
266,Lust::N,heves,влечение
267,Geist::N,tin,дух
268,Gedanke::N,fikir,мысль
269,Gedanke::N,düşünce,мысль
270,Gedächtnis::N,bellek,память
271,Verstand::N,zekâ,ум
272,Sinn::N,anlam,смысл
273,Grund::N,sebep,повод
274,Wahrheit::N,doğruluk,правда
275,Wahrheit::N,gerçeklik,правда
276,Gespräch::N,görüşme,беседа
277,Märchen::N,masal,сказка
278,Erzählung::N,öykü,рассказ
279,Erzählung::N,hikâye,рассказ
280,Nachricht::N,haber,сообщение
281,Neuigkeit::N,haber,новость
282,Name::N,ad,имя
283,Name::N,isim,имя
284,Rätsel::N,bilmece,загадка
285,Rede::N,söylev,речь
286,Rede::N,konuşma,речь
287,Sprache::N,dil,язык
288,Sprache::N,lisan,язык
289,Stimme::N,ses,голос
290,Wort::N,kelime,слово
291,Zeichen::N,işaret,знак
292,Ruf::N,çağırma,зов
293,Lärm::N,şamata,шум
294,Lärm::N,gürültü,шум
295,Laut::N,ses,звук
296,Ton::N,ses,звучание
297,Lied::N,türkü,песня
298,Ruhe::N,sakinlik,покой
299,Leute::N,halk,люди
300,Leute::N,insanlar,люди
301,Volk::N,ulus,народ
302,Volk::N,millet,народ
303,Arbeit::N,iş,работа
304,Arbeit::N,çalışma,работа
305,Gast::N,konuk,гость
306,Gast::N,misafir,гость
307,Geschenk::N,hediye,подарок
308,Geschenk::N,armağan,подарок
309,Spiel::N,oyun,игра
310,Gesellschaft::N,çevre,общество
311,Gesellschaft::N,arkadaşlık,общество
312,Hilfe::N,yardım,помощь
313,Freund::N,dost,друг
314,Freund::N,arkadaş,друг
315,Kamerad::N,arkadaş,приятель
316,Angelegenheit::N,iş,дело
317,Angelegenheit::N,husus,дело
318,Anzahl::N,sayı,количество
319,Art::N,çeşit,вид
320,Stück::N,tane,кусок
321,Stück::N,parça,кусок
322,Teil::N,kısım,часть
323,Hälfte::N,yarı,половина
324,Kreis::N,daire,круг
325,Kreuz::N,haç,крест
326,Linie::N,hat,линия
327,Linie::N,çizgi,линия
328,Strich::N,çizgi,черта
329,Abstand::N,aralık,промежуток
330,Entfernung::N,mesafe,расстояние
331,Entfernung::N,uzaklık,расстояние
332,Gegend::N,yöre,местность
333,Platz::N,yer,пространство
334,Ort::N,yer,место
335,Seite::N,yan,сторона
336,Seite::N,taraf,сторона
337,Mitte::N,orta,середина
338,Mitte::N,merkez,середина
339,Gegenstand::N,şey,предмет
340,Sache::N,iş,вещь
341,Sache::N,şey,вещь
342,Rand::N,kenar,край
343,Kante::N,kenar,ребро
344,Ecke::N,köşe,угол
345,Spitze::N,uç,кончик
346,Spitze::N,baş,кончик
347,Ende::N,uç,конец
348,Loch::N,oyuk,дыра
349,Loch::N,delik,дыра
350,Winkel::N,köşe,угол
351,Muster::N,örnek,узор
352,Größe::N,büyüklük,размер
353,Länge::N,uzunluk,длина
354,Höhe::N,yükseklik,высота
355,Gewicht::N,ağırlık,вес
356,Menge::N,miktar,количество
357,Haufen::N,küme,куча
358,Haufen::N,yığın,куча
359,Reihe::N,sıra,ряд
360,Boot::N,kayık,лодка
361,Boot::N,sandal,лодка
362,Ruder::N,kürek,весло
363,Schlitten::N,kızak,сани
364,Ski::N,kayak,лыжа
365,Lagerfeuer::N,kamp ateşi,костер
366,Last::N,yük,тяжесть
367,Gang::N,gidiş,ход
368,Gang::N,yürüyüş,ход
369,Schritt::N,adım,шаг
370,Norden::N,kuzey,север
371,Süden::N,güney,юг
372,Westen::N,batı,запад
373,Osten::N,doğu,восток
374,Holz::N,ağaç,древесина
375,Holz::N,tahta,древесина
376,Brett::N,tahta,доска
377,Platte::N,levha,плита
378,Stütze::N,dayak,подпорка
379,Stütze::N,destek,подпорка
380,Stange::N,çubuk,жердь
381,Stock::N,sopa,палка
382,Stock::N,değnek,палка
383,Stab::N,sırık,шест
384,Stab::N,baston,шест
385,Rohr::N,boru,труба
386,Haus::N,ev,дом
387,Heim::N,ev,дом
388,Heim::N,yurt,дом
389,Ofen::N,soba,печь
390,Fußboden::N,taban,пол
391,Fußboden::N,döşeme,пол
392,Tisch::N,masa,стол
393,Stuhl::N,iskemle,стул
394,Stuhl::N,sandalye,стул
395,Wiege::N,beşik,колыбель
396,Bett::N,yatak,постель
397,Regal::N,raf,полка
398,Kiste::N,sandık,ящик
399,Fenster::N,pencere,окно
400,Tür::N,kapı,дверь
401,Tor::N,kapı,ворота
402,Zaun::N,çit,забор
403,Dach::N,dam,крыша
404,Dach::N,çatı,крыша
405,Leiter::N,merdiven,лестница
406,Besen::N,süpürge,метла
407,Spaten::N,bel,лопата
408,Schaufel::N,kürek,совок
409,Gabel::N,çatal,вилка
410,Löffel::N,kaşık,ложка
411,Messer::N,bıçak,нож
412,Nagel::N,çivi,гвоздь
413,Netz::N,ağ,сеть
414,Haken::N,çengel,крюк
415,Griff::N,kulp,ручка
416,Griff::N,tutamak,ручка
417,Schloss::N,kilit,замок
418,Bild::N,imaj,картина
419,Bild::N,resim,картина
420,Figur::N,şekil,фигура
421,Figur::N,heykel,фигура
422,Puppe::N,kukla,кукла
423,Beutel::N,kese,мешок
424,Beutel::N,torba,мешок
425,Bündel::N,deste,связка
426,Tasche::N,çanta,сумка
427,Eimer::N,kova,ведро
428,Deckel::N,kapak,крышка
429,Geschirr::N,kap kacak,посуда
430,Sack::N,torba,мешок
431,Tasse::N,fincan,чашка
432,Topf::N,tencere,кастрюля
433,Kessel::N,kazan,котел
434,Essen::N,yemek,еда
435,Nahrung::N,gıda,пища
436,Nahrung::N,besin,пища
437,Speise::N,yemek,блюдо
438,Speise::N,yemek,кушанье
439,Fleisch::N,et,мясо
440,Getreide::N,tahıl,хлеб
441,Getreide::N,hububat,хлеб
442,Brei::N,ezme,каша
443,Brot::N,ekmek,хлеб
444,Scheibe::N,dilim,ломоть
445,Fett::N,yağ,жир
446,Butter::N,tereyağı,масло
447,Öl::N,yağ,масло
448,Öl::N,akar yağ,масло
449,Salz::N,tuz,соль
450,Suppe::N,çorba,суп
451,Honig::N,bal,мед
452,Milch::N,süt,молоко
453,Tee::N,çay,чай
454,Leder::N,deri,кожа
455,Leder::N,meşin,кожа
456,Wolle::N,yün,шерсть
457,Stoff::N,kumaş,ткань
458,Nadel::N,iğne,игла
459,Faden::N,tire,нитка
460,Faden::N,iplik,нитка
461,Knopf::N,düğme,пуговица
462,Knoten::N,düğüm,узел
463,Farbe::N,boya,краска
464,Kleidung::N,giyim,одежда
465,Hemd::N,gömlek,рубашка
466,Kragen::N,yaka,воротник
467,Ärmel::N,yen,рукав
468,Ärmel::N,elbise kolu,рукав
469,Hose::N,pantolon,брюки
470,Gürtel::N,kuşak,пояс
471,Mütze::N,bere,шапка
472,Mütze::N,kasket,шапка
473,Schuh::N,kundura,ботинок
474,Schuh::N,ayakkabı,ботинок
475,Stiefel::N,çizme,сапог
476,Ring::N,yüzük,кольцо
477,Band::N,bağ,лента
478,Band::N,şerit,лента
479,Kamm::N,tarak,расческа
480,Spiegel::N,ayna,зеркало
481,Riemen::N,kayış,ремень
482,Schnur::N,ip,веревка
483,Schnur::N,sicim,веревка
484,Leine::N,kayış,поводок
485,Decke::N,örtü,одеяло
486,Decke::N,yorgan,одеяло
487,Kissen::N,yastık,подушка
488,Tuch::N,bez,платок
489,Handtuch::N,havlu,полотенце
490,Kraft::N,güç,сила
491,Kraft::N,kuvvet,сила
492,Stärke::N,kuvvet,крепость
493,Gesundheit::N,sağlık,здоровье
494,Krankheit::N,hastalık,болезнь
495,Schmerz::N,ağrı,боль
