,Concept_ID,vep,ru
0,Auge::N,sil'm,глаз
1,Ohr::N,korv,ухо
2,Nase::N,nena,нос
3,Mund::N,su,рот
4,Zahn::N,pi,зуб
5,Zahn::N,hambaz,зуб
6,Zunge::N,kel',язык
7,Lippe::N,hul',губа
8,Wange::N,modpolišk,щека
9,Gesicht::N,mod,лицо
10,Stirn::N,oc,лоб
11,Haar::N,tuk,волос
12,Haar::N,tuk,волосы
13,Haar::N,hibuz,волос
14,Haar::N,hibuz,волосы
15,Schnurrbart::N,habinod,ус
16,Schnurrbart::N,habinod,усы
17,Bart::N,bard,борода
18,Kinn::N,löug,подбородок
19,Kiefer[Anatomie]::N,hambazlu,челюсть
20,Kehle::N,kurk,горло
21,Hals::N,kagl,шея
22,Genick::N,tagarai,затылок
23,Kopf::N,pä,голова
24,Rücken::N,sel'g,спина
25,Bauch::N,vac,живот
26,Bauch::N,koht,живот
27,Nabel::N,naba,пупок
28,Busen::N,niža,женская грудь
29,Brust::N,rind,грудь
30,Schulter::N,oug,плечо
31,Arm::N,käzi,рука
32,Ellenbogen::N,künambruz,локоть
33,Hand::N,käzi,кисть
34,Hand::N,käzitera,кисть
35,Handfläche::N,kämen,ладонь
36,Finger::N,sor'm,палец
37,Fingernagel::N,künz',ноготь
38,Nagel[Anatomie]::N,künz',ноготь
39,Zeh::N,barbaz,палец
40,Fuß::N,jaug,ступня
41,Ferse::N,kand,пята
42,Ferse::N,kand,пятка
43,Knie::N,komb,колено
44,Knie::N,pol'v,колено
45,Oberschenkel::N,riiže,бедро
46,Bein::N,jaug,нога
47,Körper::N,hibj,тело
48,Haut::N,nahk,кожа
49,Blut::N,čak,кровь
50,Blut::N,veri,кровь
51,Ader::N,son',вена
52,Ader::N,son',сосуд
53,Sehne::N,jände,жила
54,Sehne::N,jände,тетива
55,Sehne::N,jände,сухожилие
56,Knochen::N,lu,кость
57,Gehirn::N,aivod,мозг
58,Herz::N,südäin,сердце
59,Magen::N,südäikoht,желудок
60,Leber::N,maks,печень
61,Atem::N,hengaiduz,дух
62,Atem::N,hengaiduz,дыхание
63,Hunger::N,näl'g,голод
64,Träne::N,kündal',слеза
65,Geschmack::N,magu,вкус
66,Geruch::N,haju,запах
67,Schlaf::N,uni,сон
68,Traum::N,unikuva,сновидение
69,Himmel::N,taivaz,небо
70,Sonne::N,päiväine,солнце
71,Mond::N,kudmaine,луна
72,Stern::N,tähtaz,звезда
73,Luft::N,il'm,воздух
74,Wind::N,döl,ветер
75,Wind::N,tullei,ветер
76,Welle::N,ald,волна
77,Welle::N,laineh,волна
78,Wasser::N,vezi,вода
79,Stein::N,kivi,камень
80,Boden::N,ma,почва
81,Boden::N,pohj,почва
82,Erde::N,ma,земля
83,Staub::N,pölü,пыль
84,Rauch::N,savu,дым
85,Funke::N,kibin,искра
86,Feuer::N,lämoi,огонь
87,Licht::N,vauktuz,свет
88,Schatten::N,pil'vez,тень
89,Schatten::N,kuvahaine,тень
90,Wetter::N,sä,погода
91,Nebel::N,sumeg,туман
92,Wolke::N,pil'v,облако
93,Regen::N,vihm,дождь
94,Schnee::N,lumi,снег
95,Eis::N,jä,лед
96,Frost::N,hala,мороз
97,Frost::N,pakaine,мороз
98,Kälte::N,vilu,холод
99,Hitze::N,räk,жара
100,Raureif::N,hüde,иней
101,Regenbogen::N,jumalanbembel',радуга
102,Donner::N,juru,гром
103,Donner::N,jumalanjuru,гром
104,Strömung::N,joksmuz,течение
105,Tropfen::N,tilkuine,капля
106,Schaum::N,vaht,пена
107,Schmutz::N,redu,грязь
108,Schmutz::N,pačak,грязь
109,See::N,järv,озеро
110,Sumpf::N,so,топь
111,Moor::N,so,болото
112,Wiese::N,nit,луг
113,Wald::N,mec,лес
114,Hügel::N,kukaz,холм
115,Anhöhe::N,kukaz,возвышенность
116,Berg::N,mägi,гора
117,Gipfel::N,ladv,вершина
118,Höhle::N,mägionduz,пещера
119,Abhang::N,paute,склон
120,Quelle::N,lähte,источник
121,Bach::N,oja,ручей
122,Fluss::N,jogi,река
123,Ufer::N,rand,берег
124,Küste::N,randišt,побережье
125,Festland::N,kuivma,суша
126,Meer::N,meri,море
127,Bucht::N,laht,бухта
128,Insel::N,sar',остров
129,Blume::N,änik,цветок
130,Gras::N,hein,трава
131,Wurzel::N,jur',корень
132,Baum::N,pu,дерево
133,Stamm::N,tüvi,ствол
134,Rinde::N,kor',кора
135,Ast::N,oks,сук
136,Zweig::N,oks,ветвь
137,Zweig::N,barb,ветвь
138,Blatt::N,lehtez,лист
139,Birke::N,koiv,береза
140,Kiefer[Baum]::N,pedai,сосна
141,Weide[Baum]::N,raid,ива
142,Tanne::N,kuz',ель
143,Horn::N,sar'v,рог
144,Feder::N,höuneh,перо
145,Fell::N,nahk,шкура
146,Flügel::N,suug,крыло
147,Klaue::N,künz',коготь
148,Kralle::N,künz',лапа
149,Schwanz::N,händ,хвост
150,Ei::N,muna,яйцо
151,Nest::N,peza,гнездо
152,Bau::N,uru,нора
153,Tier::N,živat,животное
154,Herde::N,kogo,стадо
155,Kuh::N,lehm,корова
156,Bulle::N,härg,бык
157,Pferd::N,hebo,лошадь
158,Schaf::N,lambaz,овца
159,Schwein::N,siga,свинья
160,Hund::N,koir,собака
161,Katze::N,kaži,кошка
162,Bär::N,kondi,медведь
163,Eichhörnchen::N,orav,белка
164,Elch::N,hirb',лось
165,Fuchs::N,reboi,лиса
166,Hase::N,jäniš,заяц
167,Maus::N,hir',мышь
168,Wolf::N,händikaz,волк
169,Vogel::N,lind,птица
170,Schwarm::N,parveh,стая
171,Huhn::N,kana,курица
172,Hahn::N,kukoi,петух
173,Gans::N,hanh',гусь
174,Adler::N,orl,орел
175,Ente::N,sorz,утка
176,Eule::N,hir'pulo,сова
177,Kranich::N,kurg,журавль
178,Krähe::N,variš,ворона
179,Kuckuck::N,kägi,кукушка
180,Schwan::N,joucen,лебедь
181,Fisch::N,kala,рыба
182,Barsch::N,ahven,окунь
183,Hecht::N,haug',щука
184,Schlange[Tier]::N,kü,змея
185,Schlange[Tier]::N,mado,змея
186,Wurm::N,mado,червяк
187,Spinne::N,hämähouk,паук
188,Ameise::N,murahaine,муравей
189,Laus::N,täi,вошь
190,Mücke::N,säs'k,комар
191,Fliege::N,kärbhaine,муха
192,Schmetterling::N,lipkaine,бабочка
193,Beere::N,marj,ягода
194,Apfel::N,jablok,яблоко
195,Pilz::N,sen',гриб
