,Concept_ID,el,lbe
0,Auge::N,μάτι,я
1,Auge::N,οφθαλμός,я
2,Ohr::N,αυτί,вичӏи
3,Nase::N,μύτη,май
4,Mund::N,στόμα,кьацӏ
5,Zahn::N,δόντι,ккарччи
6,Zunge::N,γλώσσα,маз
7,Lippe::N,χείλος,мурччи
8,Wange::N,παρειά,чӏав
9,Wange::N,μάγουλο,чӏав
10,Gesicht::N,πρόσωπο,лажин
11,Stirn::N,μέτωπο,ненттабакӏ
12,Haar::N,μαλλιά,чӏара
13,Schnurrbart::N,μουστάκι,ссирссилтту
14,Bart::N,γένια,чӏири
15,Kinn::N,πιγούνι,лунттубакӏ
16,Kiefer[Anatomie]::N,σαγόνι,ххинчулул
17,Kehle::N,λαρύγγι,кьакьари
18,Hals::N,λαιμός,ссурссу
19,Genick::N,σβέρκος,махъабакӏ
20,Kopf::N,κεφάλι,бакӏ
21,Rücken::N,ράχη,ттиликӏ
22,Bauch::N,κοιλιά,лякьа
23,Nabel::N,αφαλός,цӏумуккутӏ
24,Busen::N,στήθος,ккукку
25,Brust::N,στήθος,хъазам
26,Schulter::N,ώμος,хъачӏ
27,Arm::N,χέρι,ка
28,Arm::N,μπράτςο,ка
29,Ellenbogen::N,αγκώνας,ссюрхъ
30,Hand::N,χέρι,бартка
31,Handfläche::N,παλάμη,хъат
32,Handfläche::N,παλάμη,битӏянхъ
33,Finger::N,δάχτυλο,кӏисса
34,Fingernagel::N,νύχι,михь
35,Nagel[Anatomie]::N,νύχι,михь
36,Zeh::N,δάχτυλο του ποδιού,кӏисса
37,Fuß::N,πόδι,чӏанччан
38,Ferse::N,φτέρνα,никъа
39,Knie::N,γόνατο,ник
40,Oberschenkel::N,μηρός,жира
41,Bein::N,πόδι,ччан
42,Körper::N,σώμα,чурх
43,Körper::N,κορμί,чурх
44,Haut::N,πετσί,бурчу
45,Blut::N,αίμα,оь
46,Ader::N,φλέβα,тунну
47,Sehne::N,νεύρο,хьхьа
48,Sehne::N,τένοντας,хьхьа
49,Knochen::N,οστό,ттаркӏ
50,Knochen::N,κόκκαλο,ттаркӏ
51,Gehirn::N,μυαλό,ня
52,Gehirn::N,εγκέφαλος,ня
53,Herz::N,καρδιά,дакӏ
54,Herz::N,καρδιά,къюкӏ
55,Magen::N,στομάχι,лякьа
56,Leber::N,ήπαρ,
57,Leber::N,συκωτί,
58,Atem::N,αναπνοή,ссихӏ ласаву
59,Atem::N,αναπνοή,ссихӏ бигьаву
60,Hunger::N,πείνα,ккаши
61,Träne::N,δάκρυ,макь
62,Geschmack::N,γεύση,тӏин
63,Geschmack::N,γεύση,тӏааьн
64,Geruch::N,οσμή,кьанкь
65,Geruch::N,μυρωδία,кьанкь
66,Schlaf::N,ύπνος,шану
67,Traum::N,όνειρο,макӏру
68,Himmel::N,ουρανός,ссав
69,Sonne::N,ήλιος,баргъ
70,Mond::N,σελήνη,барз
71,Mond::N,φεγγάρι,барз
72,Stern::N,άστρο,цӏуку
73,Stern::N,αστέρι,цӏуку
74,Luft::N,αέρας,гьава
75,Wind::N,αέρας,марч
76,Wind::N,άνεμος,марч
77,Welle::N,κύμα,щатӏи
78,Wasser::N,νερό,щин
79,Stein::N,πέτρα,чару
80,Boden::N,χώμα,аьрщи
81,Erde::N,γη,аьрщи
82,Staub::N,σκόνη,ххит
83,Rauch::N,καπνός,пуркӏу
84,Funke::N,σπίθα,пиягь
85,Funke::N,σπινθήρας,пиягь
86,Feuer::N,φωτιά,цӏу
87,Licht::N,φως,чани
88,Schatten::N,σκιά,ххют
89,Schatten::N,ίσκιος,ххют
90,Wetter::N,καιρός,гьава
91,Nebel::N,ομίχλη,шархь ттурлу
92,Wolke::N,σύννεφο,ттурлу
93,Regen::N,βροχή,гъарал
94,Schnee::N,χιόνι,марххала
95,Eis::N,πάγος,микӏ
96,Frost::N,παγωνία,дяркъу
97,Frost::N,παγωνία,замгьар
98,Kälte::N,κρύο,дяркъу
99,Kälte::N,ψύχος,дяркъу
100,Hitze::N,ζέστη,кӏиришиву
101,Raureif::N,πάχνη,сил
102,Raureif::N,πάχνη,бурса
103,Regenbogen::N,ουράνιο τόξο,ссурул ккуртта
104,Donner::N,βροντή,къув
105,Strömung::N,ρεύμα,экьинанаву
106,Tropfen::N,στάλα,кӏунтӏ
107,Schaum::N,αφρός,хьама
108,Schmutz::N,βρωμιά,кьяркьи
109,See::N,λίμνη,бяр
110,Sumpf::N,βάλτος,кунцӏа
111,Moor::N,έλος,
