,Concept_ID,ta,sl
0,Auge::N,கண்,okó
1,Ohr::N,காது,uhó
2,Nase::N,மூக்கு,nós
3,Mund::N,வாய்,ústa
4,Zahn::N,பல்,zób
5,Zunge::N,நாக்கு,jêzik
6,Lippe::N,உதடு,ústnica
7,Wange::N,கன்னம்,líce
8,Gesicht::N,முகம்,oblíčje
9,Stirn::N,முன்னெற்றி,čêlo
10,Haar::N,முடி,lás
11,Schnurrbart::N,மீசை,bŕki
12,Bart::N,தாடி,bráda
13,Kinn::N,கீழதாடை,bráda
14,Kiefer[Anatomie]::N,தாடை,čeljúst
15,Kehle::N,தொண்டை,gŕlo
16,Hals::N,கழுத்து,vrát
17,Genick::N,கழுத்து,zatílnik
18,Kopf::N,தலை,gláva
19,Rücken::N,முதுகு,hrbèt
20,Bauch::N,வயிறு,trébuh
21,Nabel::N,தொப்புள்,pópek
22,Busen::N,மார்பகம்,nédrja
23,Brust::N, மார்பு,pŕsi
24,Schulter::N,தோள்பட்டை,ráma
25,Schulter::N,தோள்பட்டை,plêče
26,Arm::N,கரம்,rôka
27,Ellenbogen::N,முழங்கை,komólec
28,Hand::N,கை,rôka
29,Handfläche::N,உள்ளங்கை,dlán
30,Finger::N,விரல்,pŕst
31,Fingernagel::N,விரல் நகம்,nóht na rôki
32,Nagel[Anatomie]::N,நகம்,nóht
33,Zeh::N,கால்விரல்,pŕst na nôgi
34,Fuß::N,கால்,nôga
35,Ferse::N,குதிகால்,pêta
36,Knie::N,முழங்கால்,koléno
37,Oberschenkel::N,தொடை,stêgno
38,Bein::N,கால்,nôga
39,Körper::N,உடல்,teló
40,Haut::N,சருமம்,kóža
41,Blut::N,இரத்தம்,krí
42,Ader::N,நாளம்,žíla
43,Sehne::N,தசைநார்,kíta
44,Knochen::N,எலுமபு,kóst
45,Gehirn::N,மூனை,možgáni
46,Herz::N,இதயம,srcé
47,Magen::N,வயிறு,želódec
48,Leber::N,கல்லீரல்,jétra
49,Atem::N,மூச்சு,díh
50,Hunger::N,பசி,glád
51,Träne::N,கண்ணீர்,sólza
52,Geschmack::N,நறுமணம்,okús
53,Geruch::N,துர்நாற்றம்,vónj
54,Schlaf::N,தூக்கம்,sèn
55,Schlaf::N,தூக்கம்,spánec
56,Traum::N,கனவு,sánje
57,Himmel::N,வானம்,nebó
58,Sonne::N,சூரியன்,sónce
59,Mond::N,சந்திரன்,lúna
60,Mond::N,சந்திரன்,mésec
61,Stern::N,நட்சத்திரம்,zvézda
62,Luft::N,காறறு,zràk
63,Wind::N,காற்று,véter
64,Welle::N,அலை,vál
65,Wasser::N,நீர்,vôda
66,Stein::N,கல்,kámen
67,Boden::N,தரை,tlà
68,Erde::N,மண்,pŕst
69,Erde::N,மண்,zêmlja
70,Staub::N,தூசி,práh
71,Rauch::N,புகை,dìm
72,Funke::N,தீப்பொறி,ískra
73,Feuer::N,தீ,ôgenj
74,Licht::N,வெளிச்சம்,lúč
75,Schatten::N,நிழல்,sénca
76,Wetter::N,வானிலை,vrême
77,Nebel::N,பனிமூட்டம்,meglà
78,Wolke::N,மேகம்,oblák
79,Regen::N,மழை,dèž
80,Schnee::N,உறைபனி,snég
81,Eis::N,பனிக்கட்டி,léd
82,Frost::N,உறைபனி,zmrzál
83,Kälte::N,குளிர்ந்த,mràz
84,Hitze::N,சூடு,pripéka
85,Raureif::N,உறைபனி வெண்திரை,ívje
86,Raureif::N,உறைபனி வெண்திரை,slána
87,Regenbogen::N,வானவில்,mávrica
88,Donner::N,இடி,gròm
89,Strömung::N,நீரோட்டம்,strúja
90,Tropfen::N,துளி,káplja
91,Schaum::N,நுரை,péna
92,Schmutz::N,அழுக்கு,nesnága
93,See::N,ஏரி,jézero
94,Sumpf::N,சதுப்பு நிலம்,močvírje
95,Moor::N,முட்புதற்காடு,bárje
96,Wiese::N,பசும் புல்தரை,trávnik
97,Wald::N,காடு,lés
98,Wald::N,காடு,gòzd
99,Hügel::N,குன்று,brég
100,Hügel::N,குன்று,goríca
101,Anhöhe::N,பதுக்கை,gríč
102,Anhöhe::N,பதுக்கை,višína
103,Berg::N,மலை,gôra
104,Berg::N,மலை,planína
105,Gipfel::N,உச்சி மாநாடு,vŕh
106,Höhle::N,குகை,jáma
107,Höhle::N,குகை,votlína
108,Abhang::N,சரிவு,pobóčje
109,Quelle::N,மூலம்,izvír
110,Bach::N,ஓடை,pôtok
111,Fluss::N,ஆறு,réka
112,Ufer::N,நீர்க்கரை,brég
113,Küste::N,கடற்கரை,obála
114,Küste::N,கடற்கரை,obréžje
115,Festland::N,நிலம்,celína
116,Festland::N,நிலம்,kopnína
117,Meer::N,கடல்,mórje
118,Bucht::N,சிறுகுடா,zalív
119,Insel::N,தீவு,ôtok
120,Blume::N,பூ,cvetlíca
121,Gras::N,புல்தரை,tráva
122,Wurzel::N,வேர்,korenína
123,Baum::N,மரம்,drevó
124,Stamm::N,அடிமரம்,dêblo
125,Rinde::N,பட்டை,lúbje
126,Rinde::N,பட்டை,skórja
127,Rinde::N,மரப்பட்டை,lúbje
128,Rinde::N,மரப்பட்டை,skórja
129,Ast::N,கினை,véja
130,Zweig::N,குச்சி,véja
131,Blatt::N,இலை,líst
132,Birke::N,பிர்ச் மரம்,bréza
133,Kiefer[Baum]::N,தேவதாரு மரம்,bòr
134,Weide[Baum]::N,மர வகைகளுள் ஒன்று,vŕba
135,Tanne::N,சாதிக்கய்,hója
136,Horn::N,கொம்பு,róg
137,Feder::N,இறகு,peró
138,Fell::N,மென்முடி,kŕzno
139,Flügel::N,இறக்கை,krílo
140,Klaue::N,நகம்,párkelj
141,Kralle::N,நகம்,krémpelj
142,Schwanz::N,வால்,rèp
143,Ei::N,முட்டை,jájce
144,Nest::N,கூடு,gnézdo
145,Bau::N,குகை,brlòg
146,Tier::N,விலங்கு,živál
147,Herde::N,கூட்டம்,čréda
148,Kuh::N,பசு,kráva
149,Bulle::N,காளை,bìk
150,Pferd::N,குதிரை,kònj
151,Schaf::N,செம்மறிஆடு,ôvca
152,Schwein::N,பன்றி,svínja
153,Hund::N,நாய்,pès
154,Katze::N,பூனை,máčka
155,Bär::N,கரடி,mêdved
156,Eichhörnchen::N,அணில்,véverica
157,Elch::N,கடம்பை,lós
158,Fuchs::N,நரி,lisíca
159,Hase::N,முயல்,zájec
160,Maus::N,எலி,mìš
161,Wolf::N,ஓநாய்,vólk
162,Vogel::N,பறவை,ptìč
163,Vogel::N,பறவை,ptíca
164,Schwarm::N,தொகுதி,játa
165,Huhn::N,கோழிக்குஞசு,kokóš
166,Hahn::N,சேவல்,petêlin
167,Gans::N,பெண் வாத்து,gós
168,Adler::N,பருநது,ôrel
169,Ente::N,வாத்து,ráca
170,Eule::N,ஆந்தை,sôva
171,Kranich::N,நாரை,žerjàv
172,Krähe::N,காகம்,vrána
173,Kuckuck::N,குயில்,kúkavica
174,Schwan::N,அன்னம்,labód
175,Fisch::N,மீன்,ríba
176,Barsch::N,பேர்ச்,ostríž
177,Hecht::N,கோலாச்சி மீன்,ščúka
178,Schlange[Tier]::N,பாம்பு,káča
179,Wurm::N,புழு,čr̀v
180,Wurm::N,புழு,glísta
181,Spinne::N,சிலந்தி,pájek
182,Ameise::N,எறும்பு,mrávlja
183,Laus::N,பேன்,úš
184,Mücke::N,கொசுவினப்பூச்சி,komár
185,Fliege::N,ஈ,múha
186,Schmetterling::N,வண்ணத்துப்பூச்சி,metúlj
187,Beere::N,சதைப்பழம்,jágoda
188,Apfel::N,ஆப்பிள பழம்,jábolko
189,Pilz::N,காளான்,góba
190,Zwiebel::N,வெங்காயம்,čebúla
191,Saat::N,விதை,séme
192,Korn::N,தானியம்,zŕno
193,Heu::N,வைக்கோல்,senó
194,Schale::N,தோல்,lupína
195,Grube::N,குழி,jáma
196,Falle::N,பொறி,pást
197,Schlinge::N,கண்ணி,zánka
198,Schlinge::N,கண்ணி,pêtlja
199,Spur::N,சுவடு,sléd
200,Asche::N,சாம்பல்,pepél
201,Dreck::N,அழுக்கு,bláto
202,Eisen::N,இரும்பு,želézo
203,Gold::N,தங்கம்,zlató
204,Silber::N,வெள்ளி,srebró
205,Kohle::N,நிலக்கரி,ógel
206,Glas::N,கண்ணாடி,stêklo
207,Lehm::N,களிமண்,ílo
208,Sand::N,மணல்,pések
209,Mensch::N,மனிதர்கள்,člôvek
210,Mann::N,மனிதன்,móž
211,Mann::N,மனிதன்,môški
212,Frau::N,பெண்,gospá
213,Frau::N,பெண்,žénska
214,Kind::N,குழந்தை,déte
215,Kind::N,குழந்தை,otròk
216,Junge::N,பையன்,fànt
217,Junge::N,பையன்,déček
218,Mädchen::N,சிறுமி,deklè
219,Mädchen::N,சிறுமி,déklica
220,Familie::N,குடும்பம்,družína
221,Großvater::N,தாத்தா,dèd
222,Großvater::N,தாத்தா,dédek
223,Großmutter::N,பாட்டி,bábica
224,Eltern::N,பெற்றோர்,stárši
225,Vater::N,தந்தை,ôče
226,Mutter::N,தாய்,máma
227,Sohn::N,மகன்,sín
228,Tochter::N,மகள்,hčí
229,Tochter::N,மகள்,hčérka
230,Bruder::N,சகோதரன்,bràt
231,Schwester::N,அக்கா,sêstra
232,Onkel::N,தாய் மாமன்,újec
233,Onkel::N,தாய் மாமன்,stríc
234,Tante::N,அத்தை,têta
235,Tante::N,அத்தை,strína
236,Ehemann::N,கணவன்,móž
237,Ehemann::N,கணவன்,sopróg
238,Ehefrau::N,மனைவி,žêna
239,Ehefrau::N,மனைவி,sopróga
240,Freude::N,கொண்டாட்டம்,rádost
241,Freude::N,கொண்டாட்டம்,vesêlje
242,Gelächter::N,சிரிப்பு,sméh
243,Gelächter::N,சிரிப்பு,grohòt
244,Glück::N,மகிழ்ச்சி,sréča
245,Kummer::N,துயரம்,gorjé
246,Wunsch::N,விருப்பம்,žêlja
247,Lust::N,விருப்பம்,poželênje
248,Geist::N,ஆன்மா,dúša
249,Gedanke::N,எண்ணம்,mísel
250,Gedächtnis::N,ஞாபகம்,pámet
251,Verstand::N,மனம்,
252,Sinn::N,அர்த்தம்,pomèn
253,Sinn::N,அர்த்தம்,smísel
254,Grund::N,காரணம்,vzròk
255,Wahrheit::N,உண்நை,resníca
256,Gespräch::N,பெசு,pogóvor
257,Märchen::N,நம்பத்தகாத கதை,právljica
258,Erzählung::N,கதை,povést
259,Nachricht::N,செய்தி,sporočílo
260,Neuigkeit::N,செய்தி,novóst
261,Name::N,பெயர்,imé
262,Rätsel::N,புதிர்,ugánka
263,Rede::N,பேச்சு,góvor
264,Sprache::N,மொழி,jêzik
265,Stimme::N,குரல்,glás
266,Wort::N,வார்த்தை,beséda
267,Zeichen::N,குறி,znák
268,Ruf::N,அழைப்பு,klíc
269,Lärm::N,சத்தம்,hrúp
270,Lärm::N,சத்தம்,trúšč
271,Laut::N,ஒலி,glás
272,Ton::N,குரல்,tón
273,Lied::N,பாட்டு,pésem
274,Ruhe::N,அமைதி,pokòj
275,Leute::N,மக்கள்,ljudjé
276,Volk::N,மக்கள்,národ
277,Arbeit::N,வேலை,délo
278,Gast::N,விருந்தாளி,gòst
279,Geschenk::N,பரிசுப் பொருள்,darílo
280,Spiel::N,விளையாட்டு,ígra
281,Gesellschaft::N,சமுதாயம்,drúžba
282,Hilfe::N,உதவி,pomóč
283,Freund::N,நண்பன்,prijátelj
284,Kamerad::N,உடனிருப்பவன்,továriš
285,Angelegenheit::N,செய்தி,zadéva
286,Anzahl::N,எண்ணிக்கை,števílo
287,Art::N,வகை,vŕsta
288,Stück::N,துண்டம்,kós
289,Teil::N,பகுதி,dél
290,Hälfte::N,பாதி,polovíca
291,Kreis::N,வட்டம்,króg
292,Kreis::N,வட்டம்,kolobár
293,Kreuz::N,சிலுவை,kríž
294,Linie::N,கோடு,próga
295,Strich::N,வாத நோய்,čŕta
296,Abstand::N,இடைவெளி,preslédek
297,Entfernung::N,தூரம்,oddáljenost
298,Gegend::N,வட்டாரம்,kràj
299,Gegend::N,வட்டாரம்,dežêla
300,Platz::N,வெற்றிடம்,prôstor
301,Ort::N,இடம்,mésto
302,Seite::N,பக்கம்,bòk
303,Seite::N,பக்கம்,strán
304,Mitte::N,இடைப்பகுதி,sredína
305,Gegenstand::N,உருப்படி,prédmet
306,Sache::N,பொருள்,réč
307,Sache::N,பொருள்,stvár
308,Rand::N,தொங்கு,kràj
309,Kante::N,விளிம்பு,rób
310,Ecke::N,மூலை,vogál
311,Spitze::N,முனை,óst
312,Ende::N,முடிவு,kônec
313,Loch::N,துளை,lúknja
314,Winkel::N,கோணம்,kót
315,Muster::N,பாங்கு,vzórec
316,Größe::N,அளவு,veličína
317,Länge::N,நீளம்,dolžína
318,Höhe::N,உயரம்,vršína
319,Gewicht::N,எடை,téža
320,Menge::N,தொகை,količína
321,Haufen::N,குவியல்,kùp
322,Haufen::N,குவியல்,kopíca
323,Reihe::N,வரிசை,níz
324,Reihe::N,வரிசை,vŕsta
325,Boot::N,படகு,čóln
326,Ruder::N,துடுப்பு,vêslo
327,Schlitten::N,சகடையிலா வண்டி,saní
328,Ski::N,பனிச் சறுக்கல்,smučí
329,Lagerfeuer::N,மூட்டம்,táborni ôgenj
330,Last::N,பாரம்,tôvor
331,Gang::N,நடை,hòd
332,Schritt::N,காலடி,korák
333,Norden::N,வடக்கு,séver
334,Süden::N,தெற்கு,júg
335,Westen::N,மேற்கு திசை,zapàd
336,Osten::N,கிழக்கு,vzhòd
337,Holz::N,மரக்கட்டை,lés
338,Brett::N,பலகை,deskà
339,Platte::N,பலகம்,plôča
340,Stütze::N,அடைப்புகன்,opóra
341,Stütze::N,அடைப்புகன்,zaslómba
342,Stange::N,கம்பம்,gréd
343,Stock::N,குச்சி,pálica
344,Stab::N,கம்பு,pálica
345,Rohr::N,குழாய்,cév
346,Haus::N,வீடு,híša
347,Heim::N,வீடு,dóm
348,Ofen::N,அடுப்பு,péč
349,Fußboden::N,தரை,pòd
350,Tisch::N,மேசை,míza
351,Stuhl::N,நாற்காலி,stòl
352,Wiege::N,தொட்டில்,zíbel
353,Bett::N,படுக்கை,póstelja
354,Regal::N,அலமாரி,políca
355,Kiste::N,பெட்டி,zabòj
356,Fenster::N,சாளரம்,ôkno
357,Tür::N,கதவு,vráta
358,Tor::N,வாசற்கதவு,velíka vráta
359,Zaun::N,வேலி,ográja
360,Dach::N,கூரை,stréha
