,Concept_ID,is,vep
0,Auge::N,auga,sil'm
1,Ohr::N,eyra,korv
2,Nase::N,nef,nena
3,Mund::N,munnur,su
4,Zahn::N,tönn,pi
5,Zahn::N,tönn,hambaz
6,Zunge::N,tunga,kel'
7,Lippe::N,vör,hul'
8,Wange::N,kinn,modpolišk
9,Wange::N,vangi,modpolišk
10,Gesicht::N,andlit,mod
11,Stirn::N,enni,oc
12,Haar::N,hár,tuk
13,Haar::N,hár,hibuz
14,Schnurrbart::N,yfirskegg,habinod
15,Bart::N,skegg,bard
16,Kinn::N,haka,löug
17,Kiefer[Anatomie]::N,kjálki,hambazlu
18,Kiefer[Anatomie]::N,skoltur,hambazlu
19,Kehle::N,kverk,kurk
20,Hals::N,háls,kagl
21,Genick::N,hnakki,tagarai
22,Kopf::N,höfuð,pä
23,Rücken::N,hryggur,sel'g
24,Bauch::N,kviður,vac
25,Bauch::N,kviður,koht
26,Nabel::N,nafli,naba
27,Busen::N,barmur,niža
28,Brust::N,brjóst,rind
29,Schulter::N,öxl,oug
30,Arm::N,armur,käzi
31,Ellenbogen::N,olnbogi,künambruz
32,Hand::N,hönd,käzi
33,Hand::N,hönd,käzitera
34,Handfläche::N,lófi,kämen
35,Finger::N,fingur,sor'm
36,Fingernagel::N,fingurnögl,künz'
37,Nagel[Anatomie]::N,nögl,künz'
38,Zeh::N,tá,barbaz
39,Fuß::N,fótur,jaug
40,Ferse::N,hæll,kand
41,Knie::N,kné,komb
42,Knie::N,kné,pol'v
43,Oberschenkel::N,læri,riiže
44,Bein::N,fótleggur,jaug
45,Körper::N,búkur,hibj
46,Körper::N,líkami,hibj
47,Haut::N,húð,nahk
48,Haut::N,skinn,nahk
49,Blut::N,blóð,čak
50,Blut::N,blóð,veri
51,Ader::N,æð,son'
52,Sehne::N,sin,jände
53,Knochen::N,bein,lu
54,Gehirn::N,heili,aivod
55,Herz::N,hjarta,südäin
56,Magen::N,magi,südäikoht
57,Leber::N,lifur,maks
58,Atem::N,andi,hengaiduz
59,Atem::N,andardráttur,hengaiduz
60,Hunger::N,hungur,näl'g
61,Träne::N,tár,kündal'
62,Geschmack::N,smekkur,magu
63,Geruch::N,lykt,haju
64,Schlaf::N,svefn,uni
65,Traum::N,draumur,unikuva
66,Himmel::N,himinn,taivaz
67,Sonne::N,sól,päiväine
68,Mond::N,tungl,kudmaine
69,Stern::N,stjarna,tähtaz
70,Luft::N,loft,il'm
71,Wind::N,vindur,döl
72,Wind::N,vindur,tullei
73,Welle::N,alda,ald
74,Welle::N,alda,laineh
75,Welle::N,bylgja,ald
76,Welle::N,bylgja,laineh
77,Wasser::N,vatn,vezi
78,Stein::N,steinn,kivi
79,Boden::N,botn,ma
80,Boden::N,botn,pohj
81,Erde::N,jörð,ma
82,Staub::N,ryk,pölü
83,Staub::N,duft,pölü
84,Rauch::N,reykur,savu
85,Funke::N,neisti,kibin
86,Feuer::N,eldur,lämoi
87,Licht::N,ljós,vauktuz
88,Schatten::N,skuggi,pil'vez
89,Schatten::N,skuggi,kuvahaine
90,Wetter::N,veður,sä
91,Nebel::N,þoka,sumeg
92,Wolke::N,ský,pil'v
93,Regen::N,regn,vihm
94,Schnee::N,snjór,lumi
95,Eis::N,ís,jä
96,Frost::N,frost,hala
97,Frost::N,frost,pakaine
98,Kälte::N,kuldi,vilu
99,Hitze::N,hiti,räk
100,Raureif::N,hrím,hüde
101,Regenbogen::N,regnbogi,jumalanbembel'
102,Donner::N,þruma,juru
103,Donner::N,þruma,jumalanjuru
104,Strömung::N,straumur,joksmuz
105,Tropfen::N,dropi,tilkuine
106,Schaum::N,froða,vaht
107,Schmutz::N,óhreinindi,redu
108,Schmutz::N,óhreinindi,pačak
109,See::N,stöðuvatn,järv
110,Sumpf::N,fen,so
111,Moor::N,mýri,so
112,Wiese::N,engi,nit
113,Wald::N,skógur,mec
114,Hügel::N,hæð,kukaz
115,Hügel::N,hóll,kukaz
116,Anhöhe::N,hæð,kukaz
117,Anhöhe::N,hóll,kukaz
118,Berg::N,fell,mägi
119,Berg::N,fjall,mägi
120,Gipfel::N,tindur,ladv
121,Höhle::N,hellir,mägionduz
122,Abhang::N,hlíð,paute
123,Abhang::N,brekka,paute
124,Quelle::N,lind,lähte
125,Quelle::N,uppspretta,lähte
126,Bach::N,lækur,oja
127,Fluss::N,á,jogi
128,Fluss::N,fljót,jogi
129,Ufer::N,árbakki,rand
130,Ufer::N,sjávarbakki,rand
131,Küste::N,strönd,randišt
132,Festland::N,meginland,kuivma
133,Meer::N,haf,meri
134,Meer::N,sjór,meri
135,Bucht::N,vík,laht
136,Insel::N,eyja,sar'
137,Blume::N,blóm,änik
138,Gras::N,gras,hein
139,Wurzel::N,rót,jur'
140,Baum::N,tré,pu
141,Stamm::N,stofn,tüvi
142,Rinde::N,börkur,kor'
143,Ast::N,grein,oks
144,Zweig::N,angi,oks
145,Zweig::N,angi,barb
146,Zweig::N,kvistur,oks
147,Zweig::N,kvistur,barb
148,Blatt::N,blað,lehtez
149,Birke::N,birki,koiv
150,Kiefer[Baum]::N,fura,pedai
151,Weide[Baum]::N,víðir,raid
152,Tanne::N,greni,kuz'
153,Horn::N,horn,sar'v
154,Feder::N,fjöður,höuneh
155,Fell::N,skinn,nahk
156,Flügel::N,vængur,suug
157,Klaue::N,kló,künz'
158,Kralle::N,kló,künz'
159,Schwanz::N,rófa,händ
160,Schwanz::N,skott,händ
161,Ei::N,egg,muna
162,Nest::N,hreiður,peza
163,Bau::N,greni,uru
164,Bau::N,bæli,uru
165,Tier::N,dýr,živat
166,Herde::N,hjörð,kogo
167,Kuh::N,kýr,lehm
168,Bulle::N,boli,härg
169,Pferd::N,hestur,hebo
170,Schaf::N,kind,lambaz
171,Schwein::N,svín,siga
172,Hund::N,hundur,koir
173,Katze::N,köttur,kaži
174,Bär::N,björn,kondi
175,Eichhörnchen::N,íkorni,orav
176,Elch::N,elgur,hirb'
177,Fuchs::N,refur,reboi
178,Hase::N,héri,jäniš
179,Maus::N,mús,hir'
180,Wolf::N,úlfur,händikaz
181,Vogel::N,fugl,lind
