,Concept_ID,ce,kl
0,Auge::N,бӏаьрг,isi
1,Ohr::N,лерг,siut
2,Nase::N,мара,
3,Mund::N,бага,paaq
4,Mund::N,бага,qaneq
5,Zahn::N,церг,kigut
6,Zunge::N,мотт,oqaq
7,Lippe::N,балда,qarloq
8,Wange::N,бесни,ersaq
9,Gesicht::N,юьхь,kiinaq
10,Stirn::N,хьаж,qaaq
11,Haar::N,мас,meqqoq
12,Schnurrbart::N,мекх,
13,Bart::N,маж,umik
14,Kinn::N,чӏениг,talloq
15,Kiefer[Anatomie]::N,мочхал,alleroq
16,Kehle::N,къамкъарг,malaq
17,Hals::N,ворта,qungaseq
18,Genick::N,кӏесаркӏаг,pukusuk
19,Kopf::N,корта,niaqoq
20,Rücken::N,букъ,qimerlut
21,Bauch::N,кийра,naaq
22,Nabel::N,цӏонга,qalaseq
23,Busen::N,зударийн накха,iviangeq
24,Brust::N,накха,iviangeq
25,Schulter::N,белш,ersik
26,Schulter::N,белш,assaqqoq
27,Arm::N,пхьарс,taleq
28,Ellenbogen::N,пхьаьрсан гола,ikusik
29,Hand::N,куьг,assak
30,Handfläche::N,кераюкъ,itumak
31,Finger::N,пӏелг,inuak
32,Fingernagel::N,мӏара,kikiak
33,Nagel[Anatomie]::N,мӏара,kukik
34,Zeh::N,кога пӏелг,isigak
35,Fuß::N,ког,
36,Ferse::N,кӏажа,kimmik
37,Knie::N,гола,seeqqoq
38,Oberschenkel::N,варе,uppat
39,Oberschenkel::N,варе,quttoraq
40,Bein::N,ког,isigak
41,Körper::N,хӏума,timi
42,Haut::N,чкъор,mattak
43,Blut::N,цӏий,aak
44,Ader::N,пха,taqaq
45,Sehne::N,хьорзам,ujalu
46,Sehne::N,хьорзам,ujaloq
47,Knochen::N,даьӏахк,saanikut
48,Gehirn::N,хье,qarasaq
49,Herz::N,дог,uummat
50,Magen::N,зорх,aqajaroq
51,Leber::N,доӏах,tinguk
52,Atem::N,садеӏар,anerneq
53,Hunger::N,мацалла,kaanneq
54,Träne::N,бӏаьрхи,qia
55,Träne::N,бӏаьрхи,qiak
56,Geschmack::N,чам,qilanaartuut
57,Geruch::N,хьожа,tipi
58,Geruch::N,хьожа,tipik
59,Schlaf::N,наб,
60,Traum::N,гӏан,sinnattoq
61,Traum::N,гӏан,sinnattugaq
62,Himmel::N,стигал,qilak
63,Sonne::N,малх,seqineq
64,Mond::N,бутт,qaammat
65,Stern::N,седа,ulloriaq
66,Luft::N,xӏаваъ,silaannaq
67,Wind::N,мох,anori
68,Wind::N,мох,anorsarik
69,Welle::N,тулгӏе,aalappaa
70,Wasser::N,хи,imeq
71,Stein::N,тӏулг,ujarak
72,Boden::N,цӏенкъа,nateq
73,Erde::N,латта,issoq
74,Staub::N,чан,pujualanerit
75,Staub::N,чан,pujoralanerit
76,Rauch::N,кӏур,iseq
77,Rauch::N,кӏур,pujoq
78,Funke::N,суй,illoorneq
79,Feuer::N,цӏе,inneq
80,Licht::N,серло,qaamaneq
81,Schatten::N,ӏиндагӏ,tarraq
82,Wetter::N,хенан хӏоттам,sila
83,Nebel::N,дохк,pujoq
84,Wolke::N,марха,nuia
85,Regen::N,догӏа,sialuk
86,Schnee::N,ло,aput
87,Eis::N,ша,siku
88,Frost::N,шело,issi
89,Frost::N,шело,issik
90,Kälte::N,шело,issi
91,Hitze::N,йовхо,kianneq
92,Hitze::N,йовхо,kiassuseq
93,Raureif::N,йис,kaneq
94,Regenbogen::N,стелаӏад,neriusaaq
95,Donner::N,ткъес,kalleq
96,Strömung::N,дӏаэхар,
97,Strömung::N,дӏасалелар,
98,Tropfen::N,тӏадам,kuseriarneq
99,Schaum::N,чопа,qapuk
100,Schmutz::N,хатт,minguk
101,See::N,ӏам,taseq
102,Sumpf::N,уьшал,maqulluk
103,Moor::N,уьшал,
104,Wiese::N,бай,masarsuk
105,Wald::N,хьун,
106,Hügel::N,гу,qattuneq
107,Hügel::N,гу,majuariaq
108,Hügel::N,гу,majorajaaq
109,Hügel::N,гу,qaqqannguaq
110,Hügel::N,шу,qattuneq
111,Hügel::N,шу,majuariaq
112,Hügel::N,шу,majorajaaq
113,Hügel::N,шу,qaqqannguaq
114,Hügel::N,барз,qattuneq
115,Hügel::N,барз,majuariaq
116,Hügel::N,барз,majorajaaq
117,Hügel::N,барз,qaqqannguaq
118,Anhöhe::N,акъари,
119,Berg::N,лам,qaqqaq
120,Gipfel::N,бохь,
121,Höhle::N,хьех,qaarusuk
122,Abhang::N,басе,ippik
123,Abhang::N,басе,sivinganeq
124,Abhang::N,басе,sivingajaaq
125,Abhang::N,басе,kussangajaaq
126,Quelle::N,шовда,
127,Bach::N,татол,kuunnguaq
128,Fluss::N,хи,kuuk
129,Ufer::N,хийист,sissap sinaa
130,Küste::N,йист,sineriak
131,Festland::N,латта,
132,Meer::N,xӏорд,imaq
133,Bucht::N,чож,ikeq
134,Bucht::N,чож,kangerluk
135,Bucht::N,чож,kangerliumaneq
136,Insel::N,гӏайре,qeqertaq
137,Blume::N,зезаг,naasoq
138,Gras::N,буц,ivigaq
139,Wurzel::N,орам,niulutaq
140,Baum::N,дитт,orpik
141,Stamm::N,гӏад,kanaartaq
142,Stamm::N,тайпа,kanaartaq
143,Rinde::N,кевстиг,ameraq
144,Ast::N,га,avalequt
145,Zweig::N,га,avalequt
146,Blatt::N,гӏа,pilutaq
147,Birke::N,дакх,patitsit
148,Kiefer[Baum]::N,бага,
149,Weide[Baum]::N,дак,palleq
150,Tanne::N,база,orsuerneq
151,Horn::N,маӏа,nassuk
152,Feder::N,пелаг,suluk
153,Fell::N,цӏока,ameq
154,Flügel::N,тӏам,suluk
155,Flügel::N,тӏам,isaroq
156,Klaue::N,мӏара,kukik
157,Kralle::N,тlод,kukik
158,Schwanz::N,цӏога,pamioq
159,Schwanz::N,цӏога,paperuusaq
160,Ei::N,xӏoa,mannik
161,Nest::N,бен,ullut
162,Bau::N,lуьрг,ini
163,Tier::N,дийнат,uumasoq
164,Herde::N,жа,unguukkat
165,Kuh::N,етт,ussik
166,Bulle::N,сту,angukulak
167,Bulle::N,сту,anguteralak
168,Bulle::N,сту,angutikulooq
169,Pferd::N,говр,
170,Schaf::N,жий,sava
171,Schaf::N,уьстагӏ,sava
172,Schwein::N,хьакха,puuluki
173,Hund::N,жӏаьла,qimmeq
174,Katze::N,цициг,puisaaq
175,Bär::N,ча,allaq
176,Eichhörnchen::N,тарсал,sissinnguaq
177,Elch::N,сай,
178,Fuchs::N,цхьогал,terianniaq
179,Hase::N,пхьагал,ukaleq
180,Maus::N,дахка,teriannguaq
181,Wolf::N,борз,amaroq
182,Vogel::N,олхазар,timmiaq
183,Huhn::N,котам,kukkukooq
184,Huhn::N,котам,marloraaqaaq
185,Hahn::N,нӏаьна,kiasiusaq
186,Hahn::N,боргӏал,kiasiusaq
187,Gans::N,гӏаз,nerleq
188,Adler::N,aьрзу,nattoralik
189,Ente::N,бад,
190,Eule::N,бухӏа,uppik
191,Kranich::N,гӏаргӏули,qorlorfik
192,Krähe::N,къиг,tuluatsiaq
193,Kuckuck::N,aттйокх,kukkooq
194,Schwan::N,гӏургӏаз,qussuk
195,Fisch::N,чӏара,aalisagaq
196,Barsch::N,окунь,
