,Concept_ID,hy,br
0,Auge::N,աչք,lagad
1,Ohr::N,ականջ,skouarn
2,Nase::N,քիթ,fri
3,Mund::N,բերան,genoù
4,Zahn::N,ատամ,dant
5,Zunge::N,լեզու,teod
6,Lippe::N,շրթունք,muzell
7,Wange::N,այտ,chot
8,Wange::N,թուշ,chot
9,Gesicht::N,դեմք,dremm
10,Stirn::N,ճակատ,tal
11,Haar::N,մազ,blev
12,Schnurrbart::N,բեղ,mourenn
13,Bart::N,մորուք,barv
14,Kinn::N,կզակ,groñj
15,Kiefer[Anatomie]::N,ծնոտ,javed
16,Kehle::N,կոկորդ,gouzoug
17,Hals::N,վիզ,gouzoug
18,Hals::N,պարանոց,gouzoug
19,Genick::N,ծոծրակ,choug
20,Kopf::N,գլուխ,penn
21,Rücken::N,մեջք,kein
22,Bauch::N,փոր,kof
23,Bauch::N,որովայն,kof
24,Nabel::N,պորտ,begel
25,Busen::N,ծոց,bronn
26,Brust::N,կուրծք,bruched
27,Schulter::N,ուս,skoaz
28,Arm::N,թեւ,brec'h
29,Arm::N,բազուկ,brec'h
30,Ellenbogen::N,արմունկ,ilin
31,Hand::N,ձեռք,dorn
32,Handfläche::N,ափ,palv
33,Finger::N,մատ,biz
34,Fingernagel::N,եղունգ,ivin
35,Nagel[Anatomie]::N,եղունգ,ivin
36,Zeh::N,ոտքի մատ,biz-troad
37,Fuß::N,ոտք,troad
38,Ferse::N,գարշապար,seul
39,Knie::N,ծունկ,glin
40,Oberschenkel::N,ազդր,morzhed
41,Bein::N,ոտք,gar
42,Körper::N,մարմին,korf
43,Haut::N,մաշկ,kroc'hen
44,Blut::N,արյուն,gwad
45,Ader::N,երակ,gwazhi
46,Sehne::N,ջիղ,stir
47,Sehne::N,ձգտան,stir
48,Knochen::N,ոսկոր,askorn
49,Gehirn::N,խելք,empenn
50,Herz::N,սիրտ,kalon
51,Magen::N,ստամոքս,stomog
52,Leber::N,լյարդ,avu
53,Atem::N,շունչ,anal
54,Hunger::N,քաղց,naon
55,Träne::N,արտասուք,daer
56,Geschmack::N,համ,blaz
57,Geschmack::N,բուրմունք,blaz
58,Geruch::N,հոտ,c'hwezh
59,Geruch::N,բուրում,c'hwezh
60,Schlaf::N,քուն,kousked
61,Traum::N,երազ,hune
62,Himmel::N,երկինք,oabl
63,Sonne::N,արեւ,heol
64,Mond::N,լուսին,loar
65,Stern::N,աստղ,steredenn
66,Luft::N,օդ,aer
67,Wind::N,քամի,avel
68,Welle::N,ալիք,houlenn
69,Wasser::N,ջուր,dour
70,Stein::N,քար,maen
71,Boden::N,գետին,tachenn
72,Erde::N,հող,douar
73,Staub::N,փոշի,poultr
74,Rauch::N,ծուխ,moged
75,Funke::N,կայծ,ful
76,Feuer::N,կրակ,tan
77,Feuer::N,հրդեհ,tan
78,Licht::N,լույս,gouloù
79,Schatten::N,ստվեր,disheol
80,Wetter::N,եղանակ,amzer
81,Nebel::N,մեգ,brumenn
82,Nebel::N,մառախուղ,brumenn
83,Wolke::N,ամպ,koumoulenn
84,Regen::N,անձրև,glav
85,Schnee::N,ձյուն,erc'h
86,Eis::N,սառույց,skorn
87,Frost::N,սառնամանիք,rev
88,Kälte::N,դող,yen
89,Hitze::N,շոգ,tommder
90,Raureif::N,ցօղեղեամ,frim
91,Regenbogen::N,ծիածան,gwareg-ar-glav
92,Donner::N,որոտ,kurun
93,Strömung::N,հոսանք,red
94,Tropfen::N,կաթիլ,bannac'h
95,Tropfen::N,կաթիլ,takenn
96,Schaum::N,փրփուր,spoum
97,Schmutz::N,կեղտ,fank
98,See::N,լիճ,lenn
99,Sumpf::N,ճահիճ,gwern
100,Moor::N,ճահիճ,taouarc'heg
101,Wiese::N,մարգագետին,prad
102,Wald::N,անտառ,koad
103,Hügel::N,բլուր,torgenn
104,Anhöhe::N,բարձունք,run
105,Berg::N,լեռ,menez
106,Gipfel::N,գագաթ,barr
107,Gipfel::N,կատար,barr
108,Höhle::N,քարայր,kav
109,Abhang::N,լանջ,naou
110,Abhang::N,զառիվայր,naou
111,Quelle::N,աղբյուր,feunteun
112,Bach::N,վտակ,gwazh
113,Fluss::N,գետ,stêr
114,Ufer::N,ծովափ,ribl
115,Küste::N,ափ,aod
116,Küste::N,ծովափ,aod
117,Festland::N,ցամաք,douar
118,Meer::N,ծով,mor
119,Bucht::N,հաչիւն,mor-bihan
120,Insel::N,վղզի,enez
121,Blume::N,ծաղիկ,bleunienn
122,Gras::N,խոտ,geot
123,Wurzel::N,արմատ,gwrizienn
124,Baum::N,ծառ,gwezenn
125,Stamm::N,իրան,kef
126,Rinde::N,կեղեւ,rusk
127,Rinde::N,հաչոց,rusk
128,Ast::N,ճյուղ,barr
129,Zweig::N,ճյուղ,bod
130,Blatt::N,տերեւ,delienn
131,Birke::N,ցարասի,bezvenn
132,Kiefer[Baum]::N,սոճի,pinenn
133,Weide[Baum]::N,ուռենի,halegenn
134,Tanne::N,եղեւին,sapenn
135,Feder::N,փետուր,pluñv
136,Fell::N,մորթի,kreoñ
137,Flügel::N,թեւ,askell
138,Klaue::N,չանչ,skilf
139,Kralle::N,ճանկ,skilf
140,Schwanz::N,պոչ,lost
141,Ei::N,ձու,vi
142,Nest::N,բույն,neizh
143,Bau::N,որջ,douarenn
144,Bau::N,բայոց,douarenn
145,Tier::N,կենդանի,loen
146,Herde::N,հոտ,tropell
147,Kuh::N,կով,buoc'h
148,Bulle::N,ցուլ,tarv
149,Pferd::N,ձի,marc'h
150,Schaf::N,ոչխար,dañvad
151,Schwein::N,խոզ,pemoc'h
152,Hund::N,շուն,ki
153,Katze::N,կատու,kazh
154,Bär::N,արջ,arzh
155,Eichhörnchen::N,սկյուռ,gwiñver
156,Elch::N,հիւսիսային եղջերու,karv-dour
157,Fuchs::N,աղվես,louarn
158,Hase::N,նապաստակ,gad
159,Maus::N,մուկ,logodenn
160,Wolf::N,գայլ,bleiz
161,Vogel::N,թռչուն,labous
162,Schwarm::N,երամ,nijad
163,Huhn::N,հավ,yar
164,Hahn::N,աքաղաղ,kilhog
165,Gans::N,սագ,gwazenn
166,Adler::N,արծիվ,erer
167,Ente::N,բադ,houad
168,Eule::N,բու,toud
169,Kranich::N,կռունկ,garan
170,Krähe::N,ագռավ,bran
171,Kuckuck::N,կուկու,koukoug
