,Concept_ID,mdf,ku
0,Auge::N,сельме,çav
1,Ohr::N,пиле,guh
2,Nase::N,шалхка,bêvil
3,Mund::N,курга,dev
4,Zahn::N,пей,didan
5,Zunge::N,кяль,ziman
6,Lippe::N,търва́,lêv
7,Wange::N,щёка,dêm
8,Wange::N,щёка,hinarik
9,Gesicht::N,шама,rû
10,Stirn::N,коня,enî
11,Haar::N,шя́ярь,por
12,Schnurrbart::N,уса́,simbêl
13,Bart::N,сакал,rih
14,Kinn::N,ула,zenî
15,Kiefer[Anatomie]::N,саласка,arguşk
16,Kehle::N,кълдома,qirik
17,Kehle::N,кърга́парь,qirik
18,Hals::N,сялдаз,stû
19,Hals::N,сялдаз,qirik
20,Genick::N,шовонь,stû
21,Kopf::N,пря,serî
22,Rücken::N,копорь,pişt
23,Bauch::N,пеке,ûr
24,Bauch::N,пеке,zik
25,Nabel::N,по́кон,navik
26,Busen::N,потя,sîng
27,Brust::N,мяште,sîng
28,Schulter::N,лафту,mil
29,Arm::N,кядь,çepil
30,Ellenbogen::N,кенерьба́карь,enîşk
31,Hand::N,кядь,dest
32,Handfläche::N,кядьлапш,kefadest
33,Finger::N,сур,tilî
34,Fingernagel::N,кенже,neynuk
35,Nagel[Anatomie]::N,кенже,bizmar
36,Zeh::N,пильгосу́р,tilî linga
37,Fuß::N,пильге,ling
38,Fuß::N,пильгелапа,ling
39,Ferse::N,кочкяря,pahnî
40,Knie::N,эль,kabok
41,Knie::N,пълма́нжа,kabok
42,Oberschenkel::N,пильгепукша,rahn
43,Bein::N,пильге,çip
44,Körper::N,ро́нга,laş
45,Körper::N,ро́нга,gowde
46,Körper::N,по́нда,laş
47,Körper::N,по́нда,gowde
48,Haut::N,киське,çerm
49,Blut::N,вер,xwîn
50,Ader::N,сан,reh
51,Ader::N,верза́н,reh
52,Sehne::N,коське сан,reh
53,Knochen::N,пакарь,hestî
54,Gehirn::N,уй,mêjî
55,Herz::N,седи,dil
56,Magen::N,коткърдазь,navêş
57,Leber::N,макса,kezeb
58,Atem::N,лекома,hilm
59,Atem::N,ваймонь тарксема,hilm
60,Hunger::N,вачеши,birçîtî
61,Träne::N,сельмове́дь,hêstir
62,Geschmack::N,таньф,tam
63,Geruch::N,шине,bêhn
64,Schlaf::N,удома́,xew
65,Traum::N,он,xewn
66,Himmel::N,менель,ezman
67,Sonne::N,ши,roj
68,Mond::N,ков,heyv
69,Stern::N,тяште,stêrk
70,Luft::N,кожф,ba
71,Wind::N,варма,ba
72,Welle::N,тавла,şewl
73,Wasser::N,ведь,av
74,Stein::N,кев,kevir
75,Boden::N,мода,herd
76,Boden::N,потмакс,herd
77,Erde::N,мода,ax
78,Erde::N,мастор,ax
79,Staub::N,пуль,toz
80,Rauch::N,качам,dû
81,Funke::N,ця́тка,çirûşk
82,Feuer::N,тол,agir
83,Licht::N,ва́лда,ronahî
84,Schatten::N,цильф,sî
85,Wetter::N,уша,hewa
86,Nebel::N,тума́н,mij
87,Wolke::N,ковол,ewr
88,Regen::N,пизем,baran
89,Schnee::N,лов,berf
90,Eis::N,эй,qeşa
91,Frost::N,ке́льме,xûsik
92,Kälte::N,якшама,serma
93,Hitze::N,пси,germayî
94,Raureif::N,леш,şext
95,Regenbogen::N,а́тямъёнга,heftreng
96,Donner::N,атям,gire-gir
97,Strömung::N,шудема́,şewl
98,Tropfen::N,путькс,dilop
99,Tropfen::N,пътняфкс,dilop
100,Schaum::N,шов,kef
101,Schmutz::N,ърда́з,gemar
102,See::N,эрьхке,gol
103,Sumpf::N,шяй,hezek
104,Moor::N,шяй,mafêl
105,Wiese::N,луга,sûrik
106,Wald::N,вирь,çiya
107,Wald::N,вирь,daristan
108,Hügel::N,губо́р,gir
109,Hügel::N,пандоня,gir
110,Anhöhe::N,губо́р,sere gir
111,Berg::N,панда,kaş
112,Gipfel::N,пря,sere gir
113,Höhle::N,у́нда,şikeft
114,Abhang::N,па́нда ша́ма,kaş
115,Quelle::N,эшиня,kanî
116,Bach::N,шудерькс,çem
117,Fluss::N,ляй,çem
118,Fluss::N,ляй,rûbar
119,Ufer::N,търва́,kevî
120,Küste::N,ляйтърва́,berav
121,Festland::N,мода,bejahî
122,Meer::N,моря,behr
123,Bucht::N,ведьуське,derav
124,Insel::N,цёнга,girav
125,Blume::N,панчф,kulînk
126,Gras::N,тише,giha
127,Wurzel::N,юр,reh
128,Wurzel::N,ункс,reh
129,Baum::N,шуфта,dar
130,Stamm::N,ро́нга,bavik
131,Rinde::N,кер,qaqil
132,Ast::N,морга,gulî
133,Zweig::N,тарад,şax
134,Blatt::N,лопа,pel
135,Birke::N,ке́лу,dara sipî
136,Kiefer[Baum]::N,пиче,dara bî
137,Weide[Baum]::N,каль,dara belalûk
138,Tanne::N,куз,merx
139,Horn::N,сюра,strô
140,Feder::N,толга,pîrtîk
141,Fell::N,кедь,heyar
142,Flügel::N,паця,per
143,Klaue::N,кенже,napîk
144,Kralle::N,кенже,dinik
145,Kralle::N,кенже,dirnax
146,Schwanz::N,пула,dûv
147,Ei::N,ал,hêk
148,Nest::N,пиза,hêlîn
149,Bau::N,пиза,avahî
150,Tier::N,жува́та,heywan
151,Herde::N,нал,hoz
152,Herde::N,стада,hoz
153,Kuh::N,скал,çêlek
154,Kuh::N,тракс,çêlek
155,Bulle::N,бука,ga
156,Pferd::N,лишме,hesp
157,Schaf::N,уча́,mîh
158,Schwein::N,тува,beraz
159,Hund::N,пине,seh
160,Katze::N,катоня,pişîk
161,Katze::N,аваката,pişîk
162,Bär::N,офта,hirç
163,Eichhörnchen::N,ур,pilûr
164,Elch::N,ся́рда,pazkovî
165,Fuchs::N,келазь,rovî
166,Hase::N,ну́мол,kîroşk
167,Maus::N,шеер,mişk
168,Wolf::N,върьгаз,gur
169,Vogel::N,нармонь,çûk
170,Schwarm::N,ко́вол,lufik
171,Schwarm::N,ме́швеле,lufik
172,Huhn::N,сараз,mirîşk
173,Hahn::N,а́тякш,dîk
174,Gans::N,маци,qaz
175,Adler::N,куцькан,eylo
176,Ente::N,яксярга,werdek
177,Eule::N,ко́рож,bûm
178,Eule::N,ко́рож,kund
179,Kranich::N,ка́рга,quling
180,Krähe::N,ва́рси,qijik
181,Kuckuck::N,ку́ку,pepûk
182,Schwan::N,ло́ксти,qû
183,Fisch::N,кал,masî
184,Barsch::N,о́кунь,okûn
185,Hecht::N,щу́ка,mesîyê lûf
186,Schlange[Tier]::N,куй,mar
187,Wurm::N,сукс,kurm
188,Spinne::N,унжа́,pîrê
189,Ameise::N,панжам,mîro
190,Ameise::N,панжам,gêrîk
191,Laus::N,си,spi
192,Mücke::N,ся́ське,mêş
193,Fliege::N,кару,mêş
194,Schmetterling::N,ме́лав,perperîk
195,Beere::N,и́мож,hirç
196,Apfel::N,марь,sêv
197,Pilz::N,панга,bîrov
198,Zwiebel::N,шурьхкя́,pîvaz
199,Saat::N,видьмот,tov
200,Korn::N,сёра,dexl
201,Heu::N,тише,sap
202,Schale::N,кедь,qaşik
203,Grube::N,лотка,çahl
204,Falle::N,туфкс,dafik
205,Falle::N,кунда́ма,dafik
206,Schlinge::N,килькш,dahf
207,Spur::N,пильгоки́,rêç
208,Asche::N,кулу,xweli
209,Dreck::N,ърда́з,gemarî
210,Eisen::N,кшни,hesing
211,Gold::N,ока,zêr
212,Gold::N,золота,zêr
213,Silber::N,сия́,zîv
214,Kohle::N,седь,komir
215,Kohle::N,седьвальмя,komir
216,Glas::N,кля́нцек,qedeh
217,Lehm::N,сёвонь,kelpîç
218,Sand::N,шува́р,qûm
219,Mensch::N,ломань,mirov
220,Mann::N,аля,mêr
221,Mann::N,цёраломань,mêr
222,Frau::N,ава,jin
223,Kind::N,идь,zarok
224,Kind::N,шаба,zarok
225,Junge::N,цёраня,kur
226,Mädchen::N,стирня́,keç
227,Mädchen::N,стирня́,keçik
228,Familie::N,тнал,malbat
229,Familie::N,семья,malbat
230,Großvater::N,атя,bapîr
231,Großvater::N,щя́тя,bapîr
232,Großmutter::N,баба,pîrik
233,Eltern::N,тя́дят-а́лят,bavudê
234,Vater::N,аля,bav
235,Mutter::N,ава,dê
236,Mutter::N,ава,dayik
237,Mutter::N,тядя,dê
238,Mutter::N,тядя,dayik
239,Sohn::N,цёра,kur
240,Tochter::N,стирь,keç
241,Bruder::N,дуган,bira
242,Bruder::N,пяльне,bira
243,Schwester::N,ака,xweh
244,Schwester::N,сазор,xweh
245,Onkel::N,оця,am
246,Onkel::N,оця,xal
247,Onkel::N,патя,am
248,Onkel::N,патя,xal
249,Onkel::N,щеня́,am
250,Onkel::N,щеня́,xal
251,Tante::N,ака,metik
252,Tante::N,ака,xaltîk
253,Tante::N,щака,metik
254,Tante::N,щака,xaltîk
255,Ehemann::N,мирде,mêr
256,Ehefrau::N,ърьвя́,kulfet
257,Freude::N,ке́нярдема,kêfxweşî
258,Gelächter::N,рахсема,pîrqînî
259,Glück::N,паваз,bext
260,Kummer::N,ризф,derd
261,Kummer::N,пичефкс,derd
262,Wunsch::N,мяль,daxwaz
263,Wunsch::N,мяль,xwestek
264,Wunsch::N,таколдома,daxwaz
265,Wunsch::N,таколдома,xwestek
266,Lust::N,таколдома,şewq
267,Geist::N,вайме,aqil
268,Gedanke::N,мяль,fikir
269,Gedächtnis::N,прявий,aqil
270,Verstand::N,прявий,fêm
271,Sinn::N,ён,aqil
272,Grund::N,туфта́л,asas
273,Wahrheit::N,ви́де,rastî
274,Wahrheit::N,видеши́,rastî
275,Gespräch::N,корхтама,guftûgo
276,Märchen::N,ёфкс,çirok
277,Erzählung::N,азкс,çirok
278,Erzählung::N,азкс,vegotin
279,Nachricht::N,куля́,nûçe
280,Neuigkeit::N,куля́,hewal
281,Name::N,лем,nav
282,Name::N,лем,paşnav
283,Rätsel::N,со́дама ёфкс,tiştonek
284,Rede::N,вал,gotar
285,Rede::N,вал,axavtin
286,Rede::N,корхтама,gotar
287,Rede::N,корхтама,axavtin
288,Sprache::N,кяль,ziman
289,Stimme::N,вайгяль,pejn
290,Wort::N,вал,gotin
291,Zeichen::N,тя́ште,şanek
292,Zeichen::N,тя́штькс,şanek
293,Ruf::N,тердема,hawar
294,Lärm::N,гайф,xarbalix
295,Lärm::N,жалакодома,xarbalix
296,Laut::N,вайгяль,deng
297,Laut::N,вайгяль,hês
298,Ton::N,вайгяль,awaz
299,Lied::N,мора,sitran
300,Ruhe::N,сетьме,rihetî
301,Leute::N,ломатть,xelk
302,Volk::N,наро́д,xelk
303,Arbeit::N,тев,xebat
304,Gast::N,и́нжи,mêvan
305,Gast::N,ко́нак,mêvan
306,Geschenk::N,казне,diyarî
307,Spiel::N,налхкома,lîstik
308,Spiel::N,налхксема,lîstik
309,Gesellschaft::N,кружок,komal
310,Hilfe::N,лездома,alîkarî
311,Freund::N,я́лга,heval
312,Kamerad::N,я́лга,heval
313,Angelegenheit::N,тев,pirsgirêk
314,Anzahl::N,лувкс,çend
315,Art::N,вид,çeh
316,Stück::N,пакш,lib
317,Stück::N,пакш,parçe
318,Teil::N,часть,parçe
319,Teil::N,пялькс,parçe
320,Hälfte::N,пяле,nîvî
321,Kreis::N,шаркс,çemil
322,Kreuz::N,крёз,xaç
323,Linie::N,межа,xezik
324,Linie::N,китькс,xezik
325,Strich::N,межа,xezik
326,Abstand::N,ётка,dûrahî
327,Entfernung::N,ётка,dûrahî
328,Gegend::N,ва́ста,dever
329,Gegend::N,перьфпя́ль,dever
330,Platz::N,ва́ста,çih
331,Ort::N,ва́ста,dever
332,Seite::N,пяле,rûpel
333,Mitte::N,кучка́,nav
334,Mitte::N,кучка́,nabênê
335,Gegenstand::N,веща,tişt
336,Sache::N,тев,tişt
337,Sache::N,веща,tişt
338,Rand::N,пе,kevî
339,Kante::N,и́рдез,kevî
340,Ecke::N,ужа,qunç
341,Spitze::N,пря,derzî
342,Ende::N,пе,talî
343,Loch::N,варя,qul
344,Winkel::N,ужа,kurnîşk
345,Muster::N,сёрма,desen
346,Größe::N,серь,mezinî
347,Länge::N,кува́лма,dirêjahî
348,Höhe::N,серь,bilindayî
349,Gewicht::N,сталма,giranî
350,Menge::N,лувкс,qas
351,Haufen::N,мар,lod
352,Reihe::N,ряд,rêz
353,Boot::N,венеж,kelek
354,Ruder::N,миле,bêrik
355,Schlitten::N,ну́рда,xîjik
356,Ski::N,сокс,lakan
357,Lagerfeuer::N,то́лмар,agir
358,Last::N,канкс,bar
359,Last::N,сталма,bar
360,Gang::N,молема,fîtêz
361,Schritt::N,аськолкс,gav
362,Norden::N,якшама шире,bakur
363,Süden::N,ля́мбе ши́ре,başur
364,Westen::N,ши валгома шире,rojava
365,Osten::N,шинь стяма шире,rojhilat
366,Holz::N,вирь,dep
367,Holz::N,шуфта,dep
368,Brett::N,лавця,dep
369,Platte::N,плита́,dep
370,Stütze::N,неже,destek
371,Stange::N,олга,sing
372,Stock::N,байдек,çam
373,Stab::N,олгоня,qat
374,Rohr::N,турама,borî
375,Haus::N,куд,mal
376,Haus::N,куд,xanî
377,Heim::N,куд,mal
378,Ofen::N,пянакуд,sobe
379,Fußboden::N,кия́кс,binpê
380,Tisch::N,шра,mase
381,Tisch::N,моркш,mase
382,Stuhl::N,стул,kursî
383,Wiege::N,нюря́м,derguş
384,Bett::N,ацам,qerewêle
385,Regal::N,лавцяланга,rêbaz
386,Kiste::N,парга,sindoq
387,Fenster::N,валмья,çam
