,Concept_ID,lv,da
0,Auge::N,син,øje
1,Auge::N,acs,øje
2,Ohr::N,пель,øre
3,Ohr::N,auss,øre
4,Nase::N,ныр,næse
5,Nase::N,deguns,næse
6,Mund::N,вом,mund
7,Mund::N,mute,mund
8,Zahn::N,пинь,tand
9,Zahn::N,zobs,tand
10,Zunge::N,кыв,tunge
11,Zunge::N,mēle,tunge
12,Lippe::N,вом дор,læbe
13,Lippe::N,lūpa,læbe
14,Wange::N,бан,kind
15,Wange::N,vaigs,kind
16,Gesicht::N,чужӧм,ansigt
17,Gesicht::N,seja,ansigt
18,Gesicht::N,ģīmis,ansigt
19,Stirn::N,плеш,pande
20,Stirn::N,кымӧс,pande
21,Stirn::N,piere,pande
22,Haar::N,си,hår
23,Haar::N,юрси,hår
24,Haar::N,mats,hår
25,Schnurrbart::N,ус,overskæg
26,Schnurrbart::N,пыртсим,overskæg
27,Schnurrbart::N,ūsas,overskæg
28,Bart::N,тош,skæg
29,Bart::N,bārda,skæg
30,Kinn::N,тшӧка,hage
31,Kinn::N,zods,hage
32,Kinn::N,smakrs,hage
33,Kiefer[Anatomie]::N,черлы,kæbe
34,Kiefer[Anatomie]::N,алака лы,kæbe
35,Kiefer[Anatomie]::N,вомкӧтш лы,kæbe
36,Kiefer[Anatomie]::N,žoklis,kæbe
37,Kehle::N,голя,strube
38,Kehle::N,rīkle,strube
39,Hals::N,сьылі,hals
40,Hals::N,kakls,hals
41,Genick::N,юрбӧр,nakke
42,Genick::N,балябӧж,nakke
43,Genick::N,sprands,nakke
44,Kopf::N,юр,hoved
45,Kopf::N,galva,hoved
46,Rücken::N,мыш,ryg
47,Rücken::N,mugura,ryg
48,Bauch::N,рушку,mave
49,Bauch::N,vēders,mave
50,Nabel::N,гӧг,navle
51,Nabel::N,naba,navle
52,Busen::N,морӧс,barm
53,Busen::N,krūts,barm
54,Brust::N,морӧс,bryst
55,Brust::N,krūts,bryst
56,Schulter::N,пельпом,skulder
57,Schulter::N,plecs,skulder
58,Arm::N,ки,arm
59,Arm::N,roka,arm
60,Arm::N,delms,arm
61,Ellenbogen::N,гырддза,albue
62,Ellenbogen::N,elkonis,albue
63,Hand::N,ки,hånd
64,Hand::N,roka,hånd
65,Hand::N,plauksta,hånd
66,Handfläche::N,ки пыдӧс,håndflade
67,Handfläche::N,delna,håndflade
68,Handfläche::N,plauksta,håndflade
69,Finger::N,чунь,finger
70,Finger::N,pirksts,finger
71,Fingernagel::N,гыж,fingernegl
72,Fingernagel::N,nags,fingernegl
73,Nagel[Anatomie]::N,гыж,negl
74,Nagel[Anatomie]::N,nags,negl
75,Zeh::N,кок чунь,tå
76,Zeh::N,pirksts,tå
77,Fuß::N,кок,fod
78,Fuß::N,kāja,fod
79,Ferse::N,кокбӧр,hæl
80,Ferse::N,papēdis,hæl
81,Knie::N,пидзӧс,knæ
82,Knie::N,celis,knæ
83,Oberschenkel::N,лядьвей,lår
84,Oberschenkel::N,бек,lår
85,Oberschenkel::N,ciska,lår
86,Oberschenkel::N,augšstilbs,lår
87,Bein::N,кок,ben
88,Bein::N,kāja,ben
89,Körper::N,туша,krop
90,Körper::N,туша,legeme
91,Körper::N,вывтыр,krop
92,Körper::N,вывтыр,legeme
93,Körper::N,miesa,krop
94,Körper::N,miesa,legeme
95,Körper::N,ķermenis,krop
96,Körper::N,ķermenis,legeme
97,Haut::N,ку,hud
98,Haut::N,āda,hud
99,Blut::N,вир,blod
100,Blut::N,asins,blod
101,Ader::N,сӧн,åre
102,Ader::N,asinsvads,åre
103,Sehne::N,вез,sene
104,Sehne::N,dzīsla,sene
105,Knochen::N,лы,ben
106,Knochen::N,kauls,ben
107,Gehirn::N,вем,hjerne
108,Gehirn::N,smadzenes,hjerne
109,Herz::N,сьӧлӧм,hjerte
110,Herz::N,sirds,hjerte
111,Magen::N,кынӧм,mave
112,Magen::N,kuņģis,mave
113,Leber::N,мус,lever
114,Leber::N,aknas,lever
115,Atem::N,лов,ånde
116,Atem::N,elpa,ånde
117,Hunger::N,тшыг,sult
118,Hunger::N,bads,sult
119,Hunger::N,izsalkums,sult
120,Träne::N,синва,tåre
121,Träne::N,asara,tåre
122,Geschmack::N,кӧр,smag
123,Geschmack::N,чӧсмӧс,smag
124,Geschmack::N,garša,smag
125,Geruch::N,зын,lugt
126,Geruch::N,дук,lugt
127,Geruch::N,smaka,lugt
128,Schlaf::N,узьӧм,søvn
129,Schlaf::N,miegs,søvn
130,Traum::N,вӧт,drøm
131,Traum::N,вӧтасьӧм,drøm
132,Traum::N,sapnis,drøm
133,Himmel::N,енэж,himmel
134,Himmel::N,debess,himmel
135,Sonne::N,шонді,sol
136,Sonne::N,saule,sol
137,Mond::N,тӧлысь,måne
138,Mond::N,mēness,måne
139,Stern::N,кодзув,stjerne
140,Stern::N,zvaigzne,stjerne
141,Luft::N,сынӧд,luft
142,Luft::N,gaiss,luft
143,Wind::N,тӧв,vind
144,Wind::N,vējš,vind
145,Welle::N,гы,bølge
146,Welle::N,vilnis,bølge
147,Wasser::N,ва,vand
148,Wasser::N,ūdens,vand
149,Stein::N,из,sten
150,Stein::N,akmens,sten
151,Boden::N,му,jord
152,Boden::N,augsne,jord
153,Erde::N,му,jord
154,Erde::N,му-ва,jord
155,Erde::N,zeme,jord
156,Staub::N,бус,støv
157,Staub::N,putekļi,støv
158,Rauch::N,тшын,røg
159,Rauch::N,dūmi,røg
160,Funke::N,кинь,gnist
161,Funke::N,би кинь,gnist
162,Funke::N,dzirkstele,gnist
163,Feuer::N,би,ild
164,Feuer::N,uguns,ild
165,Licht::N,югӧр,lys
166,Licht::N,gaisma,lys
167,Schatten::N,вуджӧр,skygge
168,Schatten::N,ēna,skygge
