,Concept_ID,uz,ja
0,Auge::N,ko'z,目
1,Ohr::N,quloq,耳
2,Nase::N,burun,鼻
3,Mund::N,og'iz,口
4,Zahn::N,tish,歯
5,Zunge::N,til,舌
6,Lippe::N,dudoq,唇
7,Wange::N,bet,頬
8,Gesicht::N,yuz,顔
9,Stirn::N,manglay,額
10,Haar::N,soch,髪
11,Schnurrbart::N,mo'ylov,口髭
12,Bart::N,soqol,髭
13,Kinn::N,ängak,顎
14,Kiefer[Anatomie]::N,iyak,顎
15,Kehle::N,bo'g'iz,喉
16,Hals::N,bo'yin,首
17,Genick::N,gardan,首
18,Kopf::N,bosh,頭
19,Rücken::N,orqa,背中
20,Bauch::N,qorin,腹
21,Bauch::N,qorin,お腹
22,Nabel::N,kindik,へそ
23,Busen::N,ämchak,乳房
24,Brust::N,ko'krak,胸
25,Schulter::N,elka,肩
26,Arm::N,bilak,腕
27,Ellenbogen::N,tirsak,肘
28,Hand::N,qo'l,手
29,Handfläche::N,kaft,手のひら
30,Finger::N,barmoq,指
31,Fingernagel::N,tirnoq,爪
32,Nagel[Anatomie]::N,tirnoq,爪
33,Zeh::N,oyoq barmog'i,足の指
34,Fuß::N,oyoq,足
35,Ferse::N,tovon,かかと
36,Knie::N,tiz,膝
37,Oberschenkel::N,son,上腿
38,Bein::N,oyoq,足
39,Körper::N,badna,体
40,Haut::N,teri,皮膚
41,Blut::N,qon,血
42,Ader::N,qon tomir,血管
43,Sehne::N,tomir,腱
44,Knochen::N,suyak,骨
45,Gehirn::N,miya,脳
46,Herz::N,qalb,心
47,Herz::N,qalb,心臓
48,Magen::N,oshqozon,胃
49,Leber::N,bag'ir,肝臓
50,Atem::N,dam,息
51,Atem::N,dam,呼吸
52,Hunger::N,ochlik,空腹
53,Träne::N,yosh,涙
54,Geschmack::N,tam,味
55,Geruch::N,jid,匂い
56,Schlaf::N,uyqu,睡眠
57,Traum::N,tush,夢
58,Himmel::N,osmon,空
59,Sonne::N,quyosh,太陽
60,Mond::N,oy,月
61,Stern::N,yulduz,星
62,Luft::N,havo,空気
63,Wind::N,el,風
64,Welle::N,to'lqin,波
65,Wasser::N,suv,水
66,Stein::N,tosh,石
67,Boden::N,tuproq,土地
68,Erde::N,er,土
69,Staub::N,chang,埃
70,Rauch::N,tutun,煙
71,Funke::N,yalt,火花
72,Feuer::N,o't,火
73,Licht::N,yorug',光
74,Schatten::N,soya,陰
75,Wetter::N,havo,天気
76,Nebel::N,tuman,霧
77,Wolke::N,bulut,雲
78,Regen::N,yomg'ir,雨
79,Schnee::N,qor,雪
80,Eis::N,muz,氷
81,Frost::N,ajoz,霜
82,Kälte::N,ajoz,寒さ
83,Hitze::N,issiq,暑さ
84,Raureif::N,qirov,霧氷
85,Regenbogen::N,kamalak,虹
86,Donner::N,guldur,雷
87,Strömung::N,oqim,流れ
88,Tropfen::N,tomchi,滴
89,Schaum::N,ko'pik,泡
90,Schmutz::N,gard,汚れ
91,See::N,ko'l,湖
92,Sumpf::N,botqoq,沼
93,Moor::N,qir-adir,湿原
94,Wiese::N,o'tzor,草原
95,Wald::N,o'rmon,森
96,Hügel::N,tepa,丘
97,Anhöhe::N,adir,高み
98,Berg::N,tog',山
99,Gipfel::N,cho'qqi,頂上
100,Höhle::N,kavak,洞窟
101,Abhang::N,to'sh,斜面
102,Quelle::N,buloq,泉
103,Bach::N,o'zan,小川
104,Fluss::N,daryo,川
105,Ufer::N,sohil,岸
106,Küste::N,qirg'oq,海岸
107,Festland::N,materik,陸
108,Meer::N,dengiz,海
109,Bucht::N,qo'ltiq,湾
110,Insel::N,orol,島
111,Blume::N,gul,花
112,Gras::N,sabza,草
113,Wurzel::N,tub,根
114,Wurzel::N,tomir,根
115,Baum::N,daraxt,木
116,Stamm::N,o'simta,幹
117,Rinde::N,qobiq,皮層
118,Ast::N,shox,枝
119,Zweig::N,butoq,小枝
120,Blatt::N,barg,葉
121,Birke::N,qayin,樺
122,Kiefer[Baum]::N,qarag'ay,松
123,Weide[Baum]::N,shum,柳
124,Tanne::N,archa,樅
125,Horn::N,mugiz,角
126,Feder::N,par,羽根
127,Fell::N,mo'yna,毛皮
128,Flügel::N,qanot,羽
129,Klaue::N,tirnoq,鉤爪
130,Kralle::N,tirnoq,爪
131,Schwanz::N,quyruq,尻尾
132,Ei::N,tuxum,卵
133,Nest::N,oshyon,巣
134,Bau::N,o'pqon,穴
