,Concept_ID,fi,uz
0,Auge::N,silmä,ko'z
1,Ohr::N,korva,quloq
2,Nase::N,nenä,burun
3,Mund::N,suu,og'iz
4,Zahn::N,hammas,tish
5,Zunge::N,kieli,til
6,Lippe::N,huuli,dudoq
7,Wange::N,poski,bet
8,Gesicht::N,naama,yuz
9,Gesicht::N,kasvot,yuz
10,Stirn::N,otsa,manglay
11,Haar::N,hius,soch
12,Haar::N,tukka,soch
13,Schnurrbart::N,viikset,mo'ylov
14,Bart::N,parta,soqol
15,Kinn::N,leuka,ängak
16,Kiefer[Anatomie]::N,leukaluu,iyak
17,Kehle::N,kurkku,bo'g'iz
18,Hals::N,kaula,bo'yin
19,Genick::N,niska,gardan
20,Kopf::N,pää,bosh
21,Rücken::N,selkä,orqa
22,Bauch::N,maha,qorin
23,Bauch::N,vatsa,qorin
24,Nabel::N,napa,kindik
25,Busen::N,rinta,ämchak
26,Brust::N,rinta,ko'krak
27,Schulter::N,olka,elka
28,Schulter::N,hartia,elka
29,Schulter::N,olkapää,elka
30,Arm::N,käsivarsi,bilak
31,Ellenbogen::N,kyynärpää,tirsak
32,Hand::N,käsi,qo'l
33,Handfläche::N,kämmen,kaft
34,Finger::N,sormi,barmoq
35,Fingernagel::N,kynsi,tirnoq
36,Nagel[Anatomie]::N,kynsi,tirnoq
37,Zeh::N,varvas,oyoq barmog'i
38,Fuß::N,jalka,oyoq
39,Ferse::N,kantapää,tovon
40,Knie::N,polvi,tiz
41,Oberschenkel::N,reisi,son
42,Bein::N,jalka,oyoq
43,Körper::N,keho,badna
44,Körper::N,ruumis,badna
45,Haut::N,iho,teri
46,Blut::N,veri,qon
47,Ader::N,suoni,qon tomir
48,Sehne::N,jänne,tomir
49,Knochen::N,luu,suyak
50,Gehirn::N,aivot,miya
51,Herz::N,sydän,qalb
52,Magen::N,maha,oshqozon
53,Magen::N,vatsa,oshqozon
54,Leber::N,maksa,bag'ir
55,Atem::N,henki,dam
56,Atem::N,hengitys,dam
57,Hunger::N,nälkä,ochlik
58,Träne::N,kyynel,yosh
59,Geschmack::N,maku,tam
60,Geruch::N,haju,jid
61,Schlaf::N,uni,uyqu
62,Traum::N,uni,tush
63,Himmel::N,taivas,osmon
64,Sonne::N,aurinko,quyosh
65,Mond::N,kuu,oy
66,Stern::N,tähti,yulduz
67,Luft::N,ilma,havo
68,Wind::N,tuuli,el
69,Welle::N,aalto,to'lqin
70,Wasser::N,vesi,suv
71,Stein::N,kivi,tosh
72,Boden::N,maa,tuproq
73,Boden::N,maaperä,tuproq
74,Erde::N,maa,er
75,Staub::N,pöly,chang
76,Rauch::N,savu,tutun
77,Funke::N,kipinä,yalt
78,Feuer::N,tuli,o't
79,Licht::N,valo,yorug'
80,Schatten::N,varjo,soya
81,Wetter::N,sää,havo
82,Nebel::N,sumu,tuman
83,Wolke::N,pilvi,bulut
84,Regen::N,sade,yomg'ir
85,Schnee::N,lumi,qor
