,Concept_ID,pl,fi
0,Auge::N,oko,silmä
1,Ohr::N,ucho,korva
2,Nase::N,nos,nenä
3,Mund::N,usta,suu
4,Zahn::N,ząb,hammas
5,Zunge::N,język,kieli
6,Lippe::N,warga,huuli
7,Wange::N,policzek,poski
8,Gesicht::N,twarz,naama
9,Gesicht::N,twarz,kasvot
10,Stirn::N,czoło,otsa
11,Haar::N,włos,hius
12,Haar::N,włos,tukka
13,Haar::N,włosy,hius
14,Haar::N,włosy,tukka
15,Schnurrbart::N,wąsy,viikset
16,Bart::N,broda,parta
17,Kinn::N,podbródek,leuka
18,Kiefer[Anatomie]::N,czeluść,leukaluu
19,Kehle::N,gardło,kurkku
20,Hals::N,szyja,kaula
21,Genick::N,kark,niska
22,Kopf::N,głowa,pää
23,Rücken::N,plecy,selkä
24,Rücken::N,grzbiet,selkä
25,Bauch::N,brzuch,maha
26,Bauch::N,brzuch,vatsa
27,Nabel::N,pępek,napa
28,Busen::N,biust,rinta
29,Brust::N,pierś,rinta
30,Schulter::N,bark,olka
31,Schulter::N,bark,hartia
32,Schulter::N,bark,olkapää
33,Schulter::N,ramię,olka
34,Schulter::N,ramię,hartia
35,Schulter::N,ramię,olkapää
36,Arm::N,ręka,käsivarsi
37,Arm::N,ramię,käsivarsi
38,Ellenbogen::N,łokieć,kyynärpää
39,Hand::N,dłoń,käsi
40,Handfläche::N,dłoń,kämmen
41,Finger::N,palec,sormi
42,Fingernagel::N,paznokieć,kynsi
43,Nagel[Anatomie]::N,paznokieć,kynsi
44,Zeh::N,palec,varvas
45,Fuß::N,stopa,jalka
46,Ferse::N,pięta,kantapää
47,Knie::N,kolano,polvi
48,Oberschenkel::N,udo,reisi
49,Bein::N,noga,jalka
50,Körper::N,ciało,keho
51,Körper::N,ciało,ruumis
52,Haut::N,skóra,iho
53,Blut::N,krew,veri
54,Ader::N,żyła,suoni
55,Sehne::N,ścięgno,jänne
56,Knochen::N,kość,luu
57,Gehirn::N,mózg,aivot
58,Herz::N,serce,sydän
59,Magen::N,żołądek,maha
60,Magen::N,żołądek,vatsa
61,Leber::N,wątroba,maksa
62,Atem::N,dech,henki
63,Atem::N,dech,hengitys
64,Atem::N,oddech,henki
65,Atem::N,oddech,hengitys
66,Hunger::N,głód,nälkä
67,Träne::N,łza,kyynel
68,Geschmack::N,smak,maku
69,Geruch::N,woń,haju
70,Geruch::N,zapach,haju
71,Schlaf::N,sen,uni
72,Traum::N,sen,uni
73,Himmel::N,niebo,taivas
74,Sonne::N,słońce,aurinko
75,Mond::N,księżyc,kuu
76,Stern::N,gwiazda,tähti
77,Luft::N,powietrze,ilma
78,Wind::N,wiatr,tuuli
79,Welle::N,fala,aalto
80,Wasser::N,woda,vesi
81,Stein::N,kamień,kivi
82,Boden::N,grunt,maa
83,Boden::N,grunt,maaperä
84,Erde::N,ziemia,maa
85,Staub::N,pył,pöly
86,Staub::N,kurz,pöly
87,Rauch::N,dym,savu
88,Funke::N,iskra,kipinä
89,Feuer::N,ogień,tuli
90,Licht::N,światło,valo
91,Schatten::N,cień,varjo
92,Wetter::N,pogoda,sää
93,Nebel::N,mgła,sumu
94,Wolke::N,obłok,pilvi
95,Wolke::N,chmura,pilvi
96,Regen::N,deszcz,sade
97,Schnee::N,śnieg,lumi
98,Eis::N,lód,jää
99,Frost::N,mróz,halla
100,Frost::N,mróz,pakkanen
101,Kälte::N,chłód,vilu
102,Kälte::N,chłód,kylmyys
103,Hitze::N,gorąco,helle
104,Hitze::N,gorąco,kuumuus
105,Raureif::N,szron,huurre
106,Regenbogen::N,tęcza,sateenkaari
107,Donner::N,grzmot,jyrinä
108,Strömung::N,nurt,virtaus
109,Tropfen::N,kropla,tippa
110,Tropfen::N,kropla,pisara
111,Schaum::N,piana,vaahto
112,Schmutz::N,brud,loka
113,See::N,jezioro,järvi
114,Sumpf::N,bagno,suo
115,Moor::N,bagno,räme
116,Wiese::N,łąka,niitty
117,Wald::N,las,metsä
118,Hügel::N,pagórek,mäki
119,Hügel::N,pagórek,kumpu
120,Hügel::N,pagórek,kukkula
121,Anhöhe::N,wzgórze,mäki
122,Anhöhe::N,wzgórze,kumpare
123,Berg::N,góra,mäki
124,Berg::N,góra,vuori
125,Gipfel::N,szczyt,laki
126,Gipfel::N,szczyt,huippu
127,Gipfel::N,wierzchołek,laki
128,Gipfel::N,wierzchołek,huippu
129,Höhle::N,pieczara,luola
130,Abhang::N,stok,rinne
131,Abhang::N,zbocze,rinne
132,Quelle::N,zdrój,lähde
133,Quelle::N,źródło,lähde
134,Bach::N,potok,puro
135,Bach::N,strumień,puro
136,Fluss::N,rzeka,joki
137,Ufer::N,brzeg,ranta
138,Küste::N,wybrzeże,rannikko
139,Festland::N,ląd,manner
140,Meer::N,morze,meri
141,Bucht::N,zatoka,lahti
142,Insel::N,wyspa,saari
143,Blume::N,kwiat,kukka
144,Gras::N,trawa,ruoho
145,Wurzel::N,korzeń,juuri
146,Baum::N,drzewo,puu
147,Stamm::N,pień,runko
148,Rinde::N,kora,kuori
149,Rinde::N,kora,parkki
150,Ast::N,gałąź,oksa
151,Zweig::N,gałąź,haara
152,Blatt::N,liść,lehti
153,Birke::N,brzoza,koivu
154,Kiefer[Baum]::N,sosna,mänty
155,Kiefer[Baum]::N,sosna,petäjä
156,Weide[Baum]::N,wierzba,paju
157,Tanne::N,jodła,kuusi
158,Horn::N,róg,sarvi
159,Feder::N,pióro,sulka
160,Feder::N,pióro,höyhen
