,Concept_ID,az,ka
0,Auge::N,göz,თვალი
1,Ohr::N,qulaq,ყური
2,Nase::N,burun,ცხვირი
3,Mund::N,ağız,პირი
4,Zahn::N,diş,კბილი
5,Zunge::N,dil,ენა
6,Lippe::N,dodaq,ბაგე
7,Wange::N,yanaq,ლოყა
8,Gesicht::N,üz,სახე
9,Stirn::N,alın,შუბლი
10,Haar::N,saç,თმა
11,Schnurrbart::N,bığ,ულვაში
12,Bart::N,saqqal,წვერი
13,Kinn::N,çənə,ნიკაპი
14,Kiefer[Anatomie]::N,çənə,ყბა
15,Kehle::N,boğaz,ყელი
16,Hals::N,boyun,ყელი
17,Hals::N,boyun,კისერი
18,Genick::N,ənsə,კეფა
19,Kopf::N,baş,თავი
20,Rücken::N,bel,ზურგი
21,Bauch::N,qarın,მუცელი
22,Nabel::N,göbək,ჭიპი
23,Busen::N,məmə,ძუძუ
24,Brust::N,döş,მკერდი
25,Schulter::N,çiyin,მხარი
26,Schulter::N,çiyin,მკლავი
27,Arm::N,qol,ხელი
28,Ellenbogen::N,dirsək,იდაყვი
29,Hand::N,əl,ხელი
30,Handfläche::N,ovuc,ნები
31,Handfläche::N,ovuc,ხელისგული
32,Finger::N,barmaq,თითი
33,Fingernagel::N,barmaq dırnağı,ფრჩხილი
34,Nagel[Anatomie]::N,dırnak,ფრჩხილი
35,Zeh::N,ayaq barmağı,ფეხის თითი
36,Fuß::N,ayaq,ტერფი
37,Fuß::N,ayaq,ფეხისგული
38,Ferse::N,daban,ქუსლი
39,Knie::N,diz,მუხლი
40,Oberschenkel::N,bud,ბარძაყი
41,Bein::N,qıç,ფეხი
42,Körper::N,əndam,ტანი
43,Körper::N,əndam,სხეული
44,Haut::N,dəri,კანი
45,Blut::N,qan,სისხლი
46,Ader::N,damar,ძარღვი
47,Sehne::N,vətər,მყესი
48,Knochen::N,sümük,ძვალი
49,Gehirn::N,beyin,ტვინი
50,Herz::N,ürək,გული
51,Magen::N,mədə,კუჭი
52,Leber::N,qara ciyər,ღვიძლი
53,Atem::N,nəfəs,სუნთქვა
54,Hunger::N,aclıq,შიმშილი
55,Träne::N,göz yaşı,ცრემლი
56,Geschmack::N,tam,გემო
57,Geschmack::N,ləzzət,გემო
58,Geruch::N,qoxu,სუნი
59,Schlaf::N,yuxu,ძილი
60,Traum::N,röya,სიზმარი
61,Himmel::N,göy,ცა
62,Himmel::N,səma,ცა
63,Sonne::N,günəş,მზე
64,Mond::N,ay,მთვარე
65,Stern::N,ulduz,ვარსკვლავი
66,Luft::N,hava,ჰაერი
67,Wind::N,yel,ქარი
68,Wind::N,külək,ქარი
69,Welle::N,dalğa,ტალღა
70,Wasser::N,su,წყალი
71,Stein::N,daş,ქვა
72,Boden::N,yer,მიწა
73,Boden::N,zəmin,მიწა
74,Erde::N,yer torpaq,ნიადაგი
75,Staub::N,toz,მტვერი
76,Rauch::N,tüstü,ბოლი
77,Rauch::N,tüstü,კვამლი
78,Funke::N,qığılcım,ნაკვესი
79,Feuer::N,od,ცეცხლი
80,Licht::N,işıq,შუქი
81,Licht::N,işıq,სინათლე
82,Schatten::N,kölgə,ლანდი
83,Schatten::N,kölgə,ჩრდილი
84,Wetter::N,hava,ამინდი
85,Nebel::N,duman,ნისლი
86,Wolke::N,bulud,ღრუბელი
87,Regen::N,yağış,წვიმა
88,Regen::N,yağmur,წვიმა
89,Schnee::N,qar,თოვლი
90,Eis::N,buz,თოში
91,Eis::N,buz,ყინული
92,Frost::N,ayaz,ყინვა
93,Kälte::N,soyuq,სიცივე
94,Hitze::N,coşğunluq,სიცხე
95,Raureif::N,qırov,ჭირხლი
96,Raureif::N,qırov,თრთვილი
97,Regenbogen::N,göy qurşağı,ცისარტყელა
98,Donner::N,göy gurultusu,ქუხილი
99,Strömung::N,axın,დინება
100,Tropfen::N,damcı,წვეთი
101,Schaum::N,köpük,ქაფი
102,Schaum::N,köpük,დორბლი
103,Schmutz::N,çamır,ჭუჭყი
104,Schmutz::N,çamır,ტალახი
105,See::N,göl,ტბა
106,Sumpf::N,bataqlıq,ჭაობი
107,Moor::N,bataqlıq,ტორფნარი
108,Wiese::N,çəmən,ველი
109,Wiese::N,çəmən,მდელო
110,Wald::N,meşə,ტყე
111,Hügel::N,təpə,ბორცვი
112,Anhöhe::N,təpə,მაღლობი
113,Berg::N,dağ,მთა
114,Gipfel::N,zirvə,მწვერვალი
115,Höhle::N,mağara,მღვიმე
116,Höhle::N,mağara,გამოქვებული
117,Abhang::N,yamac,ფერდობი
118,Quelle::N,bulaq,წყარო
119,Quelle::N,bulaq,სათავე
120,Bach::N,kiçik çay,რუ
121,Bach::N,kiçik çay,ნაკადული
122,Fluss::N,çay,მდინარე
123,Ufer::N,kənar,კიდე
124,Ufer::N,kənar,ნაპირი
125,Küste::N,sahil,ნაპირი
126,Festland::N,materik,ხმელეთი
127,Meer::N,dəniz,ზღვა
128,Bucht::N,körfəz,ყურე
129,Insel::N,ada,კუნძული
130,Blume::N,çiçək,ყვავილი
131,Gras::N,ot,ბალახი
132,Wurzel::N,kök,ძირი
133,Wurzel::N,kök,ფესვი
134,Baum::N,ağac,ხე
135,Stamm::N,gövdə,ტანი
136,Rinde::N,qabıq,ქერქი
137,Ast::N,şax,ტოტი
138,Zweig::N,budaq,შტო
139,Blatt::N,yarpaq,ფოთოლი
140,Birke::N,tozağacı,არყი
141,Kiefer[Baum]::N,şam,ფიჭვი
142,Weide[Baum]::N,söyüd,ტირიფი
143,Tanne::N,küknar,ნაძვი
144,Horn::N,buynuz,რქა
145,Feder::N,tük,ფრთა
146,Feder::N,lələk,ფრთა
147,Fell::N,xəz,ტყავი
148,Flügel::N,qanad,ფრთა
149,Klaue::N,pəncə,კლანჭი
150,Kralle::N,dırnaq,ტორი
151,Schwanz::N,quyruq,კუდი
152,Ei::N,yumurta,კვერცხი
153,Nest::N,yuva,ბუდე
154,Bau::N,yuva,სორო
155,Tier::N,heyvan,ნადირი
156,Tier::N,heyvan,ცხოველი
157,Herde::N,sürü,ფარა
158,Kuh::N,inək,ფური
159,Kuh::N,inək,ძროხა
160,Bulle::N,öküz,ხარი
161,Pferd::N,at,რაში
162,Pferd::N,at,ცხენი
163,Schaf::N,qoyun,ცხვარი
164,Schwein::N,donuz,ღორი
165,Hund::N,it,ძაღლი
166,Hund::N,köpək,ძაღლი
167,Katze::N,pişik,კატა
168,Bär::N,ayı,დათვი
169,Eichhörnchen::N,dələ,ციყვი
170,Elch::N,sığın,ცხენ-ირემი
171,Fuchs::N,tülkü,მელა
172,Hase::N,dovşan,კურდღელი
173,Maus::N,siçan,თაგვი
174,Wolf::N,qurd,მგელი
175,Vogel::N,quş,ჩიტი
176,Vogel::N,quş,ფრინველი
177,Schwarm::N,sürü,გუნდი
178,Huhn::N,toyuq,დედალი
179,Hahn::N,xoruz,მამალი
180,Gans::N,qaz,ბატი
181,Adler::N,qartal,არწივი
182,Adler::N,qaraquş,არწივი
183,Ente::N,ördək,იხვი
184,Eule::N,bayquş,ბუ
