,Concept_ID,ru,kk
0,Auge::N,глаз,көз
1,Ohr::N,ухо,құлақ
2,Nase::N,нос,мұрын
3,Mund::N,рот,ауыз
4,Zahn::N,зуб,тіс
5,Zunge::N,язык,тіл
6,Lippe::N,губа,ерін
7,Wange::N,щека,ұрт
8,Gesicht::N,лицо,бет-аузы
9,Stirn::N,лоб,маңдай
10,Haar::N,волос,қыл
11,Haar::N,волосы,қыл
12,Schnurrbart::N,ус,мұрт
13,Schnurrbart::N,усы,мұрт
14,Bart::N,борода,сақал
15,Kinn::N,подбородок,иек
16,Kiefer[Anatomie]::N,челюсть,жақ
17,Kehle::N,горло,алқым
18,Hals::N,шея,мойын
19,Genick::N,затылок,желке
20,Kopf::N,голова,кәллә
21,Rücken::N,спина,арқа
22,Bauch::N,живот,қарын
23,Nabel::N,пупок,кіндік
24,Busen::N,женская грудь,омырау
25,Brust::N,грудь,кеуде
26,Schulter::N,плечо,иық
27,Arm::N,рука,қол
28,Ellenbogen::N,локоть,шынтақ
29,Hand::N,кисть,қол
30,Handfläche::N,ладонь,алақан
31,Finger::N,палец,саусақ
32,Fingernagel::N,ноготь,тырнақ
33,Nagel[Anatomie]::N,ноготь,тырнақ
34,Zeh::N,палец,тырнақ
35,Zeh::N,палец,тұяқ
36,Fuß::N,ступня,аяқ-басы
37,Ferse::N,пята,өкше
38,Ferse::N,пята,өкшелік
39,Ferse::N,пятка,өкше
40,Ferse::N,пятка,өкшелік
41,Knie::N,колено,тізе
42,Oberschenkel::N,бедро,жамбас
43,Bein::N,нога,аяқ
44,Körper::N,тело,дене
45,Haut::N,кожа,тері
46,Blut::N,кровь,қан
47,Ader::N,вена,көктамыр
48,Ader::N,вена,күретамыр
49,Ader::N,сосуд,көктамыр
50,Ader::N,сосуд,күретамыр
51,Sehne::N,жила,сіңір
52,Sehne::N,тетива,сіңір
53,Sehne::N,сухожилие,сіңір
54,Knochen::N,кость,жілік
55,Gehirn::N,мозг,ми
56,Herz::N,сердце,жүрек
57,Magen::N,желудок,асқазан
58,Leber::N,печень,бауыр
59,Atem::N,дух,леп
60,Atem::N,дыхание,леп
61,Hunger::N,голод,ашаршылық
62,Träne::N,слеза,жас
63,Geschmack::N,вкус,дәм
64,Geschmack::N,вкус,татым
65,Geschmack::N,вкус,талғам
66,Geruch::N,запах,иіс
67,Schlaf::N,сон,ұйқы
68,Schlaf::N,сон,ұйықтау
69,Traum::N,сновидение,түс
70,Himmel::N,небо,аспан
71,Himmel::N,небо,көқ
72,Himmel::N,небо,таңдай
73,Sonne::N,солнце,күн
74,Mond::N,луна,ай
75,Stern::N,звезда,жұлдыз
76,Luft::N,воздух,әуе
77,Wind::N,ветер,жел
78,Welle::N,волна,толқын
79,Wasser::N,вода,су
80,Stein::N,камень,тас
81,Boden::N,почва,қыртыс
82,Erde::N,земля,топырақ
83,Staub::N,пыль,шаң
84,Rauch::N,дым,түтін
85,Funke::N,искра,ұшқын
86,Feuer::N,огонь,алау
87,Licht::N,свет,шұғыла
88,Schatten::N,тень,көлеңке
89,Wetter::N,погода,ауа райы
90,Nebel::N,туман,тұман
91,Wolke::N,облако,бұлт
92,Regen::N,дождь,жаңбыр
93,Schnee::N,снег,қар
94,Eis::N,лед,мұз
95,Frost::N,мороз,суық
96,Kälte::N,холод,ызғар
97,Kälte::N,холод,суықтық
98,Hitze::N,жара,аптап
99,Raureif::N,иней,қырау
100,Regenbogen::N,радуга,кемпірқосақ
101,Donner::N,гром,күн күркіреу
102,Strömung::N,течение,ағын
103,Tropfen::N,капля,тамшы
104,Schaum::N,пена,көбік
105,Schmutz::N,грязь,кір
106,See::N,озеро,көл
107,Sumpf::N,топь,саз
108,Moor::N,болото,саз
109,Wiese::N,луг,шалғын
110,Wald::N,лес,орман
111,Hügel::N,холм,төбе
112,Hügel::N,холм,белес
113,Hügel::N,холм,белес-белес
114,Anhöhe::N,возвышенность,дөң
115,Anhöhe::N,возвышенность,адыр
116,Anhöhe::N,возвышенность,қырат
117,Berg::N,гора,тау
118,Gipfel::N,вершина,төбе
119,Höhle::N,пещера,үңгір
120,Abhang::N,склон,бауыр
121,Quelle::N,источник,қайнар
122,Bach::N,ручей,жылға
123,Fluss::N,река,өзен
124,Ufer::N,берег,жиек
125,Küste::N,побережье,жиегі
126,Küste::N,побережье,жағалау
127,Festland::N,суша,құрылық
128,Meer::N,море,теңіз
129,Bucht::N,бухта,шығанақ
130,Insel::N,остров,арал
131,Blume::N,цветок,гүл
132,Gras::N,трава,от
133,Wurzel::N,корень,түбір
134,Baum::N,дерево,ағаш
135,Baum::N,дерево,дарақ
136,Stamm::N,ствол,сояу
137,Stamm::N,ствол,оқпан
138,Rinde::N,кора,қабық
139,Ast::N,сук,бұтақ
140,Zweig::N,ветвь,шыбық
141,Blatt::N,лист,жапырақ
142,Birke::N,береза,қайың
143,Kiefer[Baum]::N,сосна,қарағай
144,Weide[Baum]::N,ива,тал
145,Tanne::N,ель,шырша
146,Horn::N,рог,мүйіз
147,Feder::N,перо,қаламұш
148,Fell::N,шкура,тері
149,Flügel::N,крыло,қанат
150,Klaue::N,коготь,тырнақ
151,Kralle::N,лапа,аяқ
152,Schwanz::N,хвост,құйрық
153,Ei::N,яйцо,жұмыртқа
154,Nest::N,гнездо,ұя
155,Bau::N,нора,жатақ
156,Tier::N,животное,айуан
157,Tier::N,животное,жануар
158,Herde::N,стадо,пада
159,Kuh::N,корова,сиыр
160,Bulle::N,бык,өгіз
161,Pferd::N,лошадь,жылқы
162,Schaf::N,овца,қой
163,Schwein::N,свинья,шошқа
164,Hund::N,собака,ит
165,Katze::N,кошка,мысық
166,Bär::N,медведь,аю
167,Eichhörnchen::N,белка,тиін
168,Elch::N,лось,бұғы
169,Fuchs::N,лиса,түлкі
170,Hase::N,заяц,қоян
171,Maus::N,мышь,қаптесер
172,Wolf::N,волк,бөрі
173,Wolf::N,волк,қасқыр
174,Vogel::N,птица,құс
175,Schwarm::N,стая,топ
176,Schwarm::N,стая,үйір
177,Huhn::N,курица,тауық
178,Huhn::N,курица,мекиен
179,Hahn::N,петух,әтеш
180,Hahn::N,петух,қораз
181,Gans::N,гусь,қаз
182,Adler::N,орел,бүркіт
183,Ente::N,утка,үйрек
184,Eule::N,сова,жапалақ
185,Kranich::N,журавль,тырна
186,Krähe::N,ворона,қарға
187,Kuckuck::N,кукушка,көкек
188,Schwan::N,лебедь,аққу
189,Fisch::N,рыба,балық
190,Barsch::N,окунь,алабұға
191,Hecht::N,щука,шортан
192,Schlange[Tier]::N,змея,жылан
193,Wurm::N,червяк,шұбалшаң
194,Spinne::N,паук,өрмекші
195,Ameise::N,муравей,қүмырска
196,Laus::N,вошь,бит
197,Mücke::N,комар,маса
198,Fliege::N,муха,шыбын
199,Schmetterling::N,бабочка,көбелек
200,Beere::N,ягода,жидек
201,Apfel::N,яблоко,алма
202,Pilz::N,гриб,қозықұйрық
203,Pilz::N,гриб,саңыраукулақ
204,Zwiebel::N,луковица,жуа
205,Saat::N,семя,тұқым
206,Korn::N,зерно,дән
207,Heu::N,сено,шөп
208,Schale::N,шелуха,қабық
209,Schale::N,шелуха,қабығы
210,Grube::N,яма,ор
211,Falle::N,ловушка,дұзақ
212,Falle::N,ловушка,қақпан
213,Schlinge::N,силок,ілмек
214,Spur::N,след,із
215,Asche::N,зола,күл
216,Asche::N,пепел,күл
217,Dreck::N,грязь,былғаныш
218,Eisen::N,железо,темір
219,Gold::N,золото,алтын
220,Silber::N,серебро,күміс
221,Kohle::N,уголь,көмір
222,Glas::N,стекло,шыны
223,Lehm::N,глина,балшық
224,Sand::N,песок,құм
225,Mensch::N,человек,адам
226,Mann::N,мужчина,еркек
227,Mann::N,мужчина,ер адам
228,Frau::N,женщина,бике
229,Frau::N,женщина,қатын
230,Kind::N,ребенок,бала
231,Kind::N,ребенок,перзент
232,Junge::N,мальчик,бала
233,Junge::N,мальчик,ер бала
234,Mädchen::N,девочка,қыз
235,Familie::N,семья,жанұя
236,Großvater::N,дедушка,ата
237,Großmutter::N,бабушка,әже
238,Großmutter::N,бабушка,әжей
239,Eltern::N,родители,ата-аналар
240,Vater::N,отец,әке
241,Mutter::N,мать,ана
242,Sohn::N,сын,ұл
243,Tochter::N,дочь,қызым
244,Bruder::N,брат,бауырым
245,Schwester::N,сестра,әпке
246,Onkel::N,дядя,көке
247,Tante::N,тетя,тәте
248,Ehemann::N,муж,ер
249,Ehefrau::N,жена,зайып
250,Freude::N,радость,қуаныш
251,Freude::N,радость,сүйініш
252,Freude::N,радость,шат-думан
253,Freude::N,радость,қуаныштылық
254,Gelächter::N,смех,күлу
255,Glück::N,счастье,бақыт
256,Glück::N,счастье,бақыттылық
257,Kummer::N,горе,аза
258,Kummer::N,горе,қайғы
259,Kummer::N,горе,қасырет
260,Wunsch::N,желание,мүдде
261,Lust::N,влечение,тәбет
262,Lust::N,влечение,ынтызар
263,Lust::N,влечение,құштарлық
264,Geist::N,дух,рух
265,Gedanke::N,мысль,ой
266,Gedächtnis::N,память,ес
267,Gedächtnis::N,память,жады
268,Gedächtnis::N,память,ақыл-ес
269,Verstand::N,ум,ақыл
270,Verstand::N,ум,парасат
271,Sinn::N,смысл,мән
272,Sinn::N,смысл,маныз
273,Sinn::N,смысл,мағына
274,Sinn::N,смысл,мән-мағына
275,Grund::N,повод,себеп
276,Wahrheit::N,правда,рас
277,Gespräch::N,беседа,әңгіме
278,Märchen::N,сказка,ертеп
279,Märchen::N,сказка,ертек
280,Erzählung::N,рассказ,әңгіме
281,Nachricht::N,сообщение,хабар
282,Neuigkeit::N,новость,жаңалық
283,Name::N,имя,ат
284,Name::N,имя,атау
285,Rätsel::N,загадка,жұмбақ
286,Rede::N,речь,сөз
287,Sprache::N,язык,тіл
288,Stimme::N,голос,үн
289,Stimme::N,голос,әуен
290,Stimme::N,голос,дауыс
291,Wort::N,слово,сөз
292,Zeichen::N,знак,ишара
293,Ruf::N,зов,айғай
294,Lärm::N,шум,айғай-шу
295,Lärm::N,шум,айғай-ұйғай
296,Laut::N,звук,дыбыс
297,Laut::N,звук,дауыс
298,Ton::N,звучание,әуен
299,Lied::N,песня,ән
300,Lied::N,песня,жыр
301,Lied::N,песня,ән-жыр
302,Ruhe::N,покой,тыныштық
303,Leute::N,люди,кісілер
304,Volk::N,народ,халық
305,Arbeit::N,работа,еңбек
306,Gast::N,гость,қонақ
307,Gast::N,гость,мейман
308,Geschenk::N,подарок,қадия
309,Spiel::N,игра,ойын
310,Gesellschaft::N,общество,қауым
311,Gesellschaft::N,общество,жұртшылық
312,Hilfe::N,помощь,жэрдем
313,Freund::N,друг,дос
314,Kamerad::N,приятель,дос-жар
315,Angelegenheit::N,дело,жұмыс
316,Anzahl::N,количество,сан
317,Anzahl::N,количество,саны
318,Art::N,вид,түр
319,Stück::N,кусок,тілім
320,Teil::N,часть,үлес
321,Teil::N,часть,бөлшек
322,Hälfte::N,половина,жарты
323,Kreis::N,круг,шеңбер
324,Kreuz::N,крест,крест
325,Linie::N,линия,сызық
326,Strich::N,черта,сызық
327,Abstand::N,промежуток,ара
328,Abstand::N,промежуток,аралық
329,Entfernung::N,расстояние,аралық
330,Gegend::N,местность,өңір
331,Platz::N,пространство,орны
332,Ort::N,место,орын
333,Seite::N,сторона,жақ
334,Seite::N,сторона,бүйір
335,Mitte::N,середина,ортасы
336,Gegenstand::N,предмет,зат
337,Gegenstand::N,предмет,нәрсе
338,Sache::N,вещь,бұйым
339,Rand::N,край,шет
340,Rand::N,край,шеті
341,Kante::N,ребро,қыр
342,Kante::N,ребро,қыры
343,Ecke::N,угол,қыры
344,Ecke::N,угол,бұрыш
345,Spitze::N,кончик,ұшы
346,Ende::N,конец,аяқ
347,Ende::N,конец,соңы
348,Loch::N,дыра,тесік
349,Winkel::N,угол,мүйіс
350,Muster::N,узор,мәнер
351,Größe::N,размер,ауқым
352,Größe::N,размер,көлемдік
353,Länge::N,длина,бой
354,Länge::N,длина,ұзындық
355,Höhe::N,высота,жоғарылық
356,Höhe::N,высота,биіктік
357,Gewicht::N,вес,салмақ
358,Menge::N,количество,мөлшер
359,Haufen::N,куча,үйме
360,Haufen::N,куча,үйінді
361,Reihe::N,ряд,сап
362,Boot::N,лодка,қайық
363,Ruder::N,весло,ескек
364,Schlitten::N,сани,шана
365,Ski::N,лыжа,шаңғы
366,Lagerfeuer::N,костер,алау
367,Last::N,тяжесть,ауырлық
368,Last::N,тяжесть,ауыр зат
369,Gang::N,ход,жүріс
370,Schritt::N,шаг,адым
371,Norden::N,север,солтүстік
372,Norden::N,север,терістік
373,Süden::N,юг,оңтүстік
374,Westen::N,запад,батыс
375,Osten::N,восток,күншығыс
376,Holz::N,древесина,ағаш
377,Holz::N,древесина,сүрек
378,Brett::N,доска,тақта
379,Platte::N,плита,тақта
380,Stütze::N,подпорка,тіреу
381,Stange::N,жердь,қада
382,Stock::N,палка,сойыл
383,Stab::N,шест,сырық
384,Rohr::N,труба,құбыр
385,Haus::N,дом,үй
386,Heim::N,дом,үйлі
387,Heim::N,дом,шаңырақ
388,Ofen::N,печь,ошақ
389,Ofen::N,печь,пеш
390,Fußboden::N,пол,еден
391,Tisch::N,стол,үстел
392,Stuhl::N,стул,орындық
393,Wiege::N,колыбель,бесік
394,Bett::N,постель,кереует
