,Concept_ID,uk,et
0,Auge::N,око,silm
1,Ohr::N,вухо,kõrv
2,Nase::N,ніс,nina
3,Mund::N,рот,suu
4,Zahn::N,зуб,hammas
5,Zunge::N,язик,keel
6,Lippe::N,губа,huul
7,Wange::N,щока,põsk
8,Gesicht::N,обличчя,nägu
9,Stirn::N,лоб,otsmik
10,Haar::N,волосся,juus
11,Schnurrbart::N,вуса,vurrud
12,Schnurrbart::N,вуса,vuntsid
13,Bart::N,борода,habe
14,Kinn::N,підборіддя,lõug
15,Kiefer[Anatomie]::N,щелепа,lõualuu
16,Kehle::N,горло,kõri
17,Hals::N,шия,kael
18,Genick::N,потилиця,kukal
19,Kopf::N,голова,pea
20,Rücken::N,спина,selg
21,Bauch::N,живіт,kõht
22,Nabel::N,пупок,naba
23,Busen::N,груди,rind
24,Brust::N,груди,rind
25,Schulter::N,плече,õlg
26,Arm::N,рука,käsivars
27,Ellenbogen::N,лікоть,küünarnukk
28,Hand::N,рука,käsi
29,Handfläche::N,долоня,pihk
30,Finger::N,палець,sõrm
31,Fingernagel::N,ніготь,küüs
32,Nagel[Anatomie]::N,ніготь,küüs
33,Zeh::N,палець на нозі,varvas
34,Fuß::N,нога,jalg
35,Ferse::N,п’ятка,kand
36,Knie::N,коліно,põlv
37,Oberschenkel::N,стегно,reis
38,Bein::N,нога,jalg
39,Körper::N,тіло,ihu
40,Körper::N,тіло,keha
41,Haut::N,шкіра,nahk
42,Blut::N,кров,veri
43,Ader::N,вена,veen
44,Sehne::N,сухожилля,kõõlus
45,Knochen::N,кістка,luu
46,Gehirn::N,мозок,aju
47,Herz::N,серце,süda
48,Magen::N,шлунок,magu
49,Leber::N,печінка,maks
50,Atem::N,дихання,hingeõhk
51,Atem::N,дихання,hingamine
52,Hunger::N,голод,nälg
53,Träne::N,сльоза,pisar
54,Geschmack::N,смак,maitse
55,Geruch::N,запах,lõhn
56,Schlaf::N,сон,uni
57,Schlaf::N,сплячка,uni
58,Traum::N,сон,unenägu
59,Himmel::N,небо,taevas
60,Sonne::N,сонце,päike
61,Mond::N,місяць,kuu
62,Stern::N,зірка,täht
63,Luft::N,повітря,õhk
64,Wind::N,вітер,tuul
65,Welle::N,хвиля,laine
66,Wasser::N,вода,vesi
67,Stein::N,камінь,kivi
68,Boden::N,ґрунт,maa
69,Boden::N,ґрунт,pinnas
70,Erde::N,земля,maa
71,Staub::N,пил,põrm
72,Rauch::N,дим,suits
73,Funke::N,іскра,säde
74,Feuer::N,вогонь,tuli
75,Licht::N,світло,valgus
76,Schatten::N,тінь,vari
77,Wetter::N,погода,ilm
78,Nebel::N,туман,udu
79,Wolke::N,хмара,pilv
80,Regen::N,дощ,sadu
81,Schnee::N,сніг,lumi
82,Eis::N,лід,jää
83,Frost::N,мороз,pakane
84,Kälte::N,холод,külm
85,Kälte::N,холод,külmus
86,Hitze::N,жар,kuumus
87,Hitze::N,жар,palavus
88,Raureif::N,іній,härmatis
89,Regenbogen::N,райдуга,vikerkaar
90,Donner::N,грім,kõu
91,Donner::N,грім,müristamine
92,Strömung::N,струмина,voolus
93,Strömung::N,струмина,jõevool
94,Tropfen::N,крапля,tilk
95,Schaum::N,піна,vaht
96,Schmutz::N,бруд,pori
97,Schmutz::N,бруд,mustus
98,See::N,озеро,järv
99,Sumpf::N,драговина,soo
100,Moor::N,болото,raba
101,Wiese::N,луг,aas
102,Wiese::N,луг,nurm
103,Wiese::N,лука,aas
104,Wiese::N,лука,nurm
105,Wald::N,ліс,mets
106,Hügel::N,горб,küngas
107,Anhöhe::N,височина,küngas
108,Berg::N,гора,mägi
109,Gipfel::N,вершина,mäetipp
110,Höhle::N,печера,koobas
111,Abhang::N,схил,nõlvak
112,Quelle::N,джерело,allikas
113,Bach::N,струмок,oja
114,Fluss::N,річка,jõgi
115,Ufer::N,берег,kallas
116,Küste::N,узбережжя,rannik
117,Festland::N,суша,mander
118,Festland::N,суша,maismaa
119,Meer::N,море,meri
120,Bucht::N,бухта,laht
121,Bucht::N,затока,laht
122,Insel::N,острів,saar
123,Blume::N,квітка,lill
124,Gras::N,трава,rohi
125,Wurzel::N,корінь,juur
126,Baum::N,дерево,puu
127,Stamm::N,стовбур,tüvi
128,Rinde::N,кора,koor
129,Ast::N,гілка,oks
130,Zweig::N,галузь,oks
131,Blatt::N,лист,leht
132,Birke::N,береза,kask
133,Kiefer[Baum]::N,сосна,mänd
134,Weide[Baum]::N,верба,paju
135,Tanne::N,ялиця,nulg
136,Horn::N,ріг,sarv
137,Feder::N,перо,sulg
138,Fell::N,хутро,karvkate
139,Fell::N,хутро,karusnahk
140,Flügel::N,крило,tiib
141,Flügel::N,крило,tiivik
142,Klaue::N,кіготь,küüs
143,Kralle::N,лапа,küünis
144,Schwanz::N,хвіст,saba
145,Ei::N,яйце,muna
146,Nest::N,гніздо,pesa
147,Bau::N,лігво,urg
148,Tier::N,тварина,loom
149,Herde::N,стадо,kari
150,Kuh::N,корова,lehm
151,Bulle::N,бик,pull
152,Bulle::N,бугай,pull
153,Pferd::N,кінь,hobune
154,Schaf::N,вівця,lammas
155,Schwein::N,свиня,siga
156,Hund::N,собака,koer
157,Katze::N,кішка,kass
158,Bär::N,ведмідь,karu
159,Eichhörnchen::N,білка,orav
160,Elch::N,лось,põder
161,Fuchs::N,лисиця,rebane
162,Hase::N,заєць,jänes
163,Maus::N,миша,hiir
164,Wolf::N,вовк,hunt
165,Vogel::N,птах,lind
166,Schwarm::N,зграя,parv
167,Huhn::N,курка,kana
168,Hahn::N,півень,kukk
169,Gans::N,гуска,hani
170,Adler::N,орел,kotkas
171,Ente::N,качка,part
172,Eule::N,сова,kakk
173,Eule::N,сова,öökull
174,Kranich::N,журавель,kurg
175,Krähe::N,ворона,vares
176,Kuckuck::N,зозуля,kägu
177,Schwan::N,лебідь,luik
178,Fisch::N,риба,kala
179,Barsch::N,окунь,ahven
180,Hecht::N,щука,haug
181,Schlange[Tier]::N,змія,uss
182,Wurm::N,черв’як,uss
183,Wurm::N,черв’як,vagel
184,Spinne::N,павук,ämblik
185,Ameise::N,мурашка,sipelgas
186,Laus::N,воша,täi
187,Mücke::N,комар,sääsk
188,Fliege::N,муха,kärbes
189,Schmetterling::N,метелик,liblikas
190,Beere::N,ягода,mari
191,Apfel::N,яблуко,õun
192,Pilz::N,гриб,seen
193,Zwiebel::N,цибуля,sibul
194,Saat::N,сім’я,seeme
195,Korn::N,зерно,iva
196,Korn::N,зерно,tera
197,Heu::N,сіно,hein
198,Schale::N,шкірка,koor
199,Grube::N,яма,kaevand
200,Falle::N,пастка,lõks
201,Falle::N,пастка,püünis
202,Schlinge::N,петля,aas
203,Spur::N,слід,jälg
204,Asche::N,зола,tuhk
205,Asche::N,попіл,tuhk
206,Dreck::N,бруд,saast
207,Dreck::N,бруд,mustus
208,Eisen::N,залізо,raud
209,Gold::N,золото,kuld
210,Silber::N,срібло,hõbe
211,Kohle::N,вугілля,süsi
212,Glas::N,скло,klaas
213,Lehm::N,глина,savi
214,Sand::N,пісок,liiv
215,Mensch::N,людина,inimene
216,Mann::N,чоловік,mees
217,Frau::N,жінка,naine
218,Kind::N,дитина,laps
219,Junge::N,хлопець,poiss
220,Mädchen::N,дівчина,tüdruk
221,Familie::N,сім’я,perekond
222,Familie::N,родина,perekond
223,Großvater::N,дідусь,vanaisa
224,Großmutter::N,бабуся,vanaema
225,Eltern::N,батьки,vanemad
226,Vater::N,батько,isa
227,Mutter::N,мати,ema
228,Sohn::N,син,poeg
229,Tochter::N,дочка,tütar
230,Bruder::N,брат,vend
231,Schwester::N,сестра,õde
232,Onkel::N,дядько,onu
233,Tante::N,тітка,tädi
234,Ehemann::N,чоловік,mees
235,Ehemann::N,чоловік,abikaasa
236,Ehefrau::N,жінка,naine
237,Ehefrau::N,жінка,abikaasa
238,Ehefrau::N,дружина,naine
239,Ehefrau::N,дружина,abikaasa
240,Freude::N,радощі,rõõm
241,Gelächter::N,сміх,naer
242,Glück::N,щастя,õnn
243,Kummer::N,горе,mure
244,Kummer::N,горе,kurbus
245,Wunsch::N,бажання,soov
246,Lust::N,бажання,himu
247,Geist::N,дух,vaim
248,Gedanke::N,думка,mõte
249,Gedächtnis::N,пам’ять,mälu
250,Verstand::N,розум,aru
251,Verstand::N,розум,mõistus
252,Sinn::N,зміст,tähendus
253,Sinn::N,значення,tähendus
254,Grund::N,причина,põhjus
255,Wahrheit::N,правда,tõde
256,Gespräch::N,розмова,kõne
257,Gespräch::N,розмова,vestlus
258,Märchen::N,байка,muinasjutt
259,Erzählung::N,повість,jutustus
260,Erzählung::N,оповідання,jutustus
261,Nachricht::N,повідомлення,teade
262,Neuigkeit::N,новина,uudis
263,Name::N,ім’я,nimi
264,Rätsel::N,загадка,mõistatus
265,Rede::N,промова,kõne
266,Sprache::N,мова,keel
267,Stimme::N,голос,hääl
268,Wort::N,слово,sõna
269,Zeichen::N,знак,märk
270,Ruf::N,оклик,hüüe
271,Lärm::N,шум,müra
272,Laut::N,звук,hääl
273,Ton::N,тон,toon
274,Lied::N,пісня,laul
275,Ruhe::N,спокій,rahu
276,Ruhe::N,спокій,vaikus
277,Leute::N,люди,inimesed
278,Volk::N,народ,rahvas
279,Arbeit::N,робота,töö
280,Gast::N,гість,külaline
281,Geschenk::N,подарунок,kingitus
282,Spiel::N,гра,mäng
283,Gesellschaft::N,товариство,selts
284,Hilfe::N,допомога,abi
285,Freund::N,друг,sõber
286,Freund::N,приятель,sõber
