,Concept_ID,hr,nl
0,Auge::N,oko,oog
1,Ohr::N,uho,oor
2,Nase::N,nos,neus
3,Mund::N,usta,mond
4,Zahn::N,zub,tand
5,Zunge::N,jezik,tong
6,Lippe::N,usna,lip
7,Wange::N,obraz,wang
8,Gesicht::N,lice,gelaat
9,Gesicht::N,lice,gezicht
10,Stirn::N,čelo,voorhoofd
11,Haar::N,kosa,haar
12,Schnurrbart::N,brkovi,snor
13,Bart::N,brada,baard
14,Kinn::N,brada,kin
15,Kinn::N,podbradak,kin
16,Kiefer[Anatomie]::N,čeljust,kaak
17,Kehle::N,grlo,keel
18,Kehle::N,grlo,strot
19,Hals::N,vrat,hals
20,Genick::N,zatiljak,nek
21,Kopf::N,glava,hoofd
22,Rücken::N,leđa,rug
23,Rücken::N,hrbat,rug
24,Bauch::N,trbuh,buik
25,Nabel::N,pupak,navel
26,Busen::N,sisa,boezem
27,Busen::N,njedra,boezem
28,Brust::N,prsa,borst
29,Schulter::N,rame,schouder
30,Schulter::N,pleći,schouder
31,Arm::N,ruka,arm
32,Ellenbogen::N,lakat,elleboog
33,Hand::N,ruka,hand
34,Handfläche::N,dlan,handpalm
35,Finger::N,prst,vinger
36,Fingernagel::N,nokat,nagel
37,Nagel[Anatomie]::N,nokat,nagel
38,Zeh::N,nozni prst,teen
39,Fuß::N,noga,voet
40,Fuß::N,stopalo,voet
41,Ferse::N,peta,hak
42,Ferse::N,peta,hiel
43,Knie::N,koljeno,knie
44,Oberschenkel::N,bedro,dij
45,Bein::N,noga,been
46,Körper::N,tijelo,lichaam
47,Haut::N,put,huid
48,Haut::N,koža,huid
49,Blut::N,krv,bloed
50,Ader::N,žila,ader
51,Sehne::N,tetiva,pees
52,Knochen::N,kost,bot
53,Knochen::N,kost,been
54,Knochen::N,kost,knook
55,Herz::N,srce,hart
56,Magen::N,stomak,maag
57,Magen::N,želudac,maag
58,Leber::N,jetra,lever
59,Atem::N,dah,adem
60,Hunger::N,glad,honger
61,Träne::N,suza,traan
62,Geschmack::N,ukus,smaak
63,Geruch::N,njuh,geur
64,Geruch::N,miris,geur
65,Schlaf::N,san,slaap
66,Traum::N,san,droom
67,Himmel::N,nebo,hemel
68,Sonne::N,sunce,zon
69,Mond::N,mjesec,maan
70,Stern::N,zvijezda,ster
71,Luft::N,zrak,lucht
72,Wind::N,vjetar,wind
73,Welle::N,val,golf
74,Welle::N,talas,golf
75,Wasser::N,voda,water
76,Stein::N,kamen,steen
77,Boden::N,tlo,grond
78,Boden::N,zemlja,grond
79,Erde::N,zemlja,aarde
80,Staub::N,prah,stof
81,Staub::N,prašina,stof
82,Rauch::N,dim,rook
83,Funke::N,iskra,vonk
84,Funke::N,varnica,vonk
85,Feuer::N,vatra,vuur
86,Licht::N,svjetlo,licht
87,Schatten::N,hlad,schaduw
88,Schatten::N,sjena,schaduw
89,Wetter::N,vrijeme,weer
90,Nebel::N,magla,mist
91,Nebel::N,magla,nevel
92,Wolke::N,oblak,wolk
93,Regen::N,kiša,regen
94,Schnee::N,snijeg,sneeuw
95,Eis::N,led,ijs
96,Frost::N,mraz,vorst
97,Kälte::N,studen,kou
98,Kälte::N,studen,koude
99,Kälte::N,hladnoća,kou
100,Kälte::N,hladnoća,koude
101,Hitze::N,vrućina,hitte
102,Raureif::N,inje,rijp
103,Regenbogen::N,duga,regenboog
104,Donner::N,grom,donder
105,Donner::N,grmljavina,donder
106,Strömung::N,struja,stroming
107,Strömung::N,strujanje,stroming
108,Tropfen::N,kap,druppel
109,Tropfen::N,kaplja,druppel
110,Schaum::N,pjena,schuim
111,Schmutz::N,nečistoća,vuil
112,Schmutz::N,prljavština,vuil
113,See::N,jezero,meer
114,Sumpf::N,bara,moeras
115,Moor::N,močvara,veen
116,Wiese::N,livada,wei
117,Wiese::N,livada,weide
118,Wald::N,šuma,bos
119,Hügel::N,brijeg,heuvel
120,Hügel::N,brežuljak,heuvel
121,Anhöhe::N,uzvišica,hoogte
122,Berg::N,brdo,berg
123,Gipfel::N,vrh,top
124,Höhle::N,pećina,hol
125,Höhle::N,spilja,hol
126,Abhang::N,obronak,helling
127,Abhang::N,nizbrdica,helling
128,Quelle::N,izvor,bron
129,Quelle::N,vrelo,bron
130,Bach::N,potok,beek
131,Fluss::N,rijeka,stroom
132,Ufer::N,obala,wal
133,Ufer::N,obala,oever
134,Küste::N,obala,kust
135,Küste::N,morska obala,kust
136,Festland::N,kopno,vasteland
137,Meer::N,more,zee
138,Bucht::N,zaliv,baai
139,Bucht::N,zaliv,inham
140,Insel::N,ada,eiland
141,Insel::N,otok,eiland
142,Blume::N,cvijet,bloem
143,Gras::N,trava,gras
144,Wurzel::N,korijen,wortel
145,Baum::N,drvo,boom
146,Baum::N,stablo,boom
147,Stamm::N,deblo,stam
148,Stamm::N,stablo,stam
149,Rinde::N,kora,schors
150,Ast::N,grana,tak
151,Zweig::N,grana,twijg
152,Blatt::N,list,blad
153,Birke::N,breza,berk
154,Kiefer[Baum]::N,bor,den
155,Weide[Baum]::N,iva,wilg
156,Weide[Baum]::N,vŕba,wilg
157,Tanne::N,jela,spar
158,Horn::N,rog,hoorn
159,Feder::N,pero,veer
160,Feder::N,pero,pluim
161,Fell::N,koža,vel
162,Flügel::N,krilo,vleugel
163,Klaue::N,papak,klauw
164,Kralle::N,pandža,klauw
165,Schwanz::N,rep,staart
166,Ei::N,jaje,ei
167,Nest::N,gnijezdo,nest
168,Bau::N,jazbina,hol
169,Tier::N,životinja,dier
170,Herde::N,krdo,kudde
171,Herde::N,stado,kudde
172,Kuh::N,krava,koe
173,Bulle::N,bik,stier
174,Pferd::N,konj,paard
175,Schaf::N,ovca,schaap
176,Schwein::N,svinja,varken
177,Hund::N,pas,hond
178,Hund::N,pseto,hond
179,Katze::N,mačka,kat
180,Bär::N,medvjed,beer
181,Eichhörnchen::N,vjeverica,eekhoorntje
182,Elch::N,los,eland
183,Fuchs::N,lisica,vos
184,Hase::N,zec,haas
185,Maus::N,miš,muis
186,Wolf::N,vuk,wolf
187,Wolf::N,kurjak,wolf
188,Vogel::N,ptica,vogel
189,Schwarm::N,roj,zwerm
190,Schwarm::N,jato,zwerm
191,Huhn::N,kokoš,kip
192,Huhn::N,kokoš,hoen
193,Hahn::N,kokot,haan
194,Hahn::N,pijevac,haan
195,Gans::N,guska,gans
196,Adler::N,orao,arend
197,Ente::N,patka,eend
198,Eule::N,sova,uil
199,Kranich::N,ždral,kraanvogel
200,Krähe::N,vrana,kraai
201,Kuckuck::N,kukavica,koekoek
202,Schwan::N,labud,zwaan
203,Fisch::N,riba,vis
204,Barsch::N,grgeč,baars
205,Hecht::N,štuka,snoek
206,Schlange[Tier]::N,guja,slang
207,Schlange[Tier]::N,zmija,slang
208,Wurm::N,crv,worm
209,Spinne::N,pauk,spin
210,Ameise::N,mrav,mier
211,Laus::N,uš,luis
212,Mücke::N,komarac,mug
213,Fliege::N,muha,vlieg
214,Schmetterling::N,leptir,vlinder
215,Beere::N,boba,bes
216,Beere::N,bobica,bes
217,Apfel::N,jabuka,appel
218,Pilz::N,pečurka,paddestoel
219,Zwiebel::N,luk,ui
220,Zwiebel::N,kapula,ui
221,Saat::N,sjemenje,zaad
222,Korn::N,zrno,graan
223,Korn::N,zrno,korrel
224,Heu::N,sijeno,hooi
225,Schale::N,kora,schil
226,Schale::N,ljuska,schil
227,Grube::N,jama,kuil
228,Falle::N,zamka,val
229,Falle::N,klopka,val
230,Schlinge::N,uzao,strop
231,Schlinge::N,petlja,strop
232,Spur::N,trag,spoor
233,Spur::N,slijed,spoor
234,Asche::N,pepeo,as
235,Dreck::N,blato,drek
236,Eisen::N,željezo,ijzer
237,Gold::N,zlato,goud
238,Silber::N,srebro,zilver
239,Kohle::N,ugalj,kool
240,Kohle::N,ugljen,kool
241,Glas::N,staklo,glas
242,Lehm::N,glina,klei
243,Lehm::N,ilovača,klei
244,Sand::N,pijesak,zand
245,Mensch::N,čovjek,mens
246,Mann::N,muškarac,man
