,Concept_ID,os,ku
0,Auge::N,цӕст,çav
1,Ohr::N,хъус,guh
2,Nase::N,фындз,bêvil
3,Mund::N,дзых,dev
4,Zahn::N,дӕндаг,didan
5,Zunge::N,ӕвзаг,ziman
6,Lippe::N,был,lêv
7,Wange::N,рус,dêm
8,Wange::N,рус,hinarik
9,Wange::N,уадул,dêm
10,Wange::N,уадул,hinarik
11,Wange::N,ӕхсӕрфарс,dêm
12,Wange::N,ӕхсӕрфарс,hinarik
13,Gesicht::N,цӕсгом,rû
14,Stirn::N,ных,enî
15,Haar::N,хил,por
16,Schnurrbart::N,рихи,simbêl
17,Bart::N,зачъе,rih
18,Kinn::N,роцъо,zenî
19,Kiefer[Anatomie]::N,ӕфсӕр,arguşk
20,Kehle::N,хъуыр,qirik
21,Hals::N,къубал,stû
22,Hals::N,къубал,qirik
23,Genick::N,къӕбут,stû
24,Kopf::N,сӕр,serî
25,Rücken::N,фӕсонтӕ,pişt
26,Bauch::N,гуыбын,ûr
27,Bauch::N,гуыбын,zik
28,Nabel::N,бикъ,navik
29,Busen::N,дзидзи,sîng
30,Brust::N,риу,sîng
31,Schulter::N,уӕхск,mil
32,Arm::N,цонг,çepil
33,Ellenbogen::N,рæмбын,enîşk
34,Hand::N,къух,dest
35,Handfläche::N,армытъӕпӕн,kefadest
36,Finger::N,ӕнруылдз,tilî
37,Fingernagel::N,ных,neynuk
38,Nagel[Anatomie]::N,ных,bizmar
39,Zeh::N,къух,tilî linga
40,Fuß::N,фад,ling
41,Ferse::N,зӕвӕт,pahnî
42,Knie::N,уӕраг,kabok
43,Oberschenkel::N,агъд,rahn
44,Bein::N,зӕнг,çip
45,Körper::N,буар,laş
46,Körper::N,буар,gowde
47,Haut::N,царм,çerm
48,Blut::N,туг,xwîn
49,Ader::N,дадзин,reh
50,Ader::N,тугдадзин,reh
51,Sehne::N,хъиутæ,reh
52,Sehne::N,нуар,reh
53,Knochen::N,стӕг,hestî
54,Gehirn::N,магъз,mêjî
55,Herz::N,зӕрдӕ,dil
56,Magen::N,ахсӕн,navêş
57,Leber::N,игæр,kezeb
58,Atem::N,улӕфт,hilm
59,Hunger::N,стонг,birçîtî
60,Träne::N,цæссыг,hêstir
61,Geschmack::N,ад,tam
62,Geruch::N,смаг,bêhn
63,Schlaf::N,хуыссӕг,xew
64,Traum::N,фын,xewn
65,Himmel::N,арв,ezman
66,Himmel::N,уӕларв,ezman
67,Sonne::N,хур,roj
68,Mond::N,мӕй,heyv
69,Stern::N,стъалы,stêrk
70,Luft::N,уӕлдӕф,ba
71,Wind::N,дымгӕ,ba
72,Welle::N,уылӕн,şewl
73,Wasser::N,дон,av
74,Stein::N,дур,kevir
75,Boden::N,зӕхх,herd
76,Erde::N,сыджыт,ax
77,Staub::N,рыг,toz
78,Rauch::N,фӕздӕг,dû
79,Funke::N,цӕхӕр,çirûşk
80,Feuer::N,зынг,agir
81,Licht::N,рухс,ronahî
82,Schatten::N,аууон,sî
83,Wetter::N,боныхъӕд,hewa
84,Nebel::N,мигъ,mij
85,Wolke::N,ӕврагъ,ewr
86,Regen::N,уарын,baran
87,Schnee::N,мит,berf
88,Eis::N,их,qeşa
89,Frost::N,ихæн,xûsik
90,Kälte::N,уазал,serma
91,Hitze::N,ӕнтӕф,germayî
92,Raureif::N,халас,şext
93,Regenbogen::N,арвырон,heftreng
94,Regenbogen::N,арвырдын,heftreng
95,Donner::N,æрвнæрын,gire-gir
96,Strömung::N,цыд,şewl
97,Tropfen::N,æртах,dilop
98,Schaum::N,фынк,kef
99,Schmutz::N,цъыф,gemar
100,See::N,цад,gol
101,Sumpf::N,цъыфдзаст,hezek
102,Moor::N,цъыфдзаст,mafêl
103,Wiese::N,уыгӕрдӕн,sûrik
104,Wald::N,хъӕд,çiya
105,Wald::N,хъӕд,daristan
106,Hügel::N,обау,gir
107,Hügel::N,къуыбыр,gir
108,Anhöhe::N,уæлвæз,sere gir
109,Anhöhe::N,уæлхох,sere gir
110,Berg::N,хох,kaş
111,Gipfel::N,цъупп,sere gir
112,Höhle::N,лӕгӕт,şikeft
113,Abhang::N,къул,kaş
114,Quelle::N,суадон,kanî
115,Bach::N,мӕсчъыдон,çem
116,Fluss::N,дон,çem
117,Fluss::N,дон,rûbar
118,Fluss::N,цӕугӕдон,çem
119,Fluss::N,цӕугӕдон,rûbar
120,Ufer::N,был,kevî
121,Küste::N,донбыл,berav
122,Festland::N,сурзæхх,bejahî
123,Meer::N,денджыз,behr
124,Bucht::N,донбакæлæн,derav
125,Insel::N,сакъадах,girav
126,Blume::N,дидинӕг,kulînk
127,Gras::N,кӕрдӕг,giha
128,Wurzel::N,уидаг,reh
129,Baum::N,бӕлас,dar
130,Stamm::N,хӕтӕл,bavik
131,Rinde::N,цъар,qaqil
132,Ast::N,арх,gulî
133,Zweig::N,къалиу,şax
134,Blatt::N,сыф,pel
135,Birke::N,бæрз,dara sipî
136,Kiefer[Baum]::N,нӕзы,dara bî
137,Weide[Baum]::N,хӕрис,dara belalûk
138,Tanne::N,наз,merx
139,Horn::N,сыкъа,strô
140,Feder::N,сис,pîrtîk
141,Fell::N,царм,heyar
142,Flügel::N,базыр,per
143,Klaue::N,ных,napîk
144,Kralle::N,дзӕмбы,dinik
145,Kralle::N,дзӕмбы,dirnax
146,Schwanz::N,къӕдзил,dûv
147,Ei::N,айк,hêk
148,Nest::N,ахстон,hêlîn
149,Bau::N,хуынкъ,avahî
150,Tier::N,сырд,heywan
151,Tier::N,цӕрӕгой,heywan
152,Herde::N,дзуг,hoz
153,Herde::N,рӕгъау,hoz
154,Kuh::N,хъуг,çêlek
155,Bulle::N,гал,ga
156,Pferd::N,бӕх,hesp
157,Schaf::N,фыс,mîh
158,Schwein::N,хуы,beraz
159,Hund::N,куыдз,seh
160,Katze::N,гӕды,pişîk
161,Bär::N,арс,hirç
162,Eichhörnchen::N,æхсæрæг,pilûr
163,Elch::N,цæгатаг саг,pazkovî
164,Fuchs::N,рувас,rovî
165,Hase::N,тæрхъус,kîroşk
166,Maus::N,мыст,mişk
167,Wolf::N,бирӕгъ,gur
168,Vogel::N,цъиу,çûk
169,Vogel::N,маргъ,çûk
170,Schwarm::N,бал,lufik
171,Huhn::N,карк,mirîşk
172,Hahn::N,уасӕг,dîk
173,Gans::N,хъаз,qaz
174,Adler::N,цӕргӕс,eylo
175,Ente::N,ацц,werdek
176,Eule::N, уыг,bûm
177,Eule::N, уыг,kund
178,Eule::N,сидахъ,bûm
179,Eule::N,сидахъ,kund
180,Kranich::N,зырнæг,quling
181,Kranich::N,хърихъупп,quling
182,Krähe::N,халон,qijik
183,Kuckuck::N,гаккук,pepûk
184,Schwan::N,доныхъаз,qû
185,Fisch::N,кӕсаг,masî
186,Barsch::N,окунь,okûn
187,Hecht::N,хихор кӕсаг,mesîyê lûf
188,Schlange[Tier]::N,калм,mar
189,Wurm::N,зулкъ,kurm
190,Wurm::N,къуыдыргалм,kurm
191,Spinne::N,хӕлуарӕг,pîrê
192,Ameise::N,мæлдзыг,mîro
193,Ameise::N,мæлдзыг,gêrîk
194,Laus::N,сыст,spi
195,Mücke::N,къогъо,mêş
196,Fliege::N,бындз,mêş
197,Schmetterling::N,гæлæбу,perperîk
198,Beere::N,гагадыргъ,hirç
199,Apfel::N,фӕткъуы,sêv
200,Pilz::N,зокъо,bîrov
201,Pilz::N,къозо,bîrov
202,Zwiebel::N,хъӕдындз,pîvaz
203,Saat::N,тауинаг,tov
204,Saat::N,мыггаг,tov
205,Korn::N,мыггаг,dexl
206,Korn::N,тауинаг,dexl
207,Heu::N,хос,sap
208,Schale::N,цъар,qaşik
209,Grube::N,урм,çahl
210,Grube::N,къахт,çahl
211,Grube::N,дзыхъхъ,çahl
212,Falle::N,цъысым,dafik
213,Falle::N,къӕппӕг,dafik
214,Schlinge::N,цасм,dahf
215,Spur::N,фæд,rêç
216,Asche::N,фӕнык,xweli
217,Asche::N,ӕртхутӕг,xweli
218,Dreck::N,цъыф,gemarî
219,Eisen::N,ӕфсӕйнаг,hesing
220,Gold::N,сыгъзӕрин,zêr
221,Silber::N,ӕвзист,zîv
222,Kohle::N,ӕвзалы,komir
223,Glas::N,авг,qedeh
224,Lehm::N,ӕлыг,kelpîç
225,Sand::N,змис,qûm
226,Mensch::N,лӕг,mirov
227,Mensch::N,адӕймаг,mirov
228,Mensch::N,удгоймаг,mirov
229,Mann::N,лӕг,mêr
230,Mann::N,нӕлгоймаг,mêr
231,Frau::N,сылгоймаг,jin
232,Kind::N,сывӕллон,zarok
233,Junge::N,лӕппу,kur
234,Mädchen::N,чызг,keç
235,Mädchen::N,чызг,keçik
236,Familie::N,бинонтæ,malbat
237,Großvater::N,фыдыфыд,bapîr
238,Großvater::N,мадыфыд,bapîr
239,Großmutter::N,фыды мад,pîrik
240,Großmutter::N,мады мад,pîrik
241,Eltern::N,ныййарджытæ,bavudê
242,Vater::N,фыд,bav
243,Mutter::N,мад,dê
244,Mutter::N,мад,dayik
245,Sohn::N,фырт,kur
246,Tochter::N,чызг,keç
247,Bruder::N,ӕфсымӕр,bira
248,Schwester::N,хо,xweh
249,Onkel::N,фыдыфсымӕр,am
250,Onkel::N,фыдыфсымӕр,xal
251,Tante::N,мадыхо,metik
252,Tante::N,мадыхо,xaltîk
253,Ehemann::N,мой,mêr
254,Ehefrau::N,ус,kulfet
255,Freude::N,цин,kêfxweşî
256,Freude::N,циндзинад,kêfxweşî
257,Gelächter::N,худын,pîrqînî
258,Gelächter::N,худт,pîrqînî
259,Gelächter::N,худæг,pîrqînî
260,Glück::N,амонд,bext
261,Kummer::N,хъыг,derd
262,Wunsch::N,бӕллиц,daxwaz
263,Wunsch::N,бӕллиц,xwestek
264,Lust::N,монц,şewq
265,Geist::N,уд,aqil
