,Concept_ID,kv,mrj
0,Auge::N,син,сӹнзӓ
1,Ohr::N,пель,пӹлӹш
2,Nase::N,ныр,нер
3,Mund::N,ӧм,ышма
4,Zahn::N,пинь,пӱ
5,Zunge::N,кыв,йӹлмӹ
6,Lippe::N,тырп,тӹрвӹ
7,Wange::N,рожабан,шӹргӹ
8,Gesicht::N,бан,лицӓ
9,Stirn::N,кымӧс,лепкӓ
10,Haar::N,юрси,ӱп
11,Schnurrbart::N,уссэз,öрш
12,Bart::N,тош,пандаш
13,Kinn::N,тшӧка,онгылаш
14,Kiefer[Anatomie]::N,ан,пӱ арата
15,Kehle::N,юан,логер
16,Hals::N,юан,шӱ
17,Genick::N,юр бӧр,ланга
18,Kopf::N,юр,вуй
19,Rücken::N,мышк,туп
20,Bauch::N,кынӧм,мӹшкӹр
21,Nabel::N,гӧг,кӹлӹмдӹ
22,Busen::N,морос,цӹзӹ
23,Brust::N,морос,мел
24,Schulter::N,пельпон,ӹнгӹжӓ
25,Arm::N,ки,кид
26,Ellenbogen::N,гырдзза,кӹнервуй
27,Hand::N,кикар,лапа
28,Handfläche::N,ки пыдӧс,кид лапа
29,Finger::N,чунь,парня
30,Fingernagel::N,гыж,кӹч
31,Nagel[Anatomie]::N,гыж,кӹч
32,Zeh::N,чунь,парня
33,Fuß::N,кокпыдӧс,ял лапа
34,Ferse::N,кокдзир,ялгавал
35,Ferse::N,кокдзир,ял кавал
36,Knie::N,пидзӧс,пылвуй
37,Oberschenkel::N,лядьбей,ӓрдӹ
38,Bein::N,кок,ял
39,Körper::N,вывтыр,монгыр
40,Haut::N,кучик,кавашты
41,Blut::N,вир,вӹр
42,Ader::N,сӧн,вӹршӓр
43,Sehne::N,жила,кукшышӱн
44,Knochen::N,коска,лу
45,Gehirn::N,вем,вим
46,Herz::N,сьӧлӧм,шӱм
47,Magen::N,жӧвдӧк,шӱм
48,Leber::N,мус,мокш
49,Atem::N,лолалӧм,шӱлӹш
50,Hunger::N,тшыг,шужымаш
51,Träne::N,синва,сӹнзӓвӹд
52,Geschmack::N,кӧр,тот
53,Geruch::N,дук,пыш
54,Schlaf::N,он,ом
55,Traum::N,вӧт,ом
56,Himmel::N,небо,пӹлгом
57,Sonne::N,шондi,кечӹ
58,Mond::N,тӧлiсь,тӹлзӹ
59,Stern::N,кӧдзыв,шӹдӹр
60,Luft::N,ру,юж
61,Luft::N,ру,воздух
62,Wind::N,тӧв,мардеж
63,Welle::N,гы,ко
64,Welle::N,гы,коэ
65,Wasser::N,ва,вӹд
66,Stein::N,из,кӱ
67,Boden::N,му,рок
68,Erde::N,му,свет
69,Staub::N,бус,пырак
70,Rauch::N,тшын,шӹкш
71,Funke::N,бичир,ип
72,Funke::N,бичир,тылип
73,Feuer::N,би,тыл
74,Licht::N,би,соты
75,Licht::N,би,валгыды
76,Schatten::N,вуджӧр,ӹмӹл
77,Wetter::N,погоддя,игечӹ
78,Nebel::N,туман,тӹтӹрӓ
79,Wolke::N,кымӧр,пӹл
80,Regen::N,зэр,юр
81,Schnee::N,лым,лым
82,Eis::N,йы,и
83,Frost::N,мороз,ӱштӹ
84,Kälte::N,кӧдзыт,ӱштӹ
85,Hitze::N,ӧд,шокшы
86,Raureif::N,кижа,пöрш
87,Regenbogen::N,енӧшка,шанавӹл
88,Donner::N,гым,хӹдӹртӹш
89,Strömung::N,визывтӧм,йогы
90,Tropfen::N,тёп,капльы
91,Tropfen::N,тёп,капльык
92,Schaum::N,быг,шонг
93,Schmutz::N,нять,лявӹрӓ
94,See::N,ты,йӓр
95,Sumpf::N,арай,лӱкӹ
96,Moor::N,нюр,куп
97,Wiese::N,видз,алык
98,Wald::N,вӧр,шӹргӹ
99,Hügel::N,мыльк,пӱгӹрикӓ
100,Anhöhe::N,вывтас,кӱкшикӓ
101,Anhöhe::N,вылынін,кӱкшикӓ
102,Berg::N,керӧс,кырык
103,Gipfel::N,йыв,неркӓ
104,Höhle::N,нора,ы́раж
105,Abhang::N,покат,полом
106,Quelle::N,больган,вӹдсӹнзӓ
107,Bach::N,шор,ӓнгӹр
108,Fluss::N,ю,вӹд
109,Ufer::N,берег,сир
