,Concept_ID,ab,hr
0,Auge::N,ала,oko
1,Ohr::N,алымҳа,uho
2,Nase::N,аҧынҵа,nos
3,Mund::N,аҧышə,usta
4,Zahn::N,ахаҧыц,zub
5,Zunge::N,абз,jezik
6,Lippe::N,ақьышə,usna
7,Wange::N,аӡамҩа,obraz
8,Gesicht::N,аҿы,lice
9,Stirn::N,алахь,čelo
10,Haar::N,ахəыц,kosa
11,Schnurrbart::N,аҧаҵа,brkovi
12,Bart::N,ажакьа,brada
13,Kinn::N,ацламкəыгə,brada
14,Kinn::N,ацламкəыгə,podbradak
15,Kiefer[Anatomie]::N,ацламҳəа,čeljust
16,Kehle::N,ахəда,grlo
17,Hals::N,ахəда,vrat
18,Genick::N,ахəдаџьал,zatiljak
19,Kopf::N,ахы,glava
20,Rücken::N,азқəа,leđa
21,Rücken::N,азқəа,hrbat
22,Bauch::N,амгəа,trbuh
23,Nabel::N,аҷапан,pupak
24,Busen::N,агəыҧҳəы,sisa
25,Busen::N,агəыҧҳəы,njedra
26,Brust::N,агəышҧы,prsa
27,Schulter::N,ажəҩахыр,rame
28,Schulter::N,ажəҩахыр,pleći
29,Arm::N,амахəар,ruka
30,Ellenbogen::N,амашьхəылҵ,lakat
31,Hand::N,анапы,ruka
32,Handfläche::N,анапсаргəыҵа,dlan
33,Finger::N,анацəа,prst
34,Fingernagel::N,анапхыц,nokat
35,Nagel[Anatomie]::N,ашьапхыц,nokat
36,Zeh::N,ашьацəа,nozni prst
37,Fuß::N,ашьапсыргəыҵа,noga
38,Fuß::N,ашьапсыргəыҵа,stopalo
39,Ferse::N,ашьхəа,peta
40,Knie::N,ашьамхы,koljeno
41,Oberschenkel::N,ауаҭəа,bedro
42,Bein::N,ашьапы,noga
43,Körper::N,ацəеижь,tijelo
44,Haut::N,ацəа,put
45,Haut::N,ацəа,koža
46,Blut::N,ашьа,krv
47,Ader::N,ада,žila
48,Sehne::N,адаш,tetiva
49,Knochen::N,абаҩ,kost
50,Gehirn::N,ахшлыбаҩ,
51,Gehirn::N,ахшыбаҩ,
52,Herz::N,агəы,srce
53,Magen::N,аца,stomak
54,Magen::N,аца,želudac
55,Magen::N,ацар,stomak
56,Magen::N,ацар,želudac
57,Leber::N,агəаҵəа,jetra
58,Atem::N,аҧсыҧлагаҩгара,dah
59,Hunger::N,амла,glad
60,Träne::N,алабжыш,suza
61,Geschmack::N,агьама,ukus
62,Geruch::N,афҩы,njuh
63,Geruch::N,афҩы,miris
