,Concept_ID,hy,no
0,Auge::N,աչք,øye
1,Ohr::N,ականջ,øre
2,Nase::N,քիթ,nese
3,Mund::N,բերան,munn
4,Zahn::N,ատամ,tann
5,Zunge::N,լեզու,tunge
6,Lippe::N,շրթունք,leppe
7,Wange::N,այտ,kinn
8,Wange::N,թուշ,kinn
9,Gesicht::N,դեմք,fjes
10,Gesicht::N,դեմք,ansikt
11,Stirn::N,ճակատ,panne
12,Haar::N,մազ,hår
13,Schnurrbart::N,բեղ,bart
14,Bart::N,մորուք,skjegg
15,Kinn::N,կզակ,hake
16,Kiefer[Anatomie]::N,ծնոտ,kjeve
17,Kehle::N,կոկորդ,strupe
18,Hals::N,վիզ,hals
19,Hals::N,պարանոց,hals
20,Genick::N,ծոծրակ,nakke
21,Kopf::N,գլուխ,hode
22,Rücken::N,մեջք,rygg
23,Bauch::N,փոր,buk
24,Bauch::N,փոր,mage
25,Bauch::N,որովայն,buk
26,Bauch::N,որովայն,mage
27,Nabel::N,պորտ,navle
28,Busen::N,ծոց,barm
29,Brust::N,կուրծք,bryst
30,Schulter::N,ուս,skulder
31,Arm::N,թեւ,arm
32,Arm::N,բազուկ,arm
33,Ellenbogen::N,արմունկ,albue
34,Hand::N,ձեռք,hånd
35,Handfläche::N,ափ,håndflate
36,Finger::N,մատ,finger
37,Fingernagel::N,եղունգ,fingernegl
38,Nagel[Anatomie]::N,եղունգ,negl
39,Zeh::N,ոտքի մատ,tå
40,Fuß::N,ոտք,fot
41,Ferse::N,գարշապար,hæl
42,Knie::N,ծունկ,kne
43,Oberschenkel::N,ազդր,lår
44,Bein::N,ոտք,bein
45,Körper::N,մարմին,kropp
46,Körper::N,մարմին,legeme
47,Haut::N,մաշկ,hud
48,Haut::N,մաշկ,skinn
49,Blut::N,արյուն,blod
50,Ader::N,երակ,åre
51,Sehne::N,ջիղ,sene
52,Sehne::N,ձգտան,sene
53,Knochen::N,ոսկոր,bein
54,Knochen::N,ոսկոր,knokkel
55,Gehirn::N,խելք,hjerne
56,Herz::N,սիրտ,hjerte
57,Magen::N,ստամոքս,mage
58,Leber::N,լյարդ,lever
59,Atem::N,շունչ,pust
60,Hunger::N,քաղց,sult
61,Träne::N,արտասուք,tåre
62,Geschmack::N,համ,smak
63,Geschmack::N,բուրմունք,smak
64,Geruch::N,հոտ,lukt
65,Geruch::N,բուրում,lukt
66,Schlaf::N,քուն,søvn
67,Traum::N,երազ,drøm
68,Himmel::N,երկինք,himmel
69,Sonne::N,արեւ,sol
70,Mond::N,լուսին,måne
71,Stern::N,աստղ,stjerne
72,Luft::N,օդ,luft
73,Wind::N,քամի,vind
74,Welle::N,ալիք,bølge
75,Wasser::N,ջուր,vann
76,Stein::N,քար,stein
77,Boden::N,գետին,bakke
78,Erde::N,հող,jord
79,Staub::N,փոշի,støv
80,Rauch::N,ծուխ,røyk
81,Funke::N,կայծ,gnist
82,Feuer::N,կրակ,ild
83,Feuer::N,հրդեհ,ild
84,Licht::N,լույս,lys
85,Schatten::N,ստվեր,skygge
86,Wetter::N,եղանակ,vær
87,Nebel::N,մեգ,tåke
88,Nebel::N,մառախուղ,tåke
89,Wolke::N,ամպ,sky
90,Regen::N,անձրև,regn
91,Schnee::N,ձյուն,snø
92,Eis::N,սառույց,is
93,Frost::N,սառնամանիք,frost
94,Kälte::N,դող,kulde
95,Hitze::N,շոգ,hete
96,Raureif::N,ցօղեղեամ,rimfrost
97,Regenbogen::N,ծիածան,regnbue
98,Donner::N,որոտ,torden
99,Strömung::N,հոսանք,strømning
100,Tropfen::N,կաթիլ,dråpe
101,Schaum::N,փրփուր,skum
102,Schmutz::N,կեղտ,søl
103,Schmutz::N,կեղտ,skitt
104,See::N,լիճ,sjø
105,Sumpf::N,ճահիճ,sump
106,Sumpf::N,ճահիճ,myrlende
107,Moor::N,ճահիճ,myr
108,Moor::N,ճահիճ,myrhei
109,Wiese::N,մարգագետին,eng
110,Wald::N,անտառ,skog
111,Hügel::N,բլուր,haug
112,Hügel::N,բլուր,bakke
113,Anhöhe::N,բարձունք,haug
114,Anhöhe::N,բարձունք,bakke
115,Berg::N,լեռ,berg
116,Berg::N,լեռ,fjell
117,Gipfel::N,գագաթ,topp
118,Gipfel::N,կատար,topp
119,Höhle::N,քարայր,hule
120,Abhang::N,լանջ,li
121,Abhang::N,լանջ,skråning
122,Abhang::N,զառիվայր,li
123,Abhang::N,զառիվայր,skråning
124,Quelle::N,աղբյուր,kilde
125,Bach::N,վտակ,bekk
126,Fluss::N,գետ,elv
127,Ufer::N,ծովափ,bredd
128,Küste::N,ափ,kyst
129,Küste::N,ծովափ,kyst
130,Festland::N,ցամաք,fastland
131,Meer::N,ծով,hav
132,Bucht::N,հաչիւն,bukt
133,Insel::N,վղզի,øy
134,Blume::N,ծաղիկ,blomst
135,Gras::N,խոտ,gress
136,Wurzel::N,արմատ,rot
