,Concept_ID,lv,tt
0,Auge::N,син,күз
1,Auge::N,acs,күз
2,Ohr::N,пель,колак
3,Ohr::N,auss,колак
4,Nase::N,ныр,борын
5,Nase::N,deguns,борын
6,Mund::N,вом,авыз
7,Mund::N,вом,тамак
8,Mund::N,mute,авыз
9,Mund::N,mute,тамак
10,Zahn::N,пинь,теш
11,Zahn::N,zobs,теш
12,Zunge::N,кыв,тел
13,Zunge::N,mēle,тел
14,Lippe::N,вом дор,ирен
15,Lippe::N,lūpa,ирен
16,Wange::N,бан,яңак
17,Wange::N,vaigs,яңак
18,Gesicht::N,чужӧм,йөз
19,Gesicht::N,seja,йөз
20,Gesicht::N,ģīmis,йөз
21,Stirn::N,плеш,маңгай
22,Stirn::N,кымӧс,маңгай
23,Stirn::N,piere,маңгай
24,Haar::N,си,чәч
25,Haar::N,юрси,чәч
26,Haar::N,mats,чәч
27,Schnurrbart::N,ус,мыек
28,Schnurrbart::N,пыртсим,мыек
29,Schnurrbart::N,ūsas,мыек
30,Bart::N,тош,сакал
31,Bart::N,bārda,сакал
32,Kinn::N,тшӧка,ияк
33,Kinn::N,zods,ияк
34,Kinn::N,smakrs,ияк
35,Kiefer[Anatomie]::N,черлы,казналык
36,Kiefer[Anatomie]::N,алака лы,казналык
37,Kiefer[Anatomie]::N,вомкӧтш лы,казналык
38,Kiefer[Anatomie]::N,žoklis,казналык
39,Kehle::N,голя,тамак
40,Kehle::N,rīkle,тамак
41,Hals::N,сьылі,бугаз
42,Hals::N,kakls,бугаз
43,Genick::N,юрбӧр,җилкә
44,Genick::N,балябӧж,җилкә
45,Genick::N,sprands,җилкә
46,Kopf::N,юр,баш
47,Kopf::N,galva,баш
48,Rücken::N,мыш,сырт
49,Rücken::N,mugura,сырт
50,Bauch::N,рушку,корсак
51,Bauch::N,vēders,корсак
52,Nabel::N,гӧг,кендек
53,Nabel::N,naba,кендек
54,Busen::N,морӧс,түш
55,Busen::N,krūts,түш
56,Brust::N,морӧс,имчәк
57,Brust::N,морӧс,күкрәк
58,Brust::N,krūts,имчәк
59,Brust::N,krūts,күкрәк
60,Schulter::N,пельпом,иңбаш
61,Schulter::N,пельпом,кулбаш
62,Schulter::N,plecs,иңбаш
63,Schulter::N,plecs,кулбаш
64,Arm::N,ки,кул
65,Arm::N,roka,кул
66,Arm::N,delms,кул
67,Ellenbogen::N,гырддза,терсәк
68,Ellenbogen::N,elkonis,терсәк
69,Hand::N,ки,кул
70,Hand::N,roka,кул
71,Hand::N,plauksta,кул
72,Handfläche::N,ки пыдӧс,уч
73,Handfläche::N,delna,уч
74,Handfläche::N,plauksta,уч
75,Finger::N,чунь,бармак
76,Finger::N,pirksts,бармак
77,Fingernagel::N,гыж,тырнак
78,Fingernagel::N,nags,тырнак
79,Nagel[Anatomie]::N,гыж,тырнак
80,Nagel[Anatomie]::N,nags,тырнак
81,Zeh::N,кок чунь,бармак
82,Zeh::N,pirksts,бармак
83,Fuß::N,кок,табан
84,Fuß::N,kāja,табан
85,Ferse::N,кокбӧр,үкчә
86,Ferse::N,papēdis,үкчә
87,Knie::N,пидзӧс,тез
88,Knie::N,celis,тез
89,Oberschenkel::N,лядьвей,бот
90,Oberschenkel::N,бек,бот
91,Oberschenkel::N,ciska,бот
92,Oberschenkel::N,augšstilbs,бот
