,Concept_ID,lt,ce
0,Auge::N,akis,бӏаьрг
1,Ohr::N,ausis,лерг
2,Nase::N,nosis,мара
3,Mund::N,burna,бага
4,Zahn::N,dantis,церг
5,Zunge::N,liežuvis,мотт
6,Lippe::N,lūpa,балда
7,Wange::N,žandas,бесни
8,Wange::N,skruostas,бесни
9,Gesicht::N,veidas,юьхь
10,Stirn::N,kakta,хьаж
11,Haar::N,plaukai,мас
12,Schnurrbart::N,ūsai,мекх
13,Bart::N,barzda,маж
14,Kinn::N,smakras,чӏениг
15,Kiefer[Anatomie]::N,žandikaulis,мочхал
16,Kehle::N,gerklė,къамкъарг
17,Hals::N,kaklas,ворта
18,Genick::N,sprandas,кӏесаркӏаг
19,Kopf::N,galva,корта
20,Rücken::N,nugara,букъ
21,Bauch::N,pilvas,кийра
22,Nabel::N,bamba,цӏонга
23,Busen::N,krūtinė,зударийн накха
24,Brust::N,krūtis,накха
25,Schulter::N,petys,белш
26,Arm::N,ranka,пхьарс
27,Ellenbogen::N,alkūnė,пхьаьрсан гола
28,Hand::N,ranka,куьг
29,Hand::N,plaštaka,куьг
30,Handfläche::N,delnas,кераюкъ
31,Handfläche::N,plaštaka,кераюкъ
32,Finger::N,pirštas,пӏелг
33,Fingernagel::N,nagas,мӏара
34,Nagel[Anatomie]::N,nagas,мӏара
35,Zeh::N,pirštas,кога пӏелг
36,Fuß::N,pėda,ког
37,Ferse::N,kulnas,кӏажа
38,Knie::N,kelis,гола
39,Oberschenkel::N,kulšis,варе
40,Oberschenkel::N,šlaunis,варе
41,Bein::N,koja,ког
42,Körper::N,kūnas,хӏума
43,Haut::N,oda,чкъор
44,Blut::N,kraujas,цӏий
45,Ader::N,kraujagyslė,пха
46,Sehne::N,sausgyslė,хьорзам
47,Knochen::N,kaulas,даьӏахк
48,Gehirn::N,smegenys,хье
49,Herz::N,širdis,дог
50,Magen::N,skrandis,зорх
51,Leber::N,kepenys,доӏах
52,Atem::N,kvapas,садеӏар
53,Hunger::N,badas,мацалла
54,Hunger::N,alkis,мацалла
55,Träne::N,ašara,бӏаьрхи
56,Geschmack::N,skonis,чам
57,Geruch::N,kvapas,хьожа
58,Schlaf::N,miegas,наб
59,Traum::N,sapnas,гӏан
60,Himmel::N,dangus,стигал
61,Sonne::N,saulė,малх
62,Mond::N,mėnulis,бутт
63,Stern::N,žvaigždė,седа
64,Luft::N,oras,xӏаваъ
65,Wind::N,vėjas,мох
66,Welle::N,banga,тулгӏе
67,Welle::N,vilnis,тулгӏе
68,Wasser::N,vanduo,хи
69,Stein::N,akmuo,тӏулг
70,Boden::N,žemė,цӏенкъа
71,Boden::N,dugnas,цӏенкъа
72,Erde::N,žemė,латта
73,Staub::N,dulkės,чан
74,Rauch::N,dūmai,кӏур
75,Funke::N,kibirkštis,суй
76,Feuer::N,ugnis,цӏе
77,Licht::N,šviesa,серло
78,Schatten::N,paūksmė,ӏиндагӏ
79,Wetter::N,oras,хенан хӏоттам
80,Nebel::N,migla,дохк
81,Nebel::N,rūkas,дохк
82,Wolke::N,debesis,марха
83,Regen::N,lietus,догӏа
84,Schnee::N,sniegas,ло
85,Eis::N,ledas,ша
86,Frost::N,šalna,шело
87,Kälte::N,šaltis,шело
88,Hitze::N,karštis,йовхо
89,Raureif::N,šerkšnas,йис
90,Regenbogen::N,vaivorykštė,стелаӏад
91,Donner::N,perkūnas,ткъес
92,Donner::N,griaustinis,ткъес
93,Strömung::N,tėkmė,дӏаэхар
94,Strömung::N,tėkmė,дӏасалелар
95,Tropfen::N,lašas,тӏадам
96,Schaum::N,putos,чопа
97,Schmutz::N,purvas,хатт
98,See::N,ežeras,ӏам
99,Sumpf::N,klampynė,уьшал
100,Sumpf::N,liūnas,уьшал
101,Moor::N,pelkė,уьшал
102,Wiese::N,pieva,бай
103,Wald::N,miškas,хьун
104,Hügel::N,kalva,гу
105,Hügel::N,kalva,шу
106,Hügel::N,kalva,барз
107,Anhöhe::N,kauburys,акъари
108,Berg::N,kalnas,лам
109,Gipfel::N,viršūnė,бохь
110,Höhle::N,ola,хьех
111,Abhang::N,šlaitas,басе
112,Abhang::N,nuokalnė,басе
113,Quelle::N,versmė,шовда
114,Quelle::N,šaltinis,шовда
115,Bach::N,upelis,татол
116,Fluss::N,upė,хи
117,Ufer::N,krantas,хийист
118,Küste::N,pajūris,йист
119,Festland::N,sausuma,латта
120,Meer::N,jūra,xӏорд
121,Bucht::N,įlanka,чож
122,Bucht::N,užutekis,чож
123,Insel::N,sala,гӏайре
124,Blume::N,gėlė,зезаг
125,Gras::N,žolė,буц
126,Wurzel::N,šaknis,орам
127,Baum::N,medis,дитт
128,Stamm::N,kamienas,гӏад
129,Stamm::N,kamienas,тайпа
130,Rinde::N,žievė,кевстиг
131,Ast::N,šaka,га
132,Zweig::N,šakelė,га
133,Blatt::N,lapas,гӏа
134,Birke::N,beržas,дакх
135,Kiefer[Baum]::N,pušis,бага
136,Weide[Baum]::N,karklas,дак
137,Tanne::N,eglė,база
138,Tanne::N,kėnis,база
139,Horn::N,ragas,маӏа
140,Feder::N,plunksna,пелаг
141,Fell::N,kailis,цӏока
142,Flügel::N,sparnas,тӏам
143,Klaue::N,kanopa,мӏара
144,Kralle::N,nagas,тlод
145,Schwanz::N,uodega,цӏога
146,Ei::N,kiaušinis,xӏoa
147,Nest::N,gūžta,бен
148,Nest::N,lizdas,бен
149,Bau::N,ola,lуьрг
150,Tier::N,gyvūnas,дийнат
151,Herde::N,banda,жа
152,Herde::N,kaimenė,жа
153,Kuh::N,karvė,етт
154,Bulle::N,bulius,сту
155,Pferd::N,arklys,говр
156,Schaf::N,avis,жий
157,Schaf::N,avis,уьстагӏ
158,Schwein::N,kiaulė,хьакха
159,Hund::N,šuo,жӏаьла
160,Katze::N,katė,цициг
161,Bär::N,lokys,ча
162,Eichhörnchen::N,voveraitė,тарсал
163,Elch::N,briedis,сай
164,Fuchs::N,lapė,цхьогал
165,Hase::N,kiškas,пхьагал
166,Maus::N,pelė,дахка
167,Wolf::N,vilkas,борз
168,Vogel::N,paukštis,олхазар
169,Schwarm::N,spiečius,
170,Huhn::N,višta,котам
171,Hahn::N,gaidys,нӏаьна
172,Hahn::N,gaidys,боргӏал
173,Gans::N,žąsis,гӏаз
174,Adler::N,erelis,aьрзу
175,Ente::N,antis,бад
176,Eule::N,pelėda,бухӏа
177,Kranich::N,gervė,гӏаргӏули
178,Krähe::N,varna,къиг
179,Kuckuck::N,gegužė,aттйокх
180,Schwan::N,gulbė,гӏургӏаз
181,Fisch::N,žuvis,чӏара
182,Barsch::N,ešerys,окунь
183,Hecht::N,lydeka,гӏазкхийн чӏара
184,Schlange[Tier]::N,gyvatė,лаьхьа
185,Wurm::N,kirmėlė,нӏаьна
186,Spinne::N,voras,гезг
187,Ameise::N,skruzdė,зингат
188,Laus::N,utėlė,меза
189,Laus::N,utėlė,гӏениг
190,Mücke::N,uodas,чуьрк
191,Fliege::N,musė,моза
192,Schmetterling::N,drugys,полла
193,Schmetterling::N,peteliškė,полла
194,Beere::N,uoga,цӏазам
195,Apfel::N,obuolys,ӏаж
196,Pilz::N,grybas,жӏаьлин нускал
197,Zwiebel::N,svogūnas,xох
