,Concept_ID,hu,uz
0,Auge::N,szem,ko'z
1,Ohr::N,fül,quloq
2,Nase::N,orr,burun
3,Mund::N,száj,og'iz
4,Zahn::N,fog,tish
5,Zunge::N,nyelv,til
6,Lippe::N,ajak,dudoq
7,Wange::N,orca,bet
8,Gesicht::N,arc,yuz
9,Stirn::N,homlok,manglay
10,Haar::N,haj,soch
11,Schnurrbart::N,bajusz,mo'ylov
12,Bart::N,szakáll,soqol
13,Kinn::N,áll,ängak
14,Kiefer[Anatomie]::N,állkapocs,iyak
15,Kehle::N,gége,bo'g'iz
16,Kehle::N,torok,bo'g'iz
17,Hals::N,nyak,bo'yin
18,Genick::N,tarkó,gardan
19,Kopf::N,fő,bosh
20,Kopf::N,fej,bosh
21,Rücken::N,hát,orqa
22,Bauch::N,has,qorin
23,Nabel::N,köldök,kindik
24,Busen::N,mell,ämchak
25,Busen::N,kebel,ämchak
26,Brust::N,mell,ko'krak
27,Schulter::N,váll,elka
28,Arm::N,kar,bilak
29,Ellenbogen::N,könyök,tirsak
30,Hand::N,kéz,qo'l
31,Handfläche::N,tenyér,kaft
32,Finger::N,ujj,barmoq
33,Fingernagel::N,köröm,tirnoq
34,Nagel[Anatomie]::N,köröm,tirnoq
35,Zeh::N,lábujj,oyoq barmog'i
36,Fuß::N,láb,oyoq
37,Ferse::N,sarok,tovon
38,Knie::N,térd,tiz
39,Oberschenkel::N,comb,son
40,Bein::N,láb,oyoq
41,Bein::N,lábszár,oyoq
42,Körper::N,test,badna
43,Haut::N,bőr,teri
44,Blut::N,vér,qon
45,Ader::N,ér,qon tomir
46,Sehne::N,ín,tomir
47,Knochen::N,csont,suyak
48,Gehirn::N,agy,miya
49,Gehirn::N,agyvelő,miya
50,Herz::N,szív,qalb
51,Magen::N,gyomor,oshqozon
52,Leber::N,máj,bag'ir
53,Atem::N,lehelet,dam
54,Atem::N,lélegzet,dam
55,Hunger::N,éhség,ochlik
56,Träne::N,könny,yosh
57,Geschmack::N,íz,tam
58,Geruch::N,szag,jid
59,Schlaf::N,álom,uyqu
60,Schlaf::N,alvás,uyqu
61,Traum::N,álom,tush
62,Himmel::N,ég,osmon
63,Himmel::N,menny,osmon
64,Sonne::N,nap,quyosh
65,Mond::N,hold,oy
66,Stern::N,csillag,yulduz
67,Luft::N,levegő,havo
68,Wind::N,szél,el
69,Welle::N,hullám,to'lqin
70,Wasser::N,víz,suv
71,Stein::N,kő,tosh
72,Boden::N,föld,tuproq
73,Boden::N,talaj,tuproq
74,Erde::N,föld,er
75,Staub::N,por,chang
76,Rauch::N,füst,tutun
77,Funke::N,szikra,yalt
78,Feuer::N,tűz,o't
79,Licht::N,fény,yorug'
80,Schatten::N,árnyék,soya
81,Wetter::N,idő,havo
82,Wetter::N,időjárás,havo
83,Nebel::N,köd,tuman
