,Concept_ID,eu,la
0,Auge::N,begi,oculus
1,Ohr::N,belarri,auris
2,Nase::N,sudur,nasus
3,Mund::N,aho,os
4,Zahn::N,hortz,dens
5,Zunge::N,mihi,lingua
6,Lippe::N,ezpain,labrum
7,Wange::N,masail,gena
8,Gesicht::N,aurpegi,vultus
9,Stirn::N,bekoki,frons
10,Haar::N,ile,capillus
11,Haar::N,bilo,capillus
12,Schnurrbart::N,bibote,barba labri superioris
13,Schnurrbart::N,sudurpeko,barba labri superioris
14,Bart::N,bizar,barba
15,Kinn::N,kokots,mentum
16,Kiefer[Anatomie]::N,masailezur,mala
17,Kehle::N,eztarri,iugulums
18,Hals::N,sama,collum
19,Genick::N,garondo,cervices
20,Kopf::N,buru,caput
21,Rücken::N,bizkar,tergum
22,Bauch::N,sabel,venter
23,Nabel::N,zilbor,umbilicus
24,Busen::N,titi,sinus
25,Busen::N,ugatz,sinus
26,Brust::N,bular,pectus
27,Schulter::N,besaburu,umerus
28,Arm::N,beso,bracchium
29,Ellenbogen::N,ukondo,cubitum
30,Hand::N,esku,manus
31,Handfläche::N,ahur,palma
32,Finger::N,hatz,digitus
33,Fingernagel::N,azazkal,unguiculus
34,Nagel[Anatomie]::N,azazkal,unguis
35,Zeh::N,behatz,digitus
36,Fuß::N,oin,pes
37,Ferse::N,orpo,calx
38,Ferse::N,oinburu,calx
39,Knie::N,belaun,genu
40,Oberschenkel::N,izter,femur
41,Bein::N,zango,crus
42,Körper::N,soin,corpus
43,Haut::N,azal,cutis
44,Haut::N,azal,pellis
45,Blut::N,odol,sanguis
46,Ader::N,zain,vena
47,Sehne::N,gihar-zain,nervus
48,Knochen::N,hezur,os
49,Gehirn::N,garun,cerebrum
50,Gehirn::N,burmuin,cerebrum
51,Herz::N,bihotz,cor
52,Herz::N,bihotz,animus
53,Magen::N,urdail,stomachus
54,Leber::N,gibel,iecur
55,Atem::N,hats,spiritus
56,Atem::N,arnasa,spiritus
57,Hunger::N,gose,fames
58,Träne::N,malko,lacrima
59,Geschmack::N,dasta,sapor
60,Geschmack::N,dasta,gustus
61,Geruch::N,usain,odor
62,Schlaf::N,lo,somnus
63,Traum::N,amets,somnium
64,Himmel::N,zeru,caelum
65,Sonne::N,eguzki,sol
66,Mond::N,ilargi,luna
67,Stern::N,izar,sidus
68,Stern::N,izar,stella
69,Luft::N,aire,aer
70,Wind::N,haize,ventus
71,Welle::N,uhin,unda
72,Welle::N,olatu,unda
73,Wasser::N,ur,aqua
74,Stein::N,harri,lapis
75,Boden::N,lur,solum
76,Boden::N,zoru,solum
77,Erde::N,lur,terra
78,Staub::N,hauts,pulvis
79,Rauch::N,ke,fumus
80,Funke::N,zirta,scintilla
81,Funke::N,txinparta,scintilla
82,Feuer::N,su,ignis
83,Licht::N,argi,lux
84,Licht::N,argi,lumen
85,Schatten::N,itzal,umbra
86,Schatten::N,geriza,umbra
87,Wetter::N,eguraldi,caelum
88,Wetter::N,eguraldi,tempestas
89,Nebel::N,laino,nebula
90,Wolke::N,hodei,nubes
91,Regen::N,euri,imber
92,Regen::N,euri,pluvia
93,Schnee::N,elur,nix
94,Eis::N,horma,glacies
95,Frost::N,izotzaldi,gelu
96,Kälte::N,hotz,frigus
97,Hitze::N,bero,calor
98,Hitze::N,bero,aestus
99,Raureif::N,antzigar,pruina
100,Regenbogen::N,ostadar,arcus
101,Regenbogen::N,ortzadar,arcus
102,Donner::N,ostots,tonitrus
103,Donner::N,ihurtzuri,tonitrus
104,Strömung::N,laster,fluctus
105,Tropfen::N,xorta,gutta
106,Schaum::N,bits,spuma
107,Schmutz::N,lohi,sordes
108,Schmutz::N,lohi,squalor
109,Schmutz::N,zikin,sordes
110,Schmutz::N,zikin,squalor
111,See::N,laku,lacus
112,See::N,aintzira,lacus
113,Sumpf::N,zingira,palus
114,Moor::N,zohikaztegi,palus
115,Wiese::N,larre,pratum
116,Wiese::N,belardi,pratum
117,Wald::N,baso,silva
118,Wald::N,oihan,silva
119,Hügel::N,muino,collis
120,Hügel::N,pentoka,collis
121,Anhöhe::N,garai,specula
122,Anhöhe::N,goragune,specula
123,Berg::N,mendi,mons
124,Gipfel::N,gain,vertex
125,Gipfel::N,tontor,vertex
126,Höhle::N,kobazulo,caverna
127,Höhle::N,kobazulo,spelunca
128,Abhang::N,aldapa,declivum
129,Quelle::N,iturri,fons
130,Quelle::N,iturbegi,fons
131,Bach::N,lats,rivus
132,Bach::N,erreka,rivus
133,Fluss::N,ibai,flumen
134,Fluss::N,uhaitz,flumen
135,Ufer::N,bazter,ripa
136,Küste::N,itsasalde,litus
137,Festland::N,lehor,continens
138,Meer::N,itsaso,mare
139,Bucht::N,golko,sinus
140,Insel::N,irla,insula
141,Insel::N,uharte,insula
142,Blume::N,lili,flos
143,Gras::N,belar,herba
144,Gras::N,belar,gramen
145,Wurzel::N,zuztar,radix
146,Wurzel::N,sustrai,radix
147,Baum::N,zuhaitz,arbor
148,Stamm::N,enbor,truncus
149,Rinde::N,azal,cortex
150,Ast::N,adar,ramus
151,Zweig::N,abar,ramus
152,Blatt::N,hosto,folium
153,Birke::N,urki,betulla
154,Kiefer[Baum]::N,ler,pinus
155,Weide[Baum]::N,zume,salix
156,Weide[Baum]::N,sahats,salix
157,Tanne::N,izei,abies
158,Horn::N,adar,cornu
159,Feder::N,luma,penna
160,Feder::N,hegaki,penna
161,Fell::N,ile,pellis
162,Fell::N,larru,pellis
163,Flügel::N,hego,ala
164,Klaue::N,atzapar,unguis
165,Kralle::N,erpe,unguis
166,Kralle::N,atzapar,unguis
167,Schwanz::N,isats,cauda
168,Schwanz::N,buztan,cauda
