,Concept_ID,kn,az
0,Auge::N,ಕಣ್ಣು,göz
1,Ohr::N,ಕಿವಿ,qulaq
2,Nase::N,ಮೂಗು,burun
3,Mund::N,ಬಾಯಿ,ağız
4,Zahn::N,ಹಲ್ಲು,diş
5,Zunge::N,ನಾಲಿಗೆ,dil
6,Lippe::N,ತುಟಿ,dodaq
7,Wange::N,ಗಲ್ಲ,yanaq
8,Gesicht::N,ಮುಖ,üz
9,Stirn::N,ಹಣೆ,alın
10,Haar::N,ಕೂದಲು,saç
11,Schnurrbart::N,ಮೀಸೆ,bığ
12,Bart::N,ಗಡ್ಡ,saqqal
13,Kinn::N,ಗದ್ದ,çənə
14,Kiefer[Anatomie]::N,ದವಡೆ,çənə
15,Kehle::N,ಗಂಟಲು,boğaz
16,Hals::N,ಕೊರಳು,boyun
17,Genick::N,ಹಿಂಗತ್ತು,ənsə
18,Kopf::N,ತಲೆ,baş
19,Rücken::N,ಬೆನ್ನು,bel
20,Bauch::N,ಹೊಟ್ಟೆ,qarın
21,Nabel::N,ಹೊಕ್ಕುಳು,göbək
22,Busen::N,ಸ್ತನ,məmə
23,Brust::N,ಎದೆ,döş
24,Schulter::N,ಭುಜ,çiyin
25,Arm::N,ತೋಳು,qol
26,Ellenbogen::N,ಮೊಣಕೈ,dirsək
27,Hand::N,ಕೈ,əl
28,Handfläche::N,ಅಂಗೈ,ovuc
29,Finger::N,ಕೈಬೆರಳು,barmaq
30,Fingernagel::N,ಉಗುರು,barmaq dırnağı
31,Nagel[Anatomie]::N,ಉಗುರು,dırnak
32,Zeh::N,ಕಾಲ್ಬೆರಳು,ayaq barmağı
33,Fuß::N,ಪಾದ,ayaq
34,Ferse::N,ಹಿಮ್ಮಡಿ,daban
35,Knie::N,ಮಂಡಿ,diz
36,Oberschenkel::N,ತೊಡೆ,bud
37,Bein::N,ಕಾಲು,qıç
38,Körper::N,ದೇಹ,əndam
39,Haut::N,ಚರ್ಮ,dəri
40,Blut::N,ರಕ್ತ,qan
41,Ader::N,ನರ,damar
