,Concept_ID,tr,tt
0,Auge::N,göz,күз
1,Ohr::N,kulak,колак
2,Nase::N,burun,борын
3,Mund::N,ağız,авыз
4,Mund::N,ağız,тамак
5,Zahn::N,diş,теш
6,Zunge::N,dil,тел
7,Lippe::N,dudak,ирен
8,Wange::N,yanak,яңак
9,Gesicht::N,yüz,йөз
10,Stirn::N,alın,маңгай
11,Haar::N,saç,чәч
12,Schnurrbart::N,bıyık,мыек
13,Bart::N,sakal,сакал
14,Kinn::N,çene,ияк
15,Kiefer[Anatomie]::N,çene,казналык
16,Kehle::N,boğaz,тамак
17,Hals::N,boyun,бугаз
18,Hals::N,gerdan,бугаз
19,Genick::N,ense,җилкә
20,Kopf::N,baş,баш
21,Kopf::N,kafa,баш
22,Rücken::N,arka,сырт
23,Bauch::N,karın,корсак
24,Nabel::N,göbek,кендек
25,Busen::N,koyun,түш
26,Brust::N,göğüs,имчәк
27,Brust::N,göğüs,күкрәк
28,Schulter::N,omuz,иңбаш
29,Schulter::N,omuz,кулбаш
30,Arm::N,kol,кул
31,Ellenbogen::N,dirsek,терсәк
32,Hand::N,el,кул
33,Handfläche::N,avuç,уч
34,Handfläche::N,el ayası,уч
35,Finger::N,parmak,бармак
36,Fingernagel::N,el tırnağı,тырнак
37,Nagel[Anatomie]::N,tırnak,тырнак
38,Zeh::N,ayak parmağı,бармак
39,Fuß::N,ayak,табан
40,Ferse::N,topuk,үкчә
41,Knie::N,diz,тез
42,Oberschenkel::N,uyluk,бот
43,Bein::N,bacak,аяк
44,Körper::N,vücut,тән
45,Körper::N,vücut,җисем
46,Haut::N,cilt,тире
47,Blut::N,kan,кан
48,Ader::N,damar,тамыр
49,Sehne::N,kiriş,сеңер
50,Knochen::N,kemik,сөяк
51,Gehirn::N,beyin,ми
52,Herz::N,kalp,йөрәк
53,Herz::N,yürek,йөрәк
54,Magen::N,mide,ашказаны
55,Leber::N,karaciğer,бавыр
56,Atem::N,nefes,сулыш
57,Hunger::N,açlık,ачлык
58,Träne::N,gözyaşı,яшь
59,Geschmack::N,tat,тәм
60,Geschmack::N,tat,зәвык
61,Geschmack::N,lezzet,тәм
62,Geschmack::N,lezzet,зәвык
63,Geruch::N,koku,ис
64,Schlaf::N,uyku,йокы
65,Traum::N,düş,төш
66,Traum::N,rüya,төш
67,Himmel::N,gök,күк
68,Sonne::N,güneş,кояш
69,Mond::N,ay,ай
70,Stern::N,yıldız,йолдыз
71,Luft::N,hava,һава
72,Wind::N,yel,җил
73,Wind::N,rüzgâr,җил
74,Welle::N,dalga,дулкын
75,Wasser::N,su,су
76,Stein::N,taş,таш
77,Boden::N,yer,туфрак
78,Boden::N,zemin,туфрак
79,Erde::N,toprak,җир
80,Staub::N,toz,тузан
81,Rauch::N,duman,төтен
82,Funke::N,kıvılcım,очкын
83,Feuer::N,ateş,ут
84,Licht::N,ışık,якты
85,Schatten::N,gölge,күләгә
86,Wetter::N,hava,һава
87,Nebel::N,pus,томан
88,Wolke::N,bulut,болыт
89,Regen::N,yağmur,яңгыр
90,Schnee::N,kar,кар
91,Eis::N,buz,боз
92,Frost::N,don,суык
93,Frost::N,don,салкын
94,Kälte::N,soğukluk,суык
95,Kälte::N,soğukluk,салкын
96,Hitze::N,sıcaklık,эсселек
97,Raureif::N,kırç,бәс
98,Raureif::N,kırç,сыкы
99,Regenbogen::N,gökkuşağı,салават күпере
100,Donner::N,gök gürlemesi,күкрәү
101,Strömung::N,akıntı,агыш'агым
102,Strömung::N,cereyan,агыш'агым
103,Tropfen::N,damla,тамчы
104,Schaum::N,köpük,күбек
105,Schmutz::N,çamur,пычрак
106,Schmutz::N,pislik,пычрак
107,See::N,göl,күл
108,Sumpf::N,batak,саз
109,Moor::N,cılgıt,торфлык
110,Wiese::N,çimen,болын
111,Wald::N,koru,урман
112,Wald::N,orman,урман
113,Hügel::N,tepe,калку
114,Anhöhe::N,tümsek,үр
115,Anhöhe::N,yükseklik,үр
116,Berg::N,dağ,тау
117,Gipfel::N,zirve,оч
118,Höhle::N,in,мәгарә
119,Höhle::N,mağara,мәгарә
120,Abhang::N,bayır,кабырга
121,Quelle::N,pınar,чишмә
122,Quelle::N,kaynak,чишмә
123,Bach::N,çay,елга
124,Bach::N,dere,елга
125,Fluss::N,nehir,дәрья
126,Ufer::N,kıyı,су кырые
127,Ufer::N,sahil,су кырые
128,Küste::N,kıyı,яр буе
129,Küste::N,sahil,яр буе
130,Festland::N,kara,коры җир
131,Meer::N,deniz,диңгез
132,Bucht::N,koy,бухта
133,Bucht::N,koy,култык
134,Bucht::N,körfez,бухта
135,Bucht::N,körfez,култык
136,Insel::N,ada,атау
137,Insel::N,ada,утрау
138,Blume::N,çiçek,чәчкә
139,Gras::N,ot,үлән
140,Gras::N,çim,үлән
141,Wurzel::N,kök,тамыр
142,Baum::N,ağaç,агач
143,Stamm::N,gövde,кәүсә
144,Rinde::N,kabuk,кабык
145,Ast::N,dal,ботак
146,Ast::N,budak,ботак
147,Zweig::N,dal,ботак
148,Zweig::N,dal,тармак
149,Blatt::N,yaprak,яфрак
150,Birke::N,huş,каен
151,Kiefer[Baum]::N,çam,нарат
152,Weide[Baum]::N,söğüt,тал
153,Tanne::N,çam,чыршы
154,Tanne::N,köknar,чыршы
155,Horn::N,boynuz,мөгез
156,Feder::N,tüy,йон
157,Fell::N,post,тире
158,Flügel::N,kanat,канат
159,Klaue::N,pençe,тырнак
160,Kralle::N,tırnak,тырнак
161,Schwanz::N,kuyruk,койрык
162,Ei::N,yumurta,күкәй
163,Ei::N,yumurta,йомырка
164,Nest::N,yuva,оя
165,Bau::N,in,өн
166,Tier::N,hayvan,хайван
167,Herde::N,sürü,көтү
168,Kuh::N,inek,сыер
