,Concept_ID,fi,nl
210,Pilz::N,sieni,paddestoel
211,Zwiebel::N,sipuli,ui
212,Saat::N,siemenet,zaad
213,Korn::N,jyvä,graan
214,Korn::N,jyvä,korrel
215,Korn::N,vilja,graan
216,Korn::N,vilja,korrel
217,Heu::N,heinä,hooi
218,Schale::N,kuori,schil
219,Grube::N,kuoppa,kuil
220,Falle::N,loukku,val
221,Schlinge::N,ansa,strop
222,Spur::N,jälki,spoor
223,Asche::N,tuhka,as
224,Dreck::N,lika,drek
225,Eisen::N,rauta,ijzer
226,Gold::N,kulta,goud
227,Silber::N,hopea,zilver
228,Kohle::N,hiili,kool
229,Glas::N,lasi,glas
230,Lehm::N,savi,klei
231,Sand::N,hiekka,zand
232,Mensch::N,ihminen,mens
233,Mann::N,mies,man
234,Frau::N,nainen,vrouw
235,Kind::N,lapsi,kind
236,Junge::N,poika,jongen
237,Mädchen::N,tyttö,meisje
238,Familie::N,perhe,gezin
239,Familie::N,perhe,familie
240,Großvater::N,isoisä,grootvader
241,Großmutter::N,isoäiti,grootmoeder
242,Eltern::N,vanhemmat,ouders
243,Vater::N,isä,vader
244,Mutter::N,äiti,moeder
245,Sohn::N,poika,zoon
246,Tochter::N,tytär,dochter
247,Bruder::N,veli,broer
248,Bruder::N,veli,broeder
249,Schwester::N,sisko,zus
250,Schwester::N,sisko,zuster
251,Onkel::N,eno,oom
252,Onkel::N,setä,oom
253,Tante::N,täti,tante
254,Ehemann::N,mies,echtgenoot
255,Ehemann::N,aviomies,echtgenoot
256,Ehefrau::N,vaimo,echtgenote
257,Ehefrau::N,aviovaimo,echtgenote
258,Freude::N,ilo,vreugde
259,Freude::N,riemu,vreugde
260,Gelächter::N,nauru,gelach
261,Glück::N,onni,geluk
262,Kummer::N,suru,verdriet
263,Kummer::N,murhe,verdriet
264,Wunsch::N,toive,wens
265,Wunsch::N,toive,verlangen
266,Wunsch::N,toivomus,wens
267,Wunsch::N,toivomus,verlangen
268,Lust::N,himo,zin
269,Lust::N,himo,lust
270,Geist::N,henki,geest
271,Gedanke::N,aate,gedachte
272,Gedanke::N,ajatus,gedachte
273,Gedächtnis::N,muisti,geheugen
274,Verstand::N,äly,verstand
275,Verstand::N,järki,verstand
276,Verstand::N,ymmärrys,verstand
277,Sinn::N,merkitys,betekenis
278,Grund::N,syy,reden
279,Grund::N,peruste,reden
280,Wahrheit::N,tosi,waarheid
281,Wahrheit::N,totuus,waarheid
282,Gespräch::N,puhelu,gesprek
283,Gespräch::N,keskustelu,gesprek
284,Märchen::N,satu,sprookje
285,Erzählung::N,tarina,verhaal
286,Erzählung::N,kertomus,verhaal
287,Nachricht::N,tieto,tijding
288,Nachricht::N,ilmoitus,tijding
289,Neuigkeit::N,uutinen,nieuws
290,Neuigkeit::N,uutinen,nieuwtje
291,Name::N,nimi,naam
292,Rätsel::N,arvoitus,raadsel
293,Rede::N,puhe,rede
294,Sprache::N,kieli,taal
295,Stimme::N,ääni,stem
296,Wort::N,sana,woord
297,Zeichen::N,merkki,teken
298,Ruf::N,kutsu,roep
299,Lärm::N,melu,lawaai
300,Lärm::N,hälinä,lawaai
301,Laut::N,ääni,klank
302,Laut::N,ääni,geluid
303,Ton::N,sävel,toon
304,Ton::N,sävel,klank
305,Lied::N,laulu,lied
306,Ruhe::N,lepo,rust
307,Ruhe::N,lepo,stilte
308,Ruhe::N,rauha,rust
309,Ruhe::N,rauha,stilte
310,Leute::N,väki,lui
311,Leute::N,väki,mensen
312,Leute::N,ihmiset,lui
313,Leute::N,ihmiset,mensen
314,Volk::N,kansa,volk
315,Arbeit::N,työ,werk
316,Arbeit::N,työ,arbeid
317,Gast::N,vieras,gast
318,Geschenk::N,lahja,cadeau
319,Geschenk::N,lahja,geschenk
320,Spiel::N,peli,spel
321,Spiel::N,leikki,spel
322,Gesellschaft::N,seura,gezelschap
323,Hilfe::N,apu,hulp
324,Freund::N,ystävä,vriend
325,Kamerad::N,toveri,maat
326,Kamerad::N,toveri,metgezel
327,Angelegenheit::N,asia,zaak
328,Angelegenheit::N,asia,aangelegenheid
329,Anzahl::N,lukumäärä,tal
330,Anzahl::N,lukumäärä,aantal
331,Art::N,laji,slag
332,Art::N,laji,soort
333,Stück::N,pala,stuk
334,Stück::N,kappale,stuk
335,Teil::N,osa,deel
336,Hälfte::N,puoli,helft
337,Kreis::N,ympyrä,kring
338,Kreis::N,ympyrä,cirkel
339,Kreuz::N,risti,kruis
340,Linie::N,viiva,lijn
341,Strich::N,piirto,haal
342,Strich::N,piirto,streep
343,Abstand::N,väli,afstand
344,Abstand::N,väljyys,afstand
345,Entfernung::N,etäisyys,afstand
346,Gegend::N,seutu,streek
347,Platz::N,tila,ruimte
348,Ort::N,kohta,oord
349,Ort::N,kohta,plaats
350,Ort::N,paikka,oord
351,Ort::N,paikka,plaats
352,Seite::N,sivu,zij
353,Seite::N,sivu,kant
354,Seite::N,sivu,zijde
355,Seite::N,kylki,zij
356,Seite::N,kylki,kant
357,Seite::N,kylki,zijde
358,Mitte::N,keskus,midden
359,Mitte::N,puoliväli,midden
360,Gegenstand::N,kalu,voorwerp
361,Gegenstand::N,esine,voorwerp
362,Sache::N,asia,zaak
363,Rand::N,ääri,rand
364,Rand::N,ääri,boord
365,Rand::N,syrjä,rand
366,Rand::N,syrjä,boord
367,Kante::N,särmä,kant
368,Ecke::N,nurkka,hoek
369,Spitze::N,terä,punt
370,Spitze::N,terä,spits
371,Spitze::N,kärki,punt
372,Spitze::N,kärki,spits
373,Ende::N,pää,einde
374,Ende::N,pää,uiteinde
375,Ende::N,perä,einde
376,Ende::N,perä,uiteinde
377,Loch::N,kolo,gat
378,Loch::N,reikä,gat
379,Winkel::N,kulma,hoek
380,Muster::N,kuvio,dessin
381,Muster::N,kuvio,patroon
382,Größe::N,koko,grootte
383,Größe::N,suuruus,grootte
384,Länge::N,pituus,lengte
385,Höhe::N,korkeus,hoogte
386,Gewicht::N,paino,gewicht
387,Menge::N,määrä,hoeveelheid
388,Haufen::N,kasa,hoop
389,Reihe::N,rivi,rij
390,Reihe::N,rivi,reeks
391,Boot::N,vene,boot
392,Ruder::N,airo,roeiriem
393,Schlitten::N,reki,slee
394,Schlitten::N,reki,slede
395,Schlitten::N,kelkka,slee
396,Schlitten::N,kelkka,slede
397,Ski::N,suksi,ski
398,Lagerfeuer::N,nuotio,kampvuur
399,Last::N,kuorma,last
400,Last::N,kuorma,vracht
401,Gang::N,kulku,wandeling
402,Gang::N,käynti,wandeling
403,Schritt::N,askel,stap
404,Schritt::N,askel,schrede
405,Norden::N,pohjoinen,noorden
406,Süden::N,etelä,zuiden
407,Westen::N,länsi,westen
408,Osten::N,itä,oosten
409,Holz::N,puu,hout
410,Brett::N,lauta,plank
411,Platte::N,levy,plaat
412,Stütze::N,noja,stut
413,Stütze::N,noja,steun
414,Stange::N,tanko,stang
415,Stock::N,keppi,stok
416,Stab::N,sauva,staf
417,Stab::N,seiväs,staf
418,Rohr::N,putki,pijp
419,Haus::N,talo,huis
420,Heim::N,koti,tehuis
421,Ofen::N,uuni,kachel
422,Fußboden::N,lattia,vloer
423,Tisch::N,pöytä,tafel
424,Stuhl::N,tuoli,stoel
425,Wiege::N,kehto,wieg
426,Bett::N,sänky,bed
427,Regal::N,hylly,rek
428,Kiste::N,arkku,kist
429,Kiste::N,kirstu,kist
430,Kiste::N,laatikko,kist
431,Fenster::N,ikkuna,raam
432,Fenster::N,ikkuna,venster
433,Tür::N,ovi,deur
434,Tor::N,portti,poort
435,Zaun::N,aita,omheining
436,Dach::N,katto,dak
437,Leiter::N,tikkaat,ladder
438,Leiter::N,tikapuut,ladder
439,Besen::N,luuta,bezem
440,Spaten::N,lapio,schop
441,Schaufel::N,lapio,schep
442,Gabel::N,haarukka,vork
443,Löffel::N,lusikka,lepel
444,Messer::N,veitsi,mes
445,Nagel::N,naula,spijker
446,Netz::N,verkko,net
447,Haken::N,haka,haak
448,Haken::N,koukku,haak
449,Griff::N,ripa,handvat
450,Griff::N,kahva,handvat
451,Schloss::N,lukko,slot
452,Bild::N,kuva,beeld
453,Figur::N,kuvio,figuur
454,Puppe::N,nukke,pop
455,Beutel::N,pussi,zak
456,Beutel::N,pussi,buidel
457,Bündel::N,nippu,pak
458,Bündel::N,nippu,bundel
459,Bündel::N,kimppu,pak
460,Bündel::N,kimppu,bundel
461,Tasche::N,laukku,tas
462,Eimer::N,sanko,emmer
463,Eimer::N,ämpäri,emmer
464,Deckel::N,kansi,deksel
465,Geschirr::N,astia,vaatwerk
466,Sack::N,säkki,zak
467,Tasse::N,kuppi,kop
468,Topf::N,pata,pan
469,Kessel::N,kattila,ketel
470,Essen::N,syönti,eten
471,Nahrung::N,ruoka,voedsel
472,Nahrung::N,ravinto,voedsel
473,Speise::N,ruoka,spijs
474,Fleisch::N,liha,vlees
475,Getreide::N,vilja,graan
476,Brei::N,puuro,pap
477,Brei::N,puuro,brij
478,Brot::N,leipä,brood
479,Scheibe::N,viipale,plak
480,Scheibe::N,viipale,snede
481,Fett::N,rasva,vet
482,Butter::N,voi,boter
483,Öl::N,öljy,olie
484,Salz::N,suola,zout
485,Suppe::N,keitto,soep
486,Honig::N,hunaja,honing
487,Milch::N,maito,melk
488,Tee::N,tee,thee
489,Leder::N,nahka,leer
490,Leder::N,nahka,leder
491,Wolle::N,villa,wol
492,Stoff::N,kangas,stof
493,Nadel::N,neula,naald
494,Faden::N,lanka,draad
495,Knopf::N,nappi,knoop
496,Knoten::N,solmu,knoop
497,Farbe::N,maali,verf
498,Kleidung::N,vaatteet,kledij
499,Kleidung::N,vaatteet,kleding
500,Hemd::N,paita,hemd
501,Kragen::N,kaulus,kraag
502,Ärmel::N,hiha,mouw
503,Hose::N,housut,broek
504,Hose::N,housut,pantalon
505,Gürtel::N,vyö,riem
506,Gürtel::N,vyö,gordel
507,Mütze::N,lakki,muts
508,Schuh::N,kenkä,schoen
509,Stiefel::N,saapas,laars
510,Ring::N,sormus,ring
511,Band::N,nauha,lint
512,Kamm::N,kampa,kam
513,Spiegel::N,peili,spiegel
514,Riemen::N,hihna,riem
515,Schnur::N,naru,koord
516,Schnur::N,nuora,koord
517,Leine::N,talutushihna,lijn
518,Decke::N,peite,deken
519,Kissen::N,tyyny,kussen
520,Kissen::N,pielus,kussen
521,Tuch::N,huivi,doek
522,Handtuch::N,pyyheliina,handdoek
523,Kraft::N,väki,kracht
524,Kraft::N,voima,kracht
525,Stärke::N,vahvuus,sterkte
526,Gesundheit::N,terveys,gezondheid
527,Krankheit::N,tauti,ziekte
528,Krankheit::N,sairaus,ziekte
529,Schmerz::N,kipu,pijn
530,Schmerz::N,särky,pijn
531,Wunde::N,haava,wond
532,Fieber::N,kuume,koorts
533,Arznei::N,lääke,medicament
534,Arznei::N,lääke,geneesmiddel
535,Brücke::N,silta,brug
536,Brunnen::N,kaivo,put
537,Brunnen::N,kaivo,bron
538,Weide::N,laidun,wei
539,Weide::N,laidun,weide
540,Pfad::N,polku,pad
541,Weg::N,tie,weg
542,Straße::N,katu,baan
543,Straße::N,katu,straat
544,Dorf::N,kylä,dorp
545,Stadt::N,kaupunki,stad
546,Brief::N,kirje,brief
547,Buch::N,kirja,boek
548,Buchstabe::N,kirjain,letter
549,Zeitung::N,lehti,krant
550,Zeitung::N,lehti,dagblad
551,Zeitung::N,sanomalehti,krant
552,Zeitung::N,sanomalehti,dagblad
553,Leben::N,elo,leven
554,Leben::N,elämä,leven
555,Tod::N,kuolema,dood
556,Grab::N,hauta,graf
557,Kirche::N,kirkko,kerk
558,Sünde::N,synti,zonde
559,Gott::N,jumala,god
560,Arbeiter::N,työläinen,arbeider
561,Chef::N,päällikkö,chef
562,Meister::N,mestari,meester
563,Arzt::N,lääkäri,arts
564,Arzt::N,lääkäri,dokter
565,Lehrer::N,opettaja,leraar
566,Lehrer::N,opettaja,onderwijzer
567,Geld::N,raha,geld
568,Geschäft::N,liike,zaak
569,Laden::N,puoti,winkel
570,Laden::N,kauppa,winkel
571,Preis::N,hinta,prijs
572,Ware::N,tavara,waar
573,Nutzen::N,hyöty,nut
574,Nutzen::N,hyöty,voordeel
575,Reichtum::N,rikkaus,rijkdom
576,Welt::N,maailma,wereld
577,Land::N,maa,land
578,Staat::N,valtio,staat
579,König::N,kuningas,koning
580,Macht::N,mahti,macht
581,Grenze::N,raja,grens
582,Krieg::N,sota,oorlog
583,Feind::N,vihollinen,vijand
584,Gewalt::N,väkivalta,geweld
585,Kampf::N,taistelu,strijd
586,Kampf::N,taistelu,gevecht
587,Bogen[Waffe]::N,jousi,boog
588,Pfeil::N,nuoli,pijl
589,Gewehr::N,kivääri,geweer
590,Fehler::N,vika,fout
591,Fehler::N,virhe,fout
592,Lüge::N,valhe,leugen
593,Schaden::N,vaurio,schade
594,Schaden::N,vahinko,schade
595,Unglück::N,vahinko,tegenspoed
596,Unglück::N,onnettomuus,tegenspoed
597,Schuld::N,syy,schuld
598,Alter::N,ikä,leeftijd
599,Schluss::N,loppu,slot
600,Zeit::N,aika,tijd
601,Tag::N,päivä,dag
602,Morgen::N,aamu,morgen
603,Morgen::N,aamu,ochtend
604,Morgen::N,huomen,morgen
605,Morgen::N,huomen,ochtend
606,Mittag::N,keskipäivä,middag
607,Abend::N,ilta,avond
608,Nacht::N,yö,nacht
609,Woche::N,viikko,week
610,Monat::N,kuukausi,maand
611,Jahr::N,vuosi,jaar
612,Frühling::N,kevät,lente
613,Frühling::N,kevät,voorjaar
614,Sommer::N,kesä,zomer
615,Herbst::N,syksy,herfst
616,Winter::N,talvi,winter
617,Januar::N,tammikuu,januari
618,Februar::N,helmikuu,februari
619,März::N,maaliskuu,maart
620,April::N,huhtikuu,april
621,Mai::N,toukokuu,mei
622,Juni::N,kesäkuu,juni
623,Juli::N,heinäkuu,juli
624,August::N,elokuu,augustus
625,September::N,syyskuu,september
626,Oktober::N,lokakuu,oktober
627,November::N,marraskuu,november
628,Dezember::N,joulukuu,december
629,Montag::N,maanantai,maandag
630,Dienstag::N,tiistai,dinsdag
631,Mittwoch::N,keskiviikko,woensdag
632,Donnerstag::N,torstai,donderdag
633,Freitag::N,perjantai,vrijdag
634,Samstag::N,lauantai,zaterdag
635,Sonntag::N,sunnuntai,zondag
636,groß::A,iso,groot
637,groß::A,suuri,groot
638,klein::A,pieni,klein
639,lang::A,pitkä,lang
640,kurz::A,lyhyt,kort
641,breit::A,leveä,breed
642,schmal::A,kapea,smal
643,dicht::A,taaja,dicht
644,dick[Gegenstand]::A,paksu,dik
645,dünn::A,ohut,dun
646,fein::A,hieno,fijn
647,fest::A,luja,vast
648,flach::A,litteä,plat
649,flach::A,tasainen,plat
650,glatt::A,sileä,glad
651,glatt::A,siloinen,glad
652,hart::A,kova,hard
653,weich::A,pehmeä,week
