,Concept_ID,el,hy
0,Auge::N,μάτι,աչք
1,Auge::N,οφθαλμός,աչք
2,Ohr::N,αυτί,ականջ
3,Nase::N,μύτη,քիթ
4,Mund::N,στόμα,բերան
5,Zahn::N,δόντι,ատամ
6,Zunge::N,γλώσσα,լեզու
7,Lippe::N,χείλος,շրթունք
8,Wange::N,παρειά,այտ
9,Wange::N,παρειά,թուշ
10,Wange::N,μάγουλο,այտ
11,Wange::N,μάγουλο,թուշ
12,Gesicht::N,πρόσωπο,դեմք
13,Stirn::N,μέτωπο,ճակատ
14,Haar::N,μαλλιά,մազ
15,Schnurrbart::N,μουστάκι,բեղ
16,Bart::N,γένια,մորուք
17,Kinn::N,πιγούνι,կզակ
18,Kiefer[Anatomie]::N,σαγόνι,ծնոտ
19,Kehle::N,λαρύγγι,կոկորդ
20,Hals::N,λαιμός,վիզ
21,Hals::N,λαιμός,պարանոց
22,Genick::N,σβέρκος,ծոծրակ
23,Kopf::N,κεφάλι,գլուխ
24,Rücken::N,ράχη,մեջք
25,Bauch::N,κοιλιά,փոր
26,Bauch::N,κοιλιά,որովայն
27,Nabel::N,αφαλός,պորտ
28,Busen::N,στήθος,ծոց
29,Brust::N,στήθος,կուրծք
30,Schulter::N,ώμος,ուս
31,Arm::N,χέρι,թեւ
32,Arm::N,χέρι,բազուկ
33,Arm::N,μπράτςο,թեւ
34,Arm::N,μπράτςο,բազուկ
35,Ellenbogen::N,αγκώνας,արմունկ
36,Hand::N,χέρι,ձեռք
37,Handfläche::N,παλάμη,ափ
38,Finger::N,δάχτυλο,մատ
39,Fingernagel::N,νύχι,եղունգ
40,Nagel[Anatomie]::N,νύχι,եղունգ
41,Zeh::N,δάχτυλο του ποδιού,ոտքի մատ
42,Fuß::N,πόδι,ոտք
43,Ferse::N,φτέρνα,գարշապար
44,Knie::N,γόνατο,ծունկ
45,Oberschenkel::N,μηρός,ազդր
46,Bein::N,πόδι,ոտք
47,Körper::N,σώμα,մարմին
48,Körper::N,κορμί,մարմին
49,Haut::N,πετσί,մաշկ
50,Blut::N,αίμα,արյուն
51,Ader::N,φλέβα,երակ
52,Sehne::N,νεύρο,ջիղ
53,Sehne::N,νεύρο,ձգտան
54,Sehne::N,τένοντας,ջիղ
55,Sehne::N,τένοντας,ձգտան
56,Knochen::N,οστό,ոսկոր
57,Knochen::N,κόκκαλο,ոսկոր
58,Gehirn::N,μυαλό,խելք
59,Gehirn::N,εγκέφαλος,խելք
60,Herz::N,καρδιά,սիրտ
61,Magen::N,στομάχι,ստամոքս
62,Leber::N,ήπαρ,լյարդ
63,Leber::N,συκωτί,լյարդ
64,Atem::N,αναπνοή,շունչ
65,Hunger::N,πείνα,քաղց
66,Träne::N,δάκρυ,արտասուք
67,Geschmack::N,γεύση,համ
68,Geschmack::N,γεύση,բուրմունք
69,Geruch::N,οσμή,հոտ
70,Geruch::N,οσμή,բուրում
71,Geruch::N,μυρωδία,հոտ
72,Geruch::N,μυρωδία,բուրում
73,Schlaf::N,ύπνος,քուն
74,Traum::N,όνειρο,երազ
75,Himmel::N,ουρανός,երկինք
