,Concept_ID,he,az
0,Auge::N,עין,göz
1,Ohr::N,אזן,qulaq
2,Nase::N,אף,burun
3,Nase::N,חטם,burun
4,Mund::N,פה,ağız
5,Zahn::N,שן,diş
6,Zunge::N,לשון,dil
7,Lippe::N,שפה,dodaq
8,Wange::N,לחי,yanaq
9,Gesicht::N,פנים,üz
10,Stirn::N,מצח,alın
11,Haar::N,שערה,saç
12,Schnurrbart::N,שפם,bığ
13,Bart::N,זקן,saqqal
14,Kinn::N,סנטר,çənə
15,Kiefer[Anatomie]::N,לסת,çənə
16,Kehle::N,גרון,boğaz
17,Hals::N,צואר,boyun
18,Genick::N,ערף,ənsə
19,Kopf::N,ראש,baş
20,Rücken::N,גב,bel
21,Bauch::N,בטן,qarın
22,Nabel::N,טבור,göbək
23,Busen::N,שד,məmə
24,Brust::N,חזה,döş
25,Schulter::N,כתף,çiyin
26,Arm::N,זרוע,qol
27,Ellenbogen::N,מרפק,dirsək
28,Hand::N,יד,əl
29,Handfläche::N,כף יד,ovuc
30,Finger::N,אצבע,barmaq
31,Fingernagel::N,צפרן,barmaq dırnağı
32,Nagel[Anatomie]::N,צפרן,dırnak
33,Zeh::N,אצבע,ayaq barmağı
34,Fuß::N,רגל,ayaq
35,Ferse::N,עקב,daban
36,Knie::N,ברך,diz
37,Oberschenkel::N,ירך,bud
38,Bein::N,רגל,qıç
39,Körper::N,גוף,əndam
40,Haut::N,עור,dəri
41,Blut::N,דם,qan
42,Ader::N,וריד,damar
43,Sehne::N,גיד,vətər
44,Knochen::N,עצם,sümük
45,Gehirn::N,מוח,beyin
46,Herz::N,לב,ürək
47,Magen::N,קבה,mədə
48,Leber::N,כבד,qara ciyər
49,Atem::N,נשימה,nəfəs
50,Hunger::N,רעב,aclıq
51,Träne::N,דמעה,göz yaşı
52,Geschmack::N,טעם,tam
53,Geschmack::N,טעם,ləzzət
54,Geruch::N,ריח,qoxu
55,Schlaf::N,שנה,yuxu
56,Traum::N,חלום,röya
57,Himmel::N,שמים,göy
58,Himmel::N,שמים,səma
59,Sonne::N,שמש,günəş
60,Mond::N,ירח,ay
61,Stern::N,כוכב,ulduz
62,Luft::N,אויר,hava
63,Wind::N,רוח,yel
64,Wind::N,רוח,külək
65,Welle::N,גל,dalğa
66,Wasser::N,מים,su
67,Stein::N,אבן,daş
68,Boden::N,קרקע,yer
69,Boden::N,קרקע,zəmin
70,Erde::N,אדמה,yer torpaq
71,Staub::N,אבק,toz
72,Rauch::N,עשן,tüstü
73,Funke::N,ניצוץ,qığılcım
74,Feuer::N,אש,od
75,Licht::N,אור,işıq
76,Schatten::N,צל,kölgə
77,Wetter::N,מזג אויר,hava
78,Nebel::N,ערפל,duman
79,Wolke::N,ענן,bulud
80,Regen::N,גשם,yağış
81,Regen::N,גשם,yağmur
82,Schnee::N,שלג,qar
83,Eis::N,קרח,buz
84,Frost::N,צנה,ayaz
85,Kälte::N,קר,soyuq
86,Hitze::N,חם,coşğunluq
87,Raureif::N,כפור,qırov
88,Regenbogen::N,קשת,göy qurşağı
89,Donner::N,רעם,göy gurultusu
90,Strömung::N,זרימה,axın
91,Tropfen::N,טפה,damcı
92,Schaum::N,קצף,köpük
93,Schmutz::N,לכלוך,çamır
94,See::N,אגם,göl
95,Sumpf::N,בצה,bataqlıq
96,Moor::N,בצה,bataqlıq
97,Wiese::N,מרעה,çəmən
98,Wald::N,יער,meşə
99,Hügel::N,תל,təpə
100,Anhöhe::N,מעלה,təpə
101,Berg::N,הר,dağ
102,Gipfel::N,פסגה,zirvə
103,Höhle::N,מערה,mağara
104,Abhang::N,מדרון,yamac
105,Abhang::N,שפוע,yamac
106,Quelle::N,מעין,bulaq
107,Bach::N,נחל,kiçik çay
108,Fluss::N,נהר,çay
109,Ufer::N,גדה,kənar
110,Küste::N,חוף,sahil
111,Festland::N,יבשה,materik
112,Meer::N,ים,dəniz
113,Bucht::N,מפרץ,körfəz
114,Insel::N,אי,ada
115,Blume::N,פרח,çiçək
116,Gras::N,דשא,ot
117,Wurzel::N,שרש,kök
118,Baum::N,עץ,ağac
119,Stamm::N,גזע,gövdə
120,Rinde::N,קלפת עץ,qabıq
121,Ast::N,ענף,şax
122,Zweig::N,ענף,budaq
123,Blatt::N,עלה,yarpaq
124,Birke::N,שדר,tozağacı
125,Kiefer[Baum]::N,ארן,şam
126,Weide[Baum]::N,ערבה,söyüd
127,Tanne::N,אשוח,küknar
128,Horn::N,קרן,buynuz
129,Feder::N,נוצה,tük
130,Feder::N,נוצה,lələk
131,Fell::N,פרוה,xəz
132,Flügel::N,כנף,qanad
133,Klaue::N,טלף,pəncə
134,Kralle::N,טפר,dırnaq
135,Schwanz::N,זנב,quyruq
136,Ei::N,ביצה,yumurta
137,Nest::N,קן,yuva
138,Bau::N,מחלה,yuva
139,Tier::N,חיה,heyvan
140,Herde::N,עדר,sürü
141,Kuh::N,פרה,inək
142,Bulle::N,פר,öküz
143,Pferd::N,סוס,at
144,Schaf::N,כבשה,qoyun
145,Schwein::N,חזיר,donuz
146,Hund::N,כלב,it
147,Hund::N,כלב,köpək
148,Katze::N,חתול,pişik
149,Bär::N,דב,ayı
150,Eichhörnchen::N,סנאי,dələ
151,Elch::N,דישון,sığın
152,Fuchs::N,שועל,tülkü
153,Hase::N,ארנב,dovşan
154,Maus::N,עכבר,siçan
155,Wolf::N,זאב,qurd
156,Vogel::N,צפור,quş
157,Schwarm::N,נחיל,sürü
158,Schwarm::N,להקה,sürü
159,Huhn::N,תרנגלת,toyuq
160,Hahn::N,תרנגול,xoruz
161,Gans::N,אוז,qaz
162,Adler::N,עיט,qartal
163,Adler::N,עיט,qaraquş
164,Ente::N,ברוז,ördək
165,Eule::N,ינשוף,bayquş
166,Kranich::N,עגור,durna
