,Concept_ID,bg,tt
0,Auge::N,око,күз
1,Ohr::N,ухо,колак
2,Nase::N,нос,борын
3,Mund::N,уста,авыз
4,Mund::N,уста,тамак
5,Zahn::N,зъб,теш
6,Zunge::N,език,тел
7,Lippe::N,устна,ирен
8,Wange::N,буза,яңак
9,Gesicht::N,лице,йөз
10,Gesicht::N,образ,йөз
11,Stirn::N,чело,маңгай
12,Haar::N,коса,чәч
13,Haar::N,косъм,чәч
14,Schnurrbart::N,мустаци,мыек
15,Bart::N,брада,сакал
16,Kinn::N,брада,ияк
17,Kinn::N,брадичка,ияк
18,Kiefer[Anatomie]::N,челюст,казналык
19,Kehle::N,гърло,тамак
20,Hals::N,врат,бугаз
21,Genick::N,тил,җилкә
22,Kopf::N,глава,баш
23,Rücken::N,гръб,сырт
24,Bauch::N,корем,корсак
25,Nabel::N,пъп,кендек
26,Busen::N,бозка,түш
27,Brust::N,гръд,имчәк
28,Brust::N,гръд,күкрәк
29,Schulter::N,рамо,иңбаш
30,Schulter::N,рамо,кулбаш
31,Schulter::N,плещи,иңбаш
32,Schulter::N,плещи,кулбаш
33,Arm::N,ръка,кул
34,Ellenbogen::N,лакът,терсәк
35,Hand::N,ръка,кул
36,Hand::N,китка,кул
37,Handfläche::N,длан,уч
38,Finger::N,пръст,бармак
39,Fingernagel::N,нокът,тырнак
40,Nagel[Anatomie]::N,нокът,тырнак
41,Zeh::N,пръст на крак,бармак
42,Fuß::N,крак,табан
43,Fuß::N,нога,табан
44,Ferse::N,пета,үкчә
45,Knie::N,коляно,тез
46,Oberschenkel::N,бедро,бот
47,Bein::N,крак,аяк
48,Bein::N,нога,аяк
49,Körper::N,тяло,тән
50,Körper::N,тяло,җисем
51,Haut::N,кожа,тире
52,Blut::N,кръв,кан
53,Ader::N,вена,тамыр
54,Ader::N,артерия,тамыр
55,Sehne::N,жила,сеңер
56,Sehne::N,сухожилие,сеңер
57,Knochen::N,кост,сөяк
58,Gehirn::N,мозък,ми
59,Herz::N,сърце,йөрәк
60,Magen::N,стомах,ашказаны
61,Leber::N,черен дроб,бавыр
62,Atem::N,дишане,сулыш
63,Hunger::N,глад,ачлык
64,Träne::N,сълза,яшь
65,Geschmack::N,вкус,тәм
66,Geschmack::N,вкус,зәвык
67,Geruch::N,миризма,ис
68,Schlaf::N,сън,йокы
69,Traum::N,сън,төш
70,Himmel::N,небе,күк
71,Sonne::N,слънце,кояш
72,Mond::N,луна,ай
73,Mond::N,месец,ай
74,Stern::N,звезда,йолдыз
75,Luft::N,въздух,һава
76,Wind::N,вятър,җил
77,Welle::N,вълна,дулкын
78,Wasser::N,вода,су
79,Stein::N,камък,таш
80,Boden::N,земя,туфрак
81,Boden::N,почва,туфрак
82,Erde::N,земя,җир
83,Erde::N,почва,җир
84,Staub::N,прах,тузан
85,Rauch::N,дим,төтен
86,Rauch::N,пушек,төтен
87,Funke::N,искра,очкын
88,Feuer::N,огън,ут
89,Licht::N,светлина,якты
90,Schatten::N,сянка,күләгә
91,Wetter::N,време,һава
92,Nebel::N,мъгла,томан
93,Wolke::N,облак,болыт
94,Regen::N,дъжд,яңгыр
95,Schnee::N,сняг,кар
96,Eis::N,лед,боз
97,Frost::N,мраз,суык
98,Frost::N,мраз,салкын
99,Kälte::N,студ,суык
100,Kälte::N,студ,салкын
101,Hitze::N,жега,эсселек
102,Hitze::N,горещина,эсселек
103,Raureif::N,скреж,бәс
104,Raureif::N,скреж,сыкы
