,Concept_ID,uk,ro
0,Auge::N,око,ochi
1,Ohr::N,вухо,ureche
2,Nase::N,ніс,nas
3,Mund::N,рот,gură
4,Zahn::N,зуб,dinte
5,Zunge::N,язик,limbă
6,Lippe::N,губа,buză
7,Wange::N,щока,bucă
8,Wange::N,щока,obraz
9,Gesicht::N,обличчя,față
10,Gesicht::N,обличчя,figură
11,Stirn::N,лоб,frunte
12,Haar::N,волосся,păr
13,Schnurrbart::N,вуса,mustață
14,Bart::N,борода,barbă
15,Kinn::N,підборіддя,bărbie
16,Kiefer[Anatomie]::N,щелепа,falcă
17,Kehle::N,горло,beregată
18,Hals::N,шия,gât
19,Genick::N,потилиця,ceafă
20,Kopf::N,голова,cap
21,Rücken::N,спина,dos
22,Rücken::N,спина,spate
23,Rücken::N,спина,spinare
24,Bauch::N,живіт,burtă
25,Bauch::N,живіт,pântece
26,Nabel::N,пупок,buric
27,Busen::N,груди,sân
28,Brust::N,груди,piept
29,Schulter::N,плече,umăr
30,Schulter::N,плече,spate
31,Arm::N,рука,braț
32,Ellenbogen::N,лікоть,cot
33,Hand::N,рука,mână
34,Handfläche::N,долоня,palmă
35,Finger::N,палець,deget
36,Fingernagel::N,ніготь,unghie
37,Nagel[Anatomie]::N,ніготь,unghie
38,Zeh::N,палець на нозі,deget de la picior
39,Fuß::N,нога,picior
40,Ferse::N,п’ятка,călcâi
41,Knie::N,коліно,genunchi
42,Oberschenkel::N,стегно,coapsă
43,Bein::N,нога,picior
44,Körper::N,тіло,corp
45,Haut::N,шкіра,piele
46,Blut::N,кров,sânge
47,Ader::N,вена,vână
48,Ader::N,вена,arteră
49,Sehne::N,сухожилля,tendon
50,Knochen::N,кістка,os
51,Gehirn::N,мозок,creier
52,Herz::N,серце,inimă
53,Magen::N,шлунок,stomac
54,Leber::N,печінка,ficat
55,Atem::N,дихання,răsuflare
56,Atem::N,дихання,respirație
57,Hunger::N,голод,foame
58,Träne::N,сльоза,lacrimă
59,Geschmack::N,смак,gust
60,Geruch::N,запах,miros
61,Schlaf::N,сон,somn
62,Schlaf::N,сплячка,somn
63,Traum::N,сон,vis
64,Himmel::N,небо,cer
65,Sonne::N,сонце,soare
66,Mond::N,місяць,lună
67,Stern::N,зірка,stea
68,Luft::N,повітря,aer
