,Concept_ID,ar,et
0,Auge::N,عين,silm
1,Ohr::N,أذن,kõrv
2,Nase::N,أنف,nina
3,Mund::N,فم,suu
4,Zahn::N,سن,hammas
5,Zunge::N,لسان,keel
6,Lippe::N,شفة,huul
7,Wange::N,خد,põsk
8,Wange::N,وجنة,põsk
9,Gesicht::N,وجه,nägu
10,Stirn::N,جبين,otsmik
11,Haar::N,شعر,juus
12,Schnurrbart::N,شارب,vurrud
13,Schnurrbart::N,شارب,vuntsid
14,Bart::N,لحية,habe
15,Kinn::N,ذقن,lõug
16,Kiefer[Anatomie]::N,فك,lõualuu
17,Kehle::N,حلق,kõri
18,Hals::N,عنق,kael
19,Hals::N,رقبة,kael
20,Genick::N,قفا,kukal
21,Kopf::N,رأس,pea
22,Rücken::N,ظهر,selg
23,Bauch::N,بطن,kõht
24,Nabel::N,سرة,naba
25,Busen::N,ثدي,rind
26,Brust::N,صدر,rind
27,Schulter::N,كتف,õlg
28,Arm::N,ذراع,käsivars
29,Ellenbogen::N,كوع,küünarnukk
30,Hand::N,يد,käsi
31,Handfläche::N,كف,pihk
32,Finger::N,إصبع,sõrm
33,Fingernagel::N,ظفر,küüs
34,Nagel[Anatomie]::N,ظفر,küüs
35,Zeh::N,إصبع القدم,varvas
36,Fuß::N,قدم,jalg
37,Ferse::N,كعب,kand
38,Knie::N,ركبة,põlv
39,Oberschenkel::N,فخذ,reis
40,Bein::N,ساق,jalg
41,Körper::N,جسم,ihu
42,Körper::N,جسم,keha
43,Haut::N,بشرة,nahk
44,Blut::N,دم,veri
45,Ader::N,عرق,veen
46,Sehne::N,طنب,kõõlus
47,Knochen::N,عظم,luu
48,Gehirn::N,دماغ,aju
49,Herz::N,قلب,süda
50,Magen::N,معدة,magu
51,Leber::N,كبد,maks
52,Atem::N,نفس,hingeõhk
53,Atem::N,نفس,hingamine
54,Hunger::N,جوع,nälg
55,Träne::N,دمعة,pisar
56,Geschmack::N,طعم,maitse
57,Geschmack::N,مذاق,maitse
58,Geruch::N,رائحة,lõhn
59,Schlaf::N,نوم,uni
60,Schlaf::N,منام,uni
61,Traum::N,حلم,unenägu
62,Himmel::N,سماء,taevas
