,Concept_ID,av,te
0,Ohr::N,гӏин,చెవి
1,Nase::N,мегӏер,ముక్కు
2,Mund::N,кӏал,నోరు
3,Zahn::N,гӏус,పల్లు
4,Zunge::N,мацӏ,నాలుక
5,Lippe::N,кӏветӏ,పెదవి
6,Wange::N,гӏоно,చెంప
7,Gesicht::N,гьумер,ముఖము
8,Stirn::N,нодо,నుదురు
9,Haar::N,рас,వెండ్రుక
10,Schnurrbart::N,михъ,మీసము
11,Bart::N,мегеж,గడ్డము
12,Kinn::N,нилъу,గడ్డము
13,Kiefer[Anatomie]::N,чанагъ,దౌడ
14,Kehle::N,щекъер,గొంతు
15,Hals::N,габур,మెడ
16,Genick::N,гъванща,మూపు
17,Kopf::N,бетӏер,తల
18,Rücken::N,мугъ,వెన్ను
19,Bauch::N,чехь,కడుపు
20,Nabel::N,цӏину,బొడ్డు
21,Busen::N,керен,స్తనము
22,Brust::N,керен,ఱొమ్ము
23,Schulter::N,гъажазубетӏер,భుజము
24,Arm::N,гъеж,చేయి
25,Ellenbogen::N,гӏункӏрукь,మోచేయి
26,Hand::N,квер,చేయి
27,Handfläche::N,огъохъат,అరచేయు
28,Handfläche::N,жанисахъат,అరచేయు
29,Finger::N,килищ,చేతిప్రేలు
30,Fingernagel::N,малъ,గోరు
31,Nagel[Anatomie]::N,малъ,గోరు
32,Zeh::N,килищ,కాలిప్రేలు
33,Fuß::N,хӏетӏ,అడుగు
34,Fuß::N,хӏетӏе,అడుగు
35,Ferse::N,эгъе,మడమ
36,Knie::N,наку,మోకాలు
37,Oberschenkel::N,мачӏ,తొడ
38,Bein::N,бох,కాలు
39,Körper::N,къаркъала,కాయము
40,Haut::N,тӏом,చర్మము
41,Blut::N,би,రక్తము
42,Ader::N,бидурихь,సిర
43,Knochen::N,ракьа,ఎముక
44,Gehirn::N,гӏадалнах,మెదడు
45,Herz::N,ракӏ,హృదయము
46,Magen::N,кванирукъ,కడుపు
47,Leber::N,тӏул,కాలేయము
48,Atem::N,хӏухь,ఉపిరి
49,Hunger::N,ракъи,ఆకలి
50,Träne::N,магӏу,కన్నీటిచుక్క
51,Geschmack::N,тату,రుచి
52,Geruch::N,махӏ,వాసన
53,Schlaf::N,макьу,నిద్ర
54,Traum::N,макьу,కల
55,Himmel::N,зоб,ఆకాశము
