,Concept_ID,ps,en
0,Auge::N,سترګه,eye
1,Ohr::N,غوږ,ear
2,Nase::N,پوزه,nose
3,Mund::N,خوله,mouth
4,Zahn::N,غاښ,tooth
5,Zunge::N,جبه,tongue
6,Lippe::N,شونډه,lip
7,Wange::N,باړخو,cheek
8,Gesicht::N,مخ,face
9,Stirn::N,تندی,forehead
10,Stirn::N,وچولی,forehead
11,Haar::N,وېښته,hair
12,Schnurrbart::N,برېت,moustache
13,Bart::N,ږیره,beard
14,Kinn::N,زنه,chin
15,Kiefer[Anatomie]::N,جامه,jaw
16,Kehle::N,غاړه,throat
17,Hals::N,غاړه,neck
18,Genick::N,ورمېږ,nape
19,Kopf::N,سر,head
20,Rücken::N,شا,back
21,Rücken::N,شا,spine
22,Bauch::N,نس,belly
23,Bauch::N,ګېډه,belly
24,Nabel::N,نوم,navel
25,Busen::N,تی,bosom
26,Brust::N,سینه,chest
27,Brust::N,سینه,breast
28,Schulter::N,اوږه,shoulder
29,Arm::N,لاس,arm
30,Ellenbogen::N,څنګل,elbow
31,Hand::N,لاس,hand
32,Handfläche::N,ورغوی,palm
33,Finger::N,ګوته,finger
34,Fingernagel::N,نوک,fingernail
35,Nagel[Anatomie]::N,نوک,nail
36,Zeh::N,ګوته,toe
37,Fuß::N,پښه,foot
38,Ferse::N,پونده,heel
39,Knie::N,زنګون,knee
40,Oberschenkel::N,پتون,thigh
41,Bein::N,پښه,leg
42,Körper::N,ځان,body
43,Haut::N,پوټکی,skin
44,Blut::N,وینه,blood
45,Ader::N,رګ,vein
46,Sehne::N,پله,sinew
47,Knochen::N,هډوکی,bone
48,Gehirn::N,ماغزه,brain
49,Herz::N,زړه,heart
50,Magen::N,معده,stomach
51,Leber::N,ينه,liver
52,Leber::N,ځیګر,liver
53,Atem::N,نفس,breath
54,Hunger::N,ولږه,hunger
55,Träne::N,اوښکه,tear
56,Geschmack::N,مزه,flavour
57,Geschmack::N,مزه,flavor
58,Geschmack::N,خوند,flavour
59,Geschmack::N,خوند,flavor
60,Geruch::N,بوی,odour
61,Geruch::N,بوی,odor
62,Schlaf::N,خوب,sleep
63,Traum::N,خوب,dream
64,Himmel::N,اسمان,sky
65,Sonne::N,لمر,sun
66,Mond::N,سپوږمۍ,moon
67,Stern::N,ستوری,star
68,Luft::N,هوا,air
69,Wind::N,ورښ,wind
70,Welle::N,موج,wave
71,Wasser::N,اوبه,water
72,Stein::N,ډبره,stone
73,Boden::N,مځکه,soil
74,Boden::N,مځکه,ground
75,Erde::N,خاوره,earth
76,Staub::N,ګرد,dust
77,Staub::N,خاوره,dust
78,Rauch::N,دود,smoke
79,Rauch::N,لوګی,smoke
80,Funke::N,سپرغۍ,spark
81,Feuer::N,اور,fire
82,Licht::N,رڼا,light
83,Schatten::N,سیوری,shadow
84,Wetter::N,هوا,weather
85,Nebel::N,لړه,fog
86,Wolke::N,ورېځ,cloud
87,Regen::N,وریا,rain
88,Regen::N,باران,rain
89,Schnee::N,واوره,snow
90,Eis::N,یخ,ice
91,Eis::N,کنګل,ice
92,Frost::N,یخ,frost
93,Kälte::N,ساړه,chill
94,Hitze::N,تودوخي,heat
95,Raureif::N,سپینه پرخه,hoarfrost
96,Regenbogen::N,بوډۍ ټال,rainbow
97,Regenbogen::N,سره زرغونه,rainbow
98,Donner::N,تالنده,thunder
99,Strömung::N,بهېدنه,current
100,Tropfen::N,قطره,drop
101,Tropfen::N,څاڅکی,drop
102,Schaum::N,ځګ,foam
103,Schmutz::N,ناپاکي,dirt
104,See::N,جهیل,lake
105,Sumpf::N,جبه,swamp
106,Moor::N,جبه,moor
107,Wiese::N,چمن,meadow
108,Wiese::N,شنېلی,meadow
109,Wald::N,ځنګل,forest
110,Hügel::N,تپه,hill
111,Anhöhe::N,غونډۍ,elevation
112,Berg::N,غ‍‍‍‍‍ر,mountain
113,Gipfel::N,څوکه,summit
114,Höhle::N,کاز,cave
115,Abhang::N,لمن,slope
116,Quelle::N,چینه,source
117,Bach::N,واله,brook
118,Fluss::N,سیند,river
119,Ufer::N,غاړه,shore
120,Küste::N,ساحل,coast
121,Festland::N,وچه,land
122,Meer::N,بحر,sea
123,Meer::N,سمندر,sea
124,Bucht::N,کارۍ,cove
125,Insel::N,ټاپو,island
126,Insel::N,جزيره,island
127,Blume::N,ګل,flower
128,Gras::N,واښه,grass
129,Wurzel::N,ریښه,root
130,Baum::N,ونه,tree
131,Stamm::N,ډډ,trunk
132,Rinde::N,پوستکی,bark
133,Ast::N,ښاخ,limb
134,Zweig::N,څانګه,branch
135,Blatt::N,پاڼه,leaf
136,Birke::N,توس,birch
137,Kiefer[Baum]::N,نښتر,pine
138,Weide[Baum]::N,وله,willow
139,Tanne::N,ناجو,fir
140,Horn::N,ښکر,horn
141,Feder::N,بڼکه,feather
142,Fell::N,پوستکی,fur
143,Flügel::N,وزر,wing
144,Klaue::N,پنجه,claw
145,Klaue::N,منګول,claw
146,Kralle::N,پنجه,claw
147,Kralle::N,منګول,claw
148,Schwanz::N,لکۍ,tail
149,Ei::N,وۍ,egg
150,Ei::N,هګۍ,egg
151,Nest::N,جاله,nest
152,Bau::N,کاز,lair
153,Tier::N,ژوی,animal
154,Tier::N,حیوان,animal
155,Herde::N,رمه,flock
156,Herde::N,غېله,flock
157,Kuh::N,غوا,cow
158,Bulle::N,غوئی,bull
159,Pferd::N,آس,horse
160,Schaf::N,پسه,sheep
161,Schwein::N,سرکوزی,pig
162,Hund::N,سپی,dog
163,Katze::N,پشه,cat
164,Bär::N,خرس,bear
165,Eichhörnchen::N,خړ لمی,squirrel
166,Elch::N,ګوزن,elk
167,Fuchs::N,سپلم,fox
168,Hase::N,سوی,hare
169,Maus::N,مږک,mouse
170,Wolf::N,لېوه,wolf
171,Vogel::N,مرغه,bird
172,Schwarm::N,سېل,swarm
173,Huhn::N,چرګه,chicken
174,Hahn::N,چرګ,cock
175,Gans::N,بته,goose
176,Adler::N,عقاب,eagle
177,Ente::N,ایلۍ,duck
178,Eule::N,ګونګی,owl
179,Kranich::N,کلنګ,crane
180,Krähe::N,کارغه,crow
181,Kuckuck::N,فاخته,cuckoo
182,Schwan::N,قو,swan
183,Fisch::N,کب,fish
184,Fisch::N,ماهی,fish
185,Schlange[Tier]::N,مار,snake
186,Wurm::N,چینجی,worm
187,Spinne::N,غڼه,spider
188,Spinne::N,تارکښ,spider
189,Ameise::N,مېږی,ant
190,Laus::N,سپږه,louse
191,Mücke::N,ماشی,midge
192,Fliege::N,مچ,fly
193,Schmetterling::N,پتنګ,butterfly
194,Beere::N,مېوۍ,berry
195,Apfel::N,مڼه,apple
196,Pilz::N,خرېړی,mushroom
197,Zwiebel::N,پیاز,onion
198,Saat::N,تخم,seed
199,Korn::N,تخم,grain
200,Korn::N,دانه,grain
201,Heu::N,بوس,hay
202,Heu::N,پروړه,hay
203,Schale::N,پوستکی,husk
204,Grube::N,کنده,pit
205,Falle::N,دام,trap
206,Falle::N,لومه,trap
207,Schlinge::N,کړۍ,noose
208,Spur::N,نښه,track
209,Asche::N,آس,ashes
210,Asche::N,ایره,ashes
211,Dreck::N,ناپاکي,filth
212,Eisen::N,اوسپنه,iron
213,Gold::N,سره زر,gold
214,Silber::N,نقره,silver
215,Silber::N,سپین زر,silver
216,Kohle::N,سکور,coal
217,Kohle::N,سکاره,coal
218,Glas::N,ښيښه,glass
219,Lehm::N,خټه,clay
220,Sand::N,شګه,sand
221,Mensch::N,انسان,human
222,Mann::N,سړی,man
223,Mann::N,نارینه,man
224,Frau::N,ښځه,woman
225,Kind::N,بچی,child
226,Kind::N,ماشوم,child
227,Junge::N,هلک,boy
228,Mädchen::N,نجلۍ,girl
229,Familie::N,کورنۍ,family
230,Großvater::N,بابا,grandfather
231,Großmutter::N,انا,grandmother
232,Eltern::N,مور او پلار,parents
233,Vater::N,پلار,father
234,Mutter::N,مور,mother
235,Sohn::N,زوی,son
236,Tochter::N,لور,daughter
237,Bruder::N,ورور,brother
238,Schwester::N,خور,sister
239,Onkel::N,تره,uncle
240,Onkel::N,ماما,uncle
241,Tante::N,خاله,aunt
242,Ehemann::N,مېړه,husband
243,Ehefrau::N,مېرمن,wife
244,Freude::N,خوشحالي,joy
245,Gelächter::N,خندا,laughter
246,Glück::N,بخت,happiness
247,Kummer::N,غم,grief
248,Wunsch::N,هيله,wish
249,Wunsch::N,غوښتنه,wish
250,Lust::N,شوق,desire
251,Lust::N,مینه,desire
252,Geist::N,روح,spirit
253,Gedanke::N,فکر,thought
254,Gedächtnis::N,یاد,memory
255,Gedächtnis::N,حافظه,memory
256,Verstand::N,عقل,mind
257,Verstand::N,شعور,mind
258,Sinn::N,معنی,meaning
259,Grund::N,علت,reason
260,Grund::N,اساس,reason
261,Wahrheit::N,حقیقت,truth
262,Gespräch::N,مرکه,talk
263,Gespräch::N,خبرې اترې,talk
264,Märchen::N,افسانه,fairy tale
265,Erzählung::N,قصه,story
266,Erzählung::N,کیسه,story
267,Nachricht::N,خبر,message
268,Neuigkeit::N,نوی خبر,news
269,Name::N,نوم,name
270,Rätsel::N,کیسۍ,puzzle
271,Rätsel::N,چیستان,puzzle
272,Rede::N,وینا,speech
273,Sprache::N,ژبه,language
274,Stimme::N,غږ,voice
275,Stimme::N,اواز,voice
276,Wort::N,لغت,word
277,Wort::N,کلمه,word
278,Zeichen::N,نښه,sign
279,Zeichen::N,اشاره,sign
280,Ruf::N,ږغ,call
281,Ruf::N,بلنه,call
282,Lärm::N,غالمغال,noise
283,Laut::N,ږغ,sound
284,Ton::N,اواز,tone
285,Lied::N,غزله,song
286,Lied::N,سندره,song
287,Ruhe::N,ارامي,calm
288,Leute::N,خلک,people
289,Volk::N,ولس,nation
290,Arbeit::N,کار,work
291,Gast::N,مېلمه,guest
292,Geschenk::N,تحفه,gift
293,Geschenk::N,سوغات,gift
294,Spiel::N,لوبه,game
295,Gesellschaft::N,ډله,company
296,Hilfe::N,کومک,help
297,Hilfe::N,مرسته,help
298,Freund::N,ملګری,friend
299,Kamerad::N,انډيوال,companion
300,Angelegenheit::N,موضوع,matter
301,Anzahl::N,شمېر,count
302,Anzahl::N,تعداد,count
303,Art::N,ډول,sort
304,Stück::N,ټوټه,piece
305,Teil::N,برخه,part
306,Hälfte::N,نیم,half
307,Kreis::N,دایره,circle
308,Kreuz::N,صلیب,cross
309,Linie::N,خط,line
310,Linie::N,لیکه,line
311,Strich::N,کرښه,stroke
312,Abstand::N,فاصله,gap
313,Entfernung::N,واټن,distance
314,Gegend::N,سیمه,area
315,Gegend::N,منطقه,area
316,Platz::N,ځای,space
317,Ort::N,ځای,place
318,Seite::N,مخ,side
319,Seite::N,اړخ,side
320,Mitte::N,وسط,middle
321,Mitte::N,مینځ,middle
322,Gegenstand::N,شی,item
323,Sache::N,شی,thing
324,Sache::N,څيز,thing
325,Rand::N,څنډه,fringe
326,Rand::N,کناره,fringe
327,Kante::N,اړخ,edge
328,Ecke::N,ګوټ,corner
329,Spitze::N,څوکه,tip
330,Ende::N,څوکه,end
331,Loch::N,سوری,hole
332,Winkel::N,کنج,angle
333,Winkel::N,کوتی,angle
334,Muster::N,نمونه,pattern
335,Größe::N,قد,size
336,Größe::N,لويوالی,size
337,Länge::N,طول,length
338,Länge::N,اوږد والی,length
339,Höhe::N,جګوالی,height
340,Gewicht::N,وزن,weight
341,Menge::N,اندازه,amount
342,Haufen::N,کوټه,heap
343,Reihe::N,صف,row
344,Reihe::N,کتار,row
345,Boot::N,قايق,boat
346,Ruder::N,چپه,oar
347,Schlitten::N,ښویېدونی,sleigh
