,Concept_ID,he,ta
0,Auge::N,עין,கண்
1,Ohr::N,אזן,காது
2,Nase::N,אף,மூக்கு
3,Nase::N,חטם,மூக்கு
4,Mund::N,פה,வாய்
5,Zahn::N,שן,பல்
6,Zunge::N,לשון,நாக்கு
7,Lippe::N,שפה,உதடு
8,Wange::N,לחי,கன்னம்
9,Gesicht::N,פנים,முகம்
10,Stirn::N,מצח,முன்னெற்றி
11,Haar::N,שערה,முடி
12,Schnurrbart::N,שפם,மீசை
13,Bart::N,זקן,தாடி
14,Kinn::N,סנטר,கீழதாடை
15,Kiefer[Anatomie]::N,לסת,தாடை
16,Kehle::N,גרון,தொண்டை
17,Hals::N,צואר,கழுத்து
18,Genick::N,ערף,கழுத்து
19,Kopf::N,ראש,தலை
20,Rücken::N,גב,முதுகு
21,Bauch::N,בטן,வயிறு
22,Nabel::N,טבור,தொப்புள்
23,Busen::N,שד,மார்பகம்
24,Brust::N,חזה, மார்பு
25,Schulter::N,כתף,தோள்பட்டை
26,Arm::N,זרוע,கரம்
27,Ellenbogen::N,מרפק,முழங்கை
28,Hand::N,יד,கை
29,Handfläche::N,כף יד,உள்ளங்கை
30,Finger::N,אצבע,விரல்
31,Fingernagel::N,צפרן,விரல் நகம்
32,Nagel[Anatomie]::N,צפרן,நகம்
33,Zeh::N,אצבע,கால்விரல்
34,Fuß::N,רגל,கால்
35,Ferse::N,עקב,குதிகால்
36,Knie::N,ברך,முழங்கால்
37,Oberschenkel::N,ירך,தொடை
38,Bein::N,רגל,கால்
39,Körper::N,גוף,உடல்
40,Haut::N,עור,சருமம்
41,Blut::N,דם,இரத்தம்
42,Ader::N,וריד,நாளம்
43,Sehne::N,גיד,தசைநார்
44,Knochen::N,עצם,எலுமபு
45,Gehirn::N,מוח,மூனை
46,Herz::N,לב,இதயம
47,Magen::N,קבה,வயிறு
48,Leber::N,כבד,கல்லீரல்
49,Atem::N,נשימה,மூச்சு
50,Hunger::N,רעב,பசி
51,Träne::N,דמעה,கண்ணீர்
52,Geschmack::N,טעם,நறுமணம்
53,Geruch::N,ריח,துர்நாற்றம்
54,Schlaf::N,שנה,தூக்கம்
55,Traum::N,חלום,கனவு
56,Himmel::N,שמים,வானம்
57,Sonne::N,שמש,சூரியன்
58,Mond::N,ירח,சந்திரன்
59,Stern::N,כוכב,நட்சத்திரம்
60,Luft::N,אויר,காறறு
61,Wind::N,רוח,காற்று
62,Welle::N,גל,அலை
63,Wasser::N,מים,நீர்
64,Stein::N,אבן,கல்
65,Boden::N,קרקע,தரை
66,Erde::N,אדמה,மண்
67,Staub::N,אבק,தூசி
68,Rauch::N,עשן,புகை
69,Funke::N,ניצוץ,தீப்பொறி
70,Feuer::N,אש,தீ
71,Licht::N,אור,வெளிச்சம்
72,Schatten::N,צל,நிழல்
73,Wetter::N,מזג אויר,வானிலை
74,Nebel::N,ערפל,பனிமூட்டம்
75,Wolke::N,ענן,மேகம்
76,Regen::N,גשם,மழை
77,Schnee::N,שלג,உறைபனி
78,Eis::N,קרח,பனிக்கட்டி
79,Frost::N,צנה,உறைபனி
80,Kälte::N,קר,குளிர்ந்த
81,Hitze::N,חם,சூடு
82,Raureif::N,כפור,உறைபனி வெண்திரை
83,Regenbogen::N,קשת,வானவில்
84,Donner::N,רעם,இடி
85,Strömung::N,זרימה,நீரோட்டம்
86,Tropfen::N,טפה,துளி
87,Schaum::N,קצף,நுரை
88,Schmutz::N,לכלוך,அழுக்கு
89,See::N,אגם,ஏரி
90,Sumpf::N,בצה,சதுப்பு நிலம்
91,Moor::N,בצה,முட்புதற்காடு
92,Wiese::N,מרעה,பசும் புல்தரை
93,Wald::N,יער,காடு
94,Hügel::N,תל,குன்று
95,Anhöhe::N,מעלה,பதுக்கை
96,Berg::N,הר,மலை
97,Gipfel::N,פסגה,உச்சி மாநாடு
98,Höhle::N,מערה,குகை
99,Abhang::N,מדרון,சரிவு
100,Abhang::N,שפוע,சரிவு
101,Quelle::N,מעין,மூலம்
102,Bach::N,נחל,ஓடை
103,Fluss::N,נהר,ஆறு
104,Ufer::N,גדה,நீர்க்கரை
105,Küste::N,חוף,கடற்கரை
106,Festland::N,יבשה,நிலம்
107,Meer::N,ים,கடல்
108,Bucht::N,מפרץ,சிறுகுடா
109,Insel::N,אי,தீவு
110,Blume::N,פרח,பூ
111,Gras::N,דשא,புல்தரை
112,Wurzel::N,שרש,வேர்
113,Baum::N,עץ,மரம்
114,Stamm::N,גזע,அடிமரம்
115,Rinde::N,קלפת עץ,பட்டை
116,Rinde::N,קלפת עץ,மரப்பட்டை
117,Ast::N,ענף,கினை
118,Zweig::N,ענף,குச்சி
119,Blatt::N,עלה,இலை
120,Birke::N,שדר,பிர்ச் மரம்
121,Kiefer[Baum]::N,ארן,தேவதாரு மரம்
122,Weide[Baum]::N,ערבה,மர வகைகளுள் ஒன்று
123,Tanne::N,אשוח,சாதிக்கய்
124,Horn::N,קרן,கொம்பு
125,Feder::N,נוצה,இறகு
126,Fell::N,פרוה,மென்முடி
127,Flügel::N,כנף,இறக்கை
128,Klaue::N,טלף,நகம்
129,Kralle::N,טפר,நகம்
130,Schwanz::N,זנב,வால்
131,Ei::N,ביצה,முட்டை
132,Nest::N,קן,கூடு
133,Bau::N,מחלה,குகை
134,Tier::N,חיה,விலங்கு
135,Herde::N,עדר,கூட்டம்
136,Kuh::N,פרה,பசு
137,Bulle::N,פר,காளை
138,Pferd::N,סוס,குதிரை
139,Schaf::N,כבשה,செம்மறிஆடு
140,Schwein::N,חזיר,பன்றி
141,Hund::N,כלב,நாய்
142,Katze::N,חתול,பூனை
143,Bär::N,דב,கரடி
144,Eichhörnchen::N,סנאי,அணில்
145,Elch::N,דישון,கடம்பை
146,Fuchs::N,שועל,நரி
147,Hase::N,ארנב,முயல்
148,Maus::N,עכבר,எலி
149,Wolf::N,זאב,ஓநாய்
150,Vogel::N,צפור,பறவை
151,Schwarm::N,נחיל,தொகுதி
152,Schwarm::N,להקה,தொகுதி
153,Huhn::N,תרנגלת,கோழிக்குஞசு
154,Hahn::N,תרנגול,சேவல்
155,Gans::N,אוז,பெண் வாத்து
156,Adler::N,עיט,பருநது
157,Ente::N,ברוז,வாத்து
158,Eule::N,ינשוף,ஆந்தை
159,Kranich::N,עגור,நாரை
160,Kranich::N,כרוכיה,நாரை
161,Krähe::N,עורב,காகம்
162,Kuckuck::N,קוקיה,குயில்
163,Schwan::N,ברבור,அன்னம்
164,Fisch::N,דג,மீன்
165,Barsch::N,אוקונוס,பேர்ச்
166,Hecht::N,זאב הים,கோலாச்சி மீன்
167,Schlange[Tier]::N,נחש,பாம்பு
168,Wurm::N,תולעת,புழு
169,Spinne::N,עכביש,சிலந்தி
170,Ameise::N,נמלה,எறும்பு
171,Laus::N,כנה,பேன்
172,Mücke::N,יתוש,கொசுவினப்பூச்சி
173,Fliege::N,זבוב,ஈ
174,Schmetterling::N,פרפר,வண்ணத்துப்பூச்சி
175,Beere::N,ענבה,சதைப்பழம்
176,Apfel::N,תפוח,ஆப்பிள பழம்
177,Pilz::N,פטריה,காளான்
178,Zwiebel::N,בצל,வெங்காயம்
179,Saat::N,זרעים,விதை
180,Korn::N,גרעין,தானியம்
181,Heu::N,חציר,வைக்கோல்
182,Schale::N,קלפה,தோல்
183,Grube::N,בור,குழி
184,Grube::N,שוחה,குழி
185,Falle::N,מלכדת,பொறி
186,Schlinge::N,לולאה,கண்ணி
187,Spur::N,עקבה,சுவடு
188,Asche::N,אפר,சாம்பல்
189,Dreck::N,זהמה,அழுக்கு
190,Eisen::N,ברזל,இரும்பு
191,Gold::N,זהב,தங்கம்
192,Silber::N,כסף,வெள்ளி
193,Kohle::N,פחם,நிலக்கரி
194,Glas::N,זכוכית,கண்ணாடி
195,Lehm::N,חרסית,களிமண்
196,Sand::N,חול,மணல்
197,Mensch::N,אדם,மனிதர்கள்
198,Mann::N,איש,மனிதன்
199,Mann::N,גבר,மனிதன்
200,Frau::N,אשה,பெண்
201,Frau::N,גברת,பெண்
202,Kind::N,ילד,குழந்தை
203,Junge::N,ילד,பையன்
204,Mädchen::N,נערה,சிறுமி
205,Familie::N,משפחה,குடும்பம்
206,Großvater::N,סבא,தாத்தா
207,Großmutter::N,סבתא,பாட்டி
208,Eltern::N,הורים,பெற்றோர்
209,Vater::N,אב,தந்தை
210,Mutter::N,אם,தாய்
211,Sohn::N,בן,மகன்
212,Tochter::N,בת,மகள்
213,Bruder::N,אח,சகோதரன்
214,Schwester::N,אחות,அக்கா
215,Onkel::N,דוד,தாய் மாமன்
216,Tante::N,דודה,அத்தை
217,Ehemann::N,איש,கணவன்
218,Ehemann::N,בעל,கணவன்
219,Ehefrau::N,אשה,மனைவி
220,Freude::N,שמחה,கொண்டாட்டம்
221,Gelächter::N,צחוק,சிரிப்பு
222,Glück::N,אשר,மகிழ்ச்சி
223,Kummer::N,יגון,துயரம்
224,Kummer::N,עגמה,துயரம்
225,Wunsch::N,אחול,விருப்பம்
226,Wunsch::N,משאלה,விருப்பம்
227,Lust::N,חשק,விருப்பம்
228,Lust::N,תשוקה,விருப்பம்
229,Geist::N,רוח,ஆன்மா
230,Gedanke::N,מחשבה,எண்ணம்
231,Gedächtnis::N,זכרון,ஞாபகம்
232,Verstand::N,שכל,மனம்
233,Sinn::N,מובן,அர்த்தம்
234,Sinn::N,משמעות,அர்த்தம்
235,Grund::N,סבה,காரணம்
236,Wahrheit::N,אמת,உண்நை
237,Gespräch::N,דיון,பெசு
238,Märchen::N,אגדה,நம்பத்தகாத கதை
239,Erzählung::N,ספור,கதை
240,Nachricht::N,ידיעה,செய்தி
241,Neuigkeit::N,חדשה,செய்தி
242,Name::N,שם,பெயர்
243,Rätsel::N,תעלומה,புதிர்
244,Rede::N,נאום,பேச்சு
245,Sprache::N,לשון,மொழி
246,Stimme::N,קול,குரல்
247,Wort::N,מלה,வார்த்தை
248,Zeichen::N,סימן,குறி
249,Ruf::N,קריאה,அழைப்பு
250,Lärm::N,רעש,சத்தம்
251,Laut::N,הגה,ஒலி
252,Ton::N,צליל,குரல்
253,Lied::N,שיר,பாட்டு
254,Ruhe::N,שלוה,அமைதி
255,Leute::N,אנשים,மக்கள்
256,Volk::N,עם,மக்கள்
257,Arbeit::N,עבודה,வேலை
258,Gast::N,אורח,விருந்தாளி
259,Geschenk::N,מתנה,பரிசுப் பொருள்
260,Spiel::N,משחק,விளையாட்டு
261,Gesellschaft::N,חברה,சமுதாயம்
262,Hilfe::N,עזרה,உதவி
263,Freund::N,חבר,நண்பன்
264,Freund::N,ידיד,நண்பன்
265,Kamerad::N,רע,உடனிருப்பவன்
266,Angelegenheit::N,ענין,செய்தி
267,Anzahl::N,מספר,எண்ணிக்கை
268,Art::N,סוג,வகை
269,Stück::N,חתיכה,துண்டம்
270,Teil::N,פרק,பகுதி
271,Hälfte::N,חצי,பாதி
272,Kreis::N,מעגל,வட்டம்
273,Kreuz::N,צלב,சிலுவை
274,Linie::N,קו,கோடு
275,Strich::N,קו קצר,வாத நோய்
276,Abstand::N,מרחק,இடைவெளி
277,Entfernung::N,מרחק,தூரம்
278,Gegend::N,נוף,வட்டாரம்
279,Platz::N,שטח,வெற்றிடம்
280,Ort::N,אתר,இடம்
281,Ort::N,מקום,இடம்
282,Seite::N,צד,பக்கம்
