,Concept_ID,bg,bn
0,Auge::N,око,চক্ষু
1,Ohr::N,ухо,কর্ণ
2,Nase::N,нос,নাক
3,Mund::N,уста,মুখ
4,Zahn::N,зъб,দাঁত
5,Zunge::N,език,জিহবা
6,Lippe::N,устна,অধর
7,Wange::N,буза,গণ্ড
8,Gesicht::N,лице,মুখমণ্ডল
9,Gesicht::N,образ,মুখমণ্ডল
10,Stirn::N,чело,কপাল
11,Haar::N,коса,চুল
12,Haar::N,косъм,চুল
13,Schnurrbart::N,мустаци,গোঁফ
14,Bart::N,брада,শ্মশ্রু
15,Kinn::N,брада,চিবুক
16,Kinn::N,брадичка,চিবুক
17,Kiefer[Anatomie]::N,челюст,চোয়াল
18,Kehle::N,гърло,কণ্ঠ
19,Hals::N,врат,গল
20,Genick::N,тил,ঘাড়
21,Kopf::N,глава,মাথা
22,Rücken::N,гръб,পৃষ্ঠ
23,Bauch::N,корем,উদর
24,Nabel::N,пъп,নাভি
25,Busen::N,бозка,স্তন
26,Brust::N,гръд,বুক
27,Schulter::N,рамо,স্কন্ধ
28,Schulter::N,плещи,স্কন্ধ
29,Arm::N,ръка,বাহু
30,Ellenbogen::N,лакът,কনুই
31,Hand::N,ръка,হাত
32,Hand::N,китка,হাত
33,Handfläche::N,длан,করতল
34,Finger::N,пръст,আঙ্গুল
35,Fingernagel::N,нокът,হাতের নখ
36,Nagel[Anatomie]::N,нокът,নখ
37,Zeh::N,пръст на крак,আঙ্গুল
38,Fuß::N,крак,পা
39,Fuß::N,нога,পা
40,Ferse::N,пета,গোড়ালি
41,Knie::N,коляно,হাঁটু
42,Oberschenkel::N,бедро,ঊরু
43,Bein::N,крак,পা
44,Bein::N,нога,পা
45,Körper::N,тяло,দেহ
46,Haut::N,кожа,ত্বক
47,Blut::N,кръв,রক্ত
48,Ader::N,вена,শিরা
49,Ader::N,артерия,শিরা
50,Sehne::N,жила,কণ্ডরা
51,Sehne::N,сухожилие,কণ্ডরা
52,Knochen::N,кост,অস্থি
53,Gehirn::N,мозък,মস্তিষ্ক
54,Herz::N,сърце,হৃৎপিণ্ড
55,Magen::N,стомах,পাকস্থলী
56,Leber::N,черен дроб,যকৃৎ
57,Atem::N,дишане,শ্বাস
58,Hunger::N,глад,ক্ষুধা
