,Concept_ID,av,de
0,Ohr::N,гӏин,Ohr
1,Nase::N,мегӏер,Nase
2,Mund::N,кӏал,Mund
3,Zahn::N,гӏус,Zahn
4,Zunge::N,мацӏ,Zunge
5,Lippe::N,кӏветӏ,Lippe
6,Wange::N,гӏоно,Wange
7,Gesicht::N,гьумер,Gesicht
8,Stirn::N,нодо,Stirn
9,Haar::N,рас,Haar
10,Schnurrbart::N,михъ,Schnurrbart
11,Bart::N,мегеж,Bart
12,Kinn::N,нилъу,Kinn
13,Kiefer[Anatomie]::N,чанагъ,Kiefer
14,Kehle::N,щекъер,Kehle
15,Hals::N,габур,Hals
16,Genick::N,гъванща,Genick
17,Kopf::N,бетӏер,Kopf
18,Rücken::N,мугъ,Rücken
19,Bauch::N,чехь,Bauch
20,Nabel::N,цӏину,Nabel
21,Busen::N,керен,Busen
22,Brust::N,керен,Brust
23,Schulter::N,гъажазубетӏер,Schulter
24,Arm::N,гъеж,Arm
25,Ellenbogen::N,гӏункӏрукь,Ellenbogen
26,Hand::N,квер,Hand
27,Handfläche::N,огъохъат,Handfläche
28,Handfläche::N,жанисахъат,Handfläche
29,Finger::N,килищ,Finger
30,Fingernagel::N,малъ,Fingernagel
31,Nagel[Anatomie]::N,малъ,Nagel
32,Zeh::N,килищ,Zeh
33,Fuß::N,хӏетӏ,Fuß
34,Fuß::N,хӏетӏе,Fuß
35,Ferse::N,эгъе,Ferse
36,Knie::N,наку,Knie
37,Oberschenkel::N,мачӏ,Oberschenkel
38,Bein::N,бох,Bein
39,Körper::N,къаркъала,Körper
40,Haut::N,тӏом,Haut
41,Blut::N,би,Blut
42,Ader::N,бидурихь,Ader
43,Knochen::N,ракьа,Knochen
44,Gehirn::N,гӏадалнах,Gehirn
45,Herz::N,ракӏ,Herz
46,Magen::N,кванирукъ,Magen
47,Leber::N,тӏул,Leber
48,Atem::N,хӏухь,Atem
49,Hunger::N,ракъи,Hunger
50,Träne::N,магӏу,Träne
51,Geschmack::N,тату,Geschmack
52,Geruch::N,махӏ,Geruch
53,Schlaf::N,макьу,Schlaf
54,Traum::N,макьу,Traum
55,Himmel::N,зоб,Himmel
56,Sonne::N,бакъ,Sonne
57,Mond::N,моцӏ,Mond
58,Stern::N,цӏва,Stern
59,Luft::N,гьава,Luft
60,Wind::N,гьури,Wind
61,Welle::N,карачел,Welle
62,Wasser::N,лъим,Wasser
63,Stein::N,гьецӏо,Stein
64,Boden::N,ракь,Boden
65,Erde::N,ракь,Erde
66,Erde::N,дуниял,Erde
67,Staub::N,хӏур,Staub
68,Rauch::N,кӏкӏуй,Rauch
69,Feuer::N,цӏа,Feuer
70,Licht::N,канлъи,Licht
71,Schatten::N,рагӏад,Schatten
72,Wetter::N,гьава-бакъ,Wetter
73,Nebel::N,гӏодобнакӏкӏ,Nebel
74,Wolke::N,накӏкӏ,Wolke
75,Regen::N,цӏад,Regen
76,Schnee::N,гӏазу,Schnee
77,Eis::N,цӏер,Eis
78,Frost::N,замгьари,Frost
79,Kälte::N,квач,Kälte
80,Hitze::N,багӏари,Hitze
81,Raureif::N,мартӏ,Raureif
82,Regenbogen::N,нур,Regenbogen
83,Regenbogen::N,чамбара,Regenbogen
84,Donner::N,гъугъай,Donner
85,Donner::N,гъугъади,Donner
86,Strömung::N,чвахи,Strömung
87,Tropfen::N,резел,Tropfen
88,Tropfen::N,тӏинкӏ,Tropfen
89,Tropfen::N,къатӏра,Tropfen
90,Tropfen::N,тӏенкӏел,Tropfen
91,Schaum::N,полоп,Schaum
92,Schmutz::N,чороклъи,Schmutz
93,See::N,хӏор,See
94,Sumpf::N,хьуцӏ,Sumpf
95,Wiese::N,мегъ,Wiese
96,Wiese::N,гӏурдаллъи,Wiese
97,Wald::N,рохь,Wald
98,Hügel::N,гохӏ,Hügel
99,Anhöhe::N,сийитма,Anhöhe
100,Berg::N,мегӏер,Berg
101,Gipfel::N,тӏогь,Gipfel
102,Höhle::N,нохъо,Höhle
103,Abhang::N,лабаллъи,Abhang
104,Quelle::N,ицц,Quelle
105,Bach::N,лъар,Bach
106,Fluss::N,гӏор,Fluss
107,Ufer::N,рагӏал,Ufer
108,Küste::N,рагӏал,Küste
109,Festland::N,ракь,Festland
110,Festland::N,ракъдаллъи,Festland
111,Meer::N,ралъад,Meer
112,Bucht::N,кӏветӏ,Bucht
113,Insel::N,чӏинкӏиллъи,Insel
114,Blume::N,тӏегь,Blume
115,Gras::N,хер,Gras
116,Wurzel::N,кьибил,Wurzel
117,Baum::N,гъветӏ,Baum
118,Stamm::N,рохти,Stamm
119,Rinde::N,макъар,Rinde
120,Ast::N,ноцӏ,Ast
121,Zweig::N,гӏаркьел,Zweig
122,Blatt::N,тӏамах,Blatt
123,Birke::N,мах,Birke
124,Birke::N,махигъветӏ,Birke
125,Kiefer[Baum]::N,накӏкӏигъветӏ,Kiefer
126,Weide[Baum]::N,рицӏцӏ,Weide
127,Weide[Baum]::N,рицӏцӏигъветӏ,Weide
128,Tanne::N,ёлка,Tanne
129,Horn::N,лълъар,Horn
130,Feder::N,хӏули,Feder
131,Fell::N,тӏом,Fell
132,Fell::N,цӏоко,Fell
133,Flügel::N,кваркьи,Flügel
134,Klaue::N,галъ,Klaue
135,Kralle::N,квачӏ,Kralle
136,Kralle::N,катиквачӏ,Kralle
137,Schwanz::N,рачӏ,Schwanz
138,Ei::N,хоно,Ei
139,Nest::N,бусен,Nest
140,Bau::N,каратӏ,Bau
141,Tier::N,хӏайван,Tier
142,Herde::N,рехъен,Herde
143,Herde::N,рехъед,Herde
144,Kuh::N,гӏака,Kuh
145,Bulle::N,оц,Bulle
146,Pferd::N,чу,Pferd
147,Schaf::N,чахъу,Schaf
148,Schwein::N,болъон,Schwein
149,Hund::N,гьой,Hund
150,Katze::N,кету,Katze
151,Bär::N,ци,Bär
152,Eichhörnchen::N,гвангва,Eichhörnchen
153,Fuchs::N,цер,Fuchs
154,Hase::N,гӏанкӏ,Hase
155,Maus::N,гӏункӏкӏ,Maus
156,Wolf::N,бацӏ,Wolf
157,Vogel::N,хӏинчӏ,Vogel
158,Schwarm::N,тӏел,Schwarm
159,Huhn::N,гӏанкӏу,Huhn
160,Hahn::N,хӏелеко,Hahn
161,Gans::N,хъаз,Gans
162,Adler::N,цӏум,Adler
163,Ente::N,ордек,Ente
164,Eule::N,беццаруз,Eule
165,Kranich::N,къункъра,Kranich
166,Krähe::N,гъеду,Krähe
167,Kuckuck::N,гагу,Kuckuck
168,Schwan::N,хӏанкъва,Schwan
169,Fisch::N,ччугӏа,Fisch
170,Barsch::N,окунь,Barsch
171,Hecht::N,щука,Hecht
172,Schlange[Tier]::N,борохь,Schlange
173,Wurm::N,хӏапара,Wurm
174,Spinne::N,хъанхъра,Spinne
175,Ameise::N,цӏунцӏра,Ameise
176,Laus::N,нацӏ,Laus
177,Mücke::N,кӏкӏара,Mücke
178,Fliege::N,тӏутӏ,Fliege
179,Schmetterling::N,кӏалкӏучӏ,Schmetterling
180,Apfel::N,гӏеч,Apfel
181,Pilz::N,гӏурдахӏан,Pilz
182,Zwiebel::N,кӏочӏопер,Zwiebel
183,Saat::N,хьон,Saat
184,Korn::N,мугь,Korn
185,Heu::N,хер,Heu
186,Schale::N,хъал,Schale
187,Grube::N,гвенд,Grube
188,Falle::N,къор,Falle
189,Falle::N,къотен,Falle
190,Schlinge::N,кӏичӏ,Schlinge
191,Spur::N,лъалкӏ,Spur
192,Asche::N,рахъу,Asche
193,Dreck::N,гъиз,Dreck
194,Dreck::N,хӏарщ,Dreck
195,Eisen::N,махх,Eisen
196,Gold::N,месед,Gold
197,Silber::N,гӏарац,Silber
198,Kohle::N,тӏурччи,Kohle
199,Glas::N,цӏер,Glas
200,Lehm::N,хӏатӏ,Lehm
201,Sand::N,сали,Sand
202,Mensch::N,чи,Mensch
203,Mann::N,бихьинчи,Mann
204,Frau::N,гӏадан,Frau
205,Kind::N,лъимер,Kind
206,Junge::N,вас,Junge
207,Mädchen::N,яс,Mädchen
208,Familie::N,хъизан,Familie
209,Großvater::N,кӏудада,Großvater
210,Großmutter::N,кӏодо,Großmutter
211,Eltern::N,эбел-эмен,Eltern
212,Vater::N,эмен,Vater
213,Mutter::N,эбел,Mutter
214,Sohn::N,вас,Sohn
215,Tochter::N,яс,Tochter
216,Bruder::N,вац,Bruder
217,Schwester::N,яц,Schwester
218,Onkel::N,даци,Onkel
219,Tante::N,ада,Tante
220,Ehemann::N,рос,Ehemann
221,Ehefrau::N,чӏужу,Ehefrau
222,Freude::N,ракӏбохи,Freude
223,Gelächter::N,релъи,Gelächter
224,Glück::N,талихӏ,Glück
225,Glück::N,талихӏ-рохел,Glück
226,Kummer::N,хӏалкъай,Kummer
227,Wunsch::N,къасд,Wunsch
228,Lust::N,гъира,Lust
229,Geist::N,чӏанкӏ,Geist
230,Geist::N,рухӏ-жан,Geist
