,Concept_ID,is,sl
0,Auge::N,auga,okó
1,Ohr::N,eyra,uhó
2,Nase::N,nef,nós
3,Mund::N,munnur,ústa
4,Zahn::N,tönn,zób
5,Zunge::N,tunga,jêzik
6,Lippe::N,vör,ústnica
7,Wange::N,kinn,líce
8,Wange::N,vangi,líce
9,Gesicht::N,andlit,oblíčje
10,Stirn::N,enni,čêlo
11,Haar::N,hár,lás
12,Schnurrbart::N,yfirskegg,bŕki
13,Bart::N,skegg,bráda
14,Kinn::N,haka,bráda
15,Kiefer[Anatomie]::N,kjálki,čeljúst
16,Kiefer[Anatomie]::N,skoltur,čeljúst
17,Kehle::N,kverk,gŕlo
18,Hals::N,háls,vrát
19,Genick::N,hnakki,zatílnik
20,Kopf::N,höfuð,gláva
21,Rücken::N,hryggur,hrbèt
22,Bauch::N,kviður,trébuh
23,Nabel::N,nafli,pópek
24,Busen::N,barmur,nédrja
25,Brust::N,brjóst,pŕsi
26,Schulter::N,öxl,ráma
27,Schulter::N,öxl,plêče
28,Arm::N,armur,rôka
29,Ellenbogen::N,olnbogi,komólec
30,Hand::N,hönd,rôka
31,Handfläche::N,lófi,dlán
32,Finger::N,fingur,pŕst
33,Fingernagel::N,fingurnögl,nóht na rôki
34,Nagel[Anatomie]::N,nögl,nóht
35,Zeh::N,tá,pŕst na nôgi
36,Fuß::N,fótur,nôga
37,Ferse::N,hæll,pêta
38,Knie::N,kné,koléno
39,Oberschenkel::N,læri,stêgno
40,Bein::N,fótleggur,nôga
41,Körper::N,búkur,teló
42,Körper::N,líkami,teló
43,Haut::N,húð,kóža
44,Haut::N,skinn,kóža
45,Blut::N,blóð,krí
46,Ader::N,æð,žíla
47,Sehne::N,sin,kíta
48,Knochen::N,bein,kóst
49,Gehirn::N,heili,možgáni
50,Herz::N,hjarta,srcé
51,Magen::N,magi,želódec
52,Leber::N,lifur,jétra
53,Atem::N,andi,díh
54,Atem::N,andardráttur,díh
55,Hunger::N,hungur,glád
56,Träne::N,tár,sólza
57,Geschmack::N,smekkur,okús
58,Geruch::N,lykt,vónj
59,Schlaf::N,svefn,sèn
60,Schlaf::N,svefn,spánec
61,Traum::N,draumur,sánje
62,Himmel::N,himinn,nebó
63,Sonne::N,sól,sónce
64,Mond::N,tungl,lúna
65,Mond::N,tungl,mésec
66,Stern::N,stjarna,zvézda
67,Luft::N,loft,zràk
68,Wind::N,vindur,véter
69,Welle::N,alda,vál
70,Welle::N,bylgja,vál
71,Wasser::N,vatn,vôda
72,Stein::N,steinn,kámen
73,Boden::N,botn,tlà
74,Erde::N,jörð,pŕst
75,Erde::N,jörð,zêmlja
76,Staub::N,ryk,práh
77,Staub::N,duft,práh
78,Rauch::N,reykur,dìm
79,Funke::N,neisti,ískra
80,Feuer::N,eldur,ôgenj
81,Licht::N,ljós,lúč
82,Schatten::N,skuggi,sénca
83,Wetter::N,veður,vrême
84,Nebel::N,þoka,meglà
85,Wolke::N,ský,oblák
86,Regen::N,regn,dèž
87,Schnee::N,snjór,snég
88,Eis::N,ís,léd
89,Frost::N,frost,zmrzál
90,Kälte::N,kuldi,mràz
91,Hitze::N,hiti,pripéka
92,Raureif::N,hrím,ívje
93,Raureif::N,hrím,slána
94,Regenbogen::N,regnbogi,mávrica
95,Donner::N,þruma,gròm
96,Strömung::N,straumur,strúja
97,Tropfen::N,dropi,káplja
98,Schaum::N,froða,péna
99,Schmutz::N,óhreinindi,nesnága
100,See::N,stöðuvatn,jézero
101,Sumpf::N,fen,močvírje
102,Moor::N,mýri,bárje
103,Wiese::N,engi,trávnik
104,Wald::N,skógur,lés
105,Wald::N,skógur,gòzd
106,Hügel::N,hæð,brég
107,Hügel::N,hæð,goríca
108,Hügel::N,hóll,brég
109,Hügel::N,hóll,goríca
110,Anhöhe::N,hæð,gríč
111,Anhöhe::N,hæð,višína
112,Anhöhe::N,hóll,gríč
113,Anhöhe::N,hóll,višína
114,Berg::N,fell,gôra
115,Berg::N,fell,planína
116,Berg::N,fjall,gôra
117,Berg::N,fjall,planína
118,Gipfel::N,tindur,vŕh
119,Höhle::N,hellir,jáma
120,Höhle::N,hellir,votlína
121,Abhang::N,hlíð,pobóčje
122,Abhang::N,brekka,pobóčje
123,Quelle::N,lind,izvír
124,Quelle::N,uppspretta,izvír
125,Bach::N,lækur,pôtok
126,Fluss::N,á,réka
127,Fluss::N,fljót,réka
128,Ufer::N,árbakki,brég
129,Ufer::N,sjávarbakki,brég
130,Küste::N,strönd,obála
131,Küste::N,strönd,obréžje
132,Festland::N,meginland,celína
133,Festland::N,meginland,kopnína
134,Meer::N,haf,mórje
135,Meer::N,sjór,mórje
136,Bucht::N,vík,zalív
137,Insel::N,eyja,ôtok
138,Blume::N,blóm,cvetlíca
139,Gras::N,gras,tráva
140,Wurzel::N,rót,korenína
141,Baum::N,tré,drevó
142,Stamm::N,stofn,dêblo
143,Rinde::N,börkur,lúbje
144,Rinde::N,börkur,skórja
145,Ast::N,grein,véja
146,Zweig::N,angi,véja
147,Zweig::N,kvistur,véja
148,Blatt::N,blað,líst
149,Birke::N,birki,bréza
150,Kiefer[Baum]::N,fura,bòr
151,Weide[Baum]::N,víðir,vŕba
152,Tanne::N,greni,hója
153,Horn::N,horn,róg
154,Feder::N,fjöður,peró
155,Fell::N,skinn,kŕzno
156,Flügel::N,vængur,krílo
157,Klaue::N,kló,párkelj
158,Kralle::N,kló,krémpelj
159,Schwanz::N,rófa,rèp
160,Schwanz::N,skott,rèp
161,Ei::N,egg,jájce
162,Nest::N,hreiður,gnézdo
163,Bau::N,greni,brlòg
164,Bau::N,bæli,brlòg
165,Tier::N,dýr,živál
166,Herde::N,hjörð,čréda
167,Kuh::N,kýr,kráva
168,Bulle::N,boli,bìk
169,Pferd::N,hestur,kònj
170,Schaf::N,kind,ôvca
171,Schwein::N,svín,svínja
172,Hund::N,hundur,pès
173,Katze::N,köttur,máčka
174,Bär::N,björn,mêdved
175,Eichhörnchen::N,íkorni,véverica
176,Elch::N,elgur,lós
177,Fuchs::N,refur,lisíca
178,Hase::N,héri,zájec
179,Maus::N,mús,mìš
180,Wolf::N,úlfur,vólk
181,Vogel::N,fugl,ptìč
182,Vogel::N,fugl,ptíca
183,Schwarm::N,sægur,játa
184,Huhn::N,hæna,kokóš
185,Hahn::N,hani,petêlin
186,Gans::N,gæs,gós
187,Adler::N,örn,ôrel
188,Ente::N,önd,ráca
189,Eule::N,uggla,sôva
190,Kranich::N,trana,žerjàv
191,Krähe::N,kráka,vrána
192,Kuckuck::N,gaukur,kúkavica
193,Schwan::N,svanur,labód
194,Fisch::N,fiskur,ríba
195,Barsch::N,aborri,ostríž
196,Hecht::N,gedda,ščúka
197,Schlange[Tier]::N,naðra,káča
198,Wurm::N,ormur,čr̀v
199,Wurm::N,ormur,glísta
200,Spinne::N,kónguló,pájek
201,Ameise::N,maur,mrávlja
202,Laus::N,lús,úš
203,Mücke::N,mý,komár
