,Concept_ID,sah,tr
0,Auge::N,харах,göz
1,Ohr::N,кулгаах,kulak
2,Nase::N,мурун,burun
3,Mund::N,айах,ağız
4,Zahn::N,тиис,diş
5,Zunge::N,тыл,dil
6,Lippe::N,уос,dudak
7,Wange::N,иэдэс,yanak
8,Gesicht::N,сирэй,yüz
9,Stirn::N,сүүс,alın
10,Haar::N,баттах,saç
11,Schnurrbart::N,уос бытыга,bıyık
12,Bart::N,сэҥийэ бытыга,sakal
13,Kinn::N,сэҥийэ,çene
14,Kiefer[Anatomie]::N,сыҥаах,çene
15,Kehle::N,тамах,boğaz
16,Kehle::N,күөмэй,boğaz
17,Hals::N,моой,boyun
18,Hals::N,моой,gerdan
19,Genick::N,кэтэх,ense
20,Kopf::N,бас,baş
21,Kopf::N,бас,kafa
22,Rücken::N,көҕүс,arka
23,Bauch::N,ис,karın
24,Nabel::N,киин,göbek
25,Busen::N,эмиий,koyun
26,Brust::N,түөс,göğüs
27,Schulter::N,сарын,omuz
28,Arm::N,илии,kol
29,Ellenbogen::N,тоҕонох,dirsek
30,Hand::N,илии,el
31,Handfläche::N,ытыс,avuç
32,Handfläche::N,ытыс,el ayası
33,Finger::N,тарбах,parmak
34,Fingernagel::N,тыҥырах,el tırnağı
35,Nagel[Anatomie]::N,тыҥырах,tırnak
36,Zeh::N,тарбах,ayak parmağı
37,Fuß::N,уллуҥах,ayak
38,Ferse::N,тилэх,topuk
39,Knie::N,тобук,diz
40,Knie::N,дьилбэк,diz
41,Oberschenkel::N,уллук,uyluk
42,Oberschenkel::N,өттүк,uyluk
43,Bein::N,атах,bacak
44,Körper::N,бэйэ,vücut
45,Haut::N,тирии,cilt
46,Blut::N,хаан,kan
47,Ader::N,вена,damar
48,Ader::N,күөх_тымыр,damar
49,Sehne::N,иҥиир,kiriş
50,Knochen::N,уҥуох,kemik
51,Knochen::N,уҥгуох,kemik
52,Gehirn::N,мэйии,beyin
53,Herz::N,сүрэх,kalp
54,Herz::N,сүрэх,yürek
55,Magen::N,куртах,mide
56,Leber::N,быар,karaciğer
57,Atem::N,тыын,nefes
58,Hunger::N,аас,açlık
59,Träne::N,харах уута,gözyaşı
60,Geschmack::N,амтан,tat
61,Geschmack::N,амтан,lezzet
62,Geruch::N,сыт,koku
63,Schlaf::N,утуйуу,uyku
64,Traum::N,түүл,düş
65,Traum::N,түүл,rüya
66,Himmel::N,халлаан,gök
67,Sonne::N,күн,güneş
68,Mond::N,ый,ay
69,Stern::N,сулус,yıldız
70,Luft::N,салгын,hava
71,Wind::N,тыал,yel
72,Wind::N,тыал,rüzgâr
73,Welle::N,долгун,dalga
74,Welle::N,балхаан,dalga
75,Wasser::N,уу,su
76,Stein::N,таас,taş
77,Boden::N,сир,yer
78,Boden::N,сир,zemin
79,Erde::N,буор,toprak
80,Staub::N,быыл,toz
81,Rauch::N,буруо,duman
82,Funke::N,кыым,kıvılcım
83,Feuer::N,уот,ateş
84,Licht::N,уот,ışık
85,Schatten::N,күлүк,gölge
86,Wetter::N,күн-дьыл,hava
87,Nebel::N,туман,pus
88,Wolke::N,былыт,bulut
89,Regen::N,самыыр,yağmur
90,Schnee::N,хаар,kar
91,Eis::N,муус,buz
92,Frost::N,тымныы,don
93,Kälte::N,тымныы,soğukluk
94,Hitze::N,куйаас,sıcaklık
95,Raureif::N,кырыа,kırç
96,Regenbogen::N,кустук,gökkuşağı
97,Donner::N,этиҥ,gök gürlemesi
98,Strömung::N,сүүрүк,akıntı
99,Strömung::N,сүүрүк,cereyan
100,Tropfen::N,таммах,damla
101,Tropfen::N,хааппыла,damla
102,Schaum::N,күүгэн,köpük
103,Schmutz::N,кир,çamur
104,Schmutz::N,кир,pislik
105,See::N,күөл,göl
106,Sumpf::N,бадараан,batak
107,Moor::N,дьэбэрэ,cılgıt
108,Wiese::N,ходуһа,çimen
109,Wald::N,ойуур,koru
110,Wald::N,ойуур,orman
111,Hügel::N,булгунньах,tepe
112,Anhöhe::N,үрдэл,tümsek
113,Anhöhe::N,үрдэл,yükseklik
114,Berg::N,хайа,dağ
115,Gipfel::N,чыпчаал,zirve
116,Höhle::N,хайа_хаспаҕа,in
117,Höhle::N,хайа_хаспаҕа,mağara
118,Höhle::N,көҥүс,in
119,Höhle::N,көҥүс,mağara
120,Abhang::N,эниэ,bayır
