,Concept_ID,ko,ro
0,Auge::N,눈,ochi
1,Ohr::N,귀,ureche
2,Nase::N,코,nas
3,Mund::N,입,gură
4,Zahn::N,이,dinte
5,Zunge::N,혀,limbă
6,Lippe::N,입술,buză
7,Wange::N,뺨,bucă
8,Wange::N,뺨,obraz
9,Gesicht::N,얼굴,față
10,Gesicht::N,얼굴,figură
11,Stirn::N,이마,frunte
12,Haar::N,털,păr
13,Schnurrbart::N,윗수몀,mustață
14,Schnurrbart::N,코밑수염,mustață
15,Bart::N,수엄,barbă
16,Kinn::N,아래턱,bărbie
17,Kiefer[Anatomie]::N,턱,falcă
18,Kehle::N,인후,beregată
19,Hals::N,목,gât
20,Genick::N,먹덜이,ceafă
21,Kopf::N,머리,cap
22,Rücken::N,든,dos
23,Rücken::N,든,spate
24,Rücken::N,든,spinare
25,Bauch::N,배,burtă
26,Bauch::N,배,pântece
27,Nabel::N,배꼽,buric
28,Busen::N,가슴속,sân
29,Brust::N,가슴,piept
30,Schulter::N,어깨,umăr
31,Schulter::N,어깨,spate
32,Arm::N,팔,braț
33,Ellenbogen::N,팔쿰치,cot
34,Hand::N,손,mână
35,Handfläche::N,손바닥,palmă
36,Finger::N,속가락,deget
37,Fingernagel::N,손톱,unghie
38,Nagel[Anatomie]::N,손톱,unghie
39,Zeh::N,발가락,deget de la picior
40,Fuß::N,발,picior
41,Ferse::N,발꿈치,călcâi
42,Knie::N,무릎,genunchi
43,Oberschenkel::N,허벅다리,coapsă
44,Bein::N,다리,picior
45,Körper::N,구간,corp
46,Haut::N,살갗,piele
47,Blut::N,피,sânge
48,Ader::N,정맥,vână
49,Ader::N,정맥,arteră
50,Sehne::N,현,tendon
51,Knochen::N,뼈,os
52,Gehirn::N,뇌,creier
53,Gehirn::N,뇌수,creier
54,Herz::N,염통,inimă
55,Magen::N,위,stomac
56,Leber::N,간,ficat
57,Atem::N,기식,răsuflare
58,Atem::N,기식,respirație
59,Hunger::N,공복,foame
60,Träne::N,눈물,lacrimă
61,Geschmack::N,기호,gust
62,Geruch::N,냄새,miros
63,Schlaf::N,수면,somn
64,Traum::N,쿰,vis
65,Himmel::N,하늘,cer
66,Sonne::N,해,soare
67,Mond::N,달,lună
68,Stern::N,별,stea
69,Luft::N,동준,aer
70,Luft::N,가스채,aer
71,Wind::N,바람,vânt
72,Welle::N,물결,val
73,Welle::N,물결,undă
74,Wasser::N,물,apă
75,Stein::N,돌,piatră
76,Boden::N,바닥,sol
77,Boden::N,바닥,pământ
78,Erde::N,흙,pământ
79,Staub::N,먼지,praf
80,Rauch::N,연기,fum
81,Funke::N,불티,scânteie
82,Feuer::N,불,foc
83,Licht::N,불,lumină
84,Schatten::N,어스레함,umbră
85,Wetter::N,기상,timp
86,Wetter::N,기상,vreme
87,Nebel::N,안개,ceață
88,Nebel::N,안개,negură
89,Wolke::N,구름,nor
90,Regen::N,비,ploaie
91,Schnee::N,눈,zăpadă
92,Eis::N,얼음,gheață
93,Frost::N,혹한,ger
94,Kälte::N,추위,frig
95,Kälte::N,차가움,frig
96,Hitze::N,고온,arșiță
97,Hitze::N,고온,căldură
