,Concept_ID,ja,mdf
0,Auge::N,目,сельме
1,Ohr::N,耳,пиле
2,Nase::N,鼻,шалхка
3,Mund::N,口,курга
4,Zahn::N,歯,пей
5,Zunge::N,舌,кяль
6,Lippe::N,唇,търва́
7,Wange::N,頬,щёка
8,Gesicht::N,顔,шама
9,Stirn::N,額,коня
10,Haar::N,髪,шя́ярь
11,Schnurrbart::N,口髭,уса́
12,Bart::N,髭,сакал
13,Kinn::N,顎,ула
14,Kiefer[Anatomie]::N,顎,саласка
15,Kehle::N,喉,кълдома
16,Kehle::N,喉,кърга́парь
17,Hals::N,首,сялдаз
18,Genick::N,首,шовонь
19,Kopf::N,頭,пря
20,Rücken::N,背中,копорь
21,Bauch::N,腹,пеке
22,Bauch::N,お腹,пеке
23,Nabel::N,へそ,по́кон
24,Busen::N,乳房,потя
25,Brust::N,胸,мяште
26,Schulter::N,肩,лафту
27,Arm::N,腕,кядь
28,Ellenbogen::N,肘,кенерьба́карь
29,Hand::N,手,кядь
30,Handfläche::N,手のひら,кядьлапш
31,Finger::N,指,сур
32,Fingernagel::N,爪,кенже
33,Nagel[Anatomie]::N,爪,кенже
34,Zeh::N,足の指,пильгосу́р
35,Fuß::N,足,пильге
36,Fuß::N,足,пильгелапа
37,Ferse::N,かかと,кочкяря
38,Knie::N,膝,эль
39,Knie::N,膝,пълма́нжа
40,Oberschenkel::N,上腿,пильгепукша
41,Bein::N,足,пильге
42,Körper::N,体,ро́нга
43,Körper::N,体,по́нда
44,Haut::N,皮膚,киське
45,Blut::N,血,вер
46,Ader::N,血管,сан
47,Ader::N,血管,верза́н
48,Sehne::N,腱,коське сан
49,Knochen::N,骨,пакарь
50,Gehirn::N,脳,уй
51,Herz::N,心,седи
52,Herz::N,心臓,седи
53,Magen::N,胃,коткърдазь
54,Leber::N,肝臓,макса
55,Atem::N,息,лекома
56,Atem::N,息,ваймонь тарксема
57,Atem::N,呼吸,лекома
58,Atem::N,呼吸,ваймонь тарксема
59,Hunger::N,空腹,вачеши
60,Träne::N,涙,сельмове́дь
61,Geschmack::N,味,таньф
62,Geruch::N,匂い,шине
63,Schlaf::N,睡眠,удома́
64,Traum::N,夢,он
65,Himmel::N,空,менель
66,Sonne::N,太陽,ши
67,Mond::N,月,ков
68,Stern::N,星,тяште
69,Luft::N,空気,кожф
70,Wind::N,風,варма
71,Welle::N,波,тавла
72,Wasser::N,水,ведь
73,Stein::N,石,кев
74,Boden::N,土地,мода
