,Concept_ID,sq,lv
0,Auge::N,sy,син
1,Auge::N,sy,acs
2,Ohr::N,vesh,пель
3,Ohr::N,vesh,auss
4,Nase::N,hundë,ныр
5,Nase::N,hundë,deguns
6,Mund::N,gojë,вом
7,Mund::N,gojë,mute
8,Zahn::N,dhëmb,пинь
9,Zahn::N,dhëmb,zobs
10,Zunge::N,gjuhë,кыв
11,Zunge::N,gjuhë,mēle
12,Lippe::N,buzë,вом дор
13,Lippe::N,buzë,lūpa
14,Wange::N,faqe,бан
15,Wange::N,faqe,vaigs
16,Wange::N,mollëz,бан
17,Wange::N,mollëz,vaigs
18,Gesicht::N,fytyrë,чужӧм
19,Gesicht::N,fytyrë,seja
20,Gesicht::N,fytyrë,ģīmis
21,Stirn::N,ballë,плеш
22,Stirn::N,ballë,кымӧс
23,Stirn::N,ballë,piere
24,Haar::N,flokë,си
25,Haar::N,flokë,юрси
26,Haar::N,flokë,mats
27,Schnurrbart::N,mustaqe,ус
28,Schnurrbart::N,mustaqe,пыртсим
29,Schnurrbart::N,mustaqe,ūsas
30,Bart::N,mjekër,тош
31,Bart::N,mjekër,bārda
32,Kinn::N,mjekër,тшӧка
33,Kinn::N,mjekër,zods
34,Kinn::N,mjekër,smakrs
35,Kiefer[Anatomie]::N,nofull,черлы
36,Kiefer[Anatomie]::N,nofull,алака лы
37,Kiefer[Anatomie]::N,nofull,вомкӧтш лы
38,Kiefer[Anatomie]::N,nofull,žoklis
39,Kehle::N,fyt,голя
40,Kehle::N,fyt,rīkle
41,Kehle::N,grykë,голя
42,Kehle::N,grykë,rīkle
43,Hals::N,qafë,сьылі
44,Hals::N,qafë,kakls
45,Genick::N,arrëz,юрбӧр
46,Genick::N,arrëz,балябӧж
47,Genick::N,arrëz,sprands
48,Kopf::N,kokë,юр
49,Kopf::N,kokë,galva
50,Rücken::N,kurriz,мыш
51,Rücken::N,kurriz,mugura
52,Bauch::N,bark,рушку
53,Bauch::N,bark,vēders
54,Nabel::N,kërthizë,гӧг
55,Nabel::N,kërthizë,naba
56,Busen::N,gji,морӧс
57,Busen::N,gji,krūts
58,Brust::N,gjoks,морӧс
59,Brust::N,gjoks,krūts
60,Brust::N,kraharor,морӧс
61,Brust::N,kraharor,krūts
62,Schulter::N,sup,пельпом
63,Schulter::N,sup,plecs
64,Schulter::N,krah,пельпом
65,Schulter::N,krah,plecs
66,Arm::N,krah,ки
67,Arm::N,krah,roka
68,Arm::N,krah,delms
69,Ellenbogen::N,bërryl,гырддза
70,Ellenbogen::N,bërryl,elkonis
71,Hand::N,dorë,ки
72,Hand::N,dorë,roka
73,Hand::N,dorë,plauksta
74,Handfläche::N,pëllëmbë,ки пыдӧс
75,Handfläche::N,pëllëmbë,delna
76,Handfläche::N,pëllëmbë,plauksta
77,Finger::N,gisht,чунь
78,Finger::N,gisht,pirksts
79,Fingernagel::N,thua,гыж
80,Fingernagel::N,thua,nags
81,Nagel[Anatomie]::N,thua,гыж
82,Nagel[Anatomie]::N,thua,nags
83,Zeh::N,gisht i këmbës,кок чунь
84,Zeh::N,gisht i këmbës,pirksts
85,Fuß::N,këmbë,кок
86,Fuß::N,këmbë,kāja
87,Ferse::N,thembër,кокбӧр
88,Ferse::N,thembër,papēdis
89,Knie::N,gju,пидзӧс
90,Knie::N,gju,celis
91,Oberschenkel::N,kofshë,лядьвей
92,Oberschenkel::N,kofshë,бек
93,Oberschenkel::N,kofshë,ciska
94,Oberschenkel::N,kofshë,augšstilbs
95,Bein::N,këmbë,кок
96,Bein::N,këmbë,kāja
97,Körper::N,trup,туша
98,Körper::N,trup,вывтыр
99,Körper::N,trup,miesa
100,Körper::N,trup,ķermenis
101,Haut::N,lëkurë,ку
102,Haut::N,lëkurë,āda
103,Blut::N,gjak,вир
104,Blut::N,gjak,asins
105,Ader::N,venë,сӧн
106,Ader::N,venë,asinsvads
107,Sehne::N,dell,вез
108,Sehne::N,dell,dzīsla
109,Knochen::N,asht,лы
110,Knochen::N,asht,kauls
111,Knochen::N,kockë,лы
112,Knochen::N,kockë,kauls
113,Gehirn::N,tru,вем
114,Gehirn::N,tru,smadzenes
115,Herz::N,zemër,сьӧлӧм
116,Herz::N,zemër,sirds
117,Magen::N,stomak,кынӧм
118,Magen::N,stomak,kuņģis
119,Leber::N,mëlçi,мус
120,Leber::N,mëlçi,aknas
121,Atem::N,frymë,лов
122,Atem::N,frymë,elpa
123,Hunger::N,uri,тшыг
124,Hunger::N,uri,bads
125,Hunger::N,uri,izsalkums
126,Träne::N,lot,синва
127,Träne::N,lot,asara
128,Geschmack::N,shije,кӧр
129,Geschmack::N,shije,чӧсмӧс
130,Geschmack::N,shije,garša
131,Geruch::N,erë,зын
132,Geruch::N,erë,дук
133,Geruch::N,erë,smaka
134,Schlaf::N,gjumë,узьӧм
135,Schlaf::N,gjumë,miegs
136,Traum::N,ëndërr,вӧт
137,Traum::N,ëndërr,вӧтасьӧм
138,Traum::N,ëndërr,sapnis
139,Himmel::N,qiell,енэж
140,Himmel::N,qiell,debess
141,Sonne::N,diell,шонді
142,Sonne::N,diell,saule
143,Mond::N,hënë,тӧлысь
144,Mond::N,hënë,mēness
145,Stern::N,yll,кодзув
146,Stern::N,yll,zvaigzne
147,Luft::N,ajër,сынӧд
148,Luft::N,ajër,gaiss
149,Wind::N,erë,тӧв
150,Wind::N,erë,vējš
151,Welle::N,valë,гы
152,Welle::N,valë,vilnis
153,Welle::N,dallgë,гы
154,Welle::N,dallgë,vilnis
155,Wasser::N,ujë,ва
156,Wasser::N,ujë,ūdens
157,Stein::N,gur,из
158,Stein::N,gur,akmens
159,Boden::N,tokë,му
160,Boden::N,tokë,augsne
161,Boden::N,truall,му
162,Boden::N,truall,augsne
163,Erde::N,dhe,му
164,Erde::N,dhe,му-ва
165,Erde::N,dhe,zeme
166,Erde::N,baltë,му
167,Erde::N,baltë,му-ва
168,Erde::N,baltë,zeme
169,Staub::N,pluhur,бус
170,Staub::N,pluhur,putekļi
171,Rauch::N,tym,тшын
172,Rauch::N,tym,dūmi
173,Funke::N,xixë,кинь
174,Funke::N,xixë,би кинь
175,Funke::N,xixë,dzirkstele
176,Funke::N,shkëndijë,кинь
177,Funke::N,shkëndijë,би кинь
178,Funke::N,shkëndijë,dzirkstele
179,Feuer::N,zjarr,би
180,Feuer::N,zjarr,uguns
181,Licht::N,dritë,югӧр
182,Licht::N,dritë,gaisma
183,Schatten::N,hije,вуджӧр
184,Schatten::N,hije,ēna
185,Wetter::N,mot,поводдя
186,Wetter::N,mot,laiks
187,Nebel::N,mjegull,ру
188,Nebel::N,mjegull,онь
189,Nebel::N,mjegull,migla
190,Wolke::N,re,кымӧр
191,Wolke::N,re,mākonis
192,Regen::N,shi,зэр
193,Regen::N,shi,lietus
194,Schnee::N,borë,лым
195,Schnee::N,borë,sniegs
196,Eis::N,akull,йи
197,Eis::N,akull,ledus
198,Frost::N,ngricë,кӧдзыд
199,Frost::N,ngricë,sals
200,Kälte::N,të ftohtë,кӧдзыд
201,Kälte::N,të ftohtë,saltums
202,Kälte::N,të ftohtë,aukstums
203,Hitze::N,vapë,пӧсь
204,Hitze::N,vapë,гожӧд
205,Hitze::N,vapë,karstums
206,Hitze::N,nxehtësi,пӧсь
207,Hitze::N,nxehtësi,гожӧд
208,Hitze::N,nxehtësi,karstums
209,Raureif::N,cikmë,пуж
210,Raureif::N,cikmë,гыӧр
211,Raureif::N,cikmë,sarma
212,Regenbogen::N,ylber,ӧшкамӧшка
213,Regenbogen::N,ylber,varavīksne
214,Donner::N,gjëmim,гым
215,Donner::N,gjëmim,pērkons
216,Donner::N,bubullimë,гым
217,Donner::N,bubullimë,pērkons
218,Strömung::N,rrymë,ва ныр
219,Strömung::N,rrymë,визувтӧм
220,Strömung::N,rrymë,straume
221,Strömung::N,rrymë,strāvojums
222,Tropfen::N,pikë,войт
223,Tropfen::N,pikë,lāse
224,Schaum::N,shkumë,быг
225,Schaum::N,shkumë,быгзьӧм
226,Schaum::N,shkumë,putas
227,Schmutz::N,baltë,няйт
228,Schmutz::N,baltë,dubļi
229,See::N,liqen,ты
230,See::N,liqen,ezers
231,Sumpf::N,batak,гыбад
232,Sumpf::N,batak,кад
233,Sumpf::N,batak,dumbrājs
234,Sumpf::N,batak,staignājs
235,Moor::N,kënetë,нюр
236,Moor::N,kënetë,purvs
237,Moor::N,kënetë,muklājs
238,Wiese::N,livadh,видз
239,Wiese::N,livadh,pļava
240,Wald::N,pyll,вӧр
241,Wald::N,pyll,mežs
242,Hügel::N,kodër,дзиб
243,Hügel::N,kodër,мыльк
244,Hügel::N,kodër,нӧрыс
245,Hügel::N,kodër,paugurs
246,Anhöhe::N,bregore,мыльк
247,Anhöhe::N,bregore,нӧрыс
248,Anhöhe::N,bregore,paugurs
249,Berg::N,mal,чой
250,Berg::N,mal,керӧс
251,Berg::N,mal,kalns
252,Gipfel::N,kulm,чук
253,Gipfel::N,kulm,virsotne
254,Höhle::N,shpellë,рудӧг
255,Höhle::N,shpellë,ala
256,Höhle::N,zgafelle,рудӧг
257,Höhle::N,zgafelle,ala
258,Abhang::N,shpat,ньывк
259,Abhang::N,shpat,бокша
260,Abhang::N,shpat,nogāze
261,Abhang::N,tatëpjetë,ньывк
262,Abhang::N,tatëpjetë,бокша
263,Abhang::N,tatëpjetë,nogāze
264,Quelle::N,krua,ӧшмӧс
265,Quelle::N,krua,avots
266,Quelle::N,burim,ӧшмӧс
267,Quelle::N,burim,avots
268,Bach::N,virua,шор
269,Bach::N,virua,urga
270,Bach::N,virua,strauts
271,Fluss::N,lumë,ю
272,Fluss::N,lumë,upe
273,Ufer::N,breg,вадор
274,Ufer::N,breg,krasts
275,Küste::N,anëdet,вадор
276,Küste::N,anëdet,piekraste
277,Küste::N,bregdet,вадор
278,Küste::N,bregdet,piekraste
279,Festland::N,kontinent,му
280,Festland::N,kontinent,sauszeme
281,Meer::N,det,саридз
282,Meer::N,det,jūra
283,Bucht::N,gji deti,куръя
284,Bucht::N,gji deti,līcis
285,Insel::N,ishull,ді
286,Insel::N,ishull,sala
287,Insel::N,ujdhesë,ді
288,Insel::N,ujdhesë,sala
289,Blume::N,lule,дзоридз
290,Blume::N,lule,puķe
291,Blume::N,lule,zieds
292,Gras::N,bar,турун
293,Gras::N,bar,zāle
294,Wurzel::N,rrënjë,вуж
295,Wurzel::N,rrënjë,sakne
296,Baum::N,pemë,пу
