,Concept_ID,mdf,tr
0,Auge::N,сельме,göz
1,Ohr::N,пиле,kulak
2,Nase::N,шалхка,burun
3,Mund::N,курга,ağız
4,Zahn::N,пей,diş
5,Zunge::N,кяль,dil
6,Lippe::N,търва́,dudak
7,Wange::N,щёка,yanak
8,Gesicht::N,шама,yüz
9,Stirn::N,коня,alın
10,Haar::N,шя́ярь,saç
11,Schnurrbart::N,уса́,bıyık
12,Bart::N,сакал,sakal
13,Kinn::N,ула,çene
14,Kiefer[Anatomie]::N,саласка,çene
15,Kehle::N,кълдома,boğaz
16,Kehle::N,кърга́парь,boğaz
17,Hals::N,сялдаз,boyun
18,Hals::N,сялдаз,gerdan
19,Genick::N,шовонь,ense
20,Kopf::N,пря,baş
21,Kopf::N,пря,kafa
22,Rücken::N,копорь,arka
23,Bauch::N,пеке,karın
24,Nabel::N,по́кон,göbek
25,Busen::N,потя,koyun
26,Brust::N,мяште,göğüs
27,Schulter::N,лафту,omuz
28,Arm::N,кядь,kol
29,Ellenbogen::N,кенерьба́карь,dirsek
30,Hand::N,кядь,el
31,Handfläche::N,кядьлапш,avuç
32,Handfläche::N,кядьлапш,el ayası
33,Finger::N,сур,parmak
34,Fingernagel::N,кенже,el tırnağı
35,Nagel[Anatomie]::N,кенже,tırnak
36,Zeh::N,пильгосу́р,ayak parmağı
37,Fuß::N,пильге,ayak
38,Fuß::N,пильгелапа,ayak
39,Ferse::N,кочкяря,topuk
40,Knie::N,эль,diz
41,Knie::N,пълма́нжа,diz
42,Oberschenkel::N,пильгепукша,uyluk
43,Bein::N,пильге,bacak
44,Körper::N,ро́нга,vücut
45,Körper::N,по́нда,vücut
46,Haut::N,киське,cilt
47,Blut::N,вер,kan
48,Ader::N,сан,damar
49,Ader::N,верза́н,damar
50,Sehne::N,коське сан,kiriş
51,Knochen::N,пакарь,kemik
52,Gehirn::N,уй,beyin
53,Herz::N,седи,kalp
54,Herz::N,седи,yürek
55,Magen::N,коткърдазь,mide
56,Leber::N,макса,karaciğer
57,Atem::N,лекома,nefes
58,Atem::N,ваймонь тарксема,nefes
59,Hunger::N,вачеши,açlık
60,Träne::N,сельмове́дь,gözyaşı
61,Geschmack::N,таньф,tat
62,Geschmack::N,таньф,lezzet
63,Geruch::N,шине,koku
64,Schlaf::N,удома́,uyku
65,Traum::N,он,düş
66,Traum::N,он,rüya
67,Himmel::N,менель,gök
68,Sonne::N,ши,güneş
69,Mond::N,ков,ay
70,Stern::N,тяште,yıldız
71,Luft::N,кожф,hava
72,Wind::N,варма,yel
73,Wind::N,варма,rüzgâr
74,Welle::N,тавла,dalga
75,Wasser::N,ведь,su
76,Stein::N,кев,taş
77,Boden::N,мода,yer
78,Boden::N,мода,zemin
79,Boden::N,потмакс,yer
80,Boden::N,потмакс,zemin
81,Erde::N,мода,toprak
82,Erde::N,мастор,toprak
83,Staub::N,пуль,toz
84,Rauch::N,качам,duman
85,Funke::N,ця́тка,kıvılcım
86,Feuer::N,тол,ateş
87,Licht::N,ва́лда,ışık
88,Schatten::N,цильф,gölge
89,Wetter::N,уша,hava
90,Nebel::N,тума́н,pus
91,Wolke::N,ковол,bulut
92,Regen::N,пизем,yağmur
93,Schnee::N,лов,kar
94,Eis::N,эй,buz
95,Frost::N,ке́льме,don
96,Kälte::N,якшама,soğukluk
97,Hitze::N,пси,sıcaklık
98,Raureif::N,леш,kırç
99,Regenbogen::N,а́тямъёнга,gökkuşağı
100,Donner::N,атям,gök gürlemesi
101,Strömung::N,шудема́,akıntı
102,Strömung::N,шудема́,cereyan
103,Tropfen::N,путькс,damla
104,Tropfen::N,пътняфкс,damla
105,Schaum::N,шов,köpük
106,Schmutz::N,ърда́з,çamur
107,Schmutz::N,ърда́з,pislik
108,See::N,эрьхке,göl
109,Sumpf::N,шяй,batak
110,Moor::N,шяй,cılgıt
111,Wiese::N,луга,çimen
112,Wald::N,вирь,koru
113,Wald::N,вирь,orman
114,Hügel::N,губо́р,tepe
115,Hügel::N,пандоня,tepe
116,Anhöhe::N,губо́р,tümsek
117,Anhöhe::N,губо́р,yükseklik
118,Berg::N,панда,dağ
119,Gipfel::N,пря,zirve
120,Höhle::N,у́нда,in
121,Höhle::N,у́нда,mağara
122,Abhang::N,па́нда ша́ма,bayır
123,Quelle::N,эшиня,pınar
124,Quelle::N,эшиня,kaynak
125,Bach::N,шудерькс,çay
126,Bach::N,шудерькс,dere
127,Fluss::N,ляй,nehir
128,Ufer::N,търва́,kıyı
129,Ufer::N,търва́,sahil
130,Küste::N,ляйтърва́,kıyı
131,Küste::N,ляйтърва́,sahil
132,Festland::N,мода,kara
133,Meer::N,моря,deniz
134,Bucht::N,ведьуське,koy
135,Bucht::N,ведьуське,körfez
136,Insel::N,цёнга,ada
137,Blume::N,панчф,çiçek
138,Gras::N,тише,ot
139,Gras::N,тише,çim
140,Wurzel::N,юр,kök
141,Wurzel::N,ункс,kök
142,Baum::N,шуфта,ağaç
143,Stamm::N,ро́нга,gövde
144,Rinde::N,кер,kabuk
145,Ast::N,морга,dal
146,Ast::N,морга,budak
147,Zweig::N,тарад,dal
148,Blatt::N,лопа,yaprak
149,Birke::N,ке́лу,huş
150,Kiefer[Baum]::N,пиче,çam
151,Weide[Baum]::N,каль,söğüt
152,Tanne::N,куз,çam
153,Tanne::N,куз,köknar
154,Horn::N,сюра,boynuz
155,Feder::N,толга,tüy
156,Fell::N,кедь,post
157,Flügel::N,паця,kanat
158,Klaue::N,кенже,pençe
159,Kralle::N,кенже,tırnak
160,Schwanz::N,пула,kuyruk
161,Ei::N,ал,yumurta
162,Nest::N,пиза,yuva
163,Bau::N,пиза,in
164,Tier::N,жува́та,hayvan
165,Herde::N,нал,sürü
166,Herde::N,стада,sürü
167,Kuh::N,скал,inek
168,Kuh::N,тракс,inek
169,Bulle::N,бука,boğa
170,Pferd::N,лишме,at
171,Pferd::N,лишме,beygir
172,Schaf::N,уча́,koyun
173,Schwein::N,тува,domuz
174,Hund::N,пине,it
175,Hund::N,пине,köpek
176,Katze::N,катоня,kedi
177,Katze::N,аваката,kedi
178,Bär::N,офта,ayı
179,Eichhörnchen::N,ур,sincap
180,Elch::N,ся́рда,büyük kuzey geyiği
181,Fuchs::N,келазь,tilki
182,Hase::N,ну́мол,tavşan
183,Maus::N,шеер,fare
184,Maus::N,шеер,sıçan
185,Wolf::N,върьгаз,kurt
186,Vogel::N,нармонь,kuş
187,Schwarm::N,ко́вол,sürü
188,Schwarm::N,ме́швеле,sürü
189,Huhn::N,сараз,tavuk
190,Hahn::N,а́тякш,horoz
191,Gans::N,маци,kaz
192,Adler::N,куцькан,kartal
193,Adler::N,куцькан,karakuş
194,Ente::N,яксярга,ördek
195,Eule::N,ко́рож,baykuş
196,Kranich::N,ка́рга,turna
197,Krähe::N,ва́рси,karga
198,Kuckuck::N,ку́ку,guguk
199,Schwan::N,ло́ксти,kuğu
200,Fisch::N,кал,balık
201,Barsch::N,о́кунь,hani
202,Barsch::N,о́кунь,levrek
203,Hecht::N,щу́ка,turnabalığı
204,Schlange[Tier]::N,куй,yılan
205,Wurm::N,сукс,kurt
206,Wurm::N,сукс,solucan
207,Spinne::N,унжа́,örümcek
208,Ameise::N,панжам,karınca
209,Laus::N,си,bit
210,Mücke::N,ся́ське,sivrisinek
211,Fliege::N,кару,sinek
