,Concept_ID,hi,ku
0,Auge::N,आँख,çav
1,Auge::N,चक्षु,çav
2,Ohr::N,कान,guh
3,Ohr::N,कर्ण,guh
4,Nase::N,नाक,bêvil
5,Nase::N,नासा,bêvil
6,Mund::N,मुख,dev
7,Mund::N,मुँह,dev
8,Zahn::N,दंत,didan
9,Zahn::N,दाँत,didan
10,Zunge::N,जीभ,ziman
11,Zunge::N,ज़बान,ziman
12,Zunge::N,जिह्वा,ziman
13,Lippe::N,ओंठ,lêv
14,Lippe::N,होंठ,lêv
15,Wange::N,गाल,dêm
16,Wange::N,गाल,hinarik
17,Wange::N,कपोल,dêm
18,Wange::N,कपोल,hinarik
19,Gesicht::N,मुँह,rû
20,Gesicht::N,चेहरा,rû
21,Stirn::N,माथा,enî
22,Stirn::N,मस्तक,enî
23,Haar::N,बाल,por
24,Schnurrbart::N,मूँछें,simbêl
25,Bart::N,दाढ़ी,rih
26,Kinn::N,चिबुक,zenî
27,Kiefer[Anatomie]::N,जबड़ा,arguşk
28,Kehle::N,गला,qirik
29,Hals::N,गला,stû
30,Hals::N,गला,qirik
31,Hals::N,गरदन,stû
32,Hals::N,गरदन,qirik
33,Genick::N,गरदन,stû
34,Genick::N,ग्रीवा,stû
35,Kopf::N,सिर,serî
36,Kopf::N,शीर्ष,serî
37,Rücken::N,पीठ,pişt
38,Bauch::N,उदर,ûr
39,Bauch::N,उदर,zik
40,Nabel::N,नाभि,navik
41,Nabel::N,ढोंढी,navik
42,Busen::N,कुच,sîng
43,Busen::N,स्तन,sîng
44,Brust::N,वक्ष,sîng
45,Schulter::N,कंधा,mil
46,Schulter::N,स्कंध,mil
47,Arm::N,बाँह,çepil
48,Arm::N,बाज़ू,çepil
49,Ellenbogen::N,कुहनी,enîşk
50,Hand::N,हाथ,dest
51,Hand::N,हस्त,dest
52,Handfläche::N,हथेली,kefadest
53,Finger::N,उँगली,tilî
54,Finger::N,अँगुली,tilî
55,Fingernagel::N,नख,neynuk
56,Fingernagel::N,नाख़ून,neynuk
57,Nagel[Anatomie]::N,नख,bizmar
58,Nagel[Anatomie]::N,नाख़ून,bizmar
59,Zeh::N,उँगली,tilî linga
60,Zeh::N,पाँव की उँगली,tilî linga
61,Fuß::N,चरण,ling
62,Fuß::N,पाँव,ling
63,Ferse::N,एड़ी,pahnî
64,Knie::N,जानु,kabok
65,Knie::N,घुटना,kabok
66,Oberschenkel::N,उरु,rahn
67,Bein::N,टाँग,çip
68,Körper::N,तन,laş
69,Körper::N,तन,gowde
70,Körper::N,देह,laş
71,Körper::N,देह,gowde
72,Körper::N,शरीर,laş
73,Körper::N,शरीर,gowde
74,Haut::N,चर्म,çerm
75,Haut::N,त्वचा,çerm
76,Blut::N,लहू,xwîn
77,Blut::N,ख़ून,xwîn
78,Ader::N,रग,reh
79,Ader::N,शिरा,reh
80,Sehne::N,कंडरा,reh
81,Sehne::N,स्नायु,reh
82,Knochen::N,अस्थि,hestî
83,Gehirn::N,दिमाग़,mêjî
84,Gehirn::N,मस्तिष्क,mêjî
85,Herz::N,दिल,dil
86,Herz::N,हृदय,dil
87,Magen::N,मेदा,navêş
88,Magen::N,अमाशय,navêş
89,Leber::N,जिगर,kezeb
90,Leber::N,यकृत्,kezeb
91,Atem::N,दम,hilm
92,Atem::N,साँस,hilm
93,Atem::N,श्वास,hilm
94,Hunger::N,भूख,birçîtî
95,Hunger::N,क्षुधा,birçîtî
96,Träne::N,आँसू,hêstir
97,Träne::N,अश्रु,hêstir
98,Geschmack::N,स्वाद,tam
99,Geschmack::N,ज़ायक़ा,tam
100,Geruch::N,बू,bêhn
101,Geruch::N,गंध,bêhn
102,Schlaf::N,नींद,xew
103,Schlaf::N,निद्रा,xew
104,Traum::N,सपना,xewn
105,Traum::N,स्वप्न,xewn
106,Himmel::N,आकाश,ezman
107,Himmel::N,आसमान,ezman
108,Sonne::N,रवि,roj
109,Sonne::N,सूरज,roj
110,Sonne::N,सूर्य,roj
111,Mond::N,चाँद,heyv
112,Mond::N,चंद्र,heyv
113,Stern::N,तारा,stêrk
114,Stern::N,सितारा,stêrk
115,Luft::N,हवा,ba
116,Luft::N,वायु,ba
117,Wind::N,पाद,ba
118,Welle::N,लहर,şewl
119,Welle::N,तरंग,şewl
120,Wasser::N,जल,av
121,Wasser::N,पानी,av
122,Stein::N,पत्थर,kevir
123,Boden::N,मिट्टी,herd
124,Erde::N,भूमि,ax
125,Erde::N,ज़मीन,ax
126,Staub::N,धूल,toz
127,Rauch::N,धूआँ,dû
128,Rauch::N,धुम्र,dû
129,Funke::N,चिनगारी,çirûşk
130,Funke::N,स्फुलिंग,çirûşk
131,Feuer::N,आग,agir
132,Feuer::N,आतिश,agir
133,Feuer::N,अग्नि,agir
134,Licht::N,रोशनी,ronahî
135,Licht::N,प्रकाश,ronahî
136,Schatten::N,छाया,sî
137,Schatten::N,परछाई,sî
138,Wetter::N,ऋतु,hewa
139,Wetter::N,मौसम,hewa
140,Nebel::N,धुँध,mij
141,Nebel::N,कुहरा,mij
142,Wolke::N,मेघ,ewr
143,Wolke::N,अभ्र,ewr
144,Regen::N,मेंह,baran
145,Regen::N,बारिश,baran
146,Schnee::N,हिम,berf
147,Schnee::N,बर्फ़,berf
148,Eis::N,हिम,qeşa
149,Eis::N,बर्फ़,qeşa
150,Frost::N,ठंड,xûsik
151,Kälte::N,सर्दी,serma
152,Kälte::N,शीतलता,serma
153,Hitze::N,ताप,germayî
154,Hitze::N,गरमी,germayî
155,Raureif::N,पाला,şext
156,Regenbogen::N,इंद्र-धनुष,heftreng
157,Donner::N,गरज,gire-gir
158,Donner::N,मेघ-गर्जन,gire-gir
159,Strömung::N,बहाव,şewl
160,Strömung::N,प्रवाह,şewl
161,Tropfen::N,बूँद,dilop
162,Schaum::N,झाग,kef
163,Schmutz::N,गंद,gemar
164,Schmutz::N,कीचड़,gemar
165,See::N,झील,gol
166,See::N,सरोवर,gol
167,Sumpf::N,दलदल,hezek
168,Sumpf::N,धँसान,hezek
169,Moor::N,झाबर,mafêl
170,Moor::N,धँसान,mafêl
171,Wiese::N,घास-स्थल,sûrik
172,Wald::N,जंगल,çiya
173,Wald::N,जंगल,daristan
174,Hügel::N,टीला,gir
175,Hügel::N,पहाड़,gir
176,Anhöhe::N,टीला,sere gir
177,Anhöhe::N,पहाड़ी,sere gir
178,Berg::N,पहाड़,kaş
179,Gipfel::N,शिखर,sere gir
180,Höhle::N,गुहा,şikeft
181,Höhle::N,गुफ़ा,şikeft
182,Abhang::N,ढाल,kaş
183,Abhang::N,ढलान,kaş
184,Quelle::N,चश्मा,kanî
185,Bach::N,सोता,çem
186,Bach::N,नदिका,çem
187,Fluss::N,नदी,çem
188,Fluss::N,नदी,rûbar
189,Fluss::N,सरिता,çem
