,Concept_ID,zh,os
0,Auge::N,眼睛,цӕст
1,Ohr::N,耳朵,хъус
2,Nase::N,鼻子,фындз
3,Mund::N,嘴,дзых
4,Zahn::N,牙齿,дӕндаг
5,Zunge::N,舌头,ӕвзаг
6,Lippe::N,嘴唇,был
7,Wange::N,面颊,рус
8,Wange::N,面颊,уадул
9,Wange::N,面颊,ӕхсӕрфарс
10,Gesicht::N,脸,цӕсгом
11,Stirn::N,额,ных
12,Haar::N,头发,хил
13,Schnurrbart::N,髭须,рихи
14,Bart::N,胡子,зачъе
15,Kinn::N,下巴,роцъо
16,Kiefer[Anatomie]::N,颌,ӕфсӕр
17,Kehle::N,嗓子,хъуыр
18,Hals::N,颈,къубал
19,Genick::N,后颈,къӕбут
20,Kopf::N,头,сӕр
21,Rücken::N,背,фӕсонтӕ
22,Bauch::N,肚子,гуыбын
23,Nabel::N,肚脐,бикъ
24,Busen::N,胸脯,дзидзи
25,Brust::N,胸,риу
26,Schulter::N,肩膀,уӕхск
27,Arm::N,臂膀,цонг
28,Ellenbogen::N,肘,рæмбын
29,Hand::N,手,къух
30,Handfläche::N,手掌,армытъӕпӕн
31,Finger::N,手指,ӕнруылдз
32,Fingernagel::N,指甲,ных
33,Nagel[Anatomie]::N,指甲,ных
34,Zeh::N,脚趾,къух
35,Fuß::N,脚,фад
36,Ferse::N,后跟,зӕвӕт
37,Knie::N,膝,уӕраг
38,Oberschenkel::N,大腿,агъд
39,Bein::N,腿,зӕнг
40,Körper::N,身体,буар
41,Haut::N,皮肤,царм
42,Blut::N,血,туг
43,Ader::N,血管,дадзин
44,Ader::N,血管,тугдадзин
45,Sehne::N,腱,хъиутæ
46,Sehne::N,腱,нуар
47,Knochen::N,骨,стӕг
48,Gehirn::N,脑,магъз
49,Herz::N,心,зӕрдӕ
50,Magen::N,胃,ахсӕн
51,Leber::N,肝,игæр
52,Atem::N,呼吸,улӕфт
53,Hunger::N,饿,стонг
54,Träne::N,眼泪,цæссыг
55,Geschmack::N,味道,ад
56,Geruch::N,气味,смаг
57,Schlaf::N,睡眠,хуыссӕг
58,Traum::N,梦,фын
59,Himmel::N,天空,арв
60,Himmel::N,天空,уӕларв
61,Sonne::N,太阳,хур
62,Mond::N,月亮,мӕй
63,Stern::N,星,стъалы
64,Luft::N,空气,уӕлдӕф
65,Wind::N,风,дымгӕ
66,Welle::N,波,уылӕн
67,Wasser::N,水,дон
