,Concept_ID,ku,cy
0,Auge::N,çav,llygad
1,Ohr::N,guh,clust
2,Nase::N,bêvil,trwyn
3,Mund::N,dev,ceg
4,Zahn::N,didan,dant
5,Zunge::N,ziman,tafod
6,Lippe::N,lêv,gwefus
7,Wange::N,dêm,boch
8,Wange::N,hinarik,boch
9,Gesicht::N,rû,wyneb
10,Stirn::N,enî,talcen
11,Haar::N,por,blew
12,Schnurrbart::N,simbêl,mwstas
13,Bart::N,rih,barf
14,Kinn::N,zenî,gên
15,Kiefer[Anatomie]::N,arguşk,gên
16,Kehle::N,qirik,gwddf
17,Hals::N,stû,gwddf
18,Hals::N,qirik,gwddf
19,Genick::N,stû,gwar
20,Genick::N,stû,gwegil
21,Kopf::N,serî,pen
22,Rücken::N,pişt,cefn
23,Bauch::N,ûr,bol
24,Bauch::N,zik,bol
25,Nabel::N,navik,bogail
26,Busen::N,sîng,bron
27,Brust::N,sîng,brest
28,Schulter::N,mil,ysgwydd
29,Arm::N,çepil,braich
30,Ellenbogen::N,enîşk,penelin
31,Hand::N,dest,llaw
32,Handfläche::N,kefadest,palf
33,Finger::N,tilî,bys
34,Fingernagel::N,neynuk,ewin
35,Nagel[Anatomie]::N,bizmar,ewin
36,Zeh::N,tilî linga,bys troed
37,Fuß::N,ling,troed
38,Ferse::N,pahnî,sawdl
39,Knie::N,kabok,glin
40,Oberschenkel::N,rahn,clun
41,Bein::N,çip,coes
42,Körper::N,laş,corff
43,Körper::N,gowde,corff
44,Haut::N,çerm,croen
45,Blut::N,xwîn,gwaed
46,Ader::N,reh,gwythïen
47,Sehne::N,reh,gewyn
48,Knochen::N,hestî,asgwrn
49,Gehirn::N,mêjî,ymennydd
50,Herz::N,dil,calon
51,Magen::N,navêş,cylla
52,Magen::N,navêş,stumog
53,Leber::N,kezeb,iau
54,Atem::N,hilm,anadl
55,Hunger::N,birçîtî,newyn
56,Träne::N,hêstir,deigryn
57,Geschmack::N,tam,cyflas
58,Geruch::N,bêhn,aroglau
59,Schlaf::N,xew,cwsg
60,Traum::N,xewn,breuddwyd
61,Himmel::N,ezman,awyr
62,Sonne::N,roj,haul
