,Concept_ID,cv,sq
0,Auge::N,куҫ,sy
1,Ohr::N,хӑлха,vesh
2,Nase::N,сӑмса,hundë
3,Mund::N,ҫӑвар,gojë
4,Zahn::N,шӑл,dhëmb
5,Zunge::N,чӗлхе,gjuhë
6,Lippe::N,тута,buzë
7,Wange::N,пит ҫӑмарти,faqe
8,Wange::N,пит ҫӑмарти,mollëz
9,Gesicht::N,пит,fytyrë
10,Gesicht::N,пит-куҫ,fytyrë
11,Stirn::N,ҫамка,ballë
12,Haar::N,ҫӳҫ,flokë
13,Schnurrbart::N,усси,mustaqe
14,Bart::N,сухал,mjekër
15,Kinn::N,янах,mjekër
16,Kiefer[Anatomie]::N,янах,nofull
17,Kehle::N,пыр,fyt
18,Kehle::N,пыр,grykë
19,Kehle::N,карланкӑ,fyt
20,Kehle::N,карланкӑ,grykë
21,Hals::N,пыр,qafë
22,Genick::N,ӗнсе,arrëz
23,Kopf::N,пуҫ,kokë
24,Rücken::N,ҫурӑм,kurriz
25,Nabel::N,кӑвапа,kërthizë
26,Busen::N,кӑкӑр,gji
27,Brust::N,умӗ,gjoks
28,Brust::N,умӗ,kraharor
29,Schulter::N,хул пуҫҫи,sup
30,Schulter::N,хул пуҫҫи,krah
31,Arm::N,алӑ,krah
32,Ellenbogen::N,чавса,bërryl
33,Hand::N,алӑ сыппи,dorë
34,Handfläche::N,ал лаппи,pëllëmbë
35,Finger::N,пӳрне,gisht
36,Fingernagel::N,чӗрне,thua
37,Nagel[Anatomie]::N,чӗрне,thua
38,Zeh::N,пӳрне,gisht i këmbës
39,Fuß::N,ура лаппи,këmbë
40,Ferse::N,кӗле,thembër
41,Knie::N,чӗркуҫҫи,gju
42,Oberschenkel::N,пӗҫӗ,kofshë
43,Bein::N,ура,këmbë
44,Körper::N,ӳт,trup
45,Körper::N,ӳт-пӳ,trup
46,Haut::N,тир,lëkurë
47,Blut::N,юн,gjak
48,Ader::N,вена,venë
49,Sehne::N,шӑнӑр,dell
50,Knochen::N,шӑмӑ,asht
51,Knochen::N,шӑмӑ,kockë
52,Gehirn::N,миме,tru
53,Herz::N,чӗре,zemër
54,Magen::N,хырӑмлӑх,stomak
55,Leber::N,пӗвер,mëlçi
56,Atem::N,сывлав,frymë
57,Hunger::N,выҫлӑх,uri
58,Träne::N,куҫҫуль,lot
59,Geschmack::N,техӗм,shije
60,Geruch::N,шӑршӑ,erë
61,Schlaf::N,ыйхӑ,gjumë
62,Traum::N,тӗлӗк,ëndërr
63,Himmel::N,пӗлӗт,qiell
64,Sonne::N,хӗвел,diell
65,Mond::N,уйӑх,hënë
66,Stern::N,ҫӑлтӑр,yll
67,Luft::N,сывлӑш,ajër
68,Wind::N,ҫил,erë
69,Welle::N,хум,valë
70,Welle::N,хум,dallgë
71,Wasser::N,шыв,ujë
72,Wasser::N,шыв-шур,ujë
73,Stein::N,чул,gur
74,Boden::N,тӑпра,tokë
75,Boden::N,тӑпра,truall
76,Erde::N,ҫӗр,dhe
77,Erde::N,ҫӗр,baltë
78,Staub::N,тусан,pluhur
79,Rauch::N,тӗтӗм,tym
80,Funke::N,хӗм,xixë
81,Funke::N,хӗм,shkëndijë
82,Feuer::N,вут,zjarr
83,Feuer::N,ҫулӑм,zjarr
84,Licht::N,ҫутӑ,dritë
85,Schatten::N,сулхӑн,hije
86,Wetter::N,ҫанталӑк,mot
87,Nebel::N,тӗтре,mjegull
88,Wolke::N,пӗлӗт,re
89,Regen::N,ҫумӑр,shi
90,Schnee::N,юр,borë
91,Eis::N,пӑр,akull
92,Frost::N,сивӗ,ngricë
93,Kälte::N,сивӗ,të ftohtë
94,Hitze::N,вӗри,vapë
95,Hitze::N,вӗри,nxehtësi
96,Hitze::N,шӑрӑх,vapë
97,Hitze::N,шӑрӑх,nxehtësi
98,Raureif::N,пас,cikmë
99,Regenbogen::N,асамат кӗперӗ,ylber
100,Donner::N,аслати,gjëmim
101,Donner::N,аслати,bubullimë
102,Strömung::N,юхӑ,rrymë
103,Tropfen::N,тумлам,pikë
104,Schaum::N,кӑпӑк,shkumë
105,Schmutz::N,пылчӑк,baltë
106,See::N,кӳлӗ,liqen
107,Sumpf::N,шур,batak
108,Sumpf::N,шурлӑх,batak
109,Moor::N,торфлӑ шурлӑх,kënetë
110,Wiese::N,улӑх,livadh
111,Wiese::N,ҫаран,livadh
112,Wald::N,вӑрман,pyll
113,Hügel::N,сӑрт,kodër
114,Hügel::N,тӗмеске,kodër
115,Anhöhe::N,сӑрт,bregore
116,Berg::N,ту,mal
117,Gipfel::N,тӳпе,kulm
118,Höhle::N,ҫӗр хӑвӑлӗ,shpellë
119,Höhle::N,ҫӗр хӑвӑлӗ,zgafelle
120,Abhang::N,тӑвайкки,shpat
121,Abhang::N,тӑвайкки,tatëpjetë
122,Quelle::N,ҫӑл куҫ,krua
123,Quelle::N,ҫӑл куҫ,burim
124,Bach::N,пӗчӗк шыв,virua
125,Fluss::N,юхан шыв,lumë
126,Ufer::N,ҫыран,breg
127,Küste::N,тинӗс ҫыранӗ,anëdet
128,Küste::N,тинӗс ҫыранӗ,bregdet
129,Festland::N,тип ҫӗр,kontinent
130,Meer::N,тинӗс,det
131,Bucht::N,тинӗс кукӑрӗ,gji deti
132,Insel::N,утрав,ishull
133,Insel::N,утрав,ujdhesë
134,Blume::N,чечек,lule
135,Gras::N,курӑк,bar
136,Wurzel::N,тымар,rrënjë
137,Baum::N,йывӑҫ,pemë
138,Stamm::N,вулӑ,trung
139,Rinde::N,хуйӑр,lëvore
140,Ast::N,турат,degë
141,Zweig::N,турат,bisk
142,Blatt::N,ҫулҫӑ,fletë
143,Blatt::N,ҫулҫӑ,gjethe
144,Birke::N,хурӑн,mështekën
145,Kiefer[Baum]::N,хыр,pishë
146,Weide[Baum]::N,хӑва,shelg
147,Tanne::N,чӑрӑш,bredh
148,Horn::N,мӑйрака,bri
149,Feder::N,тӗк,pupël
150,Fell::N,ҫӑм,lëkurë
151,Flügel::N,ҫунат,krah
152,Flügel::N,ҫунат,fletë
153,Klaue::N,чӗрне,kthetër
154,Kralle::N,ура,thua
155,Kralle::N,ура,kthetër
156,Schwanz::N,хӳре,bisht
157,Ei::N,ҫӑмарта,vezë
158,Nest::N,йӑва,fole
159,Bau::N,йӗнӗ,strofkë
160,Tier::N,выльӑх,kafshë
161,Herde::N,кӗтӳ,kope
162,Herde::N,кӗтӳ,grigjë
163,Kuh::N,ӗне,lopë
164,Bulle::N,вӑкӑр,dem
165,Pferd::N,лаша,kalë
166,Schaf::N,сурӑх,dele
167,Schwein::N,сысна,derr
168,Hund::N,йытӑ,qen
169,Katze::N,кушак,mace
170,Bär::N,упа,ari
171,Eichhörnchen::N,пакша,ketër
172,Elch::N,пӑши,dre brilopatë
173,Fuchs::N,тилӗ,dhelpër
174,Hase::N,куян,lepur
175,Hase::N,мулкач,lepur
176,Maus::N,шӑши,mi
177,Wolf::N,кашкӑр,ujk
178,Vogel::N,кайӑк,zog
179,Vogel::N,кайӑк,shpend
180,Vogel::N,вӗҫен кайӑк,zog
181,Vogel::N,вӗҫен кайӑк,shpend
182,Schwarm::N,ушкӑн,luzmë
183,Huhn::N,чӑх,pulë
184,Huhn::N,чӑхӑ,pulë
185,Hahn::N,автан,gjel
186,Hahn::N,автан,këndes
187,Gans::N,хур,patë
188,Adler::N,ӑмӑрт кайӑк,shqiponjë
189,Ente::N,кӑвакал,rosë
190,Eule::N,тӑмана,buf
191,Kranich::N,тӑрна,lejlek
192,Kranich::N,тӑрна,kurrillë
193,Krähe::N,ула курак,sorrë
194,Kuckuck::N,куккук,qyqe
195,Schwan::N,акӑш,mjellmë
196,Fisch::N,пулӑ,peshk
197,Barsch::N,уланкӑ,purtekë
198,Hecht::N,ҫӑрттан,mlysh
199,Schlange[Tier]::N,ҫӗлен,gjarpër
200,Wurm::N,ӑман,krimb
201,Spinne::N,эрешмен,marimangë
202,Ameise::N,кӑткӑ,thnegël
203,Ameise::N,кӑткӑ,milingonë
204,Laus::N,пыйтӑ,morr
205,Mücke::N,вӑрӑм туна,kunup
206,Mücke::N,вӑрӑм туна,mushkonjë
207,Fliege::N,шӑна,mizë
208,Schmetterling::N,лӗпӗш,flutur
209,Beere::N,ҫырла,frutë
210,Beere::N,ҫырла,manaferrë
211,Apfel::N,улма,mollë
212,Apfel::N,пан улми,mollë
213,Pilz::N,кӑмпа,kërpudhë
214,Zwiebel::N,сухан,qepë
215,Saat::N,вӑрӑ,farë
216,Korn::N,тӗшӗ,grurë
217,Korn::N,тӗшӗ,kokërr
218,Korn::N,пӗрчӗ,grurë
219,Korn::N,пӗрчӗ,kokërr
220,Heu::N,утӑ,sanë
221,Schale::N,хупӑ,lëkurë
222,Grube::N,шӑтӑк,gropë
223,Falle::N,тапӑ,kurth
224,Falle::N,тапӑ,grackë
225,Falle::N,капкӑн,kurth
226,Falle::N,капкӑн,grackë
227,Schlinge::N,йӑлӑ,nyjë
228,Spur::N,йӗр,gjurmë
229,Asche::N,кӗл,hi
230,Dreck::N,пылчӑк,baltë
231,Eisen::N,тимӗр,hekur
232,Gold::N,ылтӑн,ar
233,Gold::N,ылтӑн,flori
234,Silber::N,кӗмӗл,argjend
235,Kohle::N,кӑмрӑк,qymyr
236,Glas::N,кӗленче,qelq
237,Lehm::N,тӑм,argjilë
238,Sand::N,хӑйӑр,rërë
239,Mensch::N,ҫын,njeri
240,Mensch::N,этем,njeri
241,Mann::N,ар,burrë
242,Mann::N,ар,mashkull
243,Frau::N,хӗрарӑм,grua
244,Frau::N,хӗрарӑм,femër
245,Kind::N,ача,kalama
246,Junge::N,ача,djalë
247,Junge::N,ар ҫын ача,djalë
248,Mädchen::N,хӗр ача,gocë
249,Mädchen::N,хӗр ача,vajzë
250,Familie::N,ҫемье,familje
251,Familie::N,кил-йыш,familje
252,Großvater::N,кукаҫи,gjysh
253,Großmutter::N,кукамай,gjyshe
254,Eltern::N,аҫа-ама,prindër
255,Vater::N,атте,atë
256,Mutter::N,анне,nënë
257,Sohn::N,ывӑл,bir
258,Tochter::N,хӗр,bijë
259,Bruder::N,ар тӑван,vëlla
260,Schwester::N,аппа,motër
261,Schwester::N,йӑмӑк,motër
262,Onkel::N,мучи,dajë
263,Onkel::N,мучи,xhaxha
264,Onkel::N,пичче,dajë
265,Onkel::N,пичче,xhaxha
266,Tante::N,аппа,teze
267,Tante::N,аппа,hallë
268,Ehemann::N,упӑшка,burrë
269,Ehemann::N,упӑшка,bashkëshort
270,Ehefrau::N,арӑм,grua
271,Ehefrau::N,арӑм,bashkëshorte
272,Freude::N,савӑнӑҫ,gaz
273,Freude::N,савӑнӑҫ,gëzim
274,Freude::N,хаваслӑх,gaz
275,Freude::N,хаваслӑх,gëzim
276,Gelächter::N,кулӑ,qeshje
277,Glück::N,телей,lumturi
278,Glück::N,ӑраскал,lumturi
279,Kummer::N,хурлӑх,brengë
280,Kummer::N,хурлӑх,pikëllim
281,Wunsch::N,ӗмӗт,dëshirë
282,Wunsch::N,кӑмӑл,dëshirë
283,Lust::N,кӑмӑл,epsh
284,Lust::N,кӑмӑл,dashuri
285,Geist::N,чун-чӗм,frymë
286,Geist::N,чун-чӗм,shpirt
287,Geist::N,ыр-усал,frymë
288,Geist::N,ыр-усал,shpirt
289,Geist::N,чун хавалӗ,frymë
290,Geist::N,чун хавалӗ,shpirt
291,Gedanke::N,шухӑш,ide
292,Gedanke::N,шухӑш,mendim
293,Gedächtnis::N,ас,kujtesë
294,Verstand::N,ӑс,mend
295,Verstand::N,ӑс-тӑн,mend
296,Verstand::N,ӑс-хакӑл,mend
297,Sinn::N,тупсӑм,kuptim
298,Sinn::N,пӗлтерӗш,kuptim
299,Grund::N,сӑлтав,arsye
300,Wahrheit::N,чӑнлӑх,vërtetë
301,Gespräch::N,калаҫу,bisedim
302,Märchen::N,юмах,përrallë
303,Erzählung::N,акалав,tregim
304,Erzählung::N,каласа пани,tregim
305,Nachricht::N,хыпар,lajm
306,Neuigkeit::N,ҫӗнӗ хыпар,risi
307,Name::N,ят,emër
308,Rätsel::N,сутмалли юмах,gjëzë
309,Rätsel::N,сутмалли юмах,gjëegjëzë
310,Rede::N,сӑмах,fjalim
311,Sprache::N,чӗлхе,gjuhë
312,Stimme::N,сасӑ,zë
313,Wort::N,сӑмах,fjalë
314,Zeichen::N,паллӑ,shenjë
315,Ruf::N,йыхрав,thirrmë
316,Ruf::N,чӗнӳ,thirrmë
317,Lärm::N,шав,zhurmë
318,Laut::N,сасӑ,tingull
319,Ton::N,сасӑ,ton
320,Lied::N,юрӑ,këngë
321,Ruhe::N,канӑҫлӑх,qetësi
322,Ruhe::N,лӑпкӑлӑх,qetësi
323,Leute::N,ҫамрӑксем,botë
324,Leute::N,ҫамрӑксем,njerëz
325,Leute::N,ҫамрӑк ҫынсем,botë
326,Leute::N,ҫамрӑк ҫынсем,njerëz
327,Volk::N,халӑх,popull
328,Arbeit::N,ӗҫхӗл,punë
329,Arbeit::N,ӗҫлев,punë
330,Gast::N,хӑна,mik
331,Gast::N,хӑна,mysafir
332,Geschenk::N,парне,dhuratë
333,Geschenk::N,парне,peshqesh
334,Geschenk::N,кучченеҫ,dhuratë
335,Geschenk::N,кучченеҫ,peshqesh
336,Spiel::N,вӑйӑ,lojë
337,Gesellschaft::N,общество,shoqëri
338,Hilfe::N,пулӑшу,ndihmë
339,Freund::N,тус,mik
340,Kamerad::N,юлташ,shok
341,Kamerad::N,тус,shok
342,Angelegenheit::N,ӗҫ,punë
343,Anzahl::N,йыш,sasi
344,Anzahl::N,хисеп,sasi
345,Art::N,тӗс,lloj
346,Stück::N,татӑк,copë
347,Teil::N,пай,pjesë
348,Hälfte::N,ҫурӑ,gjysmë
349,Kreis::N,ункӑ,qark
350,Kreis::N,ункӑ,rreth
351,Kreis::N,ҫавракӑш,qark
352,Kreis::N,ҫавракӑш,rreth
353,Kreuz::N,хӗрес,kryq
354,Linie::N,йӗр,vijë
355,Strich::N,йӗр,vizë
356,Abstand::N,хушӑ,distancë
357,Entfernung::N,хушӑ,largim
358,Gegend::N,вырӑн,vise
359,Gegend::N,вырӑн,krahinë
360,Platz::N,хутлӑх,shesh
361,Ort::N,вырӑн,vend
362,Seite::N,ен,anë
363,Seite::N,аяк,anë
364,Seite::N,айӑк,anë
365,Mitte::N,варӑ,mes
366,Gegenstand::N,япала,send
367,Sache::N,япала,gjë
368,Sache::N,япала,send
369,Rand::N,вӗҫ,qoshe
370,Rand::N,хӗрӗ,qoshe
371,Rand::N,хӗрри,qoshe
372,Kante::N,хайкача,teh
373,Kante::N,хысак,teh
374,Ecke::N,кӗтес,qoshe
375,Spitze::N,вӗҫ,majë
376,Ende::N,вӗҫ,skaj
377,Ende::N,вӗҫ,bisht
378,Loch::N,шӑтӑк,vrimë
379,Winkel::N,кӗтес,kënd
380,Muster::N,эреш,mostër
381,Größe::N,пысӑкӑш,madhësi
382,Länge::N,вӑрӑмӑш,gjatësi
383,Höhe::N,ҫӳллӗш,lartësi
384,Gewicht::N,виҫе,peshë
385,Gewicht::N,йывӑрӑш,peshë
386,Menge::N,йыш,sasi
387,Haufen::N,купа,grumbull
388,Reihe::N,рет,radhë
389,Reihe::N,рет,rresht
390,Boot::N,кимӗ,barkë
391,Boot::N,кимӗ,lundër
392,Ruder::N,кӗсмен,rrem
393,Schlitten::N,ҫуна,sajë
394,Ski::N,йӗлтӗр,ski
395,Lagerfeuer::N,вут,flakadan
396,Lagerfeuer::N,вут,zjarr i madh
397,Lagerfeuer::N,кӑвайт,flakadan
398,Lagerfeuer::N,кӑвайт,zjarr i madh
399,Last::N,сулмаклӑх,barrë
400,Last::N,йывӑр япала,barrë
401,Gang::N,куҫӑм,ecje
402,Schritt::N,утӑм,hap
403,Schritt::N,пусӑм,hap
404,Norden::N,ҫурҫӗр,veri
405,Süden::N,кӑнтӑр,jug
406,Westen::N,анӑҫ,perëndim
407,Westen::N,хӗвел анӑҫ,perëndim
408,Osten::N,хӗвел тухӑҫ,lindje
409,Holz::N,йывӑҫ,dru
410,Brett::N,хӑма,dërrasë
411,Platte::N,плита,pllakë
412,Stütze::N,ура,shtyllë
413,Stütze::N,ура,mbështetesë
414,Stange::N,шерте,shufër
415,Stock::N,патак,dajak
416,Stab::N,шӑчӑ,shkop
417,Rohr::N,пӑрӑх,tub
418,Haus::N,ҫурт,shtëpi
419,Heim::N,кил,konak
420,Heim::N,кил,shtëpi
421,Ofen::N,кӑмака,sobë
422,Ofen::N,кӑмака,stufë
423,Fußboden::N,урай,dysheme
424,Tisch::N,сӗтел,tryezë
425,Stuhl::N,пукан,karrige
426,Wiege::N,сӑпка,djep
427,Bett::N,кравать,shtrat
428,Regal::N,ҫӳлӗк,raft
429,Regal::N,сентре,raft
430,Kiste::N,ещӗк,kuti
431,Kiste::N,сунтӑх,kuti
432,Fenster::N,чӳрече,dritare
433,Tür::N,алӑк,derë
434,Tor::N,хапха,portë
435,Zaun::N,хӳме,gardh
436,Dach::N,тӑрӑ,çati
437,Leiter::N,пусма,shkallë
438,Besen::N,шӑпӑр,fshesë
439,Spaten::N,кӗреҫе,lopatë
440,Schaufel::N,кӗреҫе,qyrek
441,Gabel::N,вилка,pirun
442,Löffel::N,кашӑк,lugë
443,Messer::N,ҫӗҫӗ,thikë
444,Nagel::N,пӑта,gozhdë
445,Netz::N,тетел,rrjetë
446,Haken::N,йӑрхах,grep
447,Haken::N,йӑрхах,grremç
448,Haken::N,ҫекӗл,grep
449,Haken::N,ҫекӗл,grremç
450,Griff::N,хӑлӑп,dorak
451,Griff::N,хӑлӑп,dorezë
452,Schloss::N,ҫӑра,bravë
453,Bild::N,сӑн,tablo
454,Bild::N,сӑн,pikturë
455,Bild::N,сӑнлӑх,tablo
456,Bild::N,сӑнлӑх,pikturë
457,Bild::N,картина,tablo
458,Bild::N,картина,pikturë
459,Figur::N,кӗлетке,figurë
460,Puppe::N,пукане,kukull
461,Beutel::N,михӗ,qese
462,Beutel::N,михӗ,trastë
463,Bündel::N,ҫыхӑ,deng
464,Bündel::N,тӗрке,deng
465,Tasche::N,сумка,çantë
466,Eimer::N,витре,kovë
467,Deckel::N,хупӑ,kapak
468,Deckel::N,хупӑ,mbulesë
469,Geschirr::N,савӑт-сапа,enë
470,Sack::N,михӗ,thes
471,Sack::N,михӗ,torbë
472,Tasse::N,курка,filxhan
473,Topf::N,кастрюль,kusi
474,Topf::N,кастрюль,tenxhere
475,Kessel::N,хуран,kazan
476,Essen::N,апат,ngrënie
477,Nahrung::N,апат-ҫимӗс,ushqim
478,Speise::N,апат,gatesë
479,Speise::N,ҫимӗҫ,gatesë
480,Fleisch::N,аш,mish
481,Fleisch::N,какай,mish
482,Getreide::N,тырӑ,drithë
483,Brei::N,пӑтӑ,qull
484,Brot::N,ҫӑкӑр,bukë
485,Scheibe::N,чӗлӗ,fetë
486,Scheibe::N,касӑк,fetë
487,Fett::N,ҫу,lyrë
488,Fett::N,ҫу,yndyrë
489,Butter::N,ҫу,gjalpë
490,Öl::N,ҫу,vaj
491,Salz::N,тӑвар,kripë
492,Suppe::N,яшка,supë
493,Suppe::N,яшка,çorbë
494,Honig::N,пыл,mjaltë
495,Milch::N,сӗт,qumësht
496,Tee::N,чей,çaj
497,Leder::N,сӑран,lëkurë
498,Wolle::N,ҫӑм,lesh
499,Stoff::N,тӗртӗм,pëlhurë
500,Nadel::N,йӗп,gjilpërë
501,Faden::N,ҫип,pe
502,Faden::N,ҫип,fije
503,Knopf::N,тӳме,kopsë
504,Knoten::N,йӑлӑ,komb
505,Farbe::N,сӑрӑ,bojë
506,Kleidung::N,тум,veshje
507,Kleidung::N,ҫипуҫ,veshje
508,Kleidung::N,тум-тир,veshje
509,Hemd::N,кӗпе,këmishë
510,Kragen::N,ҫуха,jakë
511,Ärmel::N,ҫанӑ,mëngë
