,Concept_ID,sk,lt
0,Auge::N,oko,akis
1,Ohr::N,ucho,ausis
2,Nase::N,nos,nosis
3,Mund::N,ústa,burna
4,Zahn::N,zub,dantis
5,Zunge::N,jazyk,liežuvis
6,Lippe::N,pera,lūpa
7,Wange::N,líce,žandas
8,Wange::N,líce,skruostas
9,Gesicht::N,tvár,veidas
10,Gesicht::N,obličaj,veidas
11,Stirn::N,čelo,kakta
12,Haar::N,vlas,plaukai
13,Schnurrbart::N,fúzy,ūsai
14,Bart::N,brada,barzda
15,Kinn::N,brada,smakras
16,Kiefer[Anatomie]::N,čeľusť,žandikaulis
17,Kehle::N,hrdlo,gerklė
18,Hals::N,krk,kaklas
19,Genick::N,väzy,sprandas
20,Kopf::N,hlava,galva
21,Rücken::N,chrbát,nugara
22,Bauch::N,brucho,pilvas
23,Nabel::N,pupok,bamba
24,Busen::N,prsia,krūtinė
25,Brust::N,hruď,krūtis
26,Schulter::N,plece,petys
27,Arm::N,rameno,ranka
28,Ellenbogen::N,lakeť,alkūnė
29,Hand::N,ruka,ranka
30,Hand::N,ruka,plaštaka
31,Handfläche::N,dlaň,delnas
32,Handfläche::N,dlaň,plaštaka
33,Finger::N,prst,pirštas
34,Fingernagel::N,necht,nagas
35,Nagel[Anatomie]::N,necht,nagas
36,Zeh::N,prst na nohe,pirštas
37,Fuß::N,noha,pėda
38,Ferse::N,päta,kulnas
39,Knie::N,koleno,kelis
40,Oberschenkel::N,stehno,kulšis
41,Oberschenkel::N,stehno,šlaunis
42,Bein::N,noha,koja
43,Körper::N,telo,kūnas
44,Haut::N,koža,oda
45,Blut::N,krv,kraujas
46,Ader::N,žila,kraujagyslė
47,Sehne::N,šľacha,sausgyslė
48,Knochen::N,kosť,kaulas
49,Gehirn::N,mozog,smegenys
50,Herz::N,srdce,širdis
51,Magen::N,žalúdok,skrandis
52,Leber::N,pečeň,kepenys
53,Atem::N,dych,kvapas
54,Hunger::N,hlad,badas
55,Hunger::N,hlad,alkis
56,Träne::N,slza,ašara
57,Geschmack::N,chuť,skonis
58,Geruch::N,pach,kvapas
59,Schlaf::N,spánok,miegas
60,Traum::N,sen,sapnas
61,Himmel::N,nebo,dangus
62,Sonne::N,slnko,saulė
63,Mond::N,mesiac,mėnulis
64,Stern::N,hviezda,žvaigždė
65,Luft::N,vzduch,oras
66,Wind::N,vietor,vėjas
67,Welle::N,vlna,banga
68,Welle::N,vlna,vilnis
69,Wasser::N,voda,vanduo
70,Stein::N,kameň,akmuo
71,Boden::N,zem,žemė
72,Boden::N,zem,dugnas
73,Boden::N,pôda,žemė
74,Boden::N,pôda,dugnas
75,Erde::N,zem,žemė
76,Staub::N,prach,dulkės
77,Rauch::N,dym,dūmai
78,Funke::N,iskra,kibirkštis
79,Feuer::N,oheň,ugnis
80,Licht::N,svetlo,šviesa
81,Schatten::N,tieň,paūksmė
82,Wetter::N,počasie,oras
83,Nebel::N,hmla,migla
84,Nebel::N,hmla,rūkas
85,Wolke::N,oblak,debesis
86,Wolke::N,mračno,debesis
87,Regen::N,dážď,lietus
88,Schnee::N,sneh,sniegas
89,Eis::N,ľad,ledas
90,Frost::N,mráz,šalna
91,Kälte::N,zima,šaltis
92,Kälte::N,chlad,šaltis
93,Hitze::N,horúčava,karštis
94,Raureif::N,srieň,šerkšnas
95,Raureif::N,inovať,šerkšnas
96,Regenbogen::N,dúha,vaivorykštė
97,Donner::N,hrom,perkūnas
98,Donner::N,hrom,griaustinis
99,Strömung::N,prúdenie,tėkmė
100,Tropfen::N,kvapka,lašas
101,Schaum::N,pena,putos
102,Schmutz::N,špina,purvas
103,Schmutz::N,nečistota,purvas
104,See::N,jazero,ežeras
105,Sumpf::N,bahno,klampynė
106,Sumpf::N,bahno,liūnas
107,Moor::N,močiar,pelkė
108,Wiese::N,lúka,pieva
109,Wald::N,les,miškas
110,Wald::N,hora,miškas
111,Hügel::N,vŕšok,kalva
112,Anhöhe::N,výšina,kauburys
113,Anhöhe::N,vyvýšenina,kauburys
114,Berg::N,hora,kalnas
115,Gipfel::N,vrchol,viršūnė
116,Höhle::N,jaskyňa,ola
