,Concept_ID,ce,ko
0,Auge::N,бӏаьрг,눈
1,Ohr::N,лерг,귀
2,Nase::N,мара,코
3,Mund::N,бага,입
4,Zahn::N,церг,이
5,Zunge::N,мотт,혀
6,Lippe::N,балда,입술
7,Wange::N,бесни,뺨
8,Gesicht::N,юьхь,얼굴
9,Stirn::N,хьаж,이마
10,Haar::N,мас,털
11,Schnurrbart::N,мекх,윗수몀
12,Schnurrbart::N,мекх,코밑수염
13,Bart::N,маж,수엄
14,Kinn::N,чӏениг,아래턱
15,Kiefer[Anatomie]::N,мочхал,턱
16,Kehle::N,къамкъарг,인후
17,Hals::N,ворта,목
18,Genick::N,кӏесаркӏаг,먹덜이
19,Kopf::N,корта,머리
20,Rücken::N,букъ,든
21,Bauch::N,кийра,배
22,Nabel::N,цӏонга,배꼽
23,Busen::N,зударийн накха,가슴속
24,Brust::N,накха,가슴
25,Schulter::N,белш,어깨
26,Arm::N,пхьарс,팔
27,Ellenbogen::N,пхьаьрсан гола,팔쿰치
28,Hand::N,куьг,손
29,Handfläche::N,кераюкъ,손바닥
30,Finger::N,пӏелг,속가락
31,Fingernagel::N,мӏара,손톱
32,Nagel[Anatomie]::N,мӏара,손톱
33,Zeh::N,кога пӏелг,발가락
34,Fuß::N,ког,발
35,Ferse::N,кӏажа,발꿈치
36,Knie::N,гола,무릎
37,Oberschenkel::N,варе,허벅다리
38,Bein::N,ког,다리
39,Körper::N,хӏума,구간
40,Haut::N,чкъор,살갗
41,Blut::N,цӏий,피
42,Ader::N,пха,정맥
43,Sehne::N,хьорзам,현
44,Knochen::N,даьӏахк,뼈
45,Gehirn::N,хье,뇌
46,Gehirn::N,хье,뇌수
47,Herz::N,дог,염통
48,Magen::N,зорх,위
49,Leber::N,доӏах,간
50,Atem::N,садеӏар,기식
51,Hunger::N,мацалла,공복
52,Träne::N,бӏаьрхи,눈물
53,Geschmack::N,чам,기호
54,Geruch::N,хьожа,냄새
55,Schlaf::N,наб,수면
56,Traum::N,гӏан,쿰
57,Himmel::N,стигал,하늘
58,Sonne::N,малх,해
59,Mond::N,бутт,달
60,Stern::N,седа,별
61,Luft::N,xӏаваъ,동준
62,Luft::N,xӏаваъ,가스채
63,Wind::N,мох,바람
64,Welle::N,тулгӏе,물결
65,Wasser::N,хи,물
66,Stein::N,тӏулг,돌
67,Boden::N,цӏенкъа,바닥
68,Erde::N,латта,흙
69,Staub::N,чан,먼지
70,Rauch::N,кӏур,연기
71,Funke::N,суй,불티
72,Feuer::N,цӏе,불
73,Licht::N,серло,불
74,Schatten::N,ӏиндагӏ,어스레함
75,Wetter::N,хенан хӏоттам,기상
76,Nebel::N,дохк,안개
77,Wolke::N,марха,구름
78,Regen::N,догӏа,비
79,Schnee::N,ло,눈
80,Eis::N,ша,얼음
81,Frost::N,шело,혹한
82,Kälte::N,шело,추위
83,Kälte::N,шело,차가움
84,Hitze::N,йовхо,고온
85,Hitze::N,йовхо,더위
86,Raureif::N,йис,
87,Regenbogen::N,стелаӏад,무지개
88,Donner::N,ткъес,뇌명
89,Strömung::N,дӏаэхар,유동
90,Strömung::N,дӏасалелар,유동
91,Tropfen::N,тӏадам,물방울
92,Schaum::N,чопа,포말
93,Schmutz::N,хатт,때
94,See::N,ӏам,호수
95,Sumpf::N,уьшал,습지
96,Moor::N,уьшал,저습지
97,Wiese::N,бай,목초지
98,Wald::N,хьун,숲
99,Hügel::N,гу,언덕
100,Hügel::N,шу,언덕
101,Hügel::N,барз,언덕
102,Anhöhe::N,акъари,언덕
103,Berg::N,лам,산
104,Gipfel::N,бохь,졀졍
105,Höhle::N,хьех,공동
106,Abhang::N,басе,몰매
107,Quelle::N,шовда,근원
108,Bach::N,татол,내
109,Fluss::N,хи,강
110,Ufer::N,хийист,강변
111,Ufer::N,хийист,바닷가
112,Küste::N,йист,해변
113,Küste::N,йист,해변가
114,Festland::N,латта,본토
115,Meer::N,xӏорд,바다
116,Bucht::N,чож,협만
