,Concept_ID,cv,lv
0,Auge::N,куҫ,син
1,Auge::N,куҫ,acs
2,Ohr::N,хӑлха,пель
3,Ohr::N,хӑлха,auss
4,Nase::N,сӑмса,ныр
5,Nase::N,сӑмса,deguns
6,Mund::N,ҫӑвар,вом
7,Mund::N,ҫӑвар,mute
8,Zahn::N,шӑл,пинь
9,Zahn::N,шӑл,zobs
10,Zunge::N,чӗлхе,кыв
11,Zunge::N,чӗлхе,mēle
12,Lippe::N,тута,вом дор
13,Lippe::N,тута,lūpa
14,Wange::N,пит ҫӑмарти,бан
15,Wange::N,пит ҫӑмарти,vaigs
16,Gesicht::N,пит,чужӧм
17,Gesicht::N,пит,seja
18,Gesicht::N,пит,ģīmis
19,Gesicht::N,пит-куҫ,чужӧм
20,Gesicht::N,пит-куҫ,seja
21,Gesicht::N,пит-куҫ,ģīmis
22,Stirn::N,ҫамка,плеш
23,Stirn::N,ҫамка,кымӧс
24,Stirn::N,ҫамка,piere
25,Haar::N,ҫӳҫ,си
26,Haar::N,ҫӳҫ,юрси
27,Haar::N,ҫӳҫ,mats
28,Schnurrbart::N,усси,ус
29,Schnurrbart::N,усси,пыртсим
30,Schnurrbart::N,усси,ūsas
31,Bart::N,сухал,тош
32,Bart::N,сухал,bārda
33,Kinn::N,янах,тшӧка
34,Kinn::N,янах,zods
35,Kinn::N,янах,smakrs
36,Kiefer[Anatomie]::N,янах,черлы
37,Kiefer[Anatomie]::N,янах,алака лы
38,Kiefer[Anatomie]::N,янах,вомкӧтш лы
39,Kiefer[Anatomie]::N,янах,žoklis
40,Kehle::N,пыр,голя
41,Kehle::N,пыр,rīkle
42,Kehle::N,карланкӑ,голя
43,Kehle::N,карланкӑ,rīkle
44,Hals::N,пыр,сьылі
45,Hals::N,пыр,kakls
46,Genick::N,ӗнсе,юрбӧр
47,Genick::N,ӗнсе,балябӧж
48,Genick::N,ӗнсе,sprands
49,Kopf::N,пуҫ,юр
50,Kopf::N,пуҫ,galva
51,Rücken::N,ҫурӑм,мыш
52,Rücken::N,ҫурӑм,mugura
53,Nabel::N,кӑвапа,гӧг
54,Nabel::N,кӑвапа,naba
55,Busen::N,кӑкӑр,морӧс
56,Busen::N,кӑкӑр,krūts
57,Brust::N,умӗ,морӧс
58,Brust::N,умӗ,krūts
59,Schulter::N,хул пуҫҫи,пельпом
60,Schulter::N,хул пуҫҫи,plecs
61,Arm::N,алӑ,ки
62,Arm::N,алӑ,roka
63,Arm::N,алӑ,delms
64,Ellenbogen::N,чавса,гырддза
65,Ellenbogen::N,чавса,elkonis
66,Hand::N,алӑ сыппи,ки
67,Hand::N,алӑ сыппи,roka
68,Hand::N,алӑ сыппи,plauksta
69,Handfläche::N,ал лаппи,ки пыдӧс
70,Handfläche::N,ал лаппи,delna
71,Handfläche::N,ал лаппи,plauksta
72,Finger::N,пӳрне,чунь
73,Finger::N,пӳрне,pirksts
74,Fingernagel::N,чӗрне,гыж
75,Fingernagel::N,чӗрне,nags
76,Nagel[Anatomie]::N,чӗрне,гыж
77,Nagel[Anatomie]::N,чӗрне,nags
78,Zeh::N,пӳрне,кок чунь
79,Zeh::N,пӳрне,pirksts
80,Fuß::N,ура лаппи,кок
81,Fuß::N,ура лаппи,kāja
82,Ferse::N,кӗле,кокбӧр
83,Ferse::N,кӗле,papēdis
84,Knie::N,чӗркуҫҫи,пидзӧс
85,Knie::N,чӗркуҫҫи,celis
86,Oberschenkel::N,пӗҫӗ,лядьвей
87,Oberschenkel::N,пӗҫӗ,бек
88,Oberschenkel::N,пӗҫӗ,ciska
89,Oberschenkel::N,пӗҫӗ,augšstilbs
90,Bein::N,ура,кок
91,Bein::N,ура,kāja
92,Körper::N,ӳт,туша
93,Körper::N,ӳт,вывтыр
94,Körper::N,ӳт,miesa
95,Körper::N,ӳт,ķermenis
96,Körper::N,ӳт-пӳ,туша
97,Körper::N,ӳт-пӳ,вывтыр
98,Körper::N,ӳт-пӳ,miesa
99,Körper::N,ӳт-пӳ,ķermenis
100,Haut::N,тир,ку
101,Haut::N,тир,āda
102,Blut::N,юн,вир
103,Blut::N,юн,asins
104,Ader::N,вена,сӧн
105,Ader::N,вена,asinsvads
