,Concept_ID,bn,ja
0,Auge::N,চক্ষু,目
1,Ohr::N,কর্ণ,耳
2,Nase::N,নাক,鼻
3,Mund::N,মুখ,口
4,Zahn::N,দাঁত,歯
5,Zunge::N,জিহবা,舌
6,Lippe::N,অধর,唇
7,Wange::N,গণ্ড,頬
8,Gesicht::N,মুখমণ্ডল,顔
9,Stirn::N,কপাল,額
10,Haar::N,চুল,髪
11,Schnurrbart::N,গোঁফ,口髭
12,Bart::N,শ্মশ্রু,髭
13,Kinn::N,চিবুক,顎
14,Kiefer[Anatomie]::N,চোয়াল,顎
15,Kehle::N,কণ্ঠ,喉
16,Hals::N,গল,首
17,Genick::N,ঘাড়,首
18,Kopf::N,মাথা,頭
19,Rücken::N,পৃষ্ঠ,背中
20,Bauch::N,উদর,腹
21,Bauch::N,উদর,お腹
22,Nabel::N,নাভি,へそ
23,Busen::N,স্তন,乳房
24,Brust::N,বুক,胸
25,Schulter::N,স্কন্ধ,肩
26,Arm::N,বাহু,腕
27,Ellenbogen::N,কনুই,肘
28,Hand::N,হাত,手
29,Handfläche::N,করতল,手のひら
30,Finger::N,আঙ্গুল,指
31,Fingernagel::N,হাতের নখ,爪
32,Nagel[Anatomie]::N,নখ,爪
33,Zeh::N,আঙ্গুল,足の指
34,Fuß::N,পা,足
35,Ferse::N,গোড়ালি,かかと
36,Knie::N,হাঁটু,膝
37,Oberschenkel::N,ঊরু,上腿
38,Bein::N,পা,足
39,Körper::N,দেহ,体
40,Haut::N,ত্বক,皮膚
41,Blut::N,রক্ত,血
42,Ader::N,শিরা,血管
43,Sehne::N,কণ্ডরা,腱
44,Knochen::N,অস্থি,骨
45,Gehirn::N,মস্তিষ্ক,脳
46,Herz::N,হৃৎপিণ্ড,心
47,Herz::N,হৃৎপিণ্ড,心臓
48,Magen::N,পাকস্থলী,胃
49,Leber::N,যকৃৎ,肝臓
50,Atem::N,শ্বাস,息
51,Atem::N,শ্বাস,呼吸
52,Hunger::N,ক্ষুধা,空腹
53,Träne::N,অশ্রু,涙
54,Geschmack::N,স্বাদ,味
55,Geruch::N,গন্ধ,匂い
56,Schlaf::N,ঘুম,睡眠
57,Traum::N,স্বপ্ন,夢
58,Himmel::N,আকাশ,空
59,Sonne::N,সূর্য,太陽
60,Mond::N,চন্দ্র,月
61,Stern::N,নক্ষত্র,星
62,Luft::N,বায়ু,空気
63,Wind::N,বাতাস,風
64,Welle::N,ঢেউ,波
65,Welle::N,তরঙ্গ,波
66,Wasser::N,জল,水
67,Stein::N,ঢিল,石
68,Stein::N,প্রস্তর,石
69,Boden::N,ভূতল,土地
70,Erde::N,ভূমি,土
71,Staub::N,ধুলা,埃
72,Rauch::N,ধোঁয়া,煙
73,Funke::N,স্ফুলিঙ্গ,火花
74,Feuer::N,অগ্নি,火
75,Licht::N,আলো,光
76,Schatten::N,ছায়া,陰
77,Wetter::N,আবহাওয়া,天気
78,Nebel::N,কুহেলিকা,霧
79,Wolke::N,মেঘ,雲
80,Regen::N,বৃষ্টি,雨
81,Schnee::N,তুষার,雪
82,Eis::N,বরফ,氷
83,Frost::N,তুষার,霜
84,Kälte::N,শৈত্য,寒さ
85,Hitze::N,তাপ,暑さ
86,Raureif::N,তুহিন,霧氷
87,Regenbogen::N,রামধনু,虹
88,Donner::N,বজ্রধ্বনি,雷
89,Strömung::N,স্রোত,流れ
90,Tropfen::N,ফোঁটা,滴
91,Schaum::N,ফেনা,泡
92,Schmutz::N,ধুলা,汚れ
93,See::N,হ্রদ,湖
94,Sumpf::N,জলা,沼
95,Moor::N,মাঠ,湿原
96,Wiese::N,তৃণভূমি,草原
97,Wald::N,বন,森
98,Hügel::N,পাহাড়,丘
99,Anhöhe::N,টিলা,高み
100,Berg::N,পর্বত,山
101,Gipfel::N,শীর্ষ,頂上
102,Höhle::N,গুহা,洞窟
103,Abhang::N,ঢাল,斜面
104,Quelle::N,উৎস,泉
105,Bach::N,ক্ষুদ্র নদী,小川
106,Fluss::N,নদী,川
107,Ufer::N,উপকূল,岸
108,Küste::N,তীর,海岸
109,Festland::N,ভূমি,陸
110,Meer::N,সমুদ্র,海
111,Bucht::N,উপসাগর,湾
112,Insel::N,দ্বীপ,島
113,Blume::N,ফুল,花
114,Gras::N,ঘাস,草
115,Wurzel::N,শিকড়,根
116,Baum::N,গাছ,木
117,Stamm::N,স্কন্ধ,幹
118,Rinde::N,বল্কল,皮層
119,Ast::N,শাখা,枝
120,Zweig::N,ডাল,小枝
121,Blatt::N,পর্ণ,葉
122,Birke::N,ভুর্জ,樺
123,Kiefer[Baum]::N,পাইন গাছ,松
124,Weide[Baum]::N,উইলো,柳
125,Tanne::N,দেবদারূ গাছ,樅
126,Horn::N,শিং,角
127,Feder::N,পালক,羽根
128,Fell::N,রোম,毛皮
129,Flügel::N,ডানা,羽
130,Klaue::N,নখর,鉤爪
131,Kralle::N,নখর,爪
132,Schwanz::N,লেজ,尻尾
133,Ei::N,ডিম,卵
134,Nest::N,কুলায়,巣
135,Bau::N,ডেরা,穴
136,Tier::N,জন্তু,動物
137,Herde::N,ঝাঁক,群れ
138,Kuh::N,গোরু,牛
139,Bulle::N,বৃষ,雄牛
140,Pferd::N,ঘোড়া,馬
141,Schaf::N,ভেড়া,羊
142,Schwein::N,শূকর,豚
143,Hund::N,কুকুর,犬
144,Katze::N,বেড়াল,猫
145,Bär::N,ভল্লুক,熊
146,Eichhörnchen::N,কাঠবিড়াল,栗鼠
147,Elch::N,হরিণবিশেষ,ヘラジカ
148,Fuchs::N,পাঁতিশিয়াল,狐
149,Hase::N,শশক,兎
150,Maus::N,নেংটি ইঁদুর,鼠
151,Wolf::N,নেকড়ে,狼
152,Vogel::N,পক্ষী,鳥
153,Schwarm::N,ঝাঁক,群れ
154,Huhn::N,মোরগ,鶏
155,Hahn::N,কুক্কুট,雄鶏
156,Gans::N,হংসী,ガチョウ
157,Adler::N,ইগল,鷲
158,Ente::N,হংসী,鴨
159,Eule::N,পেচক,フクロウ
160,Kranich::N,সারস,鶴
161,Krähe::N,কাক,烏
162,Kuckuck::N,কোকিল,郭公
163,Schwan::N,মরাল,白鳥
164,Fisch::N,মাছ,魚
165,Barsch::N,মৎন্যবিশেষ,鱸
166,Hecht::N,বানমাছ,川魳
167,Schlange[Tier]::N,সর্প,蛇
168,Wurm::N,কীট,虫
169,Spinne::N,মাকড়সা,蜘蛛
170,Ameise::N,পিপীলিকা,蟻
